DATAFLOW,AUDST,FREQ,REF_TIME_RN,REPYEAREND,REPYEARSTART,TYP_FIN_RT_RN,UNIT_MULT,TIME_PERIOD,UNIT_MEASURE,OBS_VALUE
RBI:FIN_RATIOS_PVT_RN(1.0),N_A,AFY,PREV_TO_PREV,2012,2011,LR_CA_CL,0,2012-03-31,PT,1.3
RBI:FIN_RATIOS_PVT_RN(1.0),N_A,AFY,PREV_TO_PREV,2012,2011,LR_CA_TNA,0,2012-03-31,PT,54.2
RBI:FIN_RATIOS_PVT_RN(1.0),N_A,AFY,PREV_TO_PREV,2012,2011,LR_QA_CL,0,2012-03-31,PT,58.9
RBI:FIN_RATIOS_PVT_RN(1.0),N_A,AFY,PREV_TO_PREV,2012,2011,LR_SC_TO_CA,0,2012-03-31,PT,27.7
RBI:FIN_RATIOS_PVT_RN(1.0),N_A,AFY,PREV_TO_PREV,2012,2011,LR_SC_TO_NWC,0,2012-03-31,PT,132.5
RBI:FIN_RATIOS_PVT_RN(1.0),N_A,AFY,PREV_TO_PREV,2012,2011,PPAR_DIV_NW,0,2012-03-31,PT,2.3
RBI:FIN_RATIOS_PVT_RN(1.0),N_A,AFY,PREV_TO_PREV,2012,2011,PPAR_EBD_SAL,0,2012-03-31,PT,8.8
RBI:FIN_RATIOS_PVT_RN(1.0),N_A,AFY,PREV_TO_PREV,2012,2011,PPAR_GP_SAL,0,2012-03-31,PT,8.5
RBI:FIN_RATIOS_PVT_RN(1.0),N_A,AFY,PREV_TO_PREV,2012,2011,PPAR_GP_TNA,0,2012-03-31,PT,7.7
RBI:FIN_RATIOS_PVT_RN(1.0),N_A,AFY,PREV_TO_PREV,2012,2011,PPAR_OD_TO_OPC,0,2012-03-31,PT,5.4
RBI:FIN_RATIOS_PVT_RN(1.0),N_A,AFY,PREV_TO_PREV,2012,2011,PPAR_PAT_TNW,0,2012-03-31,PT,9.3
RBI:FIN_RATIOS_PVT_RN(1.0),N_A,AFY,PREV_TO_PREV,2012,2011,PPAR_PR_PAT,0,2012-03-31,PT,79.4
RBI:FIN_RATIOS_PVT_RN(1.0),N_A,AFY,PREV_TO_PREV,2012,2011,PPAR_TP_PBT,0,2012-03-31,PT,29.0
RBI:FIN_RATIOS_PVT_RN(1.0),N_A,AFY,PREV_YR,2012,2011,AUTR_EXP_SAL,0,2012-03-31,PT,10.0
RBI:FIN_RATIOS_PVT_RN(1.0),N_A,AFY,PREV_YR,2012,2011,AUTR_GVA_GFA,0,2012-03-31,PT,50.3
RBI:FIN_RATIOS_PVT_RN(1.0),N_A,AFY,PREV_YR,2012,2011,AUTR_INV_SAL,0,2012-03-31,PT,17.0
RBI:FIN_RATIOS_PVT_RN(1.0),N_A,AFY,PREV_YR,2012,2011,AUTR_RM_CON_TO_VP,0,2012-03-31,PT,56.8
RBI:FIN_RATIOS_PVT_RN(1.0),N_A,AFY,PREV_YR,2012,2011,AUTR_SAL_GFA,0,2012-03-31,PT,213.7
RBI:FIN_RATIOS_PVT_RN(1.0),N_A,AFY,PREV_YR,2012,2011,AUTR_SAL_TNA,0,2012-03-31,PT,100.6
RBI:FIN_RATIOS_PVT_RN(1.0),N_A,AFY,PREV_YR,2012,2011,AUTR_SD_TO_SL,0,2012-03-31,PT,17.4
RBI:FIN_RATIOS_PVT_RN(1.0),N_A,AFY,PREV_YR,2012,2011,CSR_DEB_EQT,0,2012-03-31,PT,33.1
RBI:FIN_RATIOS_PVT_RN(1.0),N_A,AFY,PREV_YR,2012,2011,CSR_DTE_ADJ,0,2012-03-31,PT,33.6
RBI:FIN_RATIOS_PVT_RN(1.0),N_A,AFY,PREV_YR,2012,2011,CSR_NFA_TNA,0,2012-03-31,PT,31.5
RBI:FIN_RATIOS_PVT_RN(1.0),N_A,AFY,PREV_YR,2012,2011,CSR_NW_TNA,0,2012-03-31,PT,42.3
RBI:FIN_RATIOS_PVT_RN(1.0),N_A,AFY,PREV_YR,2012,2011,CSR_STBB_INV,0,2012-03-31,PT,67.0
RBI:FIN_RATIOS_PVT_RN(1.0),N_A,AFY,PREV_YR,2012,2011,CSR_TOL_TNW,0,2012-03-31,PT,136.5
RBI:FIN_RATIOS_PVT_RN(1.0),N_A,AFY,PREV_YR,2012,2011,LR_CA_CL,0,2012-03-31,PT,1.3
RBI:FIN_RATIOS_PVT_RN(1.0),N_A,AFY,PREV_YR,2012,2011,LR_CA_TNA,0,2012-03-31,PT,56.1
RBI:FIN_RATIOS_PVT_RN(1.0),N_A,AFY,PREV_YR,2012,2011,LR_QA_CL,0,2012-03-31,PT,60.6
RBI:FIN_RATIOS_PVT_RN(1.0),N_A,AFY,PREV_YR,2012,2011,LR_SC_TO_CA,0,2012-03-31,PT,27.6
RBI:FIN_RATIOS_PVT_RN(1.0),N_A,AFY,PREV_YR,2012,2011,LR_SC_TO_NWC,0,2012-03-31,PT,119.3
RBI:FIN_RATIOS_PVT_RN(1.0),N_A,AFY,PREV_YR,2012,2011,PPAR_DIV_NW,0,2012-03-31,PT,2.4
RBI:FIN_RATIOS_PVT_RN(1.0),N_A,AFY,PREV_YR,2012,2011,PPAR_EBD_SAL,0,2012-03-31,PT,9.4
RBI:FIN_RATIOS_PVT_RN(1.0),N_A,AFY,PREV_YR,2012,2011,PPAR_GP_SAL,0,2012-03-31,PT,8.6
RBI:FIN_RATIOS_PVT_RN(1.0),N_A,AFY,PREV_YR,2012,2011,PPAR_GP_TNA,0,2012-03-31,PT,8.0
RBI:FIN_RATIOS_PVT_RN(1.0),N_A,AFY,PREV_YR,2012,2011,PPAR_OD_TO_OPC,0,2012-03-31,PT,6.3
RBI:FIN_RATIOS_PVT_RN(1.0),N_A,AFY,PREV_YR,2012,2011,PPAR_PAT_TNW,0,2012-03-31,PT,10.2
RBI:FIN_RATIOS_PVT_RN(1.0),N_A,AFY,PREV_YR,2012,2011,PPAR_PR_PAT,0,2012-03-31,PT,80.8
RBI:FIN_RATIOS_PVT_RN(1.0),N_A,AFY,PREV_YR,2012,2011,PPAR_TP_PBT,0,2012-03-31,PT,28.7
RBI:FIN_RATIOS_PVT_RN(1.0),N_A,AFY,PREV_YR,2012,2011,SUFR_ESF_TSF,0,2012-03-31,PT,64.7
RBI:FIN_RATIOS_PVT_RN(1.0),N_A,AFY,PREV_YR,2012,2011,SUFR_GCF_TUF,0,2012-03-31,PT,49.9
RBI:FIN_RATIOS_PVT_RN(1.0),N_A,AFY,PREV_YR,2012,2011,SUFR_GFAF_TUF,0,2012-03-31,PT,31.3
RBI:FIN_RATIOS_PVT_RN(1.0),N_A,AFY,PREV_YR,2012,2011,SUFR_GS_GCF,0,2012-03-31,PT,75.4
RBI:FIN_RATIOS_PVT_RN(1.0),N_A,AFY,PREV_YR,2012,2011,SUFR_IBB_TES,0,2012-03-31,PT,14.1
RBI:FIN_RATIOS_PVT_RN(1.0),N_A,AFY,CURR_YR,2013,2012,AUTR_EXP_SAL,0,2013-03-31,PT,10.6
RBI:FIN_RATIOS_PVT_RN(1.0),N_A,AFY,CURR_YR,2013,2012,AUTR_GVA_GFA,0,2013-03-31,PT,50.8
RBI:FIN_RATIOS_PVT_RN(1.0),N_A,AFY,CURR_YR,2013,2012,AUTR_INV_SAL,0,2013-03-31,PT,18.5
RBI:FIN_RATIOS_PVT_RN(1.0),N_A,AFY,CURR_YR,2013,2012,AUTR_SAL_GFA,0,2013-03-31,PT,208.1
RBI:FIN_RATIOS_PVT_RN(1.0),N_A,AFY,CURR_YR,2013,2012,AUTR_SAL_TNA,0,2013-03-31,PT,99.3
RBI:FIN_RATIOS_PVT_RN(1.0),N_A,AFY,CURR_YR,2013,2012,AUTR_TR_SAL,0,2013-03-31,PT,17.1
RBI:FIN_RATIOS_PVT_RN(1.0),N_A,AFY,CURR_YR,2013,2012,CSR_DEB_EQT,0,2013-03-31,PT,40.6
RBI:FIN_RATIOS_PVT_RN(1.0),N_A,AFY,CURR_YR,2013,2012,CSR_NFA_TNA,0,2013-03-31,PT,31.2
RBI:FIN_RATIOS_PVT_RN(1.0),N_A,AFY,CURR_YR,2013,2012,CSR_NW_TNA,0,2013-03-31,PT,41.9
RBI:FIN_RATIOS_PVT_RN(1.0),N_A,AFY,CURR_YR,2013,2012,CSR_STBB_INV,0,2013-03-31,PT,52.9
RBI:FIN_RATIOS_PVT_RN(1.0),N_A,AFY,CURR_YR,2013,2012,CSR_TB_EQT,0,2013-03-31,PT,68.9
RBI:FIN_RATIOS_PVT_RN(1.0),N_A,AFY,CURR_YR,2013,2012,ER_CRM_TE,0,2013-03-31,PT,56.8
RBI:FIN_RATIOS_PVT_RN(1.0),N_A,AFY,CURR_YR,2013,2012,ER_ICR,0,2013-03-31,PT,3.1
RBI:FIN_RATIOS_PVT_RN(1.0),N_A,AFY,CURR_YR,2013,2012,ER_IP_TE,0,2013-03-31,PT,2.5
RBI:FIN_RATIOS_PVT_RN(1.0),N_A,AFY,CURR_YR,2013,2012,ER_RTE_TE,0,2013-03-31,PT,13.2
RBI:FIN_RATIOS_PVT_RN(1.0),N_A,AFY,CURR_YR,2013,2012,LR_CA_CL,0,2013-03-31,PT,1.4
RBI:FIN_RATIOS_PVT_RN(1.0),N_A,AFY,CURR_YR,2013,2012,LR_CA_TNA,0,2013-03-31,PT,53.5
RBI:FIN_RATIOS_PVT_RN(1.0),N_A,AFY,CURR_YR,2013,2012,LR_QA_CL,0,2013-03-31,PT,62.7
RBI:FIN_RATIOS_PVT_RN(1.0),N_A,AFY,CURR_YR,2013,2012,LR_TP_CA,0,2013-03-31,PT,27.7
RBI:FIN_RATIOS_PVT_RN(1.0),N_A,AFY,CURR_YR,2013,2012,PPAR_DIV_NW,0,2013-03-31,PT,1.8
RBI:FIN_RATIOS_PVT_RN(1.0),N_A,AFY,CURR_YR,2013,2012,PPAR_EBD_SAL,0,2013-03-31,PT,9.1
RBI:FIN_RATIOS_PVT_RN(1.0),N_A,AFY,CURR_YR,2013,2012,PPAR_GP_SAL,0,2013-03-31,PT,7.5
RBI:FIN_RATIOS_PVT_RN(1.0),N_A,AFY,CURR_YR,2013,2012,PPAR_GP_TNA,0,2013-03-31,PT,7.0
RBI:FIN_RATIOS_PVT_RN(1.0),N_A,AFY,CURR_YR,2013,2012,PPAR_OD_TO_OPC,0,2013-03-31,PT,4.6
RBI:FIN_RATIOS_PVT_RN(1.0),N_A,AFY,CURR_YR,2013,2012,PPAR_PAT_SAL,0,2013-03-31,PT,2.8
RBI:FIN_RATIOS_PVT_RN(1.0),N_A,AFY,CURR_YR,2013,2012,PPAR_PAT_TNW,0,2013-03-31,PT,6.1
RBI:FIN_RATIOS_PVT_RN(1.0),N_A,AFY,CURR_YR,2013,2012,PPAR_PR_PAT,0,2013-03-31,PT,85.2
RBI:FIN_RATIOS_PVT_RN(1.0),N_A,AFY,CURR_YR,2013,2012,PPAR_TP_PBT,0,2013-03-31,PT,30.7
RBI:FIN_RATIOS_PVT_RN(1.0),N_A,AFY,CURR_YR,2013,2012,SUFR_ESF_TSF,0,2013-03-31,PT,66.3
RBI:FIN_RATIOS_PVT_RN(1.0),N_A,AFY,CURR_YR,2013,2012,SUFR_GCF_TUF,0,2013-03-31,PT,51.2
RBI:FIN_RATIOS_PVT_RN(1.0),N_A,AFY,CURR_YR,2013,2012,SUFR_GFAF_TUF,0,2013-03-31,PT,37.5
RBI:FIN_RATIOS_PVT_RN(1.0),N_A,AFY,CURR_YR,2013,2012,SUFR_GS_GCF,0,2013-03-31,PT,54.0
RBI:FIN_RATIOS_PVT_RN(1.0),N_A,AFY,CURR_YR,2013,2012,SUFR_IBB_TES,0,2013-03-31,PT,35.4
RBI:FIN_RATIOS_PVT_RN(1.0),N_A,AFY,PREV_TO_PREV,2013,2012,AUTR_EXP_SAL,0,2013-03-31,PT,10.9
RBI:FIN_RATIOS_PVT_RN(1.0),N_A,AFY,PREV_TO_PREV,2013,2012,AUTR_INV_SAL,0,2013-03-31,PT,20.5
RBI:FIN_RATIOS_PVT_RN(1.0),N_A,AFY,PREV_TO_PREV,2013,2012,AUTR_TR_SAL,0,2013-03-31,PT,17.5
RBI:FIN_RATIOS_PVT_RN(1.0),N_A,AFY,PREV_TO_PREV,2013,2012,CSR_DEB_EQT,0,2013-03-31,PT,39.4
RBI:FIN_RATIOS_PVT_RN(1.0),N_A,AFY,PREV_TO_PREV,2013,2012,CSR_NFA_TNA,0,2013-03-31,PT,32.5
RBI:FIN_RATIOS_PVT_RN(1.0),N_A,AFY,PREV_TO_PREV,2013,2012,CSR_NW_TNA,0,2013-03-31,PT,43.6
RBI:FIN_RATIOS_PVT_RN(1.0),N_A,AFY,PREV_TO_PREV,2013,2012,CSR_STBB_INV,0,2013-03-31,PT,39.7
RBI:FIN_RATIOS_PVT_RN(1.0),N_A,AFY,PREV_TO_PREV,2013,2012,CSR_TB_EQT,0,2013-03-31,PT,61.9
RBI:FIN_RATIOS_PVT_RN(1.0),N_A,AFY,PREV_TO_PREV,2013,2012,ER_CRM_TE,0,2013-03-31,PT,56.0
RBI:FIN_RATIOS_PVT_RN(1.0),N_A,AFY,PREV_TO_PREV,2013,2012,ER_ICR,0,2013-03-31,PT,3.4
RBI:FIN_RATIOS_PVT_RN(1.0),N_A,AFY,PREV_TO_PREV,2013,2012,ER_IP_TE,0,2013-03-31,PT,2.4
RBI:FIN_RATIOS_PVT_RN(1.0),N_A,AFY,PREV_TO_PREV,2013,2012,ER_RTE_TE,0,2013-03-31,PT,13.1
RBI:FIN_RATIOS_PVT_RN(1.0),N_A,AFY,PREV_TO_PREV,2013,2012,LR_CA_CL,0,2013-03-31,PT,1.5
