DATAFLOW,AUDST,COMP_COUNT,FREQ,IND_CLASF_RN,REF_TIME_RN,REPYEAREND,REPYEARSTART,TYP_FIN_RT_RN,UNIT_MULT,TIME_PERIOD,UNIT_MEASURE,OBS_VALUE
RBI:FIN_RATIOS_PVT_IND_RN(1.0),N_A,65,AFY,CONSTRN,PREV_TO_PREV,2012,2011,AUTR_EXP_SAL,0,2012-03-31,PT,0.2
RBI:FIN_RATIOS_PVT_IND_RN(1.0),N_A,65,AFY,CONSTRN,PREV_TO_PREV,2012,2011,AUTR_INV_SAL,0,2012-03-31,PT,32.7
RBI:FIN_RATIOS_PVT_IND_RN(1.0),N_A,65,AFY,CONSTRN,PREV_TO_PREV,2012,2011,AUTR_RM_CON_TO_VP,0,2012-03-31,PT,28.8
RBI:FIN_RATIOS_PVT_IND_RN(1.0),N_A,65,AFY,CONSTRN,PREV_TO_PREV,2012,2011,AUTR_SD_TO_SL,0,2012-03-31,PT,17.5
RBI:FIN_RATIOS_PVT_IND_RN(1.0),N_A,65,AFY,CONSTRN,PREV_TO_PREV,2012,2011,CSR_DEB_EQT,0,2012-03-31,PT,70.0
RBI:FIN_RATIOS_PVT_IND_RN(1.0),N_A,65,AFY,CONSTRN,PREV_TO_PREV,2012,2011,CSR_DTE_ADJ,0,2012-03-31,PT,72.0
RBI:FIN_RATIOS_PVT_IND_RN(1.0),N_A,65,AFY,CONSTRN,PREV_TO_PREV,2012,2011,CSR_NFA_TNA,0,2012-03-31,PT,32.4
RBI:FIN_RATIOS_PVT_IND_RN(1.0),N_A,65,AFY,CONSTRN,PREV_TO_PREV,2012,2011,CSR_NW_TNA,0,2012-03-31,PT,29.3
RBI:FIN_RATIOS_PVT_IND_RN(1.0),N_A,65,AFY,CONSTRN,PREV_TO_PREV,2012,2011,CSR_STBB_INV,0,2012-03-31,PT,172.2
RBI:FIN_RATIOS_PVT_IND_RN(1.0),N_A,65,AFY,CONSTRN,PREV_TO_PREV,2012,2011,CSR_TOL_TNW,0,2012-03-31,PT,241.2
RBI:FIN_RATIOS_PVT_IND_RN(1.0),N_A,65,AFY,CONSTRN,PREV_TO_PREV,2012,2011,LR_CA_CL,0,2012-03-31,PT,0.8
RBI:FIN_RATIOS_PVT_IND_RN(1.0),N_A,65,AFY,CONSTRN,PREV_TO_PREV,2012,2011,LR_CA_TNA,0,2012-03-31,PT,41.5
RBI:FIN_RATIOS_PVT_IND_RN(1.0),N_A,65,AFY,CONSTRN,PREV_TO_PREV,2012,2011,LR_QA_CL,0,2012-03-31,PT,24.9
RBI:FIN_RATIOS_PVT_IND_RN(1.0),N_A,65,AFY,CONSTRN,PREV_TO_PREV,2012,2011,LR_SC_TO_CA,0,2012-03-31,PT,15.5
RBI:FIN_RATIOS_PVT_IND_RN(1.0),N_A,65,AFY,CONSTRN,PREV_TO_PREV,2012,2011,LR_SC_TO_NWC,0,2012-03-31,PT,-75.2
RBI:FIN_RATIOS_PVT_IND_RN(1.0),N_A,65,AFY,CONSTRN,PREV_TO_PREV,2012,2011,PPAR_DIV_NW,0,2012-03-31,PT,2.2
RBI:FIN_RATIOS_PVT_IND_RN(1.0),N_A,65,AFY,CONSTRN,PREV_TO_PREV,2012,2011,PPAR_EBD_SAL,0,2012-03-31,PT,26.6
RBI:FIN_RATIOS_PVT_IND_RN(1.0),N_A,65,AFY,CONSTRN,PREV_TO_PREV,2012,2011,PPAR_GP_SAL,0,2012-03-31,PT,21.2
RBI:FIN_RATIOS_PVT_IND_RN(1.0),N_A,65,AFY,CONSTRN,PREV_TO_PREV,2012,2011,PPAR_GP_TNA,0,2012-03-31,PT,7.4
RBI:FIN_RATIOS_PVT_IND_RN(1.0),N_A,65,AFY,CONSTRN,PREV_TO_PREV,2012,2011,PPAR_OD_TO_OPC,0,2012-03-31,PT,5.7
RBI:FIN_RATIOS_PVT_IND_RN(1.0),N_A,65,AFY,CONSTRN,PREV_TO_PREV,2012,2011,PPAR_PAT_TNW,0,2012-03-31,PT,12.5
RBI:FIN_RATIOS_PVT_IND_RN(1.0),N_A,65,AFY,CONSTRN,PREV_TO_PREV,2012,2011,PPAR_PR_PAT,0,2012-03-31,PT,84.9
RBI:FIN_RATIOS_PVT_IND_RN(1.0),N_A,65,AFY,CONSTRN,PREV_TO_PREV,2012,2011,PPAR_TP_PBT,0,2012-03-31,PT,23.5
RBI:FIN_RATIOS_PVT_IND_RN(1.0),N_A,65,AFY,CONSTRN,PREV_YR,2012,2011,AUTR_EXP_SAL,0,2012-03-31,PT,0.1
RBI:FIN_RATIOS_PVT_IND_RN(1.0),N_A,65,AFY,CONSTRN,PREV_YR,2012,2011,AUTR_GVA_GFA,0,2012-03-31,PT,36.5
RBI:FIN_RATIOS_PVT_IND_RN(1.0),N_A,65,AFY,CONSTRN,PREV_YR,2012,2011,AUTR_INV_SAL,0,2012-03-31,PT,37.3
RBI:FIN_RATIOS_PVT_IND_RN(1.0),N_A,65,AFY,CONSTRN,PREV_YR,2012,2011,AUTR_RM_CON_TO_VP,0,2012-03-31,PT,28.4
RBI:FIN_RATIOS_PVT_IND_RN(1.0),N_A,65,AFY,CONSTRN,PREV_YR,2012,2011,AUTR_SAL_GFA,0,2012-03-31,PT,97.6
RBI:FIN_RATIOS_PVT_IND_RN(1.0),N_A,65,AFY,CONSTRN,PREV_YR,2012,2011,AUTR_SAL_TNA,0,2012-03-31,PT,37.9
