DATAFLOW,AUDST,FREQ,GRWT_RT_RATIOS_RN,REF_TIME_RN,REPYEAREND,REPYEARSTART,UNIT_MULT,TIME_PERIOD,UNIT_MEASURE,OBS_VALUE
RBI:GRWT_RT_INDC_PVT_RN(1.0),N_A,AFY,GRP_REM_EMP,PREV_YR,2012,2011,0,2012-03-31,PT,22.6
RBI:GRWT_RT_INDC_PVT_RN(1.0),N_A,AFY,GRP_SAL,CURR_YR,2012,2011,0,2012-03-31,PT,17.9
RBI:GRWT_RT_INDC_PVT_RN(1.0),N_A,AFY,GRP_SAL,PREV_YR,2012,2011,0,2012-03-31,PT,20.6
RBI:GRWT_RT_INDC_PVT_RN(1.0),N_A,AFY,GRP_TAX_PRV,CURR_YR,2012,2011,0,2012-03-31,PT,5.8
RBI:GRWT_RT_INDC_PVT_RN(1.0),N_A,AFY,GRP_TAX_PRV,PREV_YR,2012,2011,0,2012-03-31,PT,25.9
RBI:GRWT_RT_INDC_PVT_RN(1.0),N_A,AFY,GRP_TGA,CURR_YR,2012,2011,0,2012-03-31,PT,14.1
RBI:GRWT_RT_INDC_PVT_RN(1.0),N_A,AFY,GRP_TGA,PREV_YR,2012,2011,0,2012-03-31,PT,18.4
RBI:GRWT_RT_INDC_PVT_RN(1.0),N_A,AFY,GRP_TNA,CURR_YR,2012,2011,0,2012-03-31,PT,13.6
RBI:GRWT_RT_INDC_PVT_RN(1.0),N_A,AFY,GRP_TNA,PREV_YR,2012,2011,0,2012-03-31,PT,18.2
RBI:GRWT_RT_INDC_PVT_RN(1.0),N_A,AFY,GRP_TRD_DUE_CURR_LIAB,CURR_YR,2012,2011,0,2012-03-31,PT,17.9
RBI:GRWT_RT_INDC_PVT_RN(1.0),N_A,AFY,GRP_TRD_DUE_CURR_LIAB,PREV_YR,2012,2011,0,2012-03-31,PT,21.8
RBI:GRWT_RT_INDC_PVT_RN(1.0),N_A,AFY,GRP_TTL_BORRW,CURR_YR,2012,2011,0,2012-03-31,PT,15.0
RBI:GRWT_RT_INDC_PVT_RN(1.0),N_A,AFY,GRP_TTL_BORRW,PREV_YR,2012,2011,0,2012-03-31,PT,19.0
RBI:GRWT_RT_INDC_PVT_RN(1.0),N_A,AFY,GRP_TTL_ERN_FC,CURR_YR,2012,2011,0,2012-03-31,PT,17.8
RBI:GRWT_RT_INDC_PVT_RN(1.0),N_A,AFY,GRP_TTL_ERN_FC,PREV_YR,2012,2011,0,2012-03-31,PT,25.6
RBI:GRWT_RT_INDC_PVT_RN(1.0),N_A,AFY,GRP_TTL_ERN_FC_EXP,CURR_YR,2012,2011,0,2012-03-31,PT,2.1
RBI:GRWT_RT_INDC_PVT_RN(1.0),N_A,AFY,GRP_TTL_ERN_FC_EXP,PREV_YR,2012,2011,0,2012-03-31,PT,25.0
RBI:GRWT_RT_INDC_PVT_RN(1.0),N_A,AFY,GRP_TTL_EXP_FC,CURR_YR,2012,2011,0,2012-03-31,PT,3.3
