DATAFLOW,AUDST,FREQ,REPYEAREND,REPYEARSTART,SL_CAT_LAND_USE_INP_RN,UNIT_MULT,TIME_PERIOD,UNIT_MEASURE,OBS_VALUE
RBI:PATT_LU_UAII_RN(1.0),N_A,AFY,1992,1991,GROSS_SOWN_AREA,0,1992-03-31,HA,182240000
RBI:PATT_LU_UAII_RN(1.0),N_A,AFY,1992,1991,NET_IRR_AREA,0,1992-03-31,HA,49870000
RBI:PATT_LU_UAII_RN(1.0),N_A,AFY,1992,1991,NET_SOWN_AREA,0,1992-03-31,HA,141630000
RBI:PATT_LU_UAII_RN(1.0),N_A,AFY,1993,1992,AREA_UNDER_HIGH_YIELD_VARIETIES,0,1993-03-31,HA,65400000
RBI:PATT_LU_UAII_RN(1.0),N_A,AFY,1993,1992,CONSM_FERTZ,0,1993-03-31,TN,12155000
RBI:PATT_LU_UAII_RN(1.0),N_A,AFY,1993,1992,CONSM_PESTC,0,1993-03-31,TN,7079000.0
RBI:PATT_LU_UAII_RN(1.0),N_A,AFY,1993,1992,GROSS_IRR_AREA,0,1993-03-31,HA,66760000
RBI:PATT_LU_UAII_RN(1.0),N_A,AFY,1993,1992,GROSS_SOWN_AREA,0,1993-03-31,HA,185700000
RBI:PATT_LU_UAII_RN(1.0),N_A,AFY,1993,1992,NET_IRR_AREA,0,1993-03-31,HA,50290000
RBI:PATT_LU_UAII_RN(1.0),N_A,AFY,1993,1992,NET_SOWN_AREA,0,1993-03-31,HA,142720000
RBI:PATT_LU_UAII_RN(1.0),N_A,AFY,1994,1993,AREA_UNDER_HIGH_YIELD_VARIETIES,0,1994-03-31,HA,66990000
RBI:PATT_LU_UAII_RN(1.0),N_A,AFY,1994,1993,CONSM_FERTZ,0,1994-03-31,TN,12366000
RBI:PATT_LU_UAII_RN(1.0),N_A,AFY,1994,1993,CONSM_PESTC,0,1994-03-31,TN,6365000.0
RBI:PATT_LU_UAII_RN(1.0),N_A,AFY,1994,1993,GROSS_IRR_AREA,0,1994-03-31,HA,68260000
RBI:PATT_LU_UAII_RN(1.0),N_A,AFY,1994,1993,GROSS_SOWN_AREA,0,1994-03-31,HA,186580000
RBI:PATT_LU_UAII_RN(1.0),N_A,AFY,1994,1993,NET_IRR_AREA,0,1994-03-31,HA,51340000
RBI:PATT_LU_UAII_RN(1.0),N_A,AFY,1994,1993,NET_SOWN_AREA,0,1994-03-31,HA,142340000
RBI:PATT_LU_UAII_RN(1.0),N_A,AFY,1995,1994,AREA_UNDER_HIGH_YIELD_VARIETIES,0,1995-03-31,HA,70930000
RBI:PATT_LU_UAII_RN(1.0),N_A,AFY,1995,1994,CONSM_FERTZ,0,1995-03-31,TN,13564000
RBI:PATT_LU_UAII_RN(1.0),N_A,AFY,1995,1994,CONSM_PESTC,0,1995-03-31,TN,6136000.0
RBI:PATT_LU_UAII_RN(1.0),N_A,AFY,1995,1994,GROSS_IRR_AREA,0,1995-03-31,HA,70650000
RBI:PATT_LU_UAII_RN(1.0),N_A,AFY,1995,1994,GROSS_SOWN_AREA,0,1995-03-31,HA,188050000
RBI:PATT_LU_UAII_RN(1.0),N_A,AFY,1995,1994,NET_IRR_AREA,0,1995-03-31,HA,53000000
RBI:PATT_LU_UAII_RN(1.0),N_A,AFY,1995,1994,NET_SOWN_AREA,0,1995-03-31,HA,142960000
RBI:PATT_LU_UAII_RN(1.0),N_A,AFY,1996,1995,AREA_UNDER_HIGH_YIELD_VARIETIES,0,1996-03-31,HA,72110000
RBI:PATT_LU_UAII_RN(1.0),N_A,AFY,1996,1995,CONSM_FERTZ,0,1996-03-31,TN,13876000
RBI:PATT_LU_UAII_RN(1.0),N_A,AFY,1996,1995,CONSM_PESTC,0,1996-03-31,TN,6126000.0
RBI:PATT_LU_UAII_RN(1.0),N_A,AFY,1996,1995,GROSS_IRR_AREA,0,1996-03-31,HA,71350000
RBI:PATT_LU_UAII_RN(1.0),N_A,AFY,1996,1995,GROSS_SOWN_AREA,0,1996-03-31,HA,187470000
RBI:PATT_LU_UAII_RN(1.0),N_A,AFY,1996,1995,NET_IRR_AREA,0,1996-03-31,HA,53400000
RBI:PATT_LU_UAII_RN(1.0),N_A,AFY,1996,1995,NET_SOWN_AREA,0,1996-03-31,HA,142200000
RBI:PATT_LU_UAII_RN(1.0),N_A,AFY,1997,1996,AREA_UNDER_HIGH_YIELD_VARIETIES,0,1997-03-31,HA,76400000
RBI:PATT_LU_UAII_RN(1.0),N_A,AFY,1997,1996,CONSM_FERTZ,0,1997-03-31,TN,14308000
