DATAFLOW,AUDST,CLS_OF_CRPS,FREQ,REPYEAREND,REPYEARSTART,UNIT_MULT,TIME_PERIOD,UNIT_MEASURE,OBS_VALUE
RBI:AREA_UNDER_CULT_RN(1.0),N_A,CERLS,AFY,2023,2022,0,2023-03-31,HA,103303000
RBI:AREA_UNDER_CULT_RN(1.0),N_A,TEA,AFY,2023,2022,0,2023-03-31,HA,620000.0
RBI:AREA_UNDER_CULT_RN(1.0),N_A,RJNM,AFY,2023,2022,0,2023-03-31,HA,658000.0
RBI:AREA_UNDER_CULT_RN(1.0),N_A,OILSDS,AFY,2023,2022,0,2023-03-31,HA,30239000
RBI:AREA_UNDER_CULT_RN(1.0),N_A,FDGRNS,AFY,2023,2022,0,2023-03-31,HA,132204000
RBI:AREA_UNDER_CULT_RN(1.0),N_A,OTH,AFY,2023,2022,0,2023-03-31,HA,3342000.0
RBI:AREA_UNDER_CULT_RN(1.0),N_A,COTTON,AFY,2023,2022,0,2023-03-31,HA,12927000
RBI:AREA_UNDER_CULT_RN(1.0),N_A,SOY,AFY,2023,2022,0,2023-03-31,HA,13084000
RBI:AREA_UNDER_CULT_RN(1.0),N_A,MJR_COM_CRPS,AFY,2023,2022,0,2023-03-31,HA,51188000
RBI:AREA_UNDER_CULT_RN(1.0),N_A,CFF,AFY,2023,2022,0,2023-03-31,HA,480000.0
RBI:AREA_UNDER_CULT_RN(1.0),N_A,RNM,AFY,2023,2022,0,2023-03-31,HA,8852000.0
RBI:AREA_UNDER_CULT_RN(1.0),N_A,SGRCN,AFY,2023,2022,0,2023-03-31,HA,5885000.0
RBI:AREA_UNDER_CULT_RN(1.0),N_A,CC,AFY,2023,2022,0,2023-03-31,HA,24070000
RBI:AREA_UNDER_CULT_RN(1.0),N_A,WH,AFY,2023,2022,0,2023-03-31,HA,31401000
RBI:AREA_UNDER_CULT_RN(1.0),N_A,PUL,AFY,2023,2022,0,2023-03-31,HA,28901000
RBI:AREA_UNDER_CULT_RN(1.0),N_A,SOY,AFY,2022,2021,0,2022-03-31,HA,12147000
RBI:AREA_UNDER_CULT_RN(1.0),N_A,GRDNT,AFY,2022,2021,0,2022-03-31,HA,5705000.0
RBI:AREA_UNDER_CULT_RN(1.0),N_A,SGRCN,AFY,2022,2021,0,2022-03-31,HA,5175000.0
RBI:AREA_UNDER_CULT_RN(1.0),N_A,CC,AFY,2022,2021,0,2022-03-31,HA,22700000
RBI:AREA_UNDER_CULT_RN(1.0),N_A,CERLS,AFY,2022,2021,0,2022-03-31,HA,99437000
RBI:AREA_UNDER_CULT_RN(1.0),N_A,TOBB,AFY,2022,2021,0,2022-03-31,HA,386000.0
RBI:AREA_UNDER_CULT_RN(1.0),N_A,FDGRNS,AFY,2022,2021,0,2022-03-31,HA,130169000
RBI:AREA_UNDER_CULT_RN(1.0),N_A,RNM,AFY,2022,2021,0,2022-03-31,HA,7991000.0
