DATAFLOW,AUDST,BASE_PER,BASE_WEIGHT,CLASS_PROD_RN,FREQ,REPYEAREND,REPYEARSTART,TIME_PERIOD,UNIT_MEASURE,OBS_VALUE
RBI:AGR_INDEX_MJR_CRPS_RN(1.0),N_A,BY_TE_2007_08,9.89,NFG_SGRCN,AFY,2014,2013,2014-03-31,IX,107.3
RBI:AGR_INDEX_MJR_CRPS_RN(1.0),N_A,BY_TE_2007_08,0.28,NFG_TEA,AFY,2014,2013,2014-03-31,IX,124.4
RBI:AGR_INDEX_MJR_CRPS_RN(1.0),N_A,BY_TE_2007_08,0.41,NFG_TOBB,AFY,2014,2013,2014-03-31,IX,156.4
RBI:AGR_INDEX_MJR_CRPS_RN(1.0),N_A,BY_TE_2007_08,49.34,NON_FDGRAINS,AFY,2014,2013,2014-03-31,IX,136.4
RBI:AGR_INDEX_MJR_CRPS_RN(1.0),N_A,BY_TE_2007_08,100.0,ALL_CRPS,AFY,2015,2014,2015-03-31,IX,124.0
RBI:AGR_INDEX_MJR_CRPS_RN(1.0),N_A,BY_TE_2007_08,50.66,FDGRAINS,AFY,2015,2014,2015-03-31,IX,115.9
RBI:AGR_INDEX_MJR_CRPS_RN(1.0),N_A,BY_TE_2007_08,41.73,FG_CEREALS,AFY,2015,2014,2015-03-31,IX,114.6
RBI:AGR_INDEX_MJR_CRPS_RN(1.0),N_A,BY_TE_2007_08,6.86,FG_CE_CC,AFY,2015,2014,2015-03-31,IX,116.7
RBI:AGR_INDEX_MJR_CRPS_RN(1.0),N_A,BY_TE_2007_08,16.89,FG_CE_RI,AFY,2015,2014,2015-03-31,IX,112.3
RBI:AGR_INDEX_MJR_CRPS_RN(1.0),N_A,BY_TE_2007_08,17.99,FG_CE_WH,AFY,2015,2014,2015-03-31,IX,116.0
RBI:AGR_INDEX_MJR_CRPS_RN(1.0),N_A,BY_TE_2007_08,8.92,FG_PL_PULSES,AFY,2015,2014,2015-03-31,IX,122.0
