DATAFLOW,AUDST,CLS_OF_CRPS,FREQ,REPYEAREND,REPYEARSTART,UNIT_MULT,TIME_PERIOD,UNIT_MEASURE,OBS_VALUE
RBI:AGR_PRODUCTIVITY_RN(1.0),N_A,WH,AFY,1988,1987,0,1988-03-31,KG_HCT,2002.0
RBI:AGR_PRODUCTIVITY_RN(1.0),N_A,CC,AFY,1989,1988,0,1989-03-31,KG_HCT,814.0
RBI:AGR_PRODUCTIVITY_RN(1.0),N_A,CERLS,AFY,1989,1988,0,1989-03-31,KG_HCT,1493.0
RBI:AGR_PRODUCTIVITY_RN(1.0),N_A,CFF,AFY,1989,1988,0,1989-03-31,KG_HCT,972.0
RBI:AGR_PRODUCTIVITY_RN(1.0),N_A,COTTON,AFY,1989,1988,0,1989-03-31,KG_HCT,202.0
RBI:AGR_PRODUCTIVITY_RN(1.0),N_A,FDGRNS,AFY,1989,1988,0,1989-03-31,KG_HCT,1331.0
RBI:AGR_PRODUCTIVITY_RN(1.0),N_A,GRDNT,AFY,1989,1988,0,1989-03-31,KG_HCT,1132.0
RBI:AGR_PRODUCTIVITY_RN(1.0),N_A,OILSDS,AFY,1989,1988,0,1989-03-31,KG_HCT,824.0
RBI:AGR_PRODUCTIVITY_RN(1.0),N_A,PUL,AFY,1989,1988,0,1989-03-31,KG_HCT,598.0
RBI:AGR_PRODUCTIVITY_RN(1.0),N_A,RI,AFY,1989,1988,0,1989-03-31,KG_HCT,1689.0
RBI:AGR_PRODUCTIVITY_RN(1.0),N_A,RJNM,AFY,1989,1988,0,1989-03-31,KG_HCT,1540.0
RBI:AGR_PRODUCTIVITY_RN(1.0),N_A,RNM,AFY,1989,1988,0,1989-03-31,KG_HCT,906.0
RBI:AGR_PRODUCTIVITY_RN(1.0),N_A,SGRCN,AFY,1989,1988,0,1989-03-31,KG_HCT,60992.0
RBI:AGR_PRODUCTIVITY_RN(1.0),N_A,SOY,AFY,1989,1988,0,1989-03-31,KG_HCT,892.0
RBI:AGR_PRODUCTIVITY_RN(1.0),N_A,TEA,AFY,1989,1988,0,1989-03-31,KG_HCT,1693.0
RBI:AGR_PRODUCTIVITY_RN(1.0),N_A,TOBB,AFY,1989,1988,0,1989-03-31,KG_HCT,1307.0
RBI:AGR_PRODUCTIVITY_RN(1.0),N_A,WH,AFY,1989,1988,0,1989-03-31,KG_HCT,2244.0
RBI:AGR_PRODUCTIVITY_RN(1.0),N_A,CC,AFY,1990,1989,0,1990-03-31,KG_HCT,922.0
RBI:AGR_PRODUCTIVITY_RN(1.0),N_A,CERLS,AFY,1990,1989,0,1990-03-31,KG_HCT,1530.0
RBI:AGR_PRODUCTIVITY_RN(1.0),N_A,CFF,AFY,1990,1989,0,1990-03-31,KG_HCT,534.0
RBI:AGR_PRODUCTIVITY_RN(1.0),N_A,COTTON,AFY,1990,1989,0,1990-03-31,KG_HCT,252.0
RBI:AGR_PRODUCTIVITY_RN(1.0),N_A,FDGRNS,AFY,1990,1989,0,1990-03-31,KG_HCT,1349.0
RBI:AGR_PRODUCTIVITY_RN(1.0),N_A,GRDNT,AFY,1990,1989,0,1990-03-31,KG_HCT,930.0
RBI:AGR_PRODUCTIVITY_RN(1.0),N_A,OILSDS,AFY,1990,1989,0,1990-03-31,KG_HCT,742.0
RBI:AGR_PRODUCTIVITY_RN(1.0),N_A,PUL,AFY,1990,1989,0,1990-03-31,KG_HCT,549.0
RBI:AGR_PRODUCTIVITY_RN(1.0),N_A,RI,AFY,1990,1989,0,1990-03-31,KG_HCT,1745.0
RBI:AGR_PRODUCTIVITY_RN(1.0),N_A,RJNM,AFY,1990,1989,0,1990-03-31,KG_HCT,1646.0
RBI:AGR_PRODUCTIVITY_RN(1.0),N_A,RNM,AFY,1990,1989,0,1990-03-31,KG_HCT,831.0
RBI:AGR_PRODUCTIVITY_RN(1.0),N_A,SGRCN,AFY,1990,1989,0,1990-03-31,KG_HCT,65612.0
RBI:AGR_PRODUCTIVITY_RN(1.0),N_A,SOY,AFY,1990,1989,0,1990-03-31,KG_HCT,801.0
RBI:AGR_PRODUCTIVITY_RN(1.0),N_A,TEA,AFY,1990,1989,0,1990-03-31,KG_HCT,1652.0
RBI:AGR_PRODUCTIVITY_RN(1.0),N_A,TOBB,AFY,1990,1989,0,1990-03-31,KG_HCT,1335.0
RBI:AGR_PRODUCTIVITY_RN(1.0),N_A,WH,AFY,1990,1989,0,1990-03-31,KG_HCT,2121.0
RBI:AGR_PRODUCTIVITY_RN(1.0),N_A,CC,AFY,1991,1990,0,1991-03-31,KG_HCT,900.0
RBI:AGR_PRODUCTIVITY_RN(1.0),N_A,CERLS,AFY,1991,1990,0,1991-03-31,KG_HCT,1571.0
RBI:AGR_PRODUCTIVITY_RN(1.0),N_A,CFF,AFY,1991,1990,0,1991-03-31,KG_HCT,759.0
RBI:AGR_PRODUCTIVITY_RN(1.0),N_A,COTTON,AFY,1991,1990,0,1991-03-31,KG_HCT,225.0
RBI:AGR_PRODUCTIVITY_RN(1.0),N_A,FDGRNS,AFY,1991,1990,0,1991-03-31,KG_HCT,1380.0
RBI:AGR_PRODUCTIVITY_RN(1.0),N_A,GRDNT,AFY,1991,1990,0,1991-03-31,KG_HCT,904.0
RBI:AGR_PRODUCTIVITY_RN(1.0),N_A,OILSDS,AFY,1991,1990,0,1991-03-31,KG_HCT,771.0
RBI:AGR_PRODUCTIVITY_RN(1.0),N_A,PUL,AFY,1991,1990,0,1991-03-31,KG_HCT,578.0
RBI:AGR_PRODUCTIVITY_RN(1.0),N_A,RI,AFY,1991,1990,0,1991-03-31,KG_HCT,1740.0
RBI:AGR_PRODUCTIVITY_RN(1.0),N_A,RJNM,AFY,1991,1990,0,1991-03-31,KG_HCT,1634.0
RBI:AGR_PRODUCTIVITY_RN(1.0),N_A,RNM,AFY,1991,1990,0,1991-03-31,KG_HCT,904.0
RBI:AGR_PRODUCTIVITY_RN(1.0),N_A,SGRCN,AFY,1991,1990,0,1991-03-31,KG_HCT,65395.0
RBI:AGR_PRODUCTIVITY_RN(1.0),N_A,SOY,AFY,1991,1990,0,1991-03-31,KG_HCT,1015.0
RBI:AGR_PRODUCTIVITY_RN(1.0),N_A,TEA,AFY,1991,1990,0,1991-03-31,KG_HCT,1727.0
RBI:AGR_PRODUCTIVITY_RN(1.0),N_A,TOBB,AFY,1991,1990,0,1991-03-31,KG_HCT,1353.0
RBI:AGR_PRODUCTIVITY_RN(1.0),N_A,WH,AFY,1991,1990,0,1991-03-31,KG_HCT,2281.0
RBI:AGR_PRODUCTIVITY_RN(1.0),N_A,CC,AFY,1992,1991,0,1992-03-31,KG_HCT,778.0
RBI:AGR_PRODUCTIVITY_RN(1.0),N_A,CERLS,AFY,1992,1991,0,1992-03-31,KG_HCT,1574.0
RBI:AGR_PRODUCTIVITY_RN(1.0),N_A,CFF,AFY,1992,1991,0,1992-03-31,KG_HCT,805.0
RBI:AGR_PRODUCTIVITY_RN(1.0),N_A,COTTON,AFY,1992,1991,0,1992-03-31,KG_HCT,216.0
RBI:AGR_PRODUCTIVITY_RN(1.0),N_A,FDGRNS,AFY,1992,1991,0,1992-03-31,KG_HCT,1382.0
RBI:AGR_PRODUCTIVITY_RN(1.0),N_A,GRDNT,AFY,1992,1991,0,1992-03-31,KG_HCT,818.0
RBI:AGR_PRODUCTIVITY_RN(1.0),N_A,OILSDS,AFY,1992,1991,0,1992-03-31,KG_HCT,719.0
RBI:AGR_PRODUCTIVITY_RN(1.0),N_A,PUL,AFY,1992,1991,0,1992-03-31,KG_HCT,533.0
RBI:AGR_PRODUCTIVITY_RN(1.0),N_A,RI,AFY,1992,1991,0,1992-03-31,KG_HCT,1751.0
RBI:AGR_PRODUCTIVITY_RN(1.0),N_A,RJNM,AFY,1992,1991,0,1992-03-31,KG_HCT,1662.0
RBI:AGR_PRODUCTIVITY_RN(1.0),N_A,RNM,AFY,1992,1991,0,1992-03-31,KG_HCT,895.0
RBI:AGR_PRODUCTIVITY_RN(1.0),N_A,SGRCN,AFY,1992,1991,0,1992-03-31,KG_HCT,66069.0
RBI:AGR_PRODUCTIVITY_RN(1.0),N_A,SOY,AFY,1992,1991,0,1992-03-31,KG_HCT,782.0
RBI:AGR_PRODUCTIVITY_RN(1.0),N_A,TEA,AFY,1992,1991,0,1992-03-31,KG_HCT,1800.0
RBI:AGR_PRODUCTIVITY_RN(1.0),N_A,TOBB,AFY,1992,1991,0,1992-03-31,KG_HCT,1369.0
RBI:AGR_PRODUCTIVITY_RN(1.0),N_A,WH,AFY,1992,1991,0,1992-03-31,KG_HCT,2394.0
RBI:AGR_PRODUCTIVITY_RN(1.0),N_A,CC,AFY,1993,1992,0,1993-03-31,KG_HCT,1063.0
RBI:AGR_PRODUCTIVITY_RN(1.0),N_A,CERLS,AFY,1993,1992,0,1993-03-31,KG_HCT,1654.0
RBI:AGR_PRODUCTIVITY_RN(1.0),N_A,CFF,AFY,1993,1992,0,1993-03-31,KG_HCT,758.0
RBI:AGR_PRODUCTIVITY_RN(1.0),N_A,COTTON,AFY,1993,1992,0,1993-03-31,KG_HCT,257.0
RBI:AGR_PRODUCTIVITY_RN(1.0),N_A,FDGRNS,AFY,1993,1992,0,1993-03-31,KG_HCT,1457.0
RBI:AGR_PRODUCTIVITY_RN(1.0),N_A,GRDNT,AFY,1993,1992,0,1993-03-31,KG_HCT,1049.0
RBI:AGR_PRODUCTIVITY_RN(1.0),N_A,OILSDS,AFY,1993,1992,0,1993-03-31,KG_HCT,797.0
RBI:AGR_PRODUCTIVITY_RN(1.0),N_A,PUL,AFY,1993,1992,0,1993-03-31,KG_HCT,573.0
RBI:AGR_PRODUCTIVITY_RN(1.0),N_A,RI,AFY,1993,1992,0,1993-03-31,KG_HCT,1744.0
RBI:AGR_PRODUCTIVITY_RN(1.0),N_A,RJNM,AFY,1993,1992,0,1993-03-31,KG_HCT,1658.0
RBI:AGR_PRODUCTIVITY_RN(1.0),N_A,RNM,AFY,1993,1992,0,1993-03-31,KG_HCT,776.0
RBI:AGR_PRODUCTIVITY_RN(1.0),N_A,SGRCN,AFY,1993,1992,0,1993-03-31,KG_HCT,63843.0
RBI:AGR_PRODUCTIVITY_RN(1.0),N_A,SOY,AFY,1993,1992,0,1993-03-31,KG_HCT,894.0
RBI:AGR_PRODUCTIVITY_RN(1.0),N_A,TEA,AFY,1993,1992,0,1993-03-31,KG_HCT,1664.0
RBI:AGR_PRODUCTIVITY_RN(1.0),N_A,TOBB,AFY,1993,1992,0,1993-03-31,KG_HCT,1425.0
RBI:AGR_PRODUCTIVITY_RN(1.0),N_A,WH,AFY,1993,1992,0,1993-03-31,KG_HCT,2327.0
RBI:AGR_PRODUCTIVITY_RN(1.0),N_A,CC,AFY,1994,1993,0,1994-03-31,KG_HCT,939.0
RBI:AGR_PRODUCTIVITY_RN(1.0),N_A,CERLS,AFY,1994,1993,0,1994-03-31,KG_HCT,1701.0
RBI:AGR_PRODUCTIVITY_RN(1.0),N_A,CFF,AFY,1994,1993,0,1994-03-31,KG_HCT,936.0
RBI:AGR_PRODUCTIVITY_RN(1.0),N_A,COTTON,AFY,1994,1993,0,1994-03-31,KG_HCT,249.0
RBI:AGR_PRODUCTIVITY_RN(1.0),N_A,FDGRNS,AFY,1994,1993,0,1994-03-31,KG_HCT,1501.0
RBI:AGR_PRODUCTIVITY_RN(1.0),N_A,GRDNT,AFY,1994,1993,0,1994-03-31,KG_HCT,941.0
RBI:AGR_PRODUCTIVITY_RN(1.0),N_A,OILSDS,AFY,1994,1993,0,1994-03-31,KG_HCT,799.0
RBI:AGR_PRODUCTIVITY_RN(1.0),N_A,PUL,AFY,1994,1993,0,1994-03-31,KG_HCT,598.0
RBI:AGR_PRODUCTIVITY_RN(1.0),N_A,RI,AFY,1994,1993,0,1994-03-31,KG_HCT,1888.0
RBI:AGR_PRODUCTIVITY_RN(1.0),N_A,RJNM,AFY,1994,1993,0,1994-03-31,KG_HCT,1713.0
RBI:AGR_PRODUCTIVITY_RN(1.0),N_A,RNM,AFY,1994,1993,0,1994-03-31,KG_HCT,847.0
RBI:AGR_PRODUCTIVITY_RN(1.0),N_A,SGRCN,AFY,1994,1993,0,1994-03-31,KG_HCT,67120.0
RBI:AGR_PRODUCTIVITY_RN(1.0),N_A,SOY,AFY,1994,1993,0,1994-03-31,KG_HCT,1086.0
RBI:AGR_PRODUCTIVITY_RN(1.0),N_A,TEA,AFY,1994,1993,0,1994-03-31,KG_HCT,1796.0
RBI:AGR_PRODUCTIVITY_RN(1.0),N_A,TOBB,AFY,1994,1993,0,1994-03-31,KG_HCT,1463.0
RBI:AGR_PRODUCTIVITY_RN(1.0),N_A,WH,AFY,1994,1993,0,1994-03-31,KG_HCT,2380.0
RBI:AGR_PRODUCTIVITY_RN(1.0),N_A,CC,AFY,1995,1994,0,1995-03-31,KG_HCT,929.0
RBI:AGR_PRODUCTIVITY_RN(1.0),N_A,CERLS,AFY,1995,1994,0,1995-03-31,KG_HCT,1763.0
RBI:AGR_PRODUCTIVITY_RN(1.0),N_A,CFF,AFY,1995,1994,0,1995-03-31,KG_HCT,788.0
RBI:AGR_PRODUCTIVITY_RN(1.0),N_A,COTTON,AFY,1995,1994,0,1995-03-31,KG_HCT,257.0
RBI:AGR_PRODUCTIVITY_RN(1.0),N_A,FDGRNS,AFY,1995,1994,0,1995-03-31,KG_HCT,1546.0
RBI:AGR_PRODUCTIVITY_RN(1.0),N_A,GRDNT,AFY,1995,1994,0,1995-03-31,KG_HCT,1027.0
RBI:AGR_PRODUCTIVITY_RN(1.0),N_A,OILSDS,AFY,1995,1994,0,1995-03-31,KG_HCT,843.0
RBI:AGR_PRODUCTIVITY_RN(1.0),N_A,PUL,AFY,1995,1994,0,1995-03-31,KG_HCT,610.0
RBI:AGR_PRODUCTIVITY_RN(1.0),N_A,RI,AFY,1995,1994,0,1995-03-31,KG_HCT,1911.0
RBI:AGR_PRODUCTIVITY_RN(1.0),N_A,RJNM,AFY,1995,1994,0,1995-03-31,KG_HCT,1760.0
RBI:AGR_PRODUCTIVITY_RN(1.0),N_A,RNM,AFY,1995,1994,0,1995-03-31,KG_HCT,958.0
RBI:AGR_PRODUCTIVITY_RN(1.0),N_A,SGRCN,AFY,1995,1994,0,1995-03-31,KG_HCT,71254.0
RBI:AGR_PRODUCTIVITY_RN(1.0),N_A,SOY,AFY,1995,1994,0,1995-03-31,KG_HCT,911.0
RBI:AGR_PRODUCTIVITY_RN(1.0),N_A,TEA,AFY,1995,1994,0,1995-03-31,KG_HCT,1767.0
RBI:AGR_PRODUCTIVITY_RN(1.0),N_A,TOBB,AFY,1995,1994,0,1995-03-31,KG_HCT,1486.0
RBI:AGR_PRODUCTIVITY_RN(1.0),N_A,WH,AFY,1995,1994,0,1995-03-31,KG_HCT,2559.0
RBI:AGR_PRODUCTIVITY_RN(1.0),N_A,CC,AFY,1996,1995,0,1996-03-31,KG_HCT,940.0
RBI:AGR_PRODUCTIVITY_RN(1.0),N_A,CERLS,AFY,1996,1995,0,1996-03-31,KG_HCT,1703.0
RBI:AGR_PRODUCTIVITY_RN(1.0),N_A,CFF,AFY,1996,1995,0,1996-03-31,KG_HCT,921.0
RBI:AGR_PRODUCTIVITY_RN(1.0),N_A,COTTON,AFY,1996,1995,0,1996-03-31,KG_HCT,242.0
RBI:AGR_PRODUCTIVITY_RN(1.0),N_A,FDGRNS,AFY,1996,1995,0,1996-03-31,KG_HCT,1491.0
RBI:AGR_PRODUCTIVITY_RN(1.0),N_A,GRDNT,AFY,1996,1995,0,1996-03-31,KG_HCT,1007.0
RBI:AGR_PRODUCTIVITY_RN(1.0),N_A,OILSDS,AFY,1996,1995,0,1996-03-31,KG_HCT,851.0
RBI:AGR_PRODUCTIVITY_RN(1.0),N_A,PUL,AFY,1996,1995,0,1996-03-31,KG_HCT,552.0
RBI:AGR_PRODUCTIVITY_RN(1.0),N_A,RI,AFY,1996,1995,0,1996-03-31,KG_HCT,1797.0
RBI:AGR_PRODUCTIVITY_RN(1.0),N_A,RJNM,AFY,1996,1995,0,1996-03-31,KG_HCT,1712.0
RBI:AGR_PRODUCTIVITY_RN(1.0),N_A,RNM,AFY,1996,1995,0,1996-03-31,KG_HCT,916.0
RBI:AGR_PRODUCTIVITY_RN(1.0),N_A,SGRCN,AFY,1996,1995,0,1996-03-31,KG_HCT,67787.0
RBI:AGR_PRODUCTIVITY_RN(1.0),N_A,SOY,AFY,1996,1995,0,1996-03-31,KG_HCT,1012.0
RBI:AGR_PRODUCTIVITY_RN(1.0),N_A,TEA,AFY,1996,1995,0,1996-03-31,KG_HCT,1770.0
RBI:AGR_PRODUCTIVITY_RN(1.0),N_A,TOBB,AFY,1996,1995,0,1996-03-31,KG_HCT,1356.0
RBI:AGR_PRODUCTIVITY_RN(1.0),N_A,WH,AFY,1996,1995,0,1996-03-31,KG_HCT,2483.0
RBI:AGR_PRODUCTIVITY_RN(1.0),N_A,CC,AFY,1997,1996,0,1997-03-31,KG_HCT,1072.0
RBI:AGR_PRODUCTIVITY_RN(1.0),N_A,CERLS,AFY,1997,1996,0,1997-03-31,KG_HCT,1831.0
RBI:AGR_PRODUCTIVITY_RN(1.0),N_A,CFF,AFY,1997,1996,0,1997-03-31,KG_HCT,816.0
RBI:AGR_PRODUCTIVITY_RN(1.0),N_A,COTTON,AFY,1997,1996,0,1997-03-31,KG_HCT,265.0
RBI:AGR_PRODUCTIVITY_RN(1.0),N_A,FDGRNS,AFY,1997,1996,0,1997-03-31,KG_HCT,1614.0
RBI:AGR_PRODUCTIVITY_RN(1.0),N_A,GRDNT,AFY,1997,1996,0,1997-03-31,KG_HCT,1138.0
