DATAFLOW,AUDST,CLS_OF_CRPS,FREQ,REPYEAREND,REPYEARSTART,UNIT_MULT,TIME_PERIOD,UNIT_MEASURE,OBS_VALUE
RBI:AGR_PROD_RN(1.0),N_A,CC,AFY,2023,2022,0,2023-03-31,TN,57319000
RBI:AGR_PROD_RN(1.0),N_A,SOY,AFY,2023,2022,0,2023-03-31,TN,14985000
RBI:AGR_PROD_RN(1.0),N_A,RNM,AFY,2022,2021,0,2022-03-31,TN,11963000
RBI:AGR_PROD_RN(1.0),N_A,CC,AFY,2022,2021,0,2022-03-31,TN,51101000
RBI:AGR_PROD_RN(1.0),N_A,RI,AFY,2022,2021,0,2022-03-31,TN,129471000
RBI:AGR_PROD_RN(1.0),N_A,CFF,AFY,2022,2021,0,2022-03-31,TN,342000000
RBI:AGR_PROD_RN(1.0),N_A,SGRCN,AFY,2022,2021,0,2022-03-31,TN,439425000
RBI:AGR_PROD_RN(1.0),N_A,RJNM,AFY,2022,2021,0,2022-03-31,TN,10149000
RBI:AGR_PROD_RN(1.0),N_A,OILSDS,AFY,2022,2021,0,2022-03-31,TN,37963000
RBI:AGR_PROD_RN(1.0),N_A,WH,AFY,2022,2021,0,2022-03-31,TN,107742000
RBI:AGR_PROD_RN(1.0),N_A,TEA,AFY,2022,2021,0,2022-03-31,TN,1344400000
RBI:AGR_PROD_RN(1.0),N_A,GRDNT,AFY,2022,2021,0,2022-03-31,TN,10135000
RBI:AGR_PROD_RN(1.0),N_A,FDGRNS,AFY,2022,2021,0,2022-03-31,TN,315616000
RBI:AGR_PROD_RN(1.0),N_A,PUL,AFY,2022,2021,0,2022-03-31,TN,27302000
RBI:AGR_PROD_RN(1.0),N_A,TOBB,AFY,2022,2021,0,2022-03-31,TN,818000.0
RBI:AGR_PROD_RN(1.0),N_A,CERLS,AFY,2022,2021,0,2022-03-31,TN,288314000
RBI:AGR_PROD_RN(1.0),N_A,COTTON,AFY,2022,2021,0,2022-03-31,TN,31118000
RBI:AGR_PROD_RN(1.0),N_A,SOY,AFY,2022,2021,0,2022-03-31,TN,12987000
RBI:AGR_PROD_RN(1.0),N_A,WH,AFY,2021,2020,0,2021-03-31,TN,109586000
RBI:AGR_PROD_RN(1.0),N_A,RJNM,AFY,2021,2020,0,2021-03-31,TN,9354000.0
RBI:AGR_PROD_RN(1.0),N_A,CERLS,AFY,2021,2020,0,2021-03-31,TN,285279000
RBI:AGR_PROD_RN(1.0),N_A,RNM,AFY,2021,2020,0,2021-03-31,TN,10210000
RBI:AGR_PROD_RN(1.0),N_A,OILSDS,AFY,2021,2020,0,2021-03-31,TN,35946000
RBI:AGR_PROD_RN(1.0),N_A,FDGRNS,AFY,2021,2020,0,2021-03-31,TN,310742000
RBI:AGR_PROD_RN(1.0),N_A,TEA,AFY,2021,2020,0,2021-03-31,TN,1283030000
RBI:AGR_PROD_RN(1.0),N_A,RI,AFY,2021,2020,0,2021-03-31,TN,124368000
RBI:AGR_PROD_RN(1.0),N_A,TOBB,AFY,2021,2020,0,2021-03-31,TN,760000.0
RBI:AGR_PROD_RN(1.0),N_A,SOY,AFY,2021,2020,0,2021-03-31,TN,12610000
RBI:AGR_PROD_RN(1.0),N_A,CFF,AFY,2021,2020,0,2021-03-31,TN,334000000
RBI:AGR_PROD_RN(1.0),N_A,GRDNT,AFY,2021,2020,0,2021-03-31,TN,10244000
RBI:AGR_PROD_RN(1.0),N_A,PUL,AFY,2021,2020,0,2021-03-31,TN,25463000
RBI:AGR_PROD_RN(1.0),N_A,SGRCN,AFY,2021,2020,0,2021-03-31,TN,405399000
RBI:AGR_PROD_RN(1.0),N_A,CC,AFY,2021,2020,0,2021-03-31,TN,51324000
RBI:AGR_PROD_RN(1.0),N_A,COTTON,AFY,2021,2020,0,2021-03-31,TN,35248000
RBI:AGR_PROD_RN(1.0),N_A,GRDNT,AFY,2020,2019,0,2020-03-31,TN,9950000.0
RBI:AGR_PROD_RN(1.0),N_A,CC,AFY,2020,2019,0,2020-03-31,TN,47750000
