DATAFLOW,AUDST,FREQ,NSE_MRKT_INFO_TYPE_RN,REPYEAREND,REPYEARSTART,UNIT_MULT,TIME_PERIOD,UNIT_MEASURE,OBS_VALUE
RBI:MRKT_INFO_NSE_D_RN(1.0),N_A,D,TRD_VOL,2011,2010,0,2011-01-10,INR,60823200000
RBI:MRKT_INFO_NSE_D_RN(1.0),N_A,D,MRKT_CAP,2011,2010,0,2011-01-10,INR,67338220000000
RBI:MRKT_INFO_NSE_D_RN(1.0),N_A,D,EQTY_TO,2011,2010,0,2011-01-10,INR,135795200000
RBI:MRKT_INFO_NSE_D_RN(1.0),N_A,D,MRKT_CAP,2011,2010,0,2011-01-07,INR,68938010000000
RBI:MRKT_INFO_NSE_D_RN(1.0),N_A,D,TRD_VOL,2011,2010,0,2011-01-07,INR,67203900000
RBI:MRKT_INFO_NSE_D_RN(1.0),N_A,D,EQTY_TO,2011,2010,0,2011-01-07,INR,143578300000
RBI:MRKT_INFO_NSE_D_RN(1.0),N_A,D,EQTY_TO,2011,2010,0,2011-01-06,INR,134786200000.00002
RBI:MRKT_INFO_NSE_D_RN(1.0),N_A,D,MRKT_CAP,2011,2010,0,2011-01-06,INR,70524590000000
RBI:MRKT_INFO_NSE_D_RN(1.0),N_A,D,TRD_VOL,2011,2010,0,2011-01-06,INR,62346800000
RBI:MRKT_INFO_NSE_D_RN(1.0),N_A,D,TRD_VOL,2011,2010,0,2011-01-05,INR,62172500000
RBI:MRKT_INFO_NSE_D_RN(1.0),N_A,D,EQTY_TO,2011,2010,0,2011-01-05,INR,130875200000
RBI:MRKT_INFO_NSE_D_RN(1.0),N_A,D,MRKT_CAP,2011,2010,0,2011-01-05,INR,71075020000000
RBI:MRKT_INFO_NSE_D_RN(1.0),N_A,D,MRKT_CAP,2011,2010,0,2011-01-04,INR,71718100000000
RBI:MRKT_INFO_NSE_D_RN(1.0),N_A,D,TRD_VOL,2011,2010,0,2011-01-04,INR,73246600000
RBI:MRKT_INFO_NSE_D_RN(1.0),N_A,D,EQTY_TO,2011,2010,0,2011-01-04,INR,143747300000
RBI:MRKT_INFO_NSE_D_RN(1.0),N_A,D,EQTY_TO,2011,2010,0,2011-01-03,INR,107387700000
RBI:MRKT_INFO_NSE_D_RN(1.0),N_A,D,TRD_VOL,2011,2010,0,2011-01-03,INR,61534300000
RBI:MRKT_INFO_NSE_D_RN(1.0),N_A,D,MRKT_CAP,2011,2010,0,2011-01-03,INR,71814140000000
