DATAFLOW,AUDST,BSE_IND,FREQ,REPYEAREND,REPYEARSTART,TYPE_INDICES,UNIT_MULT,TIME_PERIOD,UNIT_MEASURE,OBS_VALUE
RBI:BSE_IND_D_RN(1.0),N_A,BSE_SENSEX_THIRTY,D,2011,2010,N_A,0,2011-01-11,IX,76911.26999999999
RBI:BSE_IND_D_RN(1.0),N_A,BSE_BANK_INDEX,D,2011,2010,N_A,0,2011-01-11,IX,48915.259999999995
RBI:BSE_IND_D_RN(1.0),N_A,BSE_HUNDRED_INDEX,D,2011,2010,N_A,0,2011-01-11,IX,23259.12
RBI:BSE_IND_D_RN(1.0),N_A,BSE_HUNDRED_INDEX,D,2011,2010,N_A,0,2011-01-10,IX,23527.480000000003
RBI:BSE_IND_D_RN(1.0),N_A,BSE_SENSEX_THIRTY,D,2011,2010,N_A,0,2011-01-10,IX,77817.4
RBI:BSE_IND_D_RN(1.0),N_A,BSE_BANK_INDEX,D,2011,2010,N_A,0,2011-01-10,IX,49313.29
RBI:BSE_IND_D_RN(1.0),N_A,BSE_HUNDRED_INDEX,D,2011,2010,N_A,0,2011-01-07,IX,24082.42
RBI:BSE_IND_D_RN(1.0),N_A,BSE_SENSEX_THIRTY,D,2011,2010,N_A,0,2011-01-07,IX,79695.5
RBI:BSE_IND_D_RN(1.0),N_A,BSE_BANK_INDEX,D,2011,2010,N_A,0,2011-01-07,IX,50379.990000000005
RBI:BSE_IND_D_RN(1.0),N_A,BSE_SENSEX_THIRTY,D,2011,2010,N_A,0,2011-01-06,IX,81113.26
RBI:BSE_IND_D_RN(1.0),N_A,BSE_HUNDRED_INDEX,D,2011,2010,N_A,0,2011-01-06,IX,24515.44
RBI:BSE_IND_D_RN(1.0),N_A,BSE_BANK_INDEX,D,2011,2010,N_A,0,2011-01-06,IX,51132.33
RBI:BSE_IND_D_RN(1.0),N_A,BSE_SENSEX_THIRTY,D,2011,2010,N_A,0,2011-01-05,IX,81564.95
RBI:BSE_IND_D_RN(1.0),N_A,BSE_BANK_INDEX,D,2011,2010,N_A,0,2011-01-05,IX,51834.3
RBI:BSE_IND_D_RN(1.0),N_A,BSE_HUNDRED_INDEX,D,2011,2010,N_A,0,2011-01-05,IX,24668.640000000003
RBI:BSE_IND_D_RN(1.0),N_A,BSE_SENSEX_THIRTY,D,2011,2010,N_A,0,2011-01-04,IX,82216.31999999999
RBI:BSE_IND_D_RN(1.0),N_A,BSE_HUNDRED_INDEX,D,2011,2010,N_A,0,2011-01-04,IX,24857.420000000002
RBI:BSE_IND_D_RN(1.0),N_A,BSE_BANK_INDEX,D,2011,2010,N_A,0,2011-01-04,IX,53165.380000000005
RBI:BSE_IND_D_RN(1.0),N_A,BSE_HUNDRED_INDEX,D,2011,2010,N_A,0,2011-01-03,IX,24883.75
RBI:BSE_IND_D_RN(1.0),N_A,BSE_SENSEX_THIRTY,D,2011,2010,N_A,0,2011-01-03,IX,82378.45999999999
RBI:BSE_IND_D_RN(1.0),N_A,BSE_BANK_INDEX,D,2011,2010,N_A,0,2011-01-03,IX,53861.5
