DATAFLOW,AUDST,FREQ,REPYEAREND,REPYEARSTART,UNIT_MULT,TIME_PERIOD,UNIT_MEASURE,OBS_VALUE
RBI:TURNO_NSE_RN(1.0),N_A,M,2022,2021,0,2021-07-31,INR,13157159300000
RBI:TURNO_NSE_RN(1.0),N_A,M,2022,2021,0,2021-06-30,INR,15546937300000
RBI:TURNO_NSE_RN(1.0),N_A,M,2022,2021,0,2021-05-31,INR,15679151000000
RBI:TURNO_NSE_RN(1.0),N_A,M,2022,2021,0,2021-04-30,INR,13306865100000
RBI:TURNO_NSE_RN(1.0),N_A,M,2021,2020,0,2021-03-31,INR,13989468100000
RBI:TURNO_NSE_RN(1.0),N_A,M,2021,2020,0,2021-02-28,INR,16274636300000
RBI:TURNO_NSE_RN(1.0),N_A,M,2021,2020,0,2021-01-31,INR,14494448700000
RBI:TURNO_NSE_RN(1.0),N_A,M,2021,2020,0,2020-12-31,INR,13745515600000
RBI:TURNO_NSE_RN(1.0),N_A,M,2021,2020,0,2020-11-30,INR,13372719200000
RBI:TURNO_NSE_RN(1.0),N_A,M,2021,2020,0,2020-10-31,INR,10988837400000
RBI:TURNO_NSE_RN(1.0),N_A,M,2021,2020,0,2020-09-30,INR,12233287300000
RBI:TURNO_NSE_RN(1.0),N_A,M,2021,2020,0,2020-08-31,INR,12825565200000
RBI:TURNO_NSE_RN(1.0),N_A,M,2021,2020,0,2020-07-31,INR,13485210100000
RBI:TURNO_NSE_RN(1.0),N_A,M,2021,2020,0,2020-06-30,INR,13506807000000
RBI:TURNO_NSE_RN(1.0),N_A,M,2021,2020,0,2020-05-31,INR,10004564700000
RBI:TURNO_NSE_RN(1.0),N_A,M,2021,2020,0,2020-04-30,INR,9058022200000
RBI:TURNO_NSE_RN(1.0),N_A,M,2020,2019,0,2020-03-31,INR,10062485300000
RBI:TURNO_NSE_RN(1.0),N_A,M,2020,2019,0,2020-02-29,INR,7967682500000
RBI:TURNO_NSE_RN(1.0),N_A,M,2020,2019,0,2020-01-31,INR,8053469500000
RBI:TURNO_NSE_RN(1.0),N_A,M,2020,2019,0,2019-12-31,INR,6819829600000
RBI:TURNO_NSE_RN(1.0),N_A,M,2020,2019,0,2019-11-30,INR,8342516100000
RBI:TURNO_NSE_RN(1.0),N_A,M,2020,2019,0,2019-10-31,INR,7529310500000
RBI:TURNO_NSE_RN(1.0),N_A,M,2020,2019,0,2019-09-30,INR,7104984700000
RBI:TURNO_NSE_RN(1.0),N_A,M,2020,2019,0,2019-08-31,INR,6736333700000
RBI:TURNO_NSE_RN(1.0),N_A,M,2020,2019,0,2019-07-31,INR,7128207400000
RBI:TURNO_NSE_RN(1.0),N_A,M,2020,2019,0,2019-06-30,INR,5960301400000
RBI:TURNO_NSE_RN(1.0),N_A,M,2020,2019,0,2019-05-31,INR,7881840000000
RBI:TURNO_NSE_RN(1.0),N_A,M,2020,2019,0,2019-04-30,INR,6401153700000
RBI:TURNO_NSE_RN(1.0),N_A,M,2019,2018,0,2019-03-31,INR,6972244900000
RBI:TURNO_NSE_RN(1.0),N_A,M,2019,2018,0,2019-02-28,INR,6392704000000
RBI:TURNO_NSE_RN(1.0),N_A,M,2019,2018,0,2019-01-31,INR,6658891300000
RBI:TURNO_NSE_RN(1.0),N_A,M,2019,2018,0,2018-12-31,INR,5999174100000
RBI:TURNO_NSE_RN(1.0),N_A,M,2019,2018,0,2018-11-30,INR,6109136900000
RBI:TURNO_NSE_RN(1.0),N_A,M,2019,2018,0,2018-10-31,INR,7455840000000
RBI:TURNO_NSE_RN(1.0),N_A,M,2019,2018,0,2018-09-30,INR,6883188800000
RBI:TURNO_NSE_RN(1.0),N_A,M,2019,2018,0,2018-08-31,INR,7058694400000
RBI:TURNO_NSE_RN(1.0),N_A,M,2019,2018,0,2018-07-31,INR,6628674200000
RBI:TURNO_NSE_RN(1.0),N_A,M,2019,2018,0,2018-06-30,INR,5916961900000
RBI:TURNO_NSE_RN(1.0),N_A,M,2019,2018,0,2018-05-31,INR,7000126200000
RBI:TURNO_NSE_RN(1.0),N_A,M,2019,2018,0,2018-04-30,INR,6414403300000
RBI:TURNO_NSE_RN(1.0),N_A,M,2018,2017,0,2018-03-31,INR,5948520000000
RBI:TURNO_NSE_RN(1.0),N_A,M,2018,2017,0,2018-02-28,INR,6396830000000
RBI:TURNO_NSE_RN(1.0),N_A,M,2018,2017,0,2018-01-31,INR,8148390000000
RBI:TURNO_NSE_RN(1.0),N_A,M,2018,2017,0,2017-12-31,INR,5980318100000
RBI:TURNO_NSE_RN(1.0),N_A,M,2018,2017,0,2017-11-30,INR,7351869300000
RBI:TURNO_NSE_RN(1.0),N_A,M,2018,2017,0,2017-10-31,INR,6017071400000
RBI:TURNO_NSE_RN(1.0),N_A,M,2018,2017,0,2017-09-30,INR,6000915700000
RBI:TURNO_NSE_RN(1.0),N_A,M,2018,2017,0,2017-08-31,INR,5538285500000
RBI:TURNO_NSE_RN(1.0),N_A,M,2018,2017,0,2017-07-31,INR,5439444600000
RBI:TURNO_NSE_RN(1.0),N_A,M,2018,2017,0,2017-06-30,INR,4863047200000
RBI:TURNO_NSE_RN(1.0),N_A,M,2018,2017,0,2017-05-31,INR,5885018200000
RBI:TURNO_NSE_RN(1.0),N_A,M,2018,2017,0,2017-04-30,INR,4721101900000
RBI:TURNO_NSE_RN(1.0),N_A,M,2017,2016,0,2017-03-31,INR,5562399700000
RBI:TURNO_NSE_RN(1.0),N_A,M,2017,2016,0,2017-02-28,INR,4762998700000
RBI:TURNO_NSE_RN(1.0),N_A,M,2017,2016,0,2017-01-31,INR,4051187200000
RBI:TURNO_NSE_RN(1.0),N_A,M,2017,2016,0,2016-12-31,INR,3427467900000
RBI:TURNO_NSE_RN(1.0),N_A,M,2017,2016,0,2016-11-30,INR,4728557500000
RBI:TURNO_NSE_RN(1.0),N_A,M,2017,2016,0,2016-10-31,INR,3851630400000
RBI:TURNO_NSE_RN(1.0),N_A,M,2017,2016,0,2016-09-30,INR,4589200100000
RBI:TURNO_NSE_RN(1.0),N_A,M,2017,2016,0,2016-08-31,INR,4706258300000
RBI:TURNO_NSE_RN(1.0),N_A,M,2017,2016,0,2016-07-31,INR,4073317200000
RBI:TURNO_NSE_RN(1.0),N_A,M,2017,2016,0,2016-06-30,INR,3834843700000
RBI:TURNO_NSE_RN(1.0),N_A,M,2017,2016,0,2016-05-31,INR,3876476200000
RBI:TURNO_NSE_RN(1.0),N_A,M,2017,2016,0,2016-04-30,INR,3094795400000
RBI:TURNO_NSE_RN(1.0),N_A,M,2016,2015,0,2016-03-31,INR,3569473900000
RBI:TURNO_NSE_RN(1.0),N_A,M,2016,2015,0,2016-02-29,INR,3456459400000
RBI:TURNO_NSE_RN(1.0),N_A,M,2016,2015,0,2016-01-31,INR,3520836400000
