DATAFLOW,AUDST,BASE_PER,COVERAGE_GEO_RN,FREQ,MEASURE_RN,REPYEAREND,REPYEARSTART,TYPE_CPI_RN,TIME_PERIOD,UNIT_MEASURE,OBS_VALUE
RBI:CPI_ANN_AVG_VAR_RN(1.0),N_A,BY_1982,N_A,AFY,ANL_VAR,1990,1989,IW,1990-03-31,PT,6.5
RBI:CPI_ANN_AVG_VAR_RN(1.0),N_A,BY_1982,N_A,AFY,ANL_VAR,1990,1989,IW_FG,1990-03-31,PT,7.3
RBI:CPI_ANN_AVG_VAR_RN(1.0),N_A,BY_1982,N_A,AFY,ANNUAL_AVE,1990,1989,IW,1990-03-31,PT,173.0
RBI:CPI_ANN_AVG_VAR_RN(1.0),N_A,BY_1982,N_A,AFY,ANNUAL_AVE,1990,1989,IW_FGB,1990-03-31,PT,177.0
RBI:CPI_ANN_AVG_VAR_RN(1.0),N_A,BY_1960,N_A,AFY,ANL_VAR,1991,1990,AL,1991-03-31,PT,7.6
RBI:CPI_ANN_AVG_VAR_RN(1.0),N_A,BY_1960,N_A,AFY,ANNUAL_AVE,1991,1990,AL,1991-03-31,PT,803.0
RBI:CPI_ANN_AVG_VAR_RN(1.0),N_A,BY_1982,N_A,AFY,ANL_VAR,1991,1990,IW,1991-03-31,PT,11.2
RBI:CPI_ANN_AVG_VAR_RN(1.0),N_A,BY_1982,N_A,AFY,ANL_VAR,1991,1990,IW_FG,1991-03-31,PT,12.5
RBI:CPI_ANN_AVG_VAR_RN(1.0),N_A,BY_1982,N_A,AFY,ANNUAL_AVE,1991,1990,IW,1991-03-31,PT,193.0
RBI:CPI_ANN_AVG_VAR_RN(1.0),N_A,BY_1982,N_A,AFY,ANNUAL_AVE,1991,1990,IW_FGB,1991-03-31,PT,199.0
RBI:CPI_ANN_AVG_VAR_RN(1.0),N_A,BY_1960,N_A,AFY,ANL_VAR,1992,1991,AL,1992-03-31,PT,19.3
RBI:CPI_ANN_AVG_VAR_RN(1.0),N_A,BY_1960,N_A,AFY,ANNUAL_AVE,1992,1991,AL,1992-03-31,PT,958.0
RBI:CPI_ANN_AVG_VAR_RN(1.0),N_A,BY_1982,N_A,AFY,ANL_VAR,1992,1991,IW,1992-03-31,PT,13.5
RBI:CPI_ANN_AVG_VAR_RN(1.0),N_A,BY_1982,N_A,AFY,ANL_VAR,1992,1991,IW_FG,1992-03-31,PT,15.7
RBI:CPI_ANN_AVG_VAR_RN(1.0),N_A,BY_1982,N_A,AFY,ANNUAL_AVE,1992,1991,IW,1992-03-31,PT,219.0
RBI:CPI_ANN_AVG_VAR_RN(1.0),N_A,BY_1982,N_A,AFY,ANNUAL_AVE,1992,1991,IW_FGB,1992-03-31,PT,230.0
RBI:CPI_ANN_AVG_VAR_RN(1.0),N_A,BY_1960,N_A,AFY,ANL_VAR,1993,1992,AL,1993-03-31,PT,12.4
RBI:CPI_ANN_AVG_VAR_RN(1.0),N_A,BY_1960,N_A,AFY,ANNUAL_AVE,1993,1992,AL,1993-03-31,PT,1076.0
RBI:CPI_ANN_AVG_VAR_RN(1.0),N_A,BY_1982,N_A,AFY,ANL_VAR,1993,1992,IW,1993-03-31,PT,9.8
RBI:CPI_ANN_AVG_VAR_RN(1.0),N_A,BY_1982,N_A,AFY,ANL_VAR,1993,1992,IW_FG,1993-03-31,PT,10.1
RBI:CPI_ANN_AVG_VAR_RN(1.0),N_A,BY_1982,N_A,AFY,ANNUAL_AVE,1993,1992,IW,1993-03-31,PT,240.0
RBI:CPI_ANN_AVG_VAR_RN(1.0),N_A,BY_1982,N_A,AFY,ANNUAL_AVE,1993,1992,IW_FGB,1993-03-31,PT,254.0
RBI:CPI_ANN_AVG_VAR_RN(1.0),N_A,BY_1960,N_A,AFY,ANL_VAR,1994,1993,AL,1994-03-31,PT,3.5
RBI:CPI_ANN_AVG_VAR_RN(1.0),N_A,BY_1960,N_A,AFY,ANNUAL_AVE,1994,1993,AL,1994-03-31,PT,1114.0
RBI:CPI_ANN_AVG_VAR_RN(1.0),N_A,BY_1982,N_A,AFY,ANL_VAR,1994,1993,IW,1994-03-31,PT,7.3
RBI:CPI_ANN_AVG_VAR_RN(1.0),N_A,BY_1982,N_A,AFY,ANL_VAR,1994,1993,IW_FG,1994-03-31,PT,7.2
RBI:CPI_ANN_AVG_VAR_RN(1.0),N_A,BY_1982,N_A,AFY,ANNUAL_AVE,1994,1993,IW,1994-03-31,PT,258.0
RBI:CPI_ANN_AVG_VAR_RN(1.0),N_A,BY_1982,N_A,AFY,ANNUAL_AVE,1994,1993,IW_FGB,1994-03-31,PT,272.0
RBI:CPI_ANN_AVG_VAR_RN(1.0),N_A,BY_1960,N_A,AFY,ANL_VAR,1995,1994,AL,1995-03-31,PT,11.9
RBI:CPI_ANN_AVG_VAR_RN(1.0),N_A,BY_1960,N_A,AFY,ANNUAL_AVE,1995,1994,AL,1995-03-31,PT,1247.0
RBI:CPI_ANN_AVG_VAR_RN(1.0),N_A,BY_1982,N_A,AFY,ANL_VAR,1995,1994,IW,1995-03-31,PT,10.3
RBI:CPI_ANN_AVG_VAR_RN(1.0),N_A,BY_1982,N_A,AFY,ANL_VAR,1995,1994,IW_FG,1995-03-31,PT,11.7
RBI:CPI_ANN_AVG_VAR_RN(1.0),N_A,BY_1982,N_A,AFY,ANNUAL_AVE,1995,1994,IW,1995-03-31,PT,284.0
RBI:CPI_ANN_AVG_VAR_RN(1.0),N_A,BY_1982,N_A,AFY,ANNUAL_AVE,1995,1994,IW_FGB,1995-03-31,PT,304.0
RBI:CPI_ANN_AVG_VAR_RN(1.0),N_A,BY_1982,N_A,AFY,ANL_VAR,1996,1995,IW,1996-03-31,PT,10.0
RBI:CPI_ANN_AVG_VAR_RN(1.0),N_A,BY_1982,N_A,AFY,ANL_VAR,1996,1995,IW_FG,1996-03-31,PT,11.0
RBI:CPI_ANN_AVG_VAR_RN(1.0),N_A,BY_1982,N_A,AFY,ANNUAL_AVE,1996,1995,IW,1996-03-31,PT,313.0
RBI:CPI_ANN_AVG_VAR_RN(1.0),N_A,BY_1982,N_A,AFY,ANNUAL_AVE,1996,1995,IW_FGB,1996-03-31,PT,337.0
