DATAFLOW,AUDST,BASE_PER,FREQ,REPYEAREND,REPYEARSTART,STATE_CODE,TYPE_LABOU_RN,TIME_PERIOD,UNIT_MEASURE,OBS_VALUE
RBI:CPI_ALRL_ST_RN(1.0),N_A,BY_JULY_1986_JUNE_1987,M,2016,2015,TRI,AL,2016-01-31,IX,766.0
RBI:CPI_ALRL_ST_RN(1.0),N_A,BY_JULY_1986_JUNE_1987,M,2016,2015,TRI,RL,2016-01-31,IX,765.0
RBI:CPI_ALRL_ST_RN(1.0),N_A,BY_JULY_1986_JUNE_1987,M,2016,2015,UP,AL,2016-01-31,IX,816.0
RBI:CPI_ALRL_ST_RN(1.0),N_A,BY_JULY_1986_JUNE_1987,M,2016,2015,UP,RL,2016-01-31,IX,811.0
RBI:CPI_ALRL_ST_RN(1.0),N_A,BY_JULY_1986_JUNE_1987,M,2016,2015,WB,AL,2016-01-31,IX,752.0
RBI:CPI_ALRL_ST_RN(1.0),N_A,BY_JULY_1986_JUNE_1987,M,2016,2015,WB,RL,2016-01-31,IX,765.0
RBI:CPI_ALRL_ST_RN(1.0),N_A,BY_JULY_1986_JUNE_1987,M,2016,2015,ALL_INDIA,AL,2016-02-29,IX,843.0
RBI:CPI_ALRL_ST_RN(1.0),N_A,BY_JULY_1986_JUNE_1987,M,2016,2015,ALL_INDIA,RL,2016-02-29,IX,849.0
RBI:CPI_ALRL_ST_RN(1.0),N_A,BY_JULY_1986_JUNE_1987,M,2016,2015,ANP,AL,2016-02-29,IX,922.0
RBI:CPI_ALRL_ST_RN(1.0),N_A,BY_JULY_1986_JUNE_1987,M,2016,2015,ANP,RL,2016-02-29,IX,918.0
RBI:CPI_ALRL_ST_RN(1.0),N_A,BY_JULY_1986_JUNE_1987,M,2016,2015,ASM,AL,2016-02-29,IX,796.0
RBI:CPI_ALRL_ST_RN(1.0),N_A,BY_JULY_1986_JUNE_1987,M,2016,2015,ASM,RL,2016-02-29,IX,805.0
RBI:CPI_ALRL_ST_RN(1.0),N_A,BY_JULY_1986_JUNE_1987,M,2016,2015,BIH,AL,2016-02-29,IX,723.0
RBI:CPI_ALRL_ST_RN(1.0),N_A,BY_JULY_1986_JUNE_1987,M,2016,2015,BIH,RL,2016-02-29,IX,729.0
RBI:CPI_ALRL_ST_RN(1.0),N_A,BY_JULY_1986_JUNE_1987,M,2016,2015,GUJ,AL,2016-02-29,IX,869.0
RBI:CPI_ALRL_ST_RN(1.0),N_A,BY_JULY_1986_JUNE_1987,M,2016,2015,GUJ,RL,2016-02-29,IX,870.0
RBI:CPI_ALRL_ST_RN(1.0),N_A,BY_JULY_1986_JUNE_1987,M,2016,2015,HAR,AL,2016-02-29,IX,927.0
RBI:CPI_ALRL_ST_RN(1.0),N_A,BY_JULY_1986_JUNE_1987,M,2016,2015,HAR,RL,2016-02-29,IX,926.0
RBI:CPI_ALRL_ST_RN(1.0),N_A,BY_JULY_1986_JUNE_1987,M,2016,2015,HP,AL,2016-02-29,IX,686.0
RBI:CPI_ALRL_ST_RN(1.0),N_A,BY_JULY_1986_JUNE_1987,M,2016,2015,HP,RL,2016-02-29,IX,720.0
RBI:CPI_ALRL_ST_RN(1.0),N_A,BY_JULY_1986_JUNE_1987,M,2016,2015,JNK,AL,2016-02-29,IX,788.0
RBI:CPI_ALRL_ST_RN(1.0),N_A,BY_JULY_1986_JUNE_1987,M,2016,2015,JNK,RL,2016-02-29,IX,783.0
RBI:CPI_ALRL_ST_RN(1.0),N_A,BY_JULY_1986_JUNE_1987,M,2016,2015,KAR,AL,2016-02-29,IX,947.0
RBI:CPI_ALRL_ST_RN(1.0),N_A,BY_JULY_1986_JUNE_1987,M,2016,2015,KAR,RL,2016-02-29,IX,944.0
