DATAFLOW,AUDST,BASE_PER,FREQ,MEASURE_RN,REPYEAREND,REPYEARSTART,TYPE_CPI_RN,TIME_PERIOD,UNIT_MEASURE,OBS_VALUE
RBI:CPI_AV_RN(1.0),N_A,BY_1982,M,ANL_VAR,2002,2001,IW_FGRP,2001-12-31,PT,4.415011037528
RBI:CPI_AV_RN(1.0),N_A,BY_1982,M,ANL_VAR,2002,2001,IW_GI,2001-12-31,PT,5.156950672646
RBI:CPI_AV_RN(1.0),N_A,BY_1984-85,M,ANL_VAR,2002,2001,UNME_GI,2001-12-31,PT,5.066666666667
RBI:CPI_AV_RN(1.0),N_A,BY_1986-87,M,ANL_VAR,2002,2001,AL_AIGI,2001-12-31,PT,2.970297029703
RBI:CPI_AV_RN(1.0),N_A,BY_1982,M,ANL_VAR,2002,2001,IW_FGRP,2002-01-31,PT,3.340757238307
RBI:CPI_AV_RN(1.0),N_A,BY_1982,M,ANL_VAR,2002,2001,IW_GI,2002-01-31,PT,4.943820224719
RBI:CPI_AV_RN(1.0),N_A,BY_1984-85,M,ANL_VAR,2002,2001,UNME_GI,2002-01-31,PT,4.521276595745
RBI:CPI_AV_RN(1.0),N_A,BY_1986-87,M,ANL_VAR,2002,2001,AL_AIGI,2002-01-31,PT,2.325581395349
RBI:CPI_AV_RN(1.0),N_A,BY_1982,M,ANL_VAR,2002,2001,IW_FGRP,2002-02-28,PT,3.370786516854
RBI:CPI_AV_RN(1.0),N_A,BY_1982,M,ANL_VAR,2002,2001,IW_GI,2002-02-28,PT,5.191873589165
RBI:CPI_AV_RN(1.0),N_A,BY_1984-85,M,ANL_VAR,2002,2001,UNME_GI,2002-02-28,PT,4.255319148936
RBI:CPI_AV_RN(1.0),N_A,BY_1986-87,M,ANL_VAR,2002,2001,AL_AIGI,2002-02-28,PT,3.010033444816
RBI:CPI_AV_RN(1.0),N_A,BY_1982,M,ANL_VAR,2002,2001,IW_FGRP,2002-03-31,PT,3.587443946188
RBI:CPI_AV_RN(1.0),N_A,BY_1982,M,ANL_VAR,2002,2001,IW_GI,2002-03-31,PT,5.168539325843
RBI:CPI_AV_RN(1.0),N_A,BY_1984-85,M,ANL_VAR,2002,2001,UNME_GI,2002-03-31,PT,4.774535809019
RBI:CPI_AV_RN(1.0),N_A,BY_1986-87,M,ANL_VAR,2002,2001,AL_AIGI,2002-03-31,PT,3.0
RBI:CPI_AV_RN(1.0),N_A,BY_1982,M,ANL_VAR,2003,2002,IW_FGRP,2002-04-30,PT,2.888888888889
RBI:CPI_AV_RN(1.0),N_A,BY_1982,M,ANL_VAR,2003,2002,IW_GI,2002-04-30,PT,4.6875
RBI:CPI_AV_RN(1.0),N_A,BY_1984-85,M,ANL_VAR,2003,2002,UNME_GI,2002-04-30,PT,4.485488126649
RBI:CPI_AV_RN(1.0),N_A,BY_1986-87,M,ANL_VAR,2003,2002,AL_AIGI,2002-04-30,PT,2.65780730897
RBI:CPI_AV_RN(1.0),N_A,BY_1982,M,ANL_VAR,2003,2002,IW_FGRP,2002-05-31,PT,2.637362637363
RBI:CPI_AV_RN(1.0),N_A,BY_1982,M,ANL_VAR,2003,2002,IW_GI,2002-05-31,PT,4.656319290466
RBI:CPI_AV_RN(1.0),N_A,BY_1984-85,M,ANL_VAR,2003,2002,UNME_GI,2002-05-31,PT,4.188481675393
RBI:CPI_AV_RN(1.0),N_A,BY_1986-87,M,ANL_VAR,2003,2002,AL_AIGI,2002-05-31,PT,2.640264026403
RBI:CPI_AV_RN(1.0),N_A,BY_1982,M,ANL_VAR,2003,2002,IW_FGRP,2002-06-30,PT,1.939655172414
RBI:CPI_AV_RN(1.0),N_A,BY_1982,M,ANL_VAR,2003,2002,IW_GI,2002-06-30,PT,4.157549234136
RBI:CPI_AV_RN(1.0),N_A,BY_1984-85,M,ANL_VAR,2003,2002,UNME_GI,2002-06-30,PT,4.145077720207
RBI:CPI_AV_RN(1.0),N_A,BY_1986-87,M,ANL_VAR,2003,2002,AL_AIGI,2002-06-30,PT,2.614379084967
RBI:CPI_AV_RN(1.0),N_A,BY_1982,M,ANL_VAR,2003,2002,IW_FGRP,2002-07-31,PT,2.350427350427
RBI:CPI_AV_RN(1.0),N_A,BY_1982,M,ANL_VAR,2003,2002,IW_GI,2002-07-31,PT,3.887688984881
RBI:CPI_AV_RN(1.0),N_A,BY_1984-85,M,ANL_VAR,2003,2002,UNME_GI,2002-07-31,PT,3.83631713555
RBI:CPI_AV_RN(1.0),N_A,BY_1986-87,M,ANL_VAR,2003,2002,AL_AIGI,2002-07-31,PT,2.265372168285
RBI:CPI_AV_RN(1.0),N_A,BY_1982,M,ANL_VAR,2003,2002,IW_FGRP,2002-08-31,PT,1.902748414376
RBI:CPI_AV_RN(1.0),N_A,BY_1982,M,ANL_VAR,2003,2002,IW_GI,2002-08-31,PT,3.862660944206
RBI:CPI_AV_RN(1.0),N_A,BY_1984-85,M,ANL_VAR,2003,2002,UNME_GI,2002-08-31,PT,3.562340966921
RBI:CPI_AV_RN(1.0),N_A,BY_1986-87,M,ANL_VAR,2003,2002,AL_AIGI,2002-08-31,PT,2.24358974359
RBI:CPI_AV_RN(1.0),N_A,BY_1982,M,ANL_VAR,2003,2002,IW_FGRP,2002-09-30,PT,3.19829424307
RBI:CPI_AV_RN(1.0),N_A,BY_1982,M,ANL_VAR,2003,2002,IW_GI,2002-09-30,PT,4.301075268817
RBI:CPI_AV_RN(1.0),N_A,BY_1984-85,M,ANL_VAR,2003,2002,UNME_GI,2002-09-30,PT,4.081632653061
RBI:CPI_AV_RN(1.0),N_A,BY_1986-87,M,ANL_VAR,2003,2002,AL_AIGI,2002-09-30,PT,3.215434083601
RBI:CPI_AV_RN(1.0),N_A,BY_1982,M,ANL_VAR,2003,2002,IW_FGRP,2002-10-31,PT,2.53164556962
RBI:CPI_AV_RN(1.0),N_A,BY_1982,M,ANL_VAR,2003,2002,IW_GI,2002-10-31,PT,4.059829059829
RBI:CPI_AV_RN(1.0),N_A,BY_1984-85,M,ANL_VAR,2003,2002,UNME_GI,2002-10-31,PT,3.81679389313
RBI:CPI_AV_RN(1.0),N_A,BY_1986-87,M,ANL_VAR,2003,2002,AL_AIGI,2002-10-31,PT,2.875399361022
RBI:CPI_AV_RN(1.0),N_A,BY_1982,M,ANL_VAR,2003,2002,IW_FGRP,2002-11-30,PT,1.670146137787
RBI:CPI_AV_RN(1.0),N_A,BY_1982,M,ANL_VAR,2003,2002,IW_GI,2002-11-30,PT,3.601694915254
RBI:CPI_AV_RN(1.0),N_A,BY_1984-85,M,ANL_VAR,2003,2002,UNME_GI,2002-11-30,PT,3.291139240506
RBI:CPI_AV_RN(1.0),N_A,BY_1986-87,M,ANL_VAR,2003,2002,AL_AIGI,2002-11-30,PT,3.194888178914
RBI:CPI_AV_RN(1.0),N_A,BY_1982,M,ANL_VAR,2003,2002,IW_FGRP,2002-12-31,PT,1.268498942918
RBI:CPI_AV_RN(1.0),N_A,BY_1982,M,ANL_VAR,2003,2002,IW_GI,2002-12-31,PT,3.19829424307
RBI:CPI_AV_RN(1.0),N_A,BY_1984-85,M,ANL_VAR,2003,2002,UNME_GI,2002-12-31,PT,2.791878172589
RBI:CPI_AV_RN(1.0),N_A,BY_1986-87,M,ANL_VAR,2003,2002,AL_AIGI,2002-12-31,PT,2.884615384615
RBI:CPI_AV_RN(1.0),N_A,BY_1982,M,ANL_VAR,2003,2002,IW_FGRP,2003-01-31,PT,2.155172413793
