DATAFLOW,AUDST,FREQ,MEASURE_RN,PICE_REF_CITY_RN,PREC_METL_RN,REPYEAREND,REPYEARSTART,UNIT_MULT,TIME_PERIOD,UNIT_MEASURE,OBS_VALUE
RBI:METAL_PRICE_RN(1.0),N_A,M,AVG,PRC1,GOLD,2017,2016,0,2016-08-01,RUP_PER_10_GMS,31270.0
RBI:METAL_PRICE_RN(1.0),N_A,M,AVG,PRC1,SILVER,2017,2016,0,2016-08-01,RUP_PER_KG,46614.09
RBI:METAL_PRICE_RN(1.0),N_A,M,AVG,PRC2,GOLD,2017,2016,0,2016-08-01,DOL_PER_TROY_OZ,1340.98
RBI:METAL_PRICE_RN(1.0),N_A,M,AVG,PRC2,GOLD,2017,2016,0,2016-08-01,RUP_PER_10_GMS,28855.5
RBI:METAL_PRICE_RN(1.0),N_A,M,AVG,PRC3,SILVER,2017,2016,0,2016-08-01,CTNS_PER_TROY_OZ,1958.7
RBI:METAL_PRICE_RN(1.0),N_A,M,AVG,PRC3,SILVER,2017,2016,0,2016-08-01,RUP_PER_KG,42154.347987
RBI:METAL_PRICE_RN(1.0),N_A,M,AVG,PRC1,GOLD,2017,2016,0,2016-09-01,RUP_PER_10_GMS,31178.0
RBI:METAL_PRICE_RN(1.0),N_A,M,AVG,PRC1,SILVER,2017,2016,0,2016-09-01,RUP_PER_KG,46233.5
RBI:METAL_PRICE_RN(1.0),N_A,M,AVG,PRC2,GOLD,2017,2016,0,2016-09-01,DOL_PER_TROY_OZ,1326.32
RBI:METAL_PRICE_RN(1.0),N_A,M,AVG,PRC2,GOLD,2017,2016,0,2016-09-01,RUP_PER_10_GMS,28459.39
RBI:METAL_PRICE_RN(1.0),N_A,M,AVG,PRC3,SILVER,2017,2016,0,2016-09-01,CTNS_PER_TROY_OZ,1935.7
RBI:METAL_PRICE_RN(1.0),N_A,M,AVG,PRC3,SILVER,2017,2016,0,2016-09-01,RUP_PER_KG,41533.692452
RBI:METAL_PRICE_RN(1.0),N_A,M,AVG,PRC1,GOLD,2017,2016,0,2016-10-01,RUP_PER_10_GMS,30071.37
RBI:METAL_PRICE_RN(1.0),N_A,M,AVG,PRC1,SILVER,2017,2016,0,2016-10-01,RUP_PER_KG,43230.05
RBI:METAL_PRICE_RN(1.0),N_A,M,AVG,PRC2,GOLD,2017,2016,0,2016-10-01,DOL_PER_TROY_OZ,1267.75
RBI:METAL_PRICE_RN(1.0),N_A,M,AVG,PRC2,GOLD,2017,2016,0,2016-10-01,RUP_PER_10_GMS,27200.73
RBI:METAL_PRICE_RN(1.0),N_A,M,AVG,PRC3,SILVER,2017,2016,0,2016-10-01,CTNS_PER_TROY_OZ,1765.5
RBI:METAL_PRICE_RN(1.0),N_A,M,AVG,PRC3,SILVER,2017,2016,0,2016-10-01,RUP_PER_KG,37887.4186609
RBI:METAL_PRICE_RN(1.0),N_A,M,AVG,PRC1,GOLD,2017,2016,0,2016-11-01,RUP_PER_10_GMS,29796.43
RBI:METAL_PRICE_RN(1.0),N_A,M,AVG,PRC1,SILVER,2017,2016,0,2016-11-01,RUP_PER_KG,42971.9
RBI:METAL_PRICE_RN(1.0),N_A,M,AVG,PRC2,GOLD,2017,2016,0,2016-11-01,DOL_PER_TROY_OZ,1238.14
RBI:METAL_PRICE_RN(1.0),N_A,M,AVG,PRC2,GOLD,2017,2016,0,2016-11-01,RUP_PER_10_GMS,26884.4
RBI:METAL_PRICE_RN(1.0),N_A,M,AVG,PRC3,SILVER,2017,2016,0,2016-11-01,CTNS_PER_TROY_OZ,1740.7
RBI:METAL_PRICE_RN(1.0),N_A,M,AVG,PRC3,SILVER,2017,2016,0,2016-11-01,RUP_PER_KG,37846.569512
RBI:METAL_PRICE_RN(1.0),N_A,M,AVG,PRC1,GOLD,2017,2016,0,2016-12-01,RUP_PER_10_GMS,27754.29
RBI:METAL_PRICE_RN(1.0),N_A,M,AVG,PRC1,SILVER,2017,2016,0,2016-12-01,RUP_PER_KG,40288.81
RBI:METAL_PRICE_RN(1.0),N_A,M,AVG,PRC2,GOLD,2017,2016,0,2016-12-01,DOL_PER_TROY_OZ,1151.78
RBI:METAL_PRICE_RN(1.0),N_A,M,AVG,PRC2,GOLD,2017,2016,0,2016-12-01,RUP_PER_10_GMS,25127.05
RBI:METAL_PRICE_RN(1.0),N_A,M,AVG,PRC3,SILVER,2017,2016,0,2016-12-01,CTNS_PER_TROY_OZ,1643.2
RBI:METAL_PRICE_RN(1.0),N_A,M,AVG,PRC3,SILVER,2017,2016,0,2016-12-01,RUP_PER_KG,35871.871422
RBI:METAL_PRICE_RN(1.0),N_A,M,AVG,PRC1,GOLD,2017,2016,0,2017-01-01,RUP_PER_10_GMS,28745.95
RBI:METAL_PRICE_RN(1.0),N_A,M,AVG,PRC1,SILVER,2017,2016,0,2017-01-01,RUP_PER_KG,41139.76
RBI:METAL_PRICE_RN(1.0),N_A,M,AVG,PRC2,GOLD,2017,2016,0,2017-01-01,DOL_PER_TROY_OZ,1192.63
RBI:METAL_PRICE_RN(1.0),N_A,M,AVG,PRC2,GOLD,2017,2016,0,2017-01-01,RUP_PER_10_GMS,26107.99
RBI:METAL_PRICE_RN(1.0),N_A,M,AVG,PRC3,SILVER,2017,2016,0,2017-01-01,CTNS_PER_TROY_OZ,1690.2
RBI:METAL_PRICE_RN(1.0),N_A,M,AVG,PRC3,SILVER,2017,2016,0,2017-01-01,RUP_PER_KG,36995.682663
RBI:METAL_PRICE_RN(1.0),N_A,M,AVG,PRC1,GOLD,2017,2016,0,2017-02-01,RUP_PER_10_GMS,29264.74
RBI:METAL_PRICE_RN(1.0),N_A,M,AVG,PRC1,SILVER,2017,2016,0,2017-02-01,RUP_PER_KG,42914.47
RBI:METAL_PRICE_RN(1.0),N_A,M,AVG,PRC2,GOLD,2017,2016,0,2017-02-01,DOL_PER_TROY_OZ,1233.87
RBI:METAL_PRICE_RN(1.0),N_A,M,AVG,PRC2,GOLD,2017,2016,0,2017-02-01,RUP_PER_10_GMS,26596.11
RBI:METAL_PRICE_RN(1.0),N_A,M,AVG,PRC3,SILVER,2017,2016,0,2017-02-01,CTNS_PER_TROY_OZ,1793.3
RBI:METAL_PRICE_RN(1.0),N_A,M,AVG,PRC3,SILVER,2017,2016,0,2017-02-01,RUP_PER_KG,38672.977062
RBI:METAL_PRICE_RN(1.0),N_A,M,AVG,PRC1,GOLD,2017,2016,0,2017-03-01,RUP_PER_10_GMS,28758.18
