DATAFLOW,AUDST,BASE_PER,COMD_ITEM,COVERAGE_GEO_RN,FREQ,REPYEAREND,REPYEARSTART,TIME_PERIOD,UNIT_MEASURE,OBS_VALUE
RBI:CPI_RUC_RN(1.0),N_A,BY_2012,C_GIAG_FB_PMSS,ALL_INDIA,M,2016,2015,2016-01-31,IX,135.3
RBI:CPI_RUC_RN(1.0),N_A,BY_2012,C_GIAG_FB_PMSS,RUR,M,2016,2015,2016-01-31,IX,135.9
RBI:CPI_RUC_RN(1.0),N_A,BY_2012,C_GIAG_FB_PMSS,URB,M,2016,2015,2016-01-31,IX,134.7
RBI:CPI_RUC_RN(1.0),N_A,BY_2012,C_GIAG_FB_PP,ALL_INDIA,M,2016,2015,2016-01-31,IX,170.7
RBI:CPI_RUC_RN(1.0),N_A,BY_2012,C_GIAG_FB_PP,RUR,M,2016,2015,2016-01-31,IX,163.8
RBI:CPI_RUC_RN(1.0),N_A,BY_2012,C_GIAG_FB_PP,URB,M,2016,2015,2016-01-31,IX,184.2
RBI:CPI_RUC_RN(1.0),N_A,BY_2012,C_GIAG_FB_SC,ALL_INDIA,M,2016,2015,2016-01-31,IX,97.4
RBI:CPI_RUC_RN(1.0),N_A,BY_2012,C_GIAG_FB_SC,RUR,M,2016,2015,2016-01-31,IX,97.7
RBI:CPI_RUC_RN(1.0),N_A,BY_2012,C_GIAG_FB_SC,URB,M,2016,2015,2016-01-31,IX,96.7
RBI:CPI_RUC_RN(1.0),N_A,BY_2012,C_GIAG_FB_SP,ALL_INDIA,M,2016,2015,2016-01-31,IX,132.9
RBI:CPI_RUC_RN(1.0),N_A,BY_2012,C_GIAG_FB_SP,RUR,M,2016,2015,2016-01-31,IX,129.6
RBI:CPI_RUC_RN(1.0),N_A,BY_2012,C_GIAG_FB_SP,URB,M,2016,2015,2016-01-31,IX,139.5
RBI:CPI_RUC_RN(1.0),N_A,BY_2012,C_GIAG_FB_VE,ALL_INDIA,M,2016,2015,2016-01-31,IX,141.5
RBI:CPI_RUC_RN(1.0),N_A,BY_2012,C_GIAG_FB_VE,RUR,M,2016,2015,2016-01-31,IX,140.1
RBI:CPI_RUC_RN(1.0),N_A,BY_2012,C_GIAG_FB_VE,URB,M,2016,2015,2016-01-31,IX,144.1
RBI:CPI_RUC_RN(1.0),N_A,BY_2012,C_GIAG_FL,ALL_INDIA,M,2016,2015,2016-01-31,IX,122.7
RBI:CPI_RUC_RN(1.0),N_A,BY_2012,C_GIAG_FL,RUR,M,2016,2015,2016-01-31,IX,126.2
RBI:CPI_RUC_RN(1.0),N_A,BY_2012,C_GIAG_FL,URB,M,2016,2015,2016-01-31,IX,116.9
RBI:CPI_RUC_RN(1.0),N_A,BY_2012,C_GIAG_HO,ALL_INDIA,M,2016,2015,2016-01-31,IX,123.4
RBI:CPI_RUC_RN(1.0),N_A,BY_2012,C_GIAG_HO,URB,M,2016,2015,2016-01-31,IX,123.4
RBI:CPI_RUC_RN(1.0),N_A,BY_2012,C_GIAG_MS,ALL_INDIA,M,2016,2015,2016-01-31,IX,118.5
RBI:CPI_RUC_RN(1.0),N_A,BY_2012,C_GIAG_MS,RUR,M,2016,2015,2016-01-31,IX,120.1
RBI:CPI_RUC_RN(1.0),N_A,BY_2012,C_GIAG_MS,URB,M,2016,2015,2016-01-31,IX,116.8
RBI:CPI_RUC_RN(1.0),N_A,BY_2012,C_GIAG_MS_ED,ALL_INDIA,M,2016,2015,2016-01-31,IX,126.3
RBI:CPI_RUC_RN(1.0),N_A,BY_2012,C_GIAG_MS_ED,RUR,M,2016,2015,2016-01-31,IX,126.2
RBI:CPI_RUC_RN(1.0),N_A,BY_2012,C_GIAG_MS_ED,URB,M,2016,2015,2016-01-31,IX,126.4
RBI:CPI_RUC_RN(1.0),N_A,BY_2012,C_GIAG_MS_HHGS,ALL_INDIA,M,2016,2015,2016-01-31,IX,124.2
RBI:CPI_RUC_RN(1.0),N_A,BY_2012,C_GIAG_MS_HHGS,RUR,M,2016,2015,2016-01-31,IX,126.6
RBI:CPI_RUC_RN(1.0),N_A,BY_2012,C_GIAG_MS_HHGS,URB,M,2016,2015,2016-01-31,IX,121.6
RBI:CPI_RUC_RN(1.0),N_A,BY_2012,C_GIAG_MS_HTH,ALL_INDIA,M,2016,2015,2016-01-31,IX,122.0
RBI:CPI_RUC_RN(1.0),N_A,BY_2012,C_GIAG_MS_HTH,RUR,M,2016,2015,2016-01-31,IX,123.7
RBI:CPI_RUC_RN(1.0),N_A,BY_2012,C_GIAG_MS_HTH,URB,M,2016,2015,2016-01-31,IX,119.1
RBI:CPI_RUC_RN(1.0),N_A,BY_2012,C_GIAG_MS_PCE,ALL_INDIA,M,2016,2015,2016-01-31,IX,114.5
RBI:CPI_RUC_RN(1.0),N_A,BY_2012,C_GIAG_MS_PCE,RUR,M,2016,2015,2016-01-31,IX,114.9
RBI:CPI_RUC_RN(1.0),N_A,BY_2012,C_GIAG_MS_PCE,URB,M,2016,2015,2016-01-31,IX,114.0
RBI:CPI_RUC_RN(1.0),N_A,BY_2012,C_GIAG_MS_RA,ALL_INDIA,M,2016,2015,2016-01-31,IX,119.8
RBI:CPI_RUC_RN(1.0),N_A,BY_2012,C_GIAG_MS_RA,RUR,M,2016,2015,2016-01-31,IX,121.4
RBI:CPI_RUC_RN(1.0),N_A,BY_2012,C_GIAG_MS_RA,URB,M,2016,2015,2016-01-31,IX,118.5
RBI:CPI_RUC_RN(1.0),N_A,BY_2012,C_GIAG_MS_TC,ALL_INDIA,M,2016,2015,2016-01-31,IX,111.1
RBI:CPI_RUC_RN(1.0),N_A,BY_2012,C_GIAG_MS_TC,RUR,M,2016,2015,2016-01-31,IX,113.6
RBI:CPI_RUC_RN(1.0),N_A,BY_2012,C_GIAG_MS_TC,URB,M,2016,2015,2016-01-31,IX,108.9
RBI:CPI_RUC_RN(1.0),N_A,BY_2012,C_GIAG_PTI,ALL_INDIA,M,2016,2015,2016-01-31,IX,135.2
RBI:CPI_RUC_RN(1.0),N_A,BY_2012,C_GIAG_PTI,RUR,M,2016,2015,2016-01-31,IX,133.6
RBI:CPI_RUC_RN(1.0),N_A,BY_2012,C_GIAG_PTI,URB,M,2016,2015,2016-01-31,IX,139.5
RBI:CPI_RUC_RN(1.0),N_A,BY_2012,C_CFPI,ALL_INDIA,M,2016,2015,2016-02-29,IX,129.2
RBI:CPI_RUC_RN(1.0),N_A,BY_2012,C_CFPI,RUR,M,2016,2015,2016-02-29,IX,129.8
RBI:CPI_RUC_RN(1.0),N_A,BY_2012,C_CFPI,URB,M,2016,2015,2016-02-29,IX,128.2
