DATAFLOW,AUDST,BASE_PER,FREQ,MEASURE_RN,REPYEAREND,REPYEARSTART,WPI_COM_CLS_RN,TIME_PERIOD,UNIT_MEASURE,OBS_VALUE
RBI:WHOLE_PRICE_INDEX_AVG_VAR_RN(1.0),N_A,BY_1981_82,AFY,ANNUAL_AVE,1988,1987,WPI0103,1988-03-31,IX,138.5
RBI:WHOLE_PRICE_INDEX_AVG_VAR_RN(1.0),N_A,BY_1981_82,AFY,ANL_VAR,1989,1988,WPI01,1989-03-31,IX,7.5
RBI:WHOLE_PRICE_INDEX_AVG_VAR_RN(1.0),N_A,BY_1981_82,AFY,ANL_VAR,1989,1988,WPI0101,1989-03-31,IX,4.9
RBI:WHOLE_PRICE_INDEX_AVG_VAR_RN(1.0),N_A,BY_1981_82,AFY,ANL_VAR,1989,1988,WPI010101,1989-03-31,IX,9.9
RBI:WHOLE_PRICE_INDEX_AVG_VAR_RN(1.0),N_A,BY_1981_82,AFY,ANL_VAR,1989,1988,WPI010102,1989-03-31,IX,-1.7
RBI:WHOLE_PRICE_INDEX_AVG_VAR_RN(1.0),N_A,BY_1981_82,AFY,ANL_VAR,1989,1988,WPI0102,1989-03-31,IX,5.5
RBI:WHOLE_PRICE_INDEX_AVG_VAR_RN(1.0),N_A,BY_1981_82,AFY,ANL_VAR,1989,1988,WPI0103,1989-03-31,IX,9.4
RBI:WHOLE_PRICE_INDEX_AVG_VAR_RN(1.0),N_A,BY_1981_82,AFY,ANNUAL_AVE,1989,1988,WPI01,1989-03-31,IX,154.3
RBI:WHOLE_PRICE_INDEX_AVG_VAR_RN(1.0),N_A,BY_1981_82,AFY,ANNUAL_AVE,1989,1988,WPI0101,1989-03-31,IX,160.1
RBI:WHOLE_PRICE_INDEX_AVG_VAR_RN(1.0),N_A,BY_1981_82,AFY,ANNUAL_AVE,1989,1988,WPI010101,1989-03-31,IX,177.1
RBI:WHOLE_PRICE_INDEX_AVG_VAR_RN(1.0),N_A,BY_1981_82,AFY,ANNUAL_AVE,1989,1988,WPI010102,1989-03-31,IX,160.2
RBI:WHOLE_PRICE_INDEX_AVG_VAR_RN(1.0),N_A,BY_1981_82,AFY,ANNUAL_AVE,1989,1988,WPI0102,1989-03-31,IX,151.2
RBI:WHOLE_PRICE_INDEX_AVG_VAR_RN(1.0),N_A,BY_1981_82,AFY,ANNUAL_AVE,1989,1988,WPI0103,1989-03-31,IX,151.5
RBI:WHOLE_PRICE_INDEX_AVG_VAR_RN(1.0),N_A,BY_1981_82,AFY,ANL_VAR,1990,1989,WPI01,1990-03-31,IX,7.4
RBI:WHOLE_PRICE_INDEX_AVG_VAR_RN(1.0),N_A,BY_1981_82,AFY,ANL_VAR,1990,1989,WPI0101,1990-03-31,IX,2.2
RBI:WHOLE_PRICE_INDEX_AVG_VAR_RN(1.0),N_A,BY_1981_82,AFY,ANL_VAR,1990,1989,WPI010101,1990-03-31,IX,1.3
RBI:WHOLE_PRICE_INDEX_AVG_VAR_RN(1.0),N_A,BY_1981_82,AFY,ANL_VAR,1990,1989,WPI010102,1990-03-31,IX,3.6
RBI:WHOLE_PRICE_INDEX_AVG_VAR_RN(1.0),N_A,BY_1981_82,AFY,ANL_VAR,1990,1989,WPI0102,1990-03-31,IX,3.6
RBI:WHOLE_PRICE_INDEX_AVG_VAR_RN(1.0),N_A,BY_1981_82,AFY,ANL_VAR,1990,1989,WPI0103,1990-03-31,IX,11.2
RBI:WHOLE_PRICE_INDEX_AVG_VAR_RN(1.0),N_A,BY_1981_82,AFY,ANNUAL_AVE,1990,1989,WPI01,1990-03-31,IX,165.7
RBI:WHOLE_PRICE_INDEX_AVG_VAR_RN(1.0),N_A,BY_1981_82,AFY,ANNUAL_AVE,1990,1989,WPI0101,1990-03-31,IX,163.6
RBI:WHOLE_PRICE_INDEX_AVG_VAR_RN(1.0),N_A,BY_1981_82,AFY,ANNUAL_AVE,1990,1989,WPI010101,1990-03-31,IX,179.3
RBI:WHOLE_PRICE_INDEX_AVG_VAR_RN(1.0),N_A,BY_1981_82,AFY,ANNUAL_AVE,1990,1989,WPI010102,1990-03-31,IX,166.0
RBI:WHOLE_PRICE_INDEX_AVG_VAR_RN(1.0),N_A,BY_1981_82,AFY,ANNUAL_AVE,1990,1989,WPI0102,1990-03-31,IX,156.6
RBI:WHOLE_PRICE_INDEX_AVG_VAR_RN(1.0),N_A,BY_1981_82,AFY,ANNUAL_AVE,1990,1989,WPI0103,1990-03-31,IX,168.6
RBI:WHOLE_PRICE_INDEX_AVG_VAR_RN(1.0),N_A,BY_1981_82,AFY,ANL_VAR,1991,1990,WPI01,1991-03-31,IX,10.3
RBI:WHOLE_PRICE_INDEX_AVG_VAR_RN(1.0),N_A,BY_1981_82,AFY,ANL_VAR,1991,1990,WPI0101,1991-03-31,IX,13.0
RBI:WHOLE_PRICE_INDEX_AVG_VAR_RN(1.0),N_A,BY_1981_82,AFY,ANL_VAR,1991,1990,WPI010101,1991-03-31,IX,11.9
RBI:WHOLE_PRICE_INDEX_AVG_VAR_RN(1.0),N_A,BY_1981_82,AFY,ANL_VAR,1991,1990,WPI010102,1991-03-31,IX,17.0
RBI:WHOLE_PRICE_INDEX_AVG_VAR_RN(1.0),N_A,BY_1981_82,AFY,ANL_VAR,1991,1990,WPI0102,1991-03-31,IX,12.2
RBI:WHOLE_PRICE_INDEX_AVG_VAR_RN(1.0),N_A,BY_1981_82,AFY,ANL_VAR,1991,1990,WPI0103,1991-03-31,IX,8.4
RBI:WHOLE_PRICE_INDEX_AVG_VAR_RN(1.0),N_A,BY_1981_82,AFY,ANNUAL_AVE,1991,1990,WPI01,1991-03-31,IX,182.7
RBI:WHOLE_PRICE_INDEX_AVG_VAR_RN(1.0),N_A,BY_1981_82,AFY,ANNUAL_AVE,1991,1990,WPI0101,1991-03-31,IX,184.9
RBI:WHOLE_PRICE_INDEX_AVG_VAR_RN(1.0),N_A,BY_1981_82,AFY,ANNUAL_AVE,1991,1990,WPI010101,1991-03-31,IX,200.6
RBI:WHOLE_PRICE_INDEX_AVG_VAR_RN(1.0),N_A,BY_1981_82,AFY,ANNUAL_AVE,1991,1990,WPI010102,1991-03-31,IX,194.2
RBI:WHOLE_PRICE_INDEX_AVG_VAR_RN(1.0),N_A,BY_1981_82,AFY,ANNUAL_AVE,1991,1990,WPI0102,1991-03-31,IX,175.8
RBI:WHOLE_PRICE_INDEX_AVG_VAR_RN(1.0),N_A,BY_1981_82,AFY,ANNUAL_AVE,1991,1990,WPI0103,1991-03-31,IX,182.8
