DATAFLOW,AUDST,FREQ,REPYEAREND,REPYEARSTART,TYPE_FW_CASH_RN,UNIT_MULT,TIME_PERIOD,UNIT_MEASURE,OBS_VALUE
RBI:FWC_PRE_D_RN(1.0),N_A,D,2011,2010,FW_CASH_12M,0,2011-01-19,INR,267.0
RBI:FWC_PRE_D_RN(1.0),N_A,D,2011,2010,FW_CASH_SPOT,0,2011-01-19,INR,1.525
RBI:FWC_PRE_D_RN(1.0),N_A,D,2011,2010,REF_RT,0,2011-01-18,INR,45.53
RBI:FWC_PRE_D_RN(1.0),N_A,D,2011,2010,FW_CASH_6M,0,2011-01-18,INR,146.0
RBI:FWC_PRE_D_RN(1.0),N_A,D,2011,2010,FW_CASH_1M,0,2011-01-18,INR,27.5
RBI:FWC_PRE_D_RN(1.0),N_A,D,2011,2010,FW_CASH_12M,0,2011-01-18,INR,264.0
RBI:FWC_PRE_D_RN(1.0),N_A,D,2011,2010,FW_CASH_3M,0,2011-01-18,INR,78.0
RBI:FWC_PRE_D_RN(1.0),N_A,D,2011,2010,FW_CASH_SPOT,0,2011-01-18,INR,1.5
RBI:FWC_PRE_D_RN(1.0),N_A,D,2011,2010,REF_RT,0,2011-01-17,INR,45.59
RBI:FWC_PRE_D_RN(1.0),N_A,D,2011,2010,FW_CASH_12M,0,2011-01-17,INR,261.0
RBI:FWC_PRE_D_RN(1.0),N_A,D,2011,2010,FW_CASH_3M,0,2011-01-17,INR,77.0
RBI:FWC_PRE_D_RN(1.0),N_A,D,2011,2010,FW_CASH_1M,0,2011-01-17,INR,28.0
RBI:FWC_PRE_D_RN(1.0),N_A,D,2011,2010,FW_CASH_SPOT,0,2011-01-17,INR,0.0
RBI:FWC_PRE_D_RN(1.0),N_A,D,2011,2010,FW_CASH_6M,0,2011-01-17,INR,145.0
RBI:FWC_PRE_D_RN(1.0),N_A,D,2011,2010,FW_CASH_6M,0,2011-01-14,INR,142.0
RBI:FWC_PRE_D_RN(1.0),N_A,D,2011,2010,REF_RT,0,2011-01-14,INR,45.3
RBI:FWC_PRE_D_RN(1.0),N_A,D,2011,2010,FW_CASH_SPOT,0,2011-01-14,INR,2.7525
RBI:FWC_PRE_D_RN(1.0),N_A,D,2011,2010,FW_CASH_1M,0,2011-01-14,INR,24.5
RBI:FWC_PRE_D_RN(1.0),N_A,D,2011,2010,FW_CASH_12M,0,2011-01-14,INR,256.0
RBI:FWC_PRE_D_RN(1.0),N_A,D,2011,2010,FW_CASH_3M,0,2011-01-14,INR,75.0
RBI:FWC_PRE_D_RN(1.0),N_A,D,2011,2010,REF_RT,0,2011-01-13,INR,45.13
RBI:FWC_PRE_D_RN(1.0),N_A,D,2011,2010,FW_CASH_12M,0,2011-01-13,INR,257.0
RBI:FWC_PRE_D_RN(1.0),N_A,D,2011,2010,FW_CASH_3M,0,2011-01-13,INR,76.0
RBI:FWC_PRE_D_RN(1.0),N_A,D,2011,2010,FW_CASH_6M,0,2011-01-13,INR,144.0
RBI:FWC_PRE_D_RN(1.0),N_A,D,2011,2010,FW_CASH_1M,0,2011-01-13,INR,25.0
RBI:FWC_PRE_D_RN(1.0),N_A,D,2011,2010,FW_CASH_SPOT,0,2011-01-13,INR,3.75
RBI:FWC_PRE_D_RN(1.0),N_A,D,2011,2010,FW_CASH_12M,0,2011-01-12,INR,265.0
RBI:FWC_PRE_D_RN(1.0),N_A,D,2011,2010,FW_CASH_6M,0,2011-01-12,INR,148.0
RBI:FWC_PRE_D_RN(1.0),N_A,D,2011,2010,FW_CASH_SPOT,0,2011-01-12,INR,1.49
RBI:FWC_PRE_D_RN(1.0),N_A,D,2011,2010,REF_RT,0,2011-01-12,INR,45.16
RBI:FWC_PRE_D_RN(1.0),N_A,D,2011,2010,FW_CASH_1M,0,2011-01-12,INR,25.0
RBI:FWC_PRE_D_RN(1.0),N_A,D,2011,2010,FW_CASH_3M,0,2011-01-12,INR,78.0
RBI:FWC_PRE_D_RN(1.0),N_A,D,2011,2010,FW_CASH_3M,0,2011-01-11,INR,78.0
RBI:FWC_PRE_D_RN(1.0),N_A,D,2011,2010,REF_RT,0,2011-01-11,INR,45.32
RBI:FWC_PRE_D_RN(1.0),N_A,D,2011,2010,FW_CASH_12M,0,2011-01-11,INR,265.0
RBI:FWC_PRE_D_RN(1.0),N_A,D,2011,2010,FW_CASH_SPOT,0,2011-01-11,INR,1.49
RBI:FWC_PRE_D_RN(1.0),N_A,D,2011,2010,FW_CASH_6M,0,2011-01-11,INR,149.0
RBI:FWC_PRE_D_RN(1.0),N_A,D,2011,2010,FW_CASH_1M,0,2011-01-11,INR,26.5
RBI:FWC_PRE_D_RN(1.0),N_A,D,2011,2010,FW_CASH_SPOT,0,2011-01-10,INR,1.5
RBI:FWC_PRE_D_RN(1.0),N_A,D,2011,2010,FW_CASH_6M,0,2011-01-10,INR,146.0
RBI:FWC_PRE_D_RN(1.0),N_A,D,2011,2010,FW_CASH_12M,0,2011-01-10,INR,261.0
RBI:FWC_PRE_D_RN(1.0),N_A,D,2011,2010,FW_CASH_1M,0,2011-01-10,INR,27.5
RBI:FWC_PRE_D_RN(1.0),N_A,D,2011,2010,FW_CASH_3M,0,2011-01-10,INR,78.0
RBI:FWC_PRE_D_RN(1.0),N_A,D,2011,2010,REF_RT,0,2011-01-10,INR,45.44
RBI:FWC_PRE_D_RN(1.0),N_A,D,2011,2010,FW_CASH_1M,0,2011-01-07,INR,25.5
RBI:FWC_PRE_D_RN(1.0),N_A,D,2011,2010,FW_CASH_12M,0,2011-01-07,INR,255.0
RBI:FWC_PRE_D_RN(1.0),N_A,D,2011,2010,FW_CASH_3M,0,2011-01-07,INR,75.0
RBI:FWC_PRE_D_RN(1.0),N_A,D,2011,2010,FW_CASH_6M,0,2011-01-07,INR,145.0
RBI:FWC_PRE_D_RN(1.0),N_A,D,2011,2010,REF_RT,0,2011-01-07,INR,45.37
RBI:FWC_PRE_D_RN(1.0),N_A,D,2011,2010,FW_CASH_SPOT,0,2011-01-07,INR,3.055
RBI:FWC_PRE_D_RN(1.0),N_A,D,2011,2010,FW_CASH_3M,0,2011-01-06,INR,76.0
RBI:FWC_PRE_D_RN(1.0),N_A,D,2011,2010,FW_CASH_SPOT,0,2011-01-06,INR,3.25
RBI:FWC_PRE_D_RN(1.0),N_A,D,2011,2010,FW_CASH_1M,0,2011-01-06,INR,25.0
RBI:FWC_PRE_D_RN(1.0),N_A,D,2011,2010,REF_RT,0,2011-01-06,INR,45.31
RBI:FWC_PRE_D_RN(1.0),N_A,D,2011,2010,FW_CASH_12M,0,2011-01-06,INR,252.0
RBI:FWC_PRE_D_RN(1.0),N_A,D,2011,2010,FW_CASH_6M,0,2011-01-06,INR,144.0
RBI:FWC_PRE_D_RN(1.0),N_A,D,2011,2010,FW_CASH_1M,0,2011-01-05,INR,25.0
RBI:FWC_PRE_D_RN(1.0),N_A,D,2011,2010,FW_CASH_12M,0,2011-01-05,INR,247.0
RBI:FWC_PRE_D_RN(1.0),N_A,D,2011,2010,FW_CASH_6M,0,2011-01-05,INR,140.0
RBI:FWC_PRE_D_RN(1.0),N_A,D,2011,2010,FW_CASH_3M,0,2011-01-05,INR,73.0
RBI:FWC_PRE_D_RN(1.0),N_A,D,2011,2010,REF_RT,0,2011-01-05,INR,45.2
RBI:FWC_PRE_D_RN(1.0),N_A,D,2011,2010,FW_CASH_SPOT,0,2011-01-05,INR,1.5
RBI:FWC_PRE_D_RN(1.0),N_A,D,2011,2010,FW_CASH_SPOT,0,2011-01-04,INR,1.5
RBI:FWC_PRE_D_RN(1.0),N_A,D,2011,2010,REF_RT,0,2011-01-04,INR,44.84
RBI:FWC_PRE_D_RN(1.0),N_A,D,2011,2010,FW_CASH_6M,0,2011-01-04,INR,147.0
RBI:FWC_PRE_D_RN(1.0),N_A,D,2011,2010,FW_CASH_1M,0,2011-01-04,INR,25.5
RBI:FWC_PRE_D_RN(1.0),N_A,D,2011,2010,FW_CASH_3M,0,2011-01-04,INR,76.0
RBI:FWC_PRE_D_RN(1.0),N_A,D,2011,2010,FW_CASH_12M,0,2011-01-04,INR,257.0
RBI:FWC_PRE_D_RN(1.0),N_A,D,2011,2010,FW_CASH_6M,0,2011-01-03,INR,151.0
RBI:FWC_PRE_D_RN(1.0),N_A,D,2011,2010,REF_RT,0,2011-01-03,INR,44.67
RBI:FWC_PRE_D_RN(1.0),N_A,D,2011,2010,FW_CASH_3M,0,2011-01-03,INR,78.0
RBI:FWC_PRE_D_RN(1.0),N_A,D,2011,2010,FW_CASH_12M,0,2011-01-03,INR,263.0
RBI:FWC_PRE_D_RN(1.0),N_A,D,2011,2010,FW_CASH_SPOT,0,2011-01-03,INR,1.525
RBI:FWC_PRE_D_RN(1.0),N_A,D,2011,2010,FW_CASH_1M,0,2011-01-03,INR,27.5
