DATAFLOW,AUDST,FREQ,REPYEAREND,REPYEARSTART,TYPE_RATE_RN,UNIT_MULT,TIME_PERIOD,UNIT_MEASURE,OBS_VALUE
RBI:IB_FOREX_RT_RN(1.0),N_A,D,2011,2010,IB_HG_RT,0,2011-01-17,INR,45.425
RBI:IB_FOREX_RT_RN(1.0),N_A,D,2011,2010,IB_OPN_RT,0,2011-01-17,INR,45.425
RBI:IB_FOREX_RT_RN(1.0),N_A,D,2011,2010,RBI_REF_RT,0,2011-01-17,INR,45.59
RBI:IB_FOREX_RT_RN(1.0),N_A,D,2011,2010,IB_LW_RT,0,2011-01-17,INR,45.625
RBI:IB_FOREX_RT_RN(1.0),N_A,D,2011,2010,IB_CLS_RT,0,2011-01-17,INR,45.525
RBI:IB_FOREX_RT_RN(1.0),N_A,D,2011,2010,RBI_REF_RT,0,2011-01-14,INR,45.3
RBI:IB_FOREX_RT_RN(1.0),N_A,D,2011,2010,IB_HG_RT,0,2011-01-14,INR,45.145
RBI:IB_FOREX_RT_RN(1.0),N_A,D,2011,2010,IB_LW_RT,0,2011-01-14,INR,45.445
RBI:IB_FOREX_RT_RN(1.0),N_A,D,2011,2010,IB_CLS_RT,0,2011-01-14,INR,45.365
RBI:IB_FOREX_RT_RN(1.0),N_A,D,2011,2010,IB_OPN_RT,0,2011-01-14,INR,45.195
RBI:IB_FOREX_RT_RN(1.0),N_A,D,2011,2010,IB_CLS_RT,0,2011-01-13,INR,45.235
RBI:IB_FOREX_RT_RN(1.0),N_A,D,2011,2010,IB_OPN_RT,0,2011-01-13,INR,45.045
RBI:IB_FOREX_RT_RN(1.0),N_A,D,2011,2010,RBI_REF_RT,0,2011-01-13,INR,45.13
RBI:IB_FOREX_RT_RN(1.0),N_A,D,2011,2010,IB_LW_RT,0,2011-01-13,INR,45.265
RBI:IB_FOREX_RT_RN(1.0),N_A,D,2011,2010,IB_HG_RT,0,2011-01-13,INR,45.045
RBI:IB_FOREX_RT_RN(1.0),N_A,D,2011,2010,IB_CLS_RT,0,2011-01-12,INR,45.135
RBI:IB_FOREX_RT_RN(1.0),N_A,D,2011,2010,IB_OPN_RT,0,2011-01-12,INR,45.085
RBI:IB_FOREX_RT_RN(1.0),N_A,D,2011,2010,IB_HG_RT,0,2011-01-12,INR,45.065
RBI:IB_FOREX_RT_RN(1.0),N_A,D,2011,2010,RBI_REF_RT,0,2011-01-12,INR,45.16
RBI:IB_FOREX_RT_RN(1.0),N_A,D,2011,2010,IB_LW_RT,0,2011-01-12,INR,45.205
RBI:IB_FOREX_RT_RN(1.0),N_A,D,2011,2010,IB_CLS_RT,0,2011-01-11,INR,45.175
