DATAFLOW,AUDST,CURRENCY,FREQ,MEASURE_RN,REPYEAREND,REPYEARSTART,UNIT_MULT,TIME_PERIOD,UNIT_MEASURE,OBS_VALUE
RBI:FOREXRT_AVG_RN(1.0),N_A,JPY,M,N_A,2026,2025,0,2025-05-31,INR,59.13975
RBI:FOREXRT_AVG_RN(1.0),N_A,GBP,M,N_A,2026,2025,0,2025-05-31,INR,114.53043249999999
RBI:FOREXRT_AVG_RN(1.0),N_A,USD,M,N_A,2026,2025,0,2025-05-31,INR,85.3337425
RBI:FOREXRT_AVG_RN(1.0),N_A,EUR,M,N_A,2026,2025,0,2025-05-31,INR,96.543615
RBI:FOREXRT_AVG_RN(1.0),N_A,EUR,M,N_A,2026,2025,0,2025-04-30,INR,96.4832805
RBI:FOREXRT_AVG_RN(1.0),N_A,GBP,M,N_A,2026,2025,0,2025-04-30,INR,113.286014
RBI:FOREXRT_AVG_RN(1.0),N_A,JPY,M,N_A,2026,2025,0,2025-04-30,INR,59.535833499999995
RBI:FOREXRT_AVG_RN(1.0),N_A,SDR,M,N_A,2026,2025,0,2025-04-30,INR,115.376147
RBI:FOREXRT_AVG_RN(1.0),N_A,USD,M,N_A,2026,2025,0,2025-04-30,INR,85.30735849999999
RBI:FOREXRT_AVG_RN(1.0),N_A,SDR,M,N_A,2025,2024,0,2025-03-31,INR,114.25613150000001
RBI:FOREXRT_AVG_RN(1.0),N_A,EUR,M,N_A,2025,2024,0,2025-03-31,INR,92.9151815
RBI:FOREXRT_AVG_RN(1.0),N_A,GBP,M,N_A,2025,2024,0,2025-03-31,INR,111.234858
RBI:FOREXRT_AVG_RN(1.0),N_A,JPY,M,N_A,2025,2024,0,2025-03-31,INR,57.413157999999996
RBI:FOREXRT_AVG_RN(1.0),N_A,USD,M,N_A,2025,2024,0,2025-03-31,INR,86.1095315
RBI:FOREXRT_AVG_RN(1.0),N_A,GBP,M,N_A,2025,2024,0,2025-02-28,INR,109.4801335
RBI:FOREXRT_AVG_RN(1.0),N_A,USD,M,N_A,2025,2024,0,2025-02-28,INR,87.227675
RBI:FOREXRT_AVG_RN(1.0),N_A,JPY,M,N_A,2025,2024,0,2025-02-28,INR,57.802499999999995
RBI:FOREXRT_AVG_RN(1.0),N_A,SDR,M,N_A,2025,2024,0,2025-02-28,INR,114.1271175
RBI:FOREXRT_AVG_RN(1.0),N_A,EUR,M,N_A,2025,2024,0,2025-02-28,INR,90.679536
RBI:FOREXRT_AVG_RN(1.0),N_A,SDR,M,N_A,2025,2024,0,2025-01-31,INR,112.64670000000001
RBI:FOREXRT_AVG_RN(1.0),N_A,JPY,M,N_A,2025,2024,0,2025-01-31,INR,55.525435
RBI:FOREXRT_AVG_RN(1.0),N_A,GBP,M,N_A,2025,2024,0,2025-01-31,INR,107.11677399999999
RBI:FOREXRT_AVG_RN(1.0),N_A,USD,M,N_A,2025,2024,0,2025-01-31,INR,86.453574
RBI:FOREXRT_AVG_RN(1.0),N_A,EUR,M,N_A,2025,2024,0,2025-01-31,INR,89.654489
RBI:FOREXRT_AVG_RN(1.0),N_A,SDR,M,N_A,2025,2024,0,2024-12-31,INR,111.1316665
RBI:FOREXRT_AVG_RN(1.0),N_A,GBP,M,N_A,2025,2024,0,2024-12-31,INR,107.4727855
RBI:FOREXRT_AVG_RN(1.0),N_A,USD,M,N_A,2025,2024,0,2024-12-31,INR,85.30471449999999
RBI:FOREXRT_AVG_RN(1.0),N_A,JPY,M,N_A,2025,2024,0,2024-12-31,INR,55.089524
RBI:FOREXRT_AVG_RN(1.0),N_A,EUR,M,N_A,2025,2024,0,2024-12-31,INR,89.0559525
RBI:FOREXRT_AVG_RN(1.0),N_A,USD,M,N_A,2025,2024,0,2024-11-30,INR,84.43073050000001
RBI:FOREXRT_AVG_RN(1.0),N_A,GBP,M,N_A,2025,2024,0,2024-11-30,INR,107.51718600000001
RBI:FOREXRT_AVG_RN(1.0),N_A,JPY,M,N_A,2025,2024,0,2024-11-30,INR,55.626389
RBI:FOREXRT_AVG_RN(1.0),N_A,SDR,M,N_A,2025,2024,0,2024-11-30,INR,111.0951565
RBI:FOREXRT_AVG_RN(1.0),N_A,EUR,M,N_A,2025,2024,0,2024-11-30,INR,89.4958445
RBI:FOREXRT_AVG_RN(1.0),N_A,USD,M,N_A,2025,2024,0,2024-10-31,INR,84.059057
RBI:FOREXRT_AVG_RN(1.0),N_A,JPY,M,N_A,2025,2024,0,2024-10-31,INR,55.561591
RBI:FOREXRT_AVG_RN(1.0),N_A,SDR,M,N_A,2025,2024,0,2024-10-31,INR,112.014925
RBI:FOREXRT_AVG_RN(1.0),N_A,EUR,M,N_A,2025,2024,0,2024-10-31,INR,91.412384
RBI:FOREXRT_AVG_RN(1.0),N_A,GBP,M,N_A,2025,2024,0,2024-10-31,INR,109.299684
RBI:FOREXRT_AVG_RN(1.0),N_A,EUR,M,N_A,2025,2024,0,2024-09-30,INR,93.3012175
RBI:FOREXRT_AVG_RN(1.0),N_A,USD,M,N_A,2025,2024,0,2024-09-30,INR,83.7985075
RBI:FOREXRT_AVG_RN(1.0),N_A,JPY,M,N_A,2025,2024,0,2024-09-30,INR,58.84725
RBI:FOREXRT_AVG_RN(1.0),N_A,SDR,M,N_A,2025,2024,0,2024-09-30,INR,113.372361
RBI:FOREXRT_AVG_RN(1.0),N_A,GBP,M,N_A,2025,2024,0,2024-09-30,INR,111.4514725
RBI:FOREXRT_AVG_RN(1.0),N_A,USD,M,N_A,2025,2024,0,2024-08-31,INR,83.883595
RBI:FOREXRT_AVG_RN(1.0),N_A,EUR,M,N_A,2025,2024,0,2024-08-31,INR,92.6591975
RBI:FOREXRT_AVG_RN(1.0),N_A,GBP,M,N_A,2025,2024,0,2024-08-31,INR,109.53118549999999
RBI:FOREXRT_AVG_RN(1.0),N_A,SDR,M,N_A,2025,2024,0,2024-08-31,INR,112.6848095
RBI:FOREXRT_AVG_RN(1.0),N_A,JPY,M,N_A,2025,2024,0,2024-08-31,INR,57.6240475
RBI:FOREXRT_AVG_RN(1.0),N_A,SDR,M,N_A,2025,2024,0,2024-07-31,INR,110.99188888888901
RBI:FOREXRT_AVG_RN(1.0),N_A,JPY,M,N_A,2025,2024,0,2024-07-31,INR,53.8522727272725
RBI:FOREXRT_AVG_RN(1.0),N_A,USD,M,N_A,2025,2024,0,2024-07-31,INR,83.6693272727275
RBI:FOREXRT_AVG_RN(1.0),N_A,GBP,M,N_A,2025,2024,0,2024-07-31,INR,107.4597363636365
RBI:FOREXRT_AVG_RN(1.0),N_A,EUR,M,N_A,2025,2024,0,2024-07-31,INR,90.6081636363635
RBI:FOREXRT_AVG_RN(1.0),N_A,JPY,M,N_A,2025,2024,0,2024-06-30,INR,52.362105263158
RBI:FOREXRT_AVG_RN(1.0),N_A,GBP,M,N_A,2025,2024,0,2024-06-30,INR,105.8141157894735
RBI:FOREXRT_AVG_RN(1.0),N_A,SDR,M,N_A,2025,2024,0,2024-06-30,INR,109.96275
RBI:FOREXRT_AVG_RN(1.0),N_A,EUR,M,N_A,2025,2024,0,2024-06-30,INR,89.571957894737
RBI:FOREXRT_AVG_RN(1.0),N_A,USD,M,N_A,2025,2024,0,2024-06-30,INR,83.462157894737
RBI:FOREXRT_AVG_RN(1.0),N_A,USD,M,N_A,2025,2024,0,2024-05-31,INR,83.34586999999999
RBI:FOREXRT_AVG_RN(1.0),N_A,JPY,M,N_A,2025,2024,0,2024-05-31,INR,53.30325
RBI:FOREXRT_AVG_RN(1.0),N_A,SDR,M,N_A,2025,2024,0,2024-05-31,INR,110.273
RBI:FOREXRT_AVG_RN(1.0),N_A,EUR,M,N_A,2025,2024,0,2024-05-31,INR,90.11138249999999
RBI:FOREXRT_AVG_RN(1.0),N_A,GBP,M,N_A,2025,2024,0,2024-05-31,INR,105.613325
RBI:FOREXRT_AVG_RN(1.0),N_A,USD,M,N_A,2025,2024,0,2024-04-30,INR,83.46235555555549
