DATAFLOW,AUDST,CURRENCY,FREQ,REPYEAREND,REPYEARSTART,UNIT_MULT,TIME_PERIOD,UNIT_MEASURE,OBS_VALUE
RBI:AVG_FOR_RAT_RN(1.0),N_A,JPY,M,2025,2024,0,2024-11-30,INR,0.5494
RBI:AVG_FOR_RAT_RN(1.0),N_A,EUR,M,2025,2024,0,2024-11-30,INR,89.6349
RBI:AVG_FOR_RAT_RN(1.0),N_A,USD,M,2025,2024,0,2024-11-30,INR,84.3644
RBI:AVG_FOR_RAT_RN(1.0),N_A,GBP,M,2025,2024,0,2024-11-30,INR,107.5732
RBI:AVG_FOR_RAT_RN(1.0),N_A,GBP,M,2025,2024,0,2024-10-31,INR,109.6486
RBI:AVG_FOR_RAT_RN(1.0),N_A,EUR,M,2025,2024,0,2024-10-31,INR,91.5743
RBI:AVG_FOR_RAT_RN(1.0),N_A,JPY,M,2025,2024,0,2024-10-31,INR,0.5609
RBI:AVG_FOR_RAT_RN(1.0),N_A,USD,M,2025,2024,0,2024-10-31,INR,84.0295
RBI:AVG_FOR_RAT_RN(1.0),N_A,EUR,M,2025,2024,0,2024-09-30,INR,93.0684
RBI:AVG_FOR_RAT_RN(1.0),N_A,JPY,M,2025,2024,0,2024-09-30,INR,0.5858
RBI:AVG_FOR_RAT_RN(1.0),N_A,GBP,M,2025,2024,0,2024-09-30,INR,110.7432
RBI:AVG_FOR_RAT_RN(1.0),N_A,USD,M,2025,2024,0,2024-09-30,INR,83.8082
RBI:AVG_FOR_RAT_RN(1.0),N_A,JPY,M,2025,2024,0,2024-08-31,INR,0.5739
RBI:AVG_FOR_RAT_RN(1.0),N_A,GBP,M,2025,2024,0,2024-08-31,INR,108.5658
RBI:AVG_FOR_RAT_RN(1.0),N_A,EUR,M,2025,2024,0,2024-08-31,INR,92.4101
RBI:AVG_FOR_RAT_RN(1.0),N_A,USD,M,2025,2024,0,2024-08-31,INR,83.8963
RBI:AVG_FOR_RAT_RN(1.0),N_A,USD,M,2025,2024,0,2024-07-31,INR,83.5947
RBI:AVG_FOR_RAT_RN(1.0),N_A,JPY,M,2025,2024,0,2024-07-31,INR,0.5292
RBI:AVG_FOR_RAT_RN(1.0),N_A,GBP,M,2025,2024,0,2024-07-31,INR,107.3732
RBI:AVG_FOR_RAT_RN(1.0),N_A,EUR,M,2025,2024,0,2024-07-31,INR,90.5941
RBI:AVG_FOR_RAT_RN(1.0),N_A,JPY,M,2025,2024,0,2024-06-30,INR,0.5286
RBI:AVG_FOR_RAT_RN(1.0),N_A,USD,M,2025,2024,0,2024-06-30,INR,83.4709
RBI:AVG_FOR_RAT_RN(1.0),N_A,EUR,M,2025,2024,0,2024-06-30,INR,89.8949
RBI:AVG_FOR_RAT_RN(1.0),N_A,GBP,M,2025,2024,0,2024-06-30,INR,106.1642
RBI:AVG_FOR_RAT_RN(1.0),N_A,USD,M,2025,2024,0,2024-04-30,INR,83.406
RBI:AVG_FOR_RAT_RN(1.0),N_A,GBP,M,2025,2024,0,2024-04-30,INR,104.375
RBI:AVG_FOR_RAT_RN(1.0),N_A,JPY,M,2025,2024,0,2024-04-30,INR,0.5421
RBI:AVG_FOR_RAT_RN(1.0),N_A,EUR,M,2025,2024,0,2024-04-30,INR,89.4364
RBI:AVG_FOR_RAT_RN(1.0),N_A,GBP,M,2024,2023,0,2024-03-31,INR,105.5369
RBI:AVG_FOR_RAT_RN(1.0),N_A,EUR,M,2024,2023,0,2024-03-31,INR,90.2684
RBI:AVG_FOR_RAT_RN(1.0),N_A,JPY,M,2024,2023,0,2024-03-31,INR,0.5542
RBI:AVG_FOR_RAT_RN(1.0),N_A,USD,M,2024,2023,0,2024-03-31,INR,82.9976
RBI:AVG_FOR_RAT_RN(1.0),N_A,USD,M,2024,2023,0,2024-02-29,INR,82.9636
RBI:AVG_FOR_RAT_RN(1.0),N_A,EUR,M,2024,2023,0,2024-02-29,INR,89.5511
RBI:AVG_FOR_RAT_RN(1.0),N_A,JPY,M,2024,2023,0,2024-02-29,INR,0.5553
