DATAFLOW,AUDST,CURRENCY,FREQ,RANGE_RT_RN,REPYEAREND,REPYEARSTART,UNIT_MULT,TIME_PERIOD,UNIT_MEASURE,OBS_VALUE
RBI:FOREX_RATE_RN(1.0),N_A,USD,M,N_A,2013,2012,0,2012-04-30,INR,221.63
RBI:FOREX_RATE_RN(1.0),N_A,GBP,M,N_A,2013,2012,0,2012-04-30,INR,333.185
RBI:FOREX_RATE_RN(1.0),N_A,GBP,M,N_A,2012,2011,0,2012-03-31,INR,319.64
RBI:FOREX_RATE_RN(1.0),N_A,EUR,M,N_A,2012,2011,0,2012-03-31,INR,266.89750000000004
RBI:FOREX_RATE_RN(1.0),N_A,USD,M,N_A,2012,2011,0,2012-03-31,INR,200.95
RBI:FOREX_RATE_RN(1.0),N_A,JPY,M,N_A,2012,2011,0,2012-03-31,INR,244.93
RBI:FOREX_RATE_RN(1.0),N_A,USD,M,N_A,2012,2011,0,2012-02-29,INR,196.64
RBI:FOREX_RATE_RN(1.0),N_A,GBP,M,N_A,2012,2011,0,2012-02-29,INR,310.2425
RBI:FOREX_RATE_RN(1.0),N_A,JPY,M,N_A,2012,2011,0,2012-02-29,INR,251.0125
RBI:FOREX_RATE_RN(1.0),N_A,EUR,M,N_A,2012,2011,0,2012-02-29,INR,259.3325
RBI:FOREX_RATE_RN(1.0),N_A,JPY,M,N_A,2012,2011,0,2012-01-31,INR,267.06499999999994
RBI:FOREX_RATE_RN(1.0),N_A,USD,M,N_A,2012,2011,0,2012-01-31,INR,205.63
RBI:FOREX_RATE_RN(1.0),N_A,EUR,M,N_A,2012,2011,0,2012-01-31,INR,267.7625
RBI:FOREX_RATE_RN(1.0),N_A,GBP,M,N_A,2012,2011,0,2012-01-31,INR,321.2825
RBI:FOREX_RATE_RN(1.0),N_A,EUR,M,N_A,2012,2011,0,2011-12-31,INR,278.72749999999996
RBI:FOREX_RATE_RN(1.0),N_A,GBP,M,N_A,2012,2011,0,2011-12-31,INR,328.02750000000003
RBI:FOREX_RATE_RN(1.0),N_A,USD,M,N_A,2012,2011,0,2011-12-31,INR,211.21
RBI:FOREX_RATE_RN(1.0),N_A,JPY,M,N_A,2012,2011,0,2011-12-31,INR,270.745
RBI:FOREX_RATE_RN(1.0),N_A,GBP,M,N_A,2012,2011,0,2011-11-30,INR,321.7925
RBI:FOREX_RATE_RN(1.0),N_A,USD,M,N_A,2012,2011,0,2011-11-30,INR,203.5
RBI:FOREX_RATE_RN(1.0),N_A,EUR,M,N_A,2012,2011,0,2011-11-30,INR,277.26750000000004
RBI:FOREX_RATE_RN(1.0),N_A,JPY,M,N_A,2012,2011,0,2011-11-30,INR,263.295
RBI:FOREX_RATE_RN(1.0),N_A,USD,M,N_A,2012,2011,0,2011-10-31,INR,197.86999999999998
RBI:FOREX_RATE_RN(1.0),N_A,JPY,M,N_A,2012,2011,0,2011-10-31,INR,253.7175
RBI:FOREX_RATE_RN(1.0),N_A,GBP,M,N_A,2012,2011,0,2011-10-31,INR,311.26
RBI:FOREX_RATE_RN(1.0),N_A,EUR,M,N_A,2012,2011,0,2011-10-31,INR,269.08000000000004
RBI:FOREX_RATE_RN(1.0),N_A,JPY,M,N_A,2012,2011,0,2011-09-30,INR,249.20749999999998
RBI:FOREX_RATE_RN(1.0),N_A,USD,M,N_A,2012,2011,0,2011-09-30,INR,191.04
RBI:FOREX_RATE_RN(1.0),N_A,GBP,M,N_A,2012,2011,0,2011-09-30,INR,300.64500000000004
RBI:FOREX_RATE_RN(1.0),N_A,EUR,M,N_A,2012,2011,0,2011-09-30,INR,261.175
RBI:FOREX_RATE_RN(1.0),N_A,JPY,M,N_A,2012,2011,0,2011-08-31,INR,231.73499999999999
RBI:FOREX_RATE_RN(1.0),N_A,USD,M,N_A,2012,2011,0,2011-08-31,INR,180.69
RBI:FOREX_RATE_RN(1.0),N_A,EUR,M,N_A,2012,2011,0,2011-08-31,INR,259.18
RBI:FOREX_RATE_RN(1.0),N_A,GBP,M,N_A,2012,2011,0,2011-08-31,INR,298.495
RBI:FOREX_RATE_RN(1.0),N_A,USD,M,N_A,2012,2011,0,2011-07-31,INR,177.26
RBI:FOREX_RATE_RN(1.0),N_A,JPY,M,N_A,2012,2011,0,2011-07-31,INR,223.07
RBI:FOREX_RATE_RN(1.0),N_A,GBP,M,N_A,2012,2011,0,2011-07-31,INR,286.48
RBI:FOREX_RATE_RN(1.0),N_A,EUR,M,N_A,2012,2011,0,2011-07-31,INR,253.76
RBI:FOREX_RATE_RN(1.0),N_A,GBP,M,N_A,2012,2011,0,2011-06-30,INR,291.46
RBI:FOREX_RATE_RN(1.0),N_A,EUR,M,N_A,2012,2011,0,2011-06-30,INR,257.78000000000003
RBI:FOREX_RATE_RN(1.0),N_A,JPY,M,N_A,2012,2011,0,2011-06-30,INR,222.59
RBI:FOREX_RATE_RN(1.0),N_A,USD,M,N_A,2012,2011,0,2011-06-30,INR,179.42
RBI:FOREX_RATE_RN(1.0),N_A,USD,M,N_A,2012,2011,0,2011-05-31,INR,179.35000000000002
RBI:FOREX_RATE_RN(1.0),N_A,JPY,M,N_A,2012,2011,0,2011-05-31,INR,220.3325
RBI:FOREX_RATE_RN(1.0),N_A,EUR,M,N_A,2012,2011,0,2011-05-31,INR,259.52750000000003
RBI:FOREX_RATE_RN(1.0),N_A,GBP,M,N_A,2012,2011,0,2011-05-31,INR,294.22249999999997
RBI:FOREX_RATE_RN(1.0),N_A,JPY,M,N_A,2012,2011,0,2011-04-30,INR,212.635
RBI:FOREX_RATE_RN(1.0),N_A,USD,M,N_A,2012,2011,0,2011-04-30,INR,177.46
RBI:FOREX_RATE_RN(1.0),N_A,EUR,M,N_A,2012,2011,0,2011-04-30,INR,257.695
RBI:FOREX_RATE_RN(1.0),N_A,GBP,M,N_A,2012,2011,0,2011-04-30,INR,291.5
RBI:FOREX_RATE_RN(1.0),N_A,GBP,M,N_A,2011,2010,0,2011-03-31,INR,290.38
RBI:FOREX_RATE_RN(1.0),N_A,JPY,M,N_A,2011,2010,0,2011-03-31,INR,222.3075
RBI:FOREX_RATE_RN(1.0),N_A,EUR,M,N_A,2011,2010,0,2011-03-31,INR,252.60500000000002
RBI:FOREX_RATE_RN(1.0),N_A,USD,M,N_A,2011,2010,0,2011-03-31,INR,179.81
RBI:FOREX_RATE_RN(1.0),N_A,USD,M,N_A,2011,2010,0,2011-02-28,INR,181.84
RBI:FOREX_RATE_RN(1.0),N_A,EUR,M,N_A,2011,2010,0,2011-02-28,INR,249.15
RBI:FOREX_RATE_RN(1.0),N_A,JPY,M,N_A,2011,2010,0,2011-02-28,INR,220.44
RBI:FOREX_RATE_RN(1.0),N_A,GBP,M,N_A,2011,2010,0,2011-02-28,INR,293.3575
RBI:FOREX_RATE_RN(1.0),N_A,USD,M,N_A,2011,2010,0,2011-01-31,INR,181.25
RBI:FOREX_RATE_RN(1.0),N_A,JPY,M,N_A,2011,2010,0,2011-01-31,INR,220.73749999999998
RBI:FOREX_RATE_RN(1.0),N_A,GBP,M,N_A,2011,2010,0,2011-01-31,INR,284.5825
RBI:FOREX_RATE_RN(1.0),N_A,EUR,M,N_A,2011,2010,0,2011-01-31,INR,242.8125
