DATAFLOW,AMOUNT_TYP_RN,AUDST,FREQ,REPYEAREND,REPYEARSTART,SMALL_SAVINGS_RN,UNIT_MULT,TIME_PERIOD,UNIT_MEASURE,OBS_VALUE
RBI:SMAL_SAV_RN(1.0),RECEIPTS,N_A,AFY,1991,1990,SSV3,0,1991-03-31,INR,3470000000
RBI:SMAL_SAV_RN(1.0),RECEIPTS,N_A,AFY,1991,1990,TTL_RECEIPTS,0,1991-03-31,INR,180160000000
RBI:SMAL_SAV_RN(1.0),OUTSTNDING,N_A,AFY,1992,1991,SSV1,0,1992-03-31,INR,202550000000
RBI:SMAL_SAV_RN(1.0),OUTSTNDING,N_A,AFY,1992,1991,SSV2,0,1992-03-31,INR,357440000000
RBI:SMAL_SAV_RN(1.0),OUTSTNDING,N_A,AFY,1992,1991,SSV3,0,1992-03-31,INR,25960000000
RBI:SMAL_SAV_RN(1.0),OUTSTNDING,N_A,AFY,1992,1991,TTL_OUTSTNDINGS,0,1992-03-31,INR,585950000000
RBI:SMAL_SAV_RN(1.0),RECEIPTS,N_A,AFY,1992,1991,SSV1,0,1992-03-31,INR,105510000000
RBI:SMAL_SAV_RN(1.0),RECEIPTS,N_A,AFY,1992,1991,SSV2,0,1992-03-31,INR,66870000000.00001
RBI:SMAL_SAV_RN(1.0),RECEIPTS,N_A,AFY,1992,1991,SSV3,0,1992-03-31,INR,0.0
RBI:SMAL_SAV_RN(1.0),RECEIPTS,N_A,AFY,1992,1991,TTL_RECEIPTS,0,1992-03-31,INR,172380000000
RBI:SMAL_SAV_RN(1.0),OUTSTNDING,N_A,AFY,1993,1992,SSV1,0,1993-03-31,INR,216940000000
RBI:SMAL_SAV_RN(1.0),OUTSTNDING,N_A,AFY,1993,1992,SSV2,0,1993-03-31,INR,387880000000
RBI:SMAL_SAV_RN(1.0),OUTSTNDING,N_A,AFY,1993,1992,SSV3,0,1993-03-31,INR,4660000000
RBI:SMAL_SAV_RN(1.0),OUTSTNDING,N_A,AFY,1993,1992,TTL_OUTSTNDINGS,0,1993-03-31,INR,609480000000
RBI:SMAL_SAV_RN(1.0),RECEIPTS,N_A,AFY,1993,1992,SSV1,0,1993-03-31,INR,101510000000
RBI:SMAL_SAV_RN(1.0),RECEIPTS,N_A,AFY,1993,1992,SSV2,0,1993-03-31,INR,74140000000
RBI:SMAL_SAV_RN(1.0),RECEIPTS,N_A,AFY,1993,1992,SSV3,0,1993-03-31,INR,1700000000
RBI:SMAL_SAV_RN(1.0),RECEIPTS,N_A,AFY,1993,1992,TTL_RECEIPTS,0,1993-03-31,INR,177350000000
RBI:SMAL_SAV_RN(1.0),OUTSTNDING,N_A,AFY,1994,1993,SSV1,0,1994-03-31,INR,236530000000
RBI:SMAL_SAV_RN(1.0),OUTSTNDING,N_A,AFY,1994,1993,SSV2,0,1994-03-31,INR,433830000000
RBI:SMAL_SAV_RN(1.0),OUTSTNDING,N_A,AFY,1994,1993,SSV3,0,1994-03-31,INR,6600000000
RBI:SMAL_SAV_RN(1.0),OUTSTNDING,N_A,AFY,1994,1993,TTL_OUTSTNDINGS,0,1994-03-31,INR,676960000000
RBI:SMAL_SAV_RN(1.0),RECEIPTS,N_A,AFY,1994,1993,SSV1,0,1994-03-31,INR,122290000000
RBI:SMAL_SAV_RN(1.0),RECEIPTS,N_A,AFY,1994,1993,SSV2,0,1994-03-31,INR,116420000000
RBI:SMAL_SAV_RN(1.0),RECEIPTS,N_A,AFY,1994,1993,SSV3,0,1994-03-31,INR,2060000000
RBI:SMAL_SAV_RN(1.0),RECEIPTS,N_A,AFY,1994,1993,TTL_RECEIPTS,0,1994-03-31,INR,240770000000
RBI:SMAL_SAV_RN(1.0),OUTSTNDING,N_A,AFY,1995,1994,SSV1,0,1995-03-31,INR,280660000000
RBI:SMAL_SAV_RN(1.0),OUTSTNDING,N_A,AFY,1995,1994,SSV2,0,1995-03-31,INR,542440000000.00006
