DATAFLOW,AUDST,FREQ,PUB_BORWING_RN,REPYEAREND,REPYEARSTART,UNIT_MULT,TIME_PERIOD,UNIT_MEASURE,OBS_VALUE
RBI:PUB_BOR_RN(1.0),N_A,AFY,PBOR3,2011,2010,0,2011-03-31,INR,4654330000000
RBI:PUB_BOR_RN(1.0),N_A,AFY,PBOR1,2011,2010,0,2011-03-31,INR,624550000000
RBI:PUB_BOR_RN(1.0),N_A,AFY,PBOR8,2011,2010,0,2011-03-31,INR,268650000000
RBI:PUB_BOR_RN(1.0),N_A,AFY,PBOR6,2011,2010,0,2011-03-31,INR,250190000000
RBI:PUB_BOR_RN(1.0),N_A,AFY,PBOR5,2011,2010,0,2011-03-31,INR,0.0
RBI:PUB_BOR_RN(1.0),N_A,AFY,PBOR7,2011,2010,0,2011-03-31,INR,-2060000000
RBI:PUB_BOR_RN(1.0),N_A,AFY,PBOR2,2011,2010,0,2011-03-31,INR,2378020000000
RBI:PUB_BOR_RN(1.0),N_A,AFY,PBOR4,2011,2010,0,2011-03-31,INR,711310000000
RBI:PUB_BOR_RN(1.0),N_A,AFY,TTL_RESOURCES,2011,2010,0,2011-03-31,INR,8884990000000
RBI:PUB_BOR_RN(1.0),N_A,AFY,PBOR7,2010,2009,0,2010-03-31,INR,-49320000000
RBI:PUB_BOR_RN(1.0),N_A,AFY,PBOR1,2010,2009,0,2010-03-31,INR,-892510000000
RBI:PUB_BOR_RN(1.0),N_A,AFY,PBOR5,2010,2009,0,2010-03-31,INR,0.0
RBI:PUB_BOR_RN(1.0),N_A,AFY,TTL_RESOURCES,2010,2009,0,2010-03-31,INR,7688280000000
RBI:PUB_BOR_RN(1.0),N_A,AFY,PBOR8,2010,2009,0,2010-03-31,INR,428180000000
RBI:PUB_BOR_RN(1.0),N_A,AFY,PBOR4,2010,2009,0,2010-03-31,INR,463840000000
RBI:PUB_BOR_RN(1.0),N_A,AFY,PBOR3,2010,2009,0,2010-03-31,INR,5275760000000
RBI:PUB_BOR_RN(1.0),N_A,AFY,PBOR6,2010,2009,0,2010-03-31,INR,196130000000
RBI:PUB_BOR_RN(1.0),N_A,AFY,PBOR2,2010,2009,0,2010-03-31,INR,2266200000000
RBI:PUB_BOR_RN(1.0),N_A,AFY,PBOR8,2009,2008,0,2009-03-31,INR,370650000000
RBI:PUB_BOR_RN(1.0),N_A,AFY,PBOR3,2009,2008,0,2009-03-31,INR,4051720000000
RBI:PUB_BOR_RN(1.0),N_A,AFY,TTL_RESOURCES,2009,2008,0,2009-03-31,INR,6887100000000
RBI:PUB_BOR_RN(1.0),N_A,AFY,PBOR7,2009,2008,0,2009-03-31,INR,-95470000000
