DATAFLOW,AUDST,FREQ,REPYEAREND,REPYEARSTART,TYP_DEF_RN,UNIT_MULT,TIME_PERIOD,UNIT_MEASURE,OBS_VALUE
RBI:CG_DEF_RN(1.0),N_A,AFY,1992,1991,DEF1,0,1992-03-31,INR,363250000000
RBI:CG_DEF_RN(1.0),N_A,AFY,1992,1991,DEF2,0,1992-03-31,INR,246220000000
RBI:CG_DEF_RN(1.0),N_A,AFY,1992,1991,DEF4,0,1992-03-31,INR,97290000000
RBI:CG_DEF_RN(1.0),N_A,AFY,1992,1991,DEF5,0,1992-03-31,INR,89610000000
RBI:CG_DEF_RN(1.0),N_A,AFY,1992,1991,DEF6,0,1992-03-31,INR,162610000000
RBI:CG_DEF_RN(1.0),N_A,AFY,1992,1991,DEF7,0,1992-03-31,INR,-103350000000
RBI:CG_DEF_RN(1.0),N_A,AFY,1993,1992,CE5,0,1993-03-31,INR,1162620000000
RBI:CG_DEF_RN(1.0),N_A,AFY,1993,1992,CGB3,0,1993-03-31,INR,42570000000
RBI:CG_DEF_RN(1.0),N_A,AFY,1993,1992,CGR3,0,1993-03-31,INR,760890000000
RBI:CG_DEF_RN(1.0),N_A,AFY,1993,1992,DEF1,0,1993-03-31,INR,401730000000
RBI:CG_DEF_RN(1.0),N_A,AFY,1993,1992,DEF2,0,1993-03-31,INR,302320000000
RBI:CG_DEF_RN(1.0),N_A,AFY,1993,1992,DEF4,0,1993-03-31,INR,90980000000
RBI:CG_DEF_RN(1.0),N_A,AFY,1993,1992,DEF5,0,1993-03-31,INR,116440000000
RBI:CG_DEF_RN(1.0),N_A,AFY,1993,1992,DEF6,0,1993-03-31,INR,185740000000
RBI:CG_DEF_RN(1.0),N_A,AFY,1993,1992,DEF7,0,1993-03-31,INR,-125010000000
RBI:CG_DEF_RN(1.0),N_A,AFY,1994,1993,CE5,0,1994-03-31,INR,1356620000000
RBI:CG_DEF_RN(1.0),N_A,AFY,1994,1993,CGB3,0,1994-03-31,INR,2600000000
RBI:CG_DEF_RN(1.0),N_A,AFY,1994,1993,CGR3,0,1994-03-31,INR,754050000000
RBI:CG_DEF_RN(1.0),N_A,AFY,1994,1993,DEF1,0,1994-03-31,INR,602570000000
RBI:CG_DEF_RN(1.0),N_A,AFY,1994,1993,DEF2,0,1994-03-31,INR,459940000000
RBI:CG_DEF_RN(1.0),N_A,AFY,1994,1993,DEF4,0,1994-03-31,INR,235160000000
RBI:CG_DEF_RN(1.0),N_A,AFY,1994,1993,DEF5,0,1994-03-31,INR,243310000000
RBI:CG_DEF_RN(1.0),N_A,AFY,1994,1993,DEF6,0,1994-03-31,INR,327160000000
RBI:CG_DEF_RN(1.0),N_A,AFY,1994,1993,DEF7,0,1994-03-31,INR,-40250000000
RBI:CG_DEF_RN(1.0),N_A,AFY,1995,1994,CE5,0,1995-03-31,INR,1543940000000
RBI:CG_DEF_RN(1.0),N_A,AFY,1995,1994,CGB3,0,1995-03-31,INR,21300000000
RBI:CG_DEF_RN(1.0),N_A,AFY,1995,1994,CGR3,0,1995-03-31,INR,966910000000
RBI:CG_DEF_RN(1.0),N_A,AFY,1995,1994,DEF1,0,1995-03-31,INR,577030000000
RBI:CG_DEF_RN(1.0),N_A,AFY,1995,1994,DEF2,0,1995-03-31,INR,403130000000
RBI:CG_DEF_RN(1.0),N_A,AFY,1995,1994,DEF4,0,1995-03-31,INR,136440000000
