DATAFLOW,AUDST,FREQ,REPYEAREND,REPYEARSTART,UNIT_MULT,TIME_PERIOD,UNIT_MEASURE,OBS_VALUE
RBI:CG_DEFM_RN(1.0),N_A,M,2020,2019,0,2020-02-29,INR,510130000000
RBI:CG_DEFM_RN(1.0),N_A,M,2020,2019,0,2020-01-31,INR,537470000000
RBI:CG_DEFM_RN(1.0),N_A,M,2020,2019,0,2019-12-31,INR,1238910000000
RBI:CG_DEFM_RN(1.0),N_A,M,2020,2019,0,2019-11-30,INR,873890000000
RBI:CG_DEFM_RN(1.0),N_A,M,2020,2019,0,2019-10-31,INR,688910000000
RBI:CG_DEFM_RN(1.0),N_A,M,2020,2019,0,2019-09-30,INR,977140000000
RBI:CG_DEFM_RN(1.0),N_A,M,2020,2019,0,2019-08-31,INR,62350000000
RBI:CG_DEFM_RN(1.0),N_A,M,2020,2019,0,2019-07-31,INR,1155500000000
RBI:CG_DEFM_RN(1.0),N_A,M,2020,2019,0,2019-06-30,INR,658980000000
RBI:CG_DEFM_RN(1.0),N_A,M,2020,2019,0,2019-05-31,INR,2091090000000
RBI:CG_DEFM_RN(1.0),N_A,M,2020,2019,0,2019-04-30,INR,1570480000000
RBI:CG_DEFM_RN(1.0),N_A,M,2019,2018,0,2019-03-31,INR,-2020810000000
RBI:CG_DEFM_RN(1.0),N_A,M,2019,2018,0,2019-02-28,INR,806540000000
RBI:CG_DEFM_RN(1.0),N_A,M,2019,2018,0,2019-01-31,INR,693880000000
RBI:CG_DEFM_RN(1.0),N_A,M,2019,2018,0,2018-12-31,INR,-151680000000
RBI:CG_DEFM_RN(1.0),N_A,M,2019,2018,0,2018-11-30,INR,680420000000
RBI:CG_DEFM_RN(1.0),N_A,M,2019,2018,0,2018-10-31,INR,538510000000
RBI:CG_DEFM_RN(1.0),N_A,M,2019,2018,0,2018-09-30,INR,34410000000
RBI:CG_DEFM_RN(1.0),N_A,M,2019,2018,0,2018-08-31,INR,510340000000
RBI:CG_DEFM_RN(1.0),N_A,M,2019,2018,0,2018-07-31,INR,1112240000000
RBI:CG_DEFM_RN(1.0),N_A,M,2019,2018,0,2018-06-30,INR,835400000000
RBI:CG_DEFM_RN(1.0),N_A,M,2019,2018,0,2018-05-31,INR,1935260000000
RBI:CG_DEFM_RN(1.0),N_A,M,2019,2018,0,2018-04-30,INR,1519670000000
RBI:CG_DEFM_RN(1.0),N_A,M,2018,2017,0,2018-03-31,INR,-1240360000000
RBI:CG_DEFM_RN(1.0),N_A,M,2018,2017,0,2018-02-28,INR,391400000000
RBI:CG_DEFM_RN(1.0),N_A,M,2018,2017,0,2018-01-31,INR,556100000000
RBI:CG_DEFM_RN(1.0),N_A,M,2018,2017,0,2017-12-31,INR,88440000000
RBI:CG_DEFM_RN(1.0),N_A,M,2018,2017,0,2017-11-30,INR,867850000000
RBI:CG_DEFM_RN(1.0),N_A,M,2018,2017,0,2017-10-31,INR,263820000000
RBI:CG_DEFM_RN(1.0),N_A,M,2018,2017,0,2017-09-30,INR,-261070000000
RBI:CG_DEFM_RN(1.0),N_A,M,2018,2017,0,2017-08-31,INR,201490000000
RBI:CG_DEFM_RN(1.0),N_A,M,2018,2017,0,2017-07-31,INR,632110000000
RBI:CG_DEFM_RN(1.0),N_A,M,2018,2017,0,2017-06-30,INR,683250000000
RBI:CG_DEFM_RN(1.0),N_A,M,2018,2017,0,2017-05-31,INR,1677400000000
RBI:CG_DEFM_RN(1.0),N_A,M,2018,2017,0,2017-04-30,INR,2056220000000
RBI:CG_DEFM_RN(1.0),N_A,M,2017,2016,0,2017-03-31,INR,-699960000000
RBI:CG_DEFM_RN(1.0),N_A,M,2017,2016,0,2017-02-28,INR,414220000000
RBI:CG_DEFM_RN(1.0),N_A,M,2017,2016,0,2017-01-31,INR,629420000000
RBI:CG_DEFM_RN(1.0),N_A,M,2017,2016,0,2016-12-31,INR,432540000000
RBI:CG_DEFM_RN(1.0),N_A,M,2017,2016,0,2016-11-30,INR,344890000000
RBI:CG_DEFM_RN(1.0),N_A,M,2017,2016,0,2016-10-31,INR,-244810000000
RBI:CG_DEFM_RN(1.0),N_A,M,2017,2016,0,2016-09-30,INR,401680000000
RBI:CG_DEFM_RN(1.0),N_A,M,2017,2016,0,2016-08-31,INR,143330000000
RBI:CG_DEFM_RN(1.0),N_A,M,2017,2016,0,2016-07-31,INR,671640000000
RBI:CG_DEFM_RN(1.0),N_A,M,2017,2016,0,2016-06-30,INR,973370000000
RBI:CG_DEFM_RN(1.0),N_A,M,2017,2016,0,2016-05-31,INR,916600000000
RBI:CG_DEFM_RN(1.0),N_A,M,2017,2016,0,2016-04-30,INR,1373260000000
RBI:CG_DEFM_RN(1.0),N_A,M,2016,2015,0,2016-03-31,INR,-400810000000
RBI:CG_DEFM_RN(1.0),N_A,M,2016,2015,0,2016-02-29,INR,405910000000
RBI:CG_DEFM_RN(1.0),N_A,M,2016,2015,0,2016-01-31,INR,440960000000
RBI:CG_DEFM_RN(1.0),N_A,M,2016,2015,0,2015-12-31,INR,46620000000
RBI:CG_DEFM_RN(1.0),N_A,M,2016,2015,0,2015-11-30,INR,722770000000
RBI:CG_DEFM_RN(1.0),N_A,M,2016,2015,0,2015-10-31,INR,326830000000
RBI:CG_DEFM_RN(1.0),N_A,M,2016,2015,0,2015-09-30,INR,92680000000
RBI:CG_DEFM_RN(1.0),N_A,M,2016,2015,0,2015-08-31,INR,-158080000000
RBI:CG_DEFM_RN(1.0),N_A,M,2016,2015,0,2015-07-31,INR,984080000000
RBI:CG_DEFM_RN(1.0),N_A,M,2016,2015,0,2015-06-30,INR,780710000000
RBI:CG_DEFM_RN(1.0),N_A,M,2016,2015,0,2015-05-31,INR,811010000000
RBI:CG_DEFM_RN(1.0),N_A,M,2016,2015,0,2015-04-30,INR,1275230000000
RBI:CG_DEFM_RN(1.0),N_A,M,2015,2014,0,2015-03-31,INR,-917170000000
