DATAFLOW,AUDST,FREQ,REPYEAREND,REPYEARSTART,TYP_LIAB_RN,UNIT_MULT,TIME_PERIOD,UNIT_MEASURE,OBS_VALUE
RBI:CGL_RN(1.0),N_A,AFY,2021,2020,TL1104,0,2021-03-31,INR,22219830700000
RBI:CGL_RN(1.0),N_A,AFY,2021,2020,TL14,0,2021-03-31,INR,3339480000000
RBI:CGL_RN(1.0),N_A,AFY,2021,2020,TL2,0,2021-03-31,INR,6148290000000
RBI:CGL_RN(1.0),N_A,AFY,2021,2020,TL13,0,2021-03-31,INR,4255850000000
RBI:CGL_RN(1.0),N_A,AFY,2021,2020,TL11,0,2021-03-31,INR,100480780700000
RBI:CGL_RN(1.0),N_A,AFY,2021,2020,TL1102,0,2021-03-31,INR,932970000000
RBI:CGL_RN(1.0),N_A,AFY,2021,2020,TL1103,0,2021-03-31,INR,5976540000000
RBI:CGL_RN(1.0),N_A,AFY,2020,2019,TL12,0,2020-03-31,INR,11613938300000
RBI:CGL_RN(1.0),N_A,AFY,2020,2019,TL2,0,2020-03-31,INR,5443935100000
RBI:CGL_RN(1.0),N_A,AFY,2020,2019,TL1103,0,2020-03-31,INR,3758266000000
RBI:CGL_RN(1.0),N_A,AFY,2020,2019,TL1,0,2020-03-31,INR,100110938000000
RBI:CGL_RN(1.0),N_A,AFY,2020,2019,TL1102,0,2020-03-31,INR,825833800000
RBI:CGL_RN(1.0),N_A,AFY,2020,2019,TL13,0,2020-03-31,INR,4128958400000
RBI:CGL_RN(1.0),N_A,AFY,2020,2019,TL1101,0,2020-03-31,INR,59861272100000
RBI:CGL_RN(1.0),N_A,AFY,2020,2019,TL11,0,2020-03-31,INR,81323605400000
RBI:CGL_RN(1.0),N_A,AFY,2020,2019,TTL_LIABLITIES,0,2020-03-31,INR,105554873100000
RBI:CGL_RN(1.0),N_A,AFY,2020,2019,TL1104,0,2020-03-31,INR,16878233500000
RBI:CGL_RN(1.0),N_A,AFY,2020,2019,TL14,0,2020-03-31,INR,3044435900000
RBI:CGL_RN(1.0),N_A,AFY,2019,2018,TL1102,0,2019-03-31,INR,921834500000
RBI:CGL_RN(1.0),N_A,AFY,2019,2018,TL11,0,2019-03-31,INR,71648054100000
RBI:CGL_RN(1.0),N_A,AFY,2019,2018,TL12,0,2019-03-31,INR,11094835800000
RBI:CGL_RN(1.0),N_A,AFY,2019,2018,TL1101,0,2019-03-31,INR,55001411000000
RBI:CGL_RN(1.0),N_A,AFY,2019,2018,TL1,0,2019-03-31,INR,89034180000000
RBI:CGL_RN(1.0),N_A,AFY,2019,2018,TL2,0,2019-03-31,INR,4744390000000
RBI:CGL_RN(1.0),N_A,AFY,2019,2018,TL13,0,2019-03-31,INR,3266193500000
RBI:CGL_RN(1.0),N_A,AFY,2019,2018,TL1103,0,2019-03-31,INR,3286988100000
RBI:CGL_RN(1.0),N_A,AFY,2019,2018,TTL_LIABLITIES,0,2019-03-31,INR,93778570000000
RBI:CGL_RN(1.0),N_A,AFY,2019,2018,TL14,0,2019-03-31,INR,3025099400000
RBI:CGL_RN(1.0),N_A,AFY,2019,2018,TL1104,0,2019-03-31,INR,12437820500000
RBI:CGL_RN(1.0),N_A,AFY,2018,2017,TL11,0,2018-03-31,INR,64255370000000
RBI:CGL_RN(1.0),N_A,AFY,2018,2017,TL13,0,2018-03-31,INR,3246320000000
RBI:CGL_RN(1.0),N_A,AFY,2018,2017,TL1101,0,2018-03-31,INR,50684080000000
RBI:CGL_RN(1.0),N_A,AFY,2018,2017,TL12,0,2018-03-31,INR,10064220000000
RBI:CGL_RN(1.0),N_A,AFY,2018,2017,TL1104,0,2018-03-31,INR,9718460000000
RBI:CGL_RN(1.0),N_A,AFY,2018,2017,TL14,0,2018-03-31,INR,2527580000000
RBI:CGL_RN(1.0),N_A,AFY,2018,2017,TL1102,0,2018-03-31,INR,1387260000000
RBI:CGL_RN(1.0),N_A,AFY,2018,2017,TTL_LIABLITIES,0,2018-03-31,INR,84546310000000
RBI:CGL_RN(1.0),N_A,AFY,2018,2017,TL2,0,2018-03-31,INR,4452820000000
RBI:CGL_RN(1.0),N_A,AFY,2018,2017,TL1,0,2018-03-31,INR,80093490000000
RBI:CGL_RN(1.0),N_A,AFY,2018,2017,TL1103,0,2018-03-31,INR,2465570000000
RBI:CGL_RN(1.0),N_A,AFY,2017,2016,TL13,0,2017-03-31,INR,3218567600000
RBI:CGL_RN(1.0),N_A,AFY,2017,2016,TL12,0,2017-03-31,INR,9361370000000
RBI:CGL_RN(1.0),N_A,AFY,2017,2016,TL1102,0,2017-03-31,INR,1068400500000
RBI:CGL_RN(1.0),N_A,AFY,2017,2016,TL11,0,2017-03-31,INR,57508760000000
RBI:CGL_RN(1.0),N_A,AFY,2017,2016,TL1,0,2017-03-31,INR,72169700000000
RBI:CGL_RN(1.0),N_A,AFY,2017,2016,TTL_LIABLITIES,0,2017-03-31,INR,76250780000000
RBI:CGL_RN(1.0),N_A,AFY,2017,2016,TL14,0,2017-03-31,INR,2080994500000
RBI:CGL_RN(1.0),N_A,AFY,2017,2016,TL1104,0,2017-03-31,INR,7665869000000
RBI:CGL_RN(1.0),N_A,AFY,2017,2016,TL1103,0,2017-03-31,INR,2279620500000
RBI:CGL_RN(1.0),N_A,AFY,2017,2016,TL2,0,2017-03-31,INR,4081082600000
RBI:CGL_RN(1.0),N_A,AFY,2017,2016,TL1101,0,2017-03-31,INR,46494870000000
RBI:CGL_RN(1.0),N_A,AFY,2016,2015,TL12,0,2016-03-31,INR,8685612000000
RBI:CGL_RN(1.0),N_A,AFY,2016,2015,TL13,0,2016-03-31,INR,3198000400000
RBI:CGL_RN(1.0),N_A,AFY,2016,2015,TL14,0,2016-03-31,INR,1985124800000
