DATAFLOW,AUDST,FREQ,REPYEAREND,REPYEARSTART,SECTOR_RN,UNIT_MULT,TIME_PERIOD,UNIT_MEASURE,OBS_VALUE
RBI:PSPOUTLY_RN(1.0),N_A,AFY,2012,2011,SEC8,0,2012-03-31,INR,0.0
RBI:PSPOUTLY_RN(1.0),N_A,AFY,2012,2011,SEC2,0,2012-03-31,INR,804390000000
RBI:PSPOUTLY_RN(1.0),N_A,AFY,2012,2011,SEC3,0,2012-03-31,INR,609930000000
RBI:PSPOUTLY_RN(1.0),N_A,AFY,2012,2011,SEC1,0,2012-03-31,INR,460370000000
RBI:PSPOUTLY_RN(1.0),N_A,AFY,2012,2011,SEC4,0,2012-03-31,INR,1947590000000
RBI:PSPOUTLY_RN(1.0),N_A,AFY,2011,2010,SEC2,0,2011-03-31,INR,771010000000
RBI:PSPOUTLY_RN(1.0),N_A,AFY,2011,2010,SEC6,0,2011-03-31,INR,1395410000000
RBI:PSPOUTLY_RN(1.0),N_A,AFY,2011,2010,SEC8,0,2011-03-31,INR,0.0
RBI:PSPOUTLY_RN(1.0),N_A,AFY,2011,2010,SEC3,0,2011-03-31,INR,460490000000
RBI:PSPOUTLY_RN(1.0),N_A,AFY,2011,2010,SEC5,0,2011-03-31,INR,450560000000
RBI:PSPOUTLY_RN(1.0),N_A,AFY,2011,2010,SEC4,0,2011-03-31,INR,1502510000000
RBI:PSPOUTLY_RN(1.0),N_A,AFY,2011,2010,SEC7,0,2011-03-31,INR,0.0
RBI:PSPOUTLY_RN(1.0),N_A,AFY,2011,2010,SEC9,0,2011-03-31,INR,3279000000000
RBI:PSPOUTLY_RN(1.0),N_A,AFY,2011,2010,SEC1,0,2011-03-31,INR,403700000000
RBI:PSPOUTLY_RN(1.0),N_A,AFY,2011,2010,TTL,0,2011-03-31,INR,8262680000000
RBI:PSPOUTLY_RN(1.0),N_A,AFY,2010,2009,SEC4,0,2010-03-31,INR,1483720000000
RBI:PSPOUTLY_RN(1.0),N_A,AFY,2010,2009,TTL,0,2010-03-31,INR,7170350000000
RBI:PSPOUTLY_RN(1.0),N_A,AFY,2010,2009,SEC8,0,2010-03-31,INR,0.0
RBI:PSPOUTLY_RN(1.0),N_A,AFY,2010,2009,SEC2,0,2010-03-31,INR,664900000000
RBI:PSPOUTLY_RN(1.0),N_A,AFY,2010,2009,SEC5,0,2010-03-31,INR,390410000000
RBI:PSPOUTLY_RN(1.0),N_A,AFY,2010,2009,SEC9,0,2010-03-31,INR,2634250000000
RBI:PSPOUTLY_RN(1.0),N_A,AFY,2010,2009,SEC6,0,2010-03-31,INR,1273560000000
RBI:PSPOUTLY_RN(1.0),N_A,AFY,2010,2009,SEC3,0,2010-03-31,INR,428530000000
RBI:PSPOUTLY_RN(1.0),N_A,AFY,2010,2009,SEC7,0,2010-03-31,INR,0.0
RBI:PSPOUTLY_RN(1.0),N_A,AFY,2010,2009,SEC1,0,2010-03-31,INR,294980000000
RBI:PSPOUTLY_RN(1.0),N_A,AFY,2009,2008,SEC4,0,2009-03-31,INR,1062120000000
RBI:PSPOUTLY_RN(1.0),N_A,AFY,2009,2008,SEC6,0,2009-03-31,INR,1050640000000
