DATAFLOW,AUDST,FREQ,REPYEAREND,REPYEARSTART,TYP_CGRECPT_RN,UNIT_MULT,TIME_PERIOD,UNIT_MEASURE,OBS_VALUE
RBI:CG_RECPT_RN(1.0),N_A,AFY,2024,2023,CGR27,0,2024-03-31,INR,551212700000
RBI:CG_RECPT_RN(1.0),N_A,AFY,2024,2023,TTL_RECEIPTS,0,2024-03-31,INR,44426524000000
RBI:CG_RECPT_RN(1.0),N_A,AFY,2024,2023,CGR11,0,2024-03-31,INR,23272505500000
RBI:CG_RECPT_RN(1.0),N_A,AFY,2024,2023,CGR1101,0,2024-03-31,INR,12337590000000
RBI:CG_RECPT_RN(1.0),N_A,AFY,2024,2023,CGR1,0,2024-03-31,INR,27290358900000
RBI:CG_RECPT_RN(1.0),N_A,AFY,2024,2023,CGR23,0,2024-03-31,INR,50588500000
RBI:CG_RECPT_RN(1.0),N_A,AFY,2024,2023,CGR11021,0,2024-03-31,INR,2936030000000
RBI:CG_RECPT_RN(1.0),N_A,AFY,2024,2023,CGR12,0,2024-03-31,INR,4017853400000.0005
RBI:CG_RECPT_RN(1.0),N_A,AFY,2023,2022,CGR26,0,2023-03-31,INR,460350000000
RBI:CG_RECPT_RN(1.0),N_A,AFY,2023,2022,CGR11011,0,2023-03-31,INR,5294159200000
RBI:CG_RECPT_RN(1.0),N_A,AFY,2023,2022,CGR11022,0,2023-03-31,INR,1554632300000
RBI:CG_RECPT_RN(1.0),N_A,AFY,2023,2022,CGR23,0,2023-03-31,INR,50885500000
RBI:CG_RECPT_RN(1.0),N_A,AFY,2023,2022,CGR11021,0,2023-03-31,INR,3055173700000
RBI:CG_RECPT_RN(1.0),N_A,AFY,2023,2022,CGR1101,0,2023-03-31,INR,10521194600000
RBI:CG_RECPT_RN(1.0),N_A,AFY,2023,2022,CGR27,0,2023-03-31,INR,371237500000
RBI:CG_RECPT_RN(1.0),N_A,AFY,2023,2022,OTHR,0,2023-03-31,INR,1930451600000
RBI:CG_RECPT_RN(1.0),N_A,AFY,2023,2022,CGR11,0,2023-03-31,INR,20977858200000
RBI:CG_RECPT_RN(1.0),N_A,AFY,2023,2022,OTHE,0,2023-03-31,INR,2575687700000
RBI:CG_RECPT_RN(1.0),N_A,AFY,2023,2022,TTL_RECEIPTS,0,2023-03-31,INR,41947790000000
RBI:CG_RECPT_RN(1.0),N_A,AFY,2023,2022,OTH,0,2023-03-31,INR,5846857600000
RBI:CG_RECPT_RN(1.0),N_A,AFY,2023,2022,CGR1201,0,2023-03-31,INR,278522300000
RBI:CG_RECPT_RN(1.0),N_A,AFY,2023,2022,CGR22,0,2023-03-31,INR,3958597300000
RBI:CG_RECPT_RN(1.0),N_A,AFY,2023,2022,CGR1,0,2023-03-31,INR,23832060000000
RBI:CG_RECPT_RN(1.0),N_A,AFY,2023,2022,CGR12,0,2023-03-31,INR,2854210000000
RBI:CG_RECPT_RN(1.0),N_A,AFY,2023,2022,CGR1102,0,2023-03-31,INR,10456663600000
RBI:CG_RECPT_RN(1.0),N_A,AFY,2023,2022,CGR2,0,2023-03-31,INR,18115728700000
