DATAFLOW,AUDST,FREQ,REPYEAREND,REPYEARSTART,TYP_CGEXP_RN,UNIT_MULT,TIME_PERIOD,UNIT_MEASURE,OBS_VALUE
RBI:CG_EXP_RN(1.0),N_A,AFY,2021,2020,CE22,0,2021-03-31,INR,4263173900000
RBI:CG_EXP_RN(1.0),N_A,AFY,2021,2020,CE2103,0,2021-03-31,INR,7581653400000
RBI:CG_EXP_RN(1.0),N_A,AFY,2021,2020,CE2201,0,2021-03-31,INR,1104909400000
RBI:CG_EXP_RN(1.0),N_A,AFY,2021,2020,CE2102,0,2021-03-31,INR,6798690000000
RBI:CG_EXP_RN(1.0),N_A,AFY,2021,2020,CE2101,0,2021-03-31,INR,2057885900000
RBI:CG_EXP_RN(1.0),N_A,AFY,2021,2020,CE220202,0,2021-03-31,INR,1815215299999.9998
RBI:CG_EXP_RN(1.0),N_A,AFY,2021,2020,CE2,0,2021-03-31,INR,35098363900000
RBI:CG_EXP_RN(1.0),N_A,AFY,2021,2020,CE2104,0,2021-03-31,INR,14396960700000
RBI:CG_EXP_RN(1.0),N_A,AFY,2021,2020,CE21,0,2021-03-31,INR,30835190000000
RBI:CG_EXP_RN(1.0),N_A,AFY,2021,2020,CE2202,0,2021-03-31,INR,3158264500000
RBI:CG_EXP_RN(1.0),N_A,AFY,2020,2019,CE2103,0,2020-03-31,INR,2623041000000
RBI:CG_EXP_RN(1.0),N_A,AFY,2020,2019,CE2202,0,2020-03-31,INR,3113119500000
RBI:CG_EXP_RN(1.0),N_A,AFY,2020,2019,CE2104,0,2020-03-31,INR,12686580600000
RBI:CG_EXP_RN(1.0),N_A,AFY,2020,2019,CE220201,0,2020-03-31,INR,1110924300000
RBI:CG_EXP_RN(1.0),N_A,AFY,2020,2019,CE2201,0,2020-03-31,INR,244136699999.99997
RBI:CG_EXP_RN(1.0),N_A,AFY,2020,2019,CE2101,0,2020-03-31,INR,2075721500000
RBI:CG_EXP_RN(1.0),N_A,AFY,2020,2019,CE2,0,2020-03-31,INR,26863299500000
RBI:CG_EXP_RN(1.0),N_A,AFY,2020,2019,CE22,0,2020-03-31,INR,3357256200000
RBI:CG_EXP_RN(1.0),N_A,AFY,2020,2019,CE220202,0,2020-03-31,INR,2002195200000
RBI:CG_EXP_RN(1.0),N_A,AFY,2020,2019,CE2102,0,2020-03-31,INR,6120700200000
RBI:CG_EXP_RN(1.0),N_A,AFY,2020,2019,CE21,0,2020-03-31,INR,23506043300000
RBI:CG_EXP_RN(1.0),N_A,AFY,2019,2018,CE2101,0,2019-03-31,INR,1955715700000
RBI:CG_EXP_RN(1.0),N_A,AFY,2019,2018,CE21,0,2019-03-31,INR,20073990900000
RBI:CG_EXP_RN(1.0),N_A,AFY,2019,2018,CE220202,0,2019-03-31,INR,1842616200000
RBI:CG_EXP_RN(1.0),N_A,AFY,2019,2018,CE2,0,2019-03-31,INR,23151126100000
RBI:CG_EXP_RN(1.0),N_A,AFY,2019,2018,CE2104,0,2019-03-31,INR,10062253200000
RBI:CG_EXP_RN(1.0),N_A,AFY,2019,2018,CE2102,0,2019-03-31,INR,5826484500000
RBI:CG_EXP_RN(1.0),N_A,AFY,2019,2018,CE22,0,2019-03-31,INR,3077135200000
RBI:CG_EXP_RN(1.0),N_A,AFY,2019,2018,CE2103,0,2019-03-31,INR,2229537500000
RBI:CG_EXP_RN(1.0),N_A,AFY,2019,2018,CE2202,0,2019-03-31,INR,2794922100000
RBI:CG_EXP_RN(1.0),N_A,AFY,2019,2018,CE2201,0,2019-03-31,INR,282213100000
RBI:CG_EXP_RN(1.0),N_A,AFY,2019,2018,CE220201,0,2019-03-31,INR,952305900000
RBI:CG_EXP_RN(1.0),N_A,AFY,2018,2017,CE21,0,2018-03-31,INR,18788330000000
RBI:CG_EXP_RN(1.0),N_A,AFY,2018,2017,CE2202,0,2018-03-31,INR,2451125900000
RBI:CG_EXP_RN(1.0),N_A,AFY,2018,2017,CE2103,0,2018-03-31,INR,2244551500000
RBI:CG_EXP_RN(1.0),N_A,AFY,2018,2017,CE2,0,2018-03-31,INR,21419725400000
RBI:CG_EXP_RN(1.0),N_A,AFY,2018,2017,CE2201,0,2018-03-31,INR,180269500000
RBI:CG_EXP_RN(1.0),N_A,AFY,2018,2017,CE2101,0,2018-03-31,INR,1861272500000
RBI:CG_EXP_RN(1.0),N_A,AFY,2018,2017,CE220202,0,2018-03-31,INR,1546673500000
RBI:CG_EXP_RN(1.0),N_A,AFY,2018,2017,CE22,0,2018-03-31,INR,2631395400000
RBI:CG_EXP_RN(1.0),N_A,AFY,2018,2017,CE2104,0,2018-03-31,INR,9392986100000
RBI:CG_EXP_RN(1.0),N_A,AFY,2018,2017,CE2102,0,2018-03-31,INR,5289519900000
RBI:CG_EXP_RN(1.0),N_A,AFY,2018,2017,CE220201,0,2018-03-31,INR,904452400000
RBI:CG_EXP_RN(1.0),N_A,AFY,2017,2016,CE2103,0,2017-03-31,INR,2348088700000
RBI:CG_EXP_RN(1.0),N_A,AFY,2017,2016,CE220201,0,2017-03-31,INR,863709200000
RBI:CG_EXP_RN(1.0),N_A,AFY,2017,2016,CE2201,0,2017-03-31,INR,368098500000
RBI:CG_EXP_RN(1.0),N_A,AFY,2017,2016,CE2,0,2017-03-31,INR,19751937100000
RBI:CG_EXP_RN(1.0),N_A,AFY,2017,2016,CE2104,0,2017-03-31,INR,8096516200000
RBI:CG_EXP_RN(1.0),N_A,AFY,2017,2016,CE2102,0,2017-03-31,INR,4807139700000
RBI:CG_EXP_RN(1.0),N_A,AFY,2017,2016,CE21,0,2017-03-31,INR,16905842300000
RBI:CG_EXP_RN(1.0),N_A,AFY,2017,2016,CE22,0,2017-03-31,INR,2846094800000
RBI:CG_EXP_RN(1.0),N_A,AFY,2017,2016,CE220202,0,2017-03-31,INR,1614287100000
RBI:CG_EXP_RN(1.0),N_A,AFY,2017,2016,CE2101,0,2017-03-31,INR,1654097700000
RBI:CG_EXP_RN(1.0),N_A,AFY,2017,2016,CE2202,0,2017-03-31,INR,2477996300000
RBI:CG_EXP_RN(1.0),N_A,AFY,2016,2015,CE2103,0,2016-03-31,INR,2641055000000
RBI:CG_EXP_RN(1.0),N_A,AFY,2016,2015,CE2104,0,2016-03-31,INR,6860601800000
RBI:CG_EXP_RN(1.0),N_A,AFY,2016,2015,CE2101,0,2016-03-31,INR,1459365100000
RBI:CG_EXP_RN(1.0),N_A,AFY,2016,2015,CE22,0,2016-03-31,INR,2530216400000
RBI:CG_EXP_RN(1.0),N_A,AFY,2016,2015,CE220201,0,2016-03-31,INR,799583200000.0001
RBI:CG_EXP_RN(1.0),N_A,AFY,2016,2015,CE2201,0,2016-03-31,INR,263369000000
RBI:CG_EXP_RN(1.0),N_A,AFY,2016,2015,CE2202,0,2016-03-31,INR,2266847400000
RBI:CG_EXP_RN(1.0),N_A,AFY,2016,2015,CE220202,0,2016-03-31,INR,1467264200000
RBI:CG_EXP_RN(1.0),N_A,AFY,2016,2015,CE2,0,2016-03-31,INR,17907826900000
RBI:CG_EXP_RN(1.0),N_A,AFY,2016,2015,CE2102,0,2016-03-31,INR,4416588600000
RBI:CG_EXP_RN(1.0),N_A,AFY,2016,2015,CE21,0,2016-03-31,INR,15377610500000
RBI:CG_EXP_RN(1.0),N_A,AFY,2015,2014,CE21,0,2015-03-31,INR,14669920000000
RBI:CG_EXP_RN(1.0),N_A,AFY,2015,2014,CE2201,0,2015-03-31,INR,292180500000
RBI:CG_EXP_RN(1.0),N_A,AFY,2015,2014,CE2101,0,2015-03-31,INR,1368070000000
RBI:CG_EXP_RN(1.0),N_A,AFY,2015,2014,CE2102,0,2015-03-31,INR,4024440000000
RBI:CG_EXP_RN(1.0),N_A,AFY,2015,2014,CE220201,0,2015-03-31,INR,818870000000
RBI:CG_EXP_RN(1.0),N_A,AFY,2015,2014,CE2103,0,2015-03-31,INR,2582580000000
RBI:CG_EXP_RN(1.0),N_A,AFY,2015,2014,CE22,0,2015-03-31,INR,1966813200000
RBI:CG_EXP_RN(1.0),N_A,AFY,2015,2014,CE2,0,2015-03-31,INR,16636733200000
RBI:CG_EXP_RN(1.0),N_A,AFY,2015,2014,CE220202,0,2015-03-31,INR,855762700000
RBI:CG_EXP_RN(1.0),N_A,AFY,2015,2014,CE2104,0,2015-03-31,INR,6694830000000
RBI:CG_EXP_RN(1.0),N_A,AFY,2015,2014,CE2202,0,2015-03-31,INR,1674632700000
RBI:CG_EXP_RN(1.0),N_A,AFY,2014,2013,CE220202,0,2014-03-31,INR,893525100000
RBI:CG_EXP_RN(1.0),N_A,AFY,2014,2013,CE21,0,2014-03-31,INR,13717720000000
RBI:CG_EXP_RN(1.0),N_A,AFY,2014,2013,CE2,0,2014-03-31,INR,15594470800000
RBI:CG_EXP_RN(1.0),N_A,AFY,2014,2013,CE2104,0,2014-03-31,INR,6185120000000
RBI:CG_EXP_RN(1.0),N_A,AFY,2014,2013,CE2101,0,2014-03-31,INR,1243740000000
RBI:CG_EXP_RN(1.0),N_A,AFY,2014,2013,CE2202,0,2014-03-31,INR,1684775100000
RBI:CG_EXP_RN(1.0),N_A,AFY,2014,2013,CE2201,0,2014-03-31,INR,191975700000
RBI:CG_EXP_RN(1.0),N_A,AFY,2014,2013,CE220201,0,2014-03-31,INR,791250000000
RBI:CG_EXP_RN(1.0),N_A,AFY,2014,2013,CE2102,0,2014-03-31,INR,3742540000000
RBI:CG_EXP_RN(1.0),N_A,AFY,2014,2013,CE2103,0,2014-03-31,INR,2546320000000
RBI:CG_EXP_RN(1.0),N_A,AFY,2014,2013,CE22,0,2014-03-31,INR,1876750800000
RBI:CG_EXP_RN(1.0),N_A,AFY,2013,2012,CE2,0,2013-03-31,INR,14103721300000
RBI:CG_EXP_RN(1.0),N_A,AFY,2013,2012,CE2102,0,2013-03-31,INR,3131700000000
RBI:CG_EXP_RN(1.0),N_A,AFY,2013,2012,CE22,0,2013-03-31,INR,1668581300000
RBI:CG_EXP_RN(1.0),N_A,AFY,2013,2012,CE2101,0,2013-03-31,INR,1112770000000
RBI:CG_EXP_RN(1.0),N_A,AFY,2013,2012,CE2202,0,2013-03-31,INR,1460577900000
RBI:CG_EXP_RN(1.0),N_A,AFY,2013,2012,CE220201,0,2013-03-31,INR,704990000000
RBI:CG_EXP_RN(1.0),N_A,AFY,2013,2012,CE220202,0,2013-03-31,INR,755587900000
RBI:CG_EXP_RN(1.0),N_A,AFY,2013,2012,CE2103,0,2013-03-31,INR,2570790000000
RBI:CG_EXP_RN(1.0),N_A,AFY,2013,2012,CE21,0,2013-03-31,INR,12435140000000
RBI:CG_EXP_RN(1.0),N_A,AFY,2013,2012,CE2104,0,2013-03-31,INR,5619880000000
RBI:CG_EXP_RN(1.0),N_A,AFY,2013,2012,CE2201,0,2013-03-31,INR,208003400000
RBI:CG_EXP_RN(1.0),N_A,AFY,2012,2011,CE2101,0,2012-03-31,INR,1030110000000
RBI:CG_EXP_RN(1.0),N_A,AFY,2012,2011,CE2201,0,2012-03-31,INR,207370000000
RBI:CG_EXP_RN(1.0),N_A,AFY,2012,2011,CE22,0,2012-03-31,INR,1585796200000
RBI:CG_EXP_RN(1.0),N_A,AFY,2012,2011,CE2,0,2012-03-31,INR,13043646200000
RBI:CG_EXP_RN(1.0),N_A,AFY,2012,2011,CE220202,0,2012-03-31,INR,699406200000
RBI:CG_EXP_RN(1.0),N_A,AFY,2012,2011,CE2103,0,2012-03-31,INR,2179410000000
RBI:CG_EXP_RN(1.0),N_A,AFY,2012,2011,CE21,0,2012-03-31,INR,11457850000000
RBI:CG_EXP_RN(1.0),N_A,AFY,2012,2011,CE2102,0,2012-03-31,INR,2731500000000
RBI:CG_EXP_RN(1.0),N_A,AFY,2012,2011,CE2104,0,2012-03-31,INR,5516830000000
RBI:CG_EXP_RN(1.0),N_A,AFY,2012,2011,CE220201,0,2012-03-31,INR,679020000000
RBI:CG_EXP_RN(1.0),N_A,AFY,2012,2011,CE2202,0,2012-03-31,INR,1378426200000
RBI:CG_EXP_RN(1.0),N_A,AFY,2011,2010,CE21,0,2011-03-31,INR,10407230000000
RBI:CG_EXP_RN(1.0),N_A,AFY,2011,2010,CE2104,0,2011-03-31,INR,5412200000000
RBI:CG_EXP_RN(1.0),N_A,AFY,2011,2010,CE2202,0,2011-03-31,INR,1316190000000
RBI:CG_EXP_RN(1.0),N_A,AFY,2011,2010,CE2102,0,2011-03-31,INR,2340220000000
RBI:CG_EXP_RN(1.0),N_A,AFY,2011,2010,CE220201,0,2011-03-31,INR,620560000000
RBI:CG_EXP_RN(1.0),N_A,AFY,2011,2010,CE220202,0,2011-03-31,INR,695630000000
RBI:CG_EXP_RN(1.0),N_A,AFY,2011,2010,CE2,0,2011-03-31,INR,11973270000000
RBI:CG_EXP_RN(1.0),N_A,AFY,2011,2010,CE22,0,2011-03-31,INR,1566040000000
RBI:CG_EXP_RN(1.0),N_A,AFY,2011,2010,CE2201,0,2011-03-31,INR,249850000000
RBI:CG_EXP_RN(1.0),N_A,AFY,2011,2010,CE2103,0,2011-03-31,INR,1734200000000
RBI:CG_EXP_RN(1.0),N_A,AFY,2011,2010,CE2101,0,2011-03-31,INR,920610000000
RBI:CG_EXP_RN(1.0),N_A,AFY,2010,2009,CE2202,0,2010-03-31,INR,970310000000
RBI:CG_EXP_RN(1.0),N_A,AFY,2010,2009,CE2101,0,2010-03-31,INR,906690000000
