DATAFLOW,AUDST,CGB_GFD_RN,FREQ,REPYEAREND,REPYEARSTART,UNIT_MULT,TIME_PERIOD,UNIT_MEASURE,OBS_VALUE
RBI:CG_BOR_RN(1.0),N_A,CGB1,AFY,2017,2016,0,2017-03-31,INR,179966000000
RBI:CG_BOR_RN(1.0),N_A,CGB,AFY,2017,2016,0,2017-03-31,INR,5356180000000
RBI:CG_BOR_RN(1.0),N_A,CGB21,AFY,2017,2016,0,2017-03-31,INR,3381491200000
RBI:CG_BOR_RN(1.0),N_A,CGB23,AFY,2017,2016,0,2017-03-31,INR,-88950000000
RBI:CG_BOR_RN(1.0),N_A,CGB2,AFY,2016,2015,0,2016-03-31,INR,5200430000000
RBI:CG_BOR_RN(1.0),N_A,CGB,AFY,2016,2015,0,2016-03-31,INR,5327910000000
RBI:CG_BOR_RN(1.0),N_A,CGB1,AFY,2016,2015,0,2016-03-31,INR,127480000000
RBI:CG_BOR_RN(1.0),N_A,CGB22,AFY,2016,2015,0,2016-03-31,INR,919420000000
RBI:CG_BOR_RN(1.0),N_A,CGB21,AFY,2016,2015,0,2016-03-31,INR,4149310000000
RBI:CG_BOR_RN(1.0),N_A,CGB23,AFY,2016,2015,0,2016-03-31,INR,131700000000
RBI:CG_BOR_RN(1.0),N_A,CGB,AFY,2015,2014,0,2015-03-31,INR,5107250000000
RBI:CG_BOR_RN(1.0),N_A,CGB21,AFY,2015,2014,0,2015-03-31,INR,4576170000000
RBI:CG_BOR_RN(1.0),N_A,CGB23,AFY,2015,2014,0,2015-03-31,INR,777520000000
RBI:CG_BOR_RN(1.0),N_A,CGB2,AFY,2015,2014,0,2015-03-31,INR,4978840000000
RBI:CG_BOR_RN(1.0),N_A,CGB1,AFY,2015,2014,0,2015-03-31,INR,129330000000
RBI:CG_BOR_RN(1.0),N_A,CGB22,AFY,2015,2014,0,2015-03-31,INR,-374850000000
RBI:CG_BOR_RN(1.0),N_A,CGB22,AFY,2014,2013,0,2014-03-31,INR,391110199999.99994
RBI:CG_BOR_RN(1.0),N_A,CGB1,AFY,2014,2013,0,2014-03-31,INR,72919300000
RBI:CG_BOR_RN(1.0),N_A,CGB2,AFY,2014,2013,0,2014-03-31,INR,4955660000000
RBI:CG_BOR_RN(1.0),N_A,CGB21,AFY,2014,2013,0,2014-03-31,INR,4756260000000
RBI:CG_BOR_RN(1.0),N_A,CGB23,AFY,2014,2013,0,2014-03-31,INR,-191709500000
RBI:CG_BOR_RN(1.0),N_A,CGB,AFY,2014,2013,0,2014-03-31,INR,5028580000000
RBI:CG_BOR_RN(1.0),N_A,CGB1,AFY,2013,2012,0,2013-03-31,INR,72010000000
RBI:CG_BOR_RN(1.0),N_A,CGB23,AFY,2013,2012,0,2013-03-31,INR,-510120000000
RBI:CG_BOR_RN(1.0),N_A,CGB21,AFY,2013,2012,0,2013-03-31,INR,5074450100000
RBI:CG_BOR_RN(1.0),N_A,CGB,AFY,2013,2012,0,2013-03-31,INR,4901900000000
RBI:CG_BOR_RN(1.0),N_A,CGB22,AFY,2013,2012,0,2013-03-31,INR,265557000000
RBI:CG_BOR_RN(1.0),N_A,CGB2,AFY,2013,2012,0,2013-03-31,INR,4829890000000
RBI:CG_BOR_RN(1.0),N_A,CGB2,AFY,2012,2011,0,2012-03-31,INR,5035420000000
RBI:CG_BOR_RN(1.0),N_A,CGB22,AFY,2012,2011,0,2012-03-31,INR,354210000000
RBI:CG_BOR_RN(1.0),N_A,CGB,AFY,2012,2011,0,2012-03-31,INR,5159900000000
RBI:CG_BOR_RN(1.0),N_A,CGB21,AFY,2012,2011,0,2012-03-31,INR,4841110000000
RBI:CG_BOR_RN(1.0),N_A,CGB1,AFY,2012,2011,0,2012-03-31,INR,124480000000
RBI:CG_BOR_RN(1.0),N_A,CGB23,AFY,2012,2011,0,2012-03-31,INR,-159900000000
RBI:CG_BOR_RN(1.0),N_A,CGB21,AFY,2011,2010,0,2011-03-31,INR,3263990000000
RBI:CG_BOR_RN(1.0),N_A,CGB,AFY,2011,2010,0,2011-03-31,INR,3735910000000
RBI:CG_BOR_RN(1.0),N_A,CGB2,AFY,2011,2010,0,2011-03-31,INR,3500350000000
RBI:CG_BOR_RN(1.0),N_A,CGB23,AFY,2011,2010,0,2011-03-31,INR,64300000000
RBI:CG_BOR_RN(1.0),N_A,CGB22,AFY,2011,2010,0,2011-03-31,INR,172060000000
RBI:CG_BOR_RN(1.0),N_A,CGB1,AFY,2011,2010,0,2011-03-31,INR,235560000000
RBI:CG_BOR_RN(1.0),N_A,CGB,AFY,2010,2009,0,2010-03-31,INR,4184820000000
RBI:CG_BOR_RN(1.0),N_A,CGB2,AFY,2010,2009,0,2010-03-31,INR,4074440000000
RBI:CG_BOR_RN(1.0),N_A,CGB22,AFY,2010,2009,0,2010-03-31,INR,144600000000
RBI:CG_BOR_RN(1.0),N_A,CGB1,AFY,2010,2009,0,2010-03-31,INR,110380000000
RBI:CG_BOR_RN(1.0),N_A,CGB21,AFY,2010,2009,0,2010-03-31,INR,3943710000000
RBI:CG_BOR_RN(1.0),N_A,CGB23,AFY,2010,2009,0,2010-03-31,INR,-13860000000
RBI:CG_BOR_RN(1.0),N_A,CGB22,AFY,2009,2008,0,2009-03-31,INR,351680000000
RBI:CG_BOR_RN(1.0),N_A,CGB1,AFY,2009,2008,0,2009-03-31,INR,110150000000
RBI:CG_BOR_RN(1.0),N_A,CGB2,AFY,2009,2008,0,2009-03-31,INR,3259770000000
RBI:CG_BOR_RN(1.0),N_A,CGB21,AFY,2009,2008,0,2009-03-31,INR,2469750000000
RBI:CG_BOR_RN(1.0),N_A,CGB,AFY,2009,2008,0,2009-03-31,INR,3369920000000
RBI:CG_BOR_RN(1.0),N_A,CGB23,AFY,2009,2008,0,2009-03-31,INR,438340000000
RBI:CG_BOR_RN(1.0),N_A,CGB,AFY,2008,2007,0,2008-03-31,INR,1269120000000
RBI:CG_BOR_RN(1.0),N_A,CGB22,AFY,2008,2007,0,2008-03-31,INR,141680000000
RBI:CG_BOR_RN(1.0),N_A,CGB1,AFY,2008,2007,0,2008-03-31,INR,93150000000
RBI:CG_BOR_RN(1.0),N_A,CGB21,AFY,2008,2007,0,2008-03-31,INR,1306000000000
RBI:CG_BOR_RN(1.0),N_A,CGB23,AFY,2008,2007,0,2008-03-31,INR,-271710000000
RBI:CG_BOR_RN(1.0),N_A,CGB2,AFY,2008,2007,0,2008-03-31,INR,1175970000000
RBI:CG_BOR_RN(1.0),N_A,CGB21,AFY,2007,2006,0,2007-03-31,INR,1148010000000
RBI:CG_BOR_RN(1.0),N_A,CGB22,AFY,2007,2006,0,2007-03-31,INR,147820000000
RBI:CG_BOR_RN(1.0),N_A,CGB,AFY,2007,2006,0,2007-03-31,INR,1425730000000
RBI:CG_BOR_RN(1.0),N_A,CGB23,AFY,2007,2006,0,2007-03-31,INR,45170000000
RBI:CG_BOR_RN(1.0),N_A,CGB1,AFY,2007,2006,0,2007-03-31,INR,84720000000
RBI:CG_BOR_RN(1.0),N_A,CGB2,AFY,2007,2006,0,2007-03-31,INR,1341010000000
RBI:CG_BOR_RN(1.0),N_A,CGB,AFY,2006,2005,0,2006-03-31,INR,1464350000000
RBI:CG_BOR_RN(1.0),N_A,CGB21,AFY,2006,2005,0,2006-03-31,INR,1062410000000
RBI:CG_BOR_RN(1.0),N_A,CGB23,AFY,2006,2005,0,2006-03-31,INR,-208880000000
RBI:CG_BOR_RN(1.0),N_A,CGB22,AFY,2006,2005,0,2006-03-31,INR,536100000000
RBI:CG_BOR_RN(1.0),N_A,CGB1,AFY,2006,2005,0,2006-03-31,INR,74720000000
RBI:CG_BOR_RN(1.0),N_A,CGB2,AFY,2006,2005,0,2006-03-31,INR,1389630000000
RBI:CG_BOR_RN(1.0),N_A,CGB23,AFY,2005,2004,0,2005-03-31,INR,-14610000000
RBI:CG_BOR_RN(1.0),N_A,CGB1,AFY,2005,2004,0,2005-03-31,INR,147530000000
RBI:CG_BOR_RN(1.0),N_A,CGB22,AFY,2005,2004,0,2005-03-31,INR,615620000000
RBI:CG_BOR_RN(1.0),N_A,CGB21,AFY,2005,2004,0,2005-03-31,INR,509400000000
RBI:CG_BOR_RN(1.0),N_A,CGB2,AFY,2005,2004,0,2005-03-31,INR,1110410000000
RBI:CG_BOR_RN(1.0),N_A,CGB,AFY,2005,2004,0,2005-03-31,INR,1257940000000
RBI:CG_BOR_RN(1.0),N_A,CGB21,AFY,2004,2003,0,2004-03-31,INR,888700000000
RBI:CG_BOR_RN(1.0),N_A,CGB,AFY,2004,2003,0,2004-03-31,INR,1232730000000
RBI:CG_BOR_RN(1.0),N_A,CGB2,AFY,2004,2003,0,2004-03-31,INR,1367610000000
RBI:CG_BOR_RN(1.0),N_A,CGB1,AFY,2004,2003,0,2004-03-31,INR,-134880000000
RBI:CG_BOR_RN(1.0),N_A,CGB23,AFY,2004,2003,0,2004-03-31,INR,-39420000000
RBI:CG_BOR_RN(1.0),N_A,CGB22,AFY,2004,2003,0,2004-03-31,INR,518330000000
RBI:CG_BOR_RN(1.0),N_A,CGB22,AFY,2003,2002,0,2003-03-31,INR,509970000000
RBI:CG_BOR_RN(1.0),N_A,CGB,AFY,2003,2002,0,2003-03-31,INR,1450720000000
RBI:CG_BOR_RN(1.0),N_A,CGB2,AFY,2003,2002,0,2003-03-31,INR,1570060000000
RBI:CG_BOR_RN(1.0),N_A,CGB23,AFY,2003,2002,0,2003-03-31,INR,18830000000
RBI:CG_BOR_RN(1.0),N_A,CGB21,AFY,2003,2002,0,2003-03-31,INR,1041260000000
RBI:CG_BOR_RN(1.0),N_A,CGB1,AFY,2003,2002,0,2003-03-31,INR,-119340000000
RBI:CG_BOR_RN(1.0),N_A,CGB21,AFY,2002,2001,0,2002-03-31,INR,908120000000
RBI:CG_BOR_RN(1.0),N_A,CGB22,AFY,2002,2001,0,2002-03-31,INR,460380000000
RBI:CG_BOR_RN(1.0),N_A,CGB,AFY,2002,2001,0,2002-03-31,INR,1409550000000
RBI:CG_BOR_RN(1.0),N_A,CGB1,AFY,2002,2001,0,2002-03-31,INR,56010000000
RBI:CG_BOR_RN(1.0),N_A,CGB23,AFY,2002,2001,0,2002-03-31,INR,-14960000000
RBI:CG_BOR_RN(1.0),N_A,CGB2,AFY,2002,2001,0,2002-03-31,INR,1353540000000
RBI:CG_BOR_RN(1.0),N_A,CGB1,AFY,2001,2000,0,2001-03-31,INR,75050000000
RBI:CG_BOR_RN(1.0),N_A,CGB21,AFY,2001,2000,0,2001-03-31,INR,734310000000
RBI:CG_BOR_RN(1.0),N_A,CGB22,AFY,2001,2000,0,2001-03-31,INR,390770000000
RBI:CG_BOR_RN(1.0),N_A,CGB2,AFY,2001,2000,0,2001-03-31,INR,1113110000000
RBI:CG_BOR_RN(1.0),N_A,CGB,AFY,2001,2000,0,2001-03-31,INR,1188160000000
RBI:CG_BOR_RN(1.0),N_A,CGB23,AFY,2001,2000,0,2001-03-31,INR,-11970000000
RBI:CG_BOR_RN(1.0),N_A,CGB22,AFY,2000,1999,0,2000-03-31,INR,405970000000
RBI:CG_BOR_RN(1.0),N_A,CGB2,AFY,2000,1999,0,2000-03-31,INR,1035370000000
RBI:CG_BOR_RN(1.0),N_A,CGB,AFY,2000,1999,0,2000-03-31,INR,1047160000000
RBI:CG_BOR_RN(1.0),N_A,CGB21,AFY,2000,1999,0,2000-03-31,INR,620760000000
RBI:CG_BOR_RN(1.0),N_A,CGB23,AFY,2000,1999,0,2000-03-31,INR,8640000000
RBI:CG_BOR_RN(1.0),N_A,CGB1,AFY,2000,1999,0,2000-03-31,INR,11800000000
RBI:CG_BOR_RN(1.0),N_A,CGB2,AFY,1999,1998,0,1999-03-31,INR,1114290000000
RBI:CG_BOR_RN(1.0),N_A,CGB,AFY,1999,1998,0,1999-03-31,INR,1133490000000
RBI:CG_BOR_RN(1.0),N_A,CGB22,AFY,1999,1998,0,1999-03-31,INR,426500000000
RBI:CG_BOR_RN(1.0),N_A,CGB1,AFY,1999,1998,0,1999-03-31,INR,19200000000
RBI:CG_BOR_RN(1.0),N_A,CGB23,AFY,1999,1998,0,1999-03-31,INR,-2090000000
RBI:CG_BOR_RN(1.0),N_A,CGB21,AFY,1999,1998,0,1999-03-31,INR,689880000000
RBI:CG_BOR_RN(1.0),N_A,CGB23,AFY,1998,1997,0,1998-03-31,INR,-9100000000
RBI:CG_BOR_RN(1.0),N_A,CGB,AFY,1998,1997,0,1998-03-31,INR,889370000000
RBI:CG_BOR_RN(1.0),N_A,CGB2,AFY,1998,1997,0,1998-03-31,INR,878460000000
RBI:CG_BOR_RN(1.0),N_A,CGB21,AFY,1998,1997,0,1998-03-31,INR,324990000000
RBI:CG_BOR_RN(1.0),N_A,CGB22,AFY,1998,1997,0,1998-03-31,INR,562570000000
RBI:CG_BOR_RN(1.0),N_A,CGB1,AFY,1998,1997,0,1998-03-31,INR,10910000000
RBI:CG_BOR_RN(1.0),N_A,CGB1,AFY,1997,1996,0,1997-03-31,INR,29870000000
RBI:CG_BOR_RN(1.0),N_A,CGB21,AFY,1997,1996,0,1997-03-31,INR,190930000000
RBI:CG_BOR_RN(1.0),N_A,CGB,AFY,1997,1996,0,1997-03-31,INR,667330000000
RBI:CG_BOR_RN(1.0),N_A,CGB2,AFY,1997,1996,0,1997-03-31,INR,637460000000
RBI:CG_BOR_RN(1.0),N_A,CGB23,AFY,1997,1996,0,1997-03-31,INR,131840000000
RBI:CG_BOR_RN(1.0),N_A,CGB22,AFY,1997,1996,0,1997-03-31,INR,314690000000
RBI:CG_BOR_RN(1.0),N_A,CGB21,AFY,1996,1995,0,1996-03-31,INR,340010000000
RBI:CG_BOR_RN(1.0),N_A,CGB2,AFY,1996,1995,0,1996-03-31,INR,599250000000
