DATAFLOW,AUDST,COMP_COUNT,FREQ,GRWT_RT_RATIOS_RN,REF_TIME_RN,REPYEAREND,REPYEARSTART,SALE_SZ_CLS_RN,UNIT_MULT,TIME_PERIOD,UNIT_MEASURE,OBS_VALUE
RBI:GRWT_RT_INDC_PUB_SAL_RN(1.0),N_A,470,AFY,GRP_GFA,CURR_YR,2012,2011,THOU_CR_N_ABV,0,2012-03-31,PT,11.1
RBI:GRWT_RT_INDC_PUB_SAL_RN(1.0),N_A,298,AFY,GRP_GFA,PREV_YR,2012,2011,25_CR_TO_50_CR,0,2012-03-31,PT,1.2
RBI:GRWT_RT_INDC_PUB_SAL_RN(1.0),N_A,390,AFY,GRP_GFA,PREV_YR,2012,2011,50_CR_TO_100_CR,0,2012-03-31,PT,-9.8
RBI:GRWT_RT_INDC_PUB_SAL_RN(1.0),N_A,344,AFY,GRP_GFA,PREV_YR,2012,2011,FIV_HUN_TO_1000_CR,0,2012-03-31,PT,9.0
RBI:GRWT_RT_INDC_PUB_SAL_RN(1.0),N_A,871,AFY,GRP_GFA,PREV_YR,2012,2011,HUN_TO_500_CR,0,2012-03-31,PT,7.1
RBI:GRWT_RT_INDC_PUB_SAL_RN(1.0),N_A,668,AFY,GRP_GFA,PREV_YR,2012,2011,LESS_THN_25_CR,0,2012-03-31,PT,3.7
RBI:GRWT_RT_INDC_PUB_SAL_RN(1.0),N_A,470,AFY,GRP_GFA,PREV_YR,2012,2011,THOU_CR_N_ABV,0,2012-03-31,PT,15.5
RBI:GRWT_RT_INDC_PUB_SAL_RN(1.0),N_A,298,AFY,GRP_GRS_SAV,CURR_YR,2012,2011,25_CR_TO_50_CR,0,2012-03-31,PT,-7.5
RBI:GRWT_RT_INDC_PUB_SAL_RN(1.0),N_A,390,AFY,GRP_GRS_SAV,CURR_YR,2012,2011,50_CR_TO_100_CR,0,2012-03-31,PT,-44.4
RBI:GRWT_RT_INDC_PUB_SAL_RN(1.0),N_A,344,AFY,GRP_GRS_SAV,CURR_YR,2012,2011,FIV_HUN_TO_1000_CR,0,2012-03-31,PT,-11.3
RBI:GRWT_RT_INDC_PUB_SAL_RN(1.0),N_A,871,AFY,GRP_GRS_SAV,CURR_YR,2012,2011,HUN_TO_500_CR,0,2012-03-31,PT,-16.5
RBI:GRWT_RT_INDC_PUB_SAL_RN(1.0),N_A,470,AFY,GRP_GRS_SAV,CURR_YR,2012,2011,THOU_CR_N_ABV,0,2012-03-31,PT,-3.3
RBI:GRWT_RT_INDC_PUB_SAL_RN(1.0),N_A,298,AFY,GRP_GRS_SAV,PREV_YR,2012,2011,25_CR_TO_50_CR,0,2012-03-31,PT,90.2
RBI:GRWT_RT_INDC_PUB_SAL_RN(1.0),N_A,390,AFY,GRP_GRS_SAV,PREV_YR,2012,2011,50_CR_TO_100_CR,0,2012-03-31,PT,-25.5
