DATAFLOW,AUDST,COMP_COUNT,FREQ,REF_TIME_RN,REPYEAREND,REPYEARSTART,SALE_SZ_CLS_RN,TYP_FIN_RT_RN,UNIT_MULT,TIME_PERIOD,UNIT_MEASURE,OBS_VALUE
RBI:FIN_RATIOS_PUB_SAL_RN(1.0),N_A,298,AFY,CURR_YR,2012,2011,25_CR_TO_50_CR,SUFR_GFAF_TUF,0,2012-03-31,PT,34.3
RBI:FIN_RATIOS_PUB_SAL_RN(1.0),N_A,298,AFY,CURR_YR,2012,2011,25_CR_TO_50_CR,SUFR_GS_GCF,0,2012-03-31,PT,59.4
RBI:FIN_RATIOS_PUB_SAL_RN(1.0),N_A,298,AFY,CURR_YR,2012,2011,25_CR_TO_50_CR,SUFR_IBB_TES,0,2012-03-31,PT,10.8
RBI:FIN_RATIOS_PUB_SAL_RN(1.0),N_A,390,AFY,CURR_YR,2012,2011,50_CR_TO_100_CR,AUTR_EXP_SAL,0,2012-03-31,PT,13.3
RBI:FIN_RATIOS_PUB_SAL_RN(1.0),N_A,390,AFY,CURR_YR,2012,2011,50_CR_TO_100_CR,AUTR_GVA_GFA,0,2012-03-31,PT,23.1
RBI:FIN_RATIOS_PUB_SAL_RN(1.0),N_A,390,AFY,CURR_YR,2012,2011,50_CR_TO_100_CR,AUTR_INV_SAL,0,2012-03-31,PT,25.3
RBI:FIN_RATIOS_PUB_SAL_RN(1.0),N_A,390,AFY,CURR_YR,2012,2011,50_CR_TO_100_CR,AUTR_RM_CON_TO_VP,0,2012-03-31,PT,50.6
RBI:FIN_RATIOS_PUB_SAL_RN(1.0),N_A,390,AFY,CURR_YR,2012,2011,50_CR_TO_100_CR,AUTR_SAL_GFA,0,2012-03-31,PT,105.1
RBI:FIN_RATIOS_PUB_SAL_RN(1.0),N_A,390,AFY,CURR_YR,2012,2011,50_CR_TO_100_CR,AUTR_SAL_TNA,0,2012-03-31,PT,41.2
RBI:FIN_RATIOS_PUB_SAL_RN(1.0),N_A,390,AFY,CURR_YR,2012,2011,50_CR_TO_100_CR,AUTR_SD_TO_SL,0,2012-03-31,PT,29.1
RBI:FIN_RATIOS_PUB_SAL_RN(1.0),N_A,390,AFY,CURR_YR,2012,2011,50_CR_TO_100_CR,CSR_DEB_EQT,0,2012-03-31,PT,29.1
RBI:FIN_RATIOS_PUB_SAL_RN(1.0),N_A,390,AFY,CURR_YR,2012,2011,50_CR_TO_100_CR,CSR_DTE_ADJ,0,2012-03-31,PT,29.5
RBI:FIN_RATIOS_PUB_SAL_RN(1.0),N_A,390,AFY,CURR_YR,2012,2011,50_CR_TO_100_CR,CSR_NFA_TNA,0,2012-03-31,PT,24.3
RBI:FIN_RATIOS_PUB_SAL_RN(1.0),N_A,390,AFY,CURR_YR,2012,2011,50_CR_TO_100_CR,CSR_NW_TNA,0,2012-03-31,PT,55.6
RBI:FIN_RATIOS_PUB_SAL_RN(1.0),N_A,390,AFY,CURR_YR,2012,2011,50_CR_TO_100_CR,CSR_STBB_INV,0,2012-03-31,PT,62.9
RBI:FIN_RATIOS_PUB_SAL_RN(1.0),N_A,390,AFY,CURR_YR,2012,2011,50_CR_TO_100_CR,CSR_TOL_TNW,0,2012-03-31,PT,79.7
RBI:FIN_RATIOS_PUB_SAL_RN(1.0),N_A,390,AFY,CURR_YR,2012,2011,50_CR_TO_100_CR,LR_CA_CL,0,2012-03-31,PT,2.0
RBI:FIN_RATIOS_PUB_SAL_RN(1.0),N_A,390,AFY,CURR_YR,2012,2011,50_CR_TO_100_CR,LR_CA_TNA,0,2012-03-31,PT,54.1
RBI:FIN_RATIOS_PUB_SAL_RN(1.0),N_A,390,AFY,CURR_YR,2012,2011,50_CR_TO_100_CR,LR_QA_CL,0,2012-03-31,PT,64.1
