DATAFLOW,AUDST,COMP_COUNT,FREQ,IND_CLASF_RN,REF_TIME_RN,REPYEAREND,REPYEARSTART,TYP_FIN_RT_RN,UNIT_MULT,TIME_PERIOD,UNIT_MEASURE,OBS_VALUE
RBI:FIN_RATIOS_PUB_INDU_RN(1.0),N_A,19,AFY,ICC_SRV_TELE,PREV_TO_PREV,2013,2012,PPAR_OD_TO_OPC,0,2013-03-31,PT,3.9
RBI:FIN_RATIOS_PUB_INDU_RN(1.0),N_A,19,AFY,ICC_SRV_TELE,PREV_TO_PREV,2013,2012,PPAR_PAT_SAL,0,2013-03-31,PT,6.9
RBI:FIN_RATIOS_PUB_INDU_RN(1.0),N_A,19,AFY,ICC_SRV_TELE,PREV_TO_PREV,2013,2012,PPAR_PAT_TNW,0,2013-03-31,PT,4.2
RBI:FIN_RATIOS_PUB_INDU_RN(1.0),N_A,19,AFY,ICC_SRV_TELE,PREV_TO_PREV,2013,2012,PPAR_PR_PAT,0,2013-03-31,PT,94.3
RBI:FIN_RATIOS_PUB_INDU_RN(1.0),N_A,19,AFY,ICC_SRV_TELE,PREV_TO_PREV,2013,2012,PPAR_TP_PBT,0,2013-03-31,PT,6.0
RBI:FIN_RATIOS_PUB_INDU_RN(1.0),N_A,19,AFY,ICC_SRV_TELE,PREV_YR,2013,2012,AUTR_GVA_GFA,0,2013-03-31,PT,18.3
RBI:FIN_RATIOS_PUB_INDU_RN(1.0),N_A,19,AFY,ICC_SRV_TELE,PREV_YR,2013,2012,AUTR_INV_SAL,0,2013-03-31,PT,0.6
RBI:FIN_RATIOS_PUB_INDU_RN(1.0),N_A,19,AFY,ICC_SRV_TELE,PREV_YR,2013,2012,AUTR_SAL_GFA,0,2013-03-31,PT,56.9
RBI:FIN_RATIOS_PUB_INDU_RN(1.0),N_A,19,AFY,ICC_SRV_TELE,PREV_YR,2013,2012,AUTR_SAL_TNA,0,2013-03-31,PT,34.1
RBI:FIN_RATIOS_PUB_INDU_RN(1.0),N_A,19,AFY,ICC_SRV_TELE,PREV_YR,2013,2012,AUTR_TR_SAL,0,2013-03-31,PT,11.0
RBI:FIN_RATIOS_PUB_INDU_RN(1.0),N_A,19,AFY,ICC_SRV_TELE,PREV_YR,2013,2012,CSR_DEB_EQT,0,2013-03-31,PT,44.8
RBI:FIN_RATIOS_PUB_INDU_RN(1.0),N_A,19,AFY,ICC_SRV_TELE,PREV_YR,2013,2012,CSR_NFA_TNA,0,2013-03-31,PT,53.6
RBI:FIN_RATIOS_PUB_INDU_RN(1.0),N_A,19,AFY,ICC_SRV_TELE,PREV_YR,2013,2012,CSR_NW_TNA,0,2013-03-31,PT,50.0
RBI:FIN_RATIOS_PUB_INDU_RN(1.0),N_A,19,AFY,ICC_SRV_TELE,PREV_YR,2013,2012,CSR_TB_EQT,0,2013-03-31,PT,55.9
RBI:FIN_RATIOS_PUB_INDU_RN(1.0),N_A,19,AFY,ICC_SRV_TELE,PREV_YR,2013,2012,ER_CRM_TE,0,2013-03-31,PT,0.4
RBI:FIN_RATIOS_PUB_INDU_RN(1.0),N_A,19,AFY,ICC_SRV_TELE,PREV_YR,2013,2012,ER_ICR,0,2013-03-31,PT,2.0
RBI:FIN_RATIOS_PUB_INDU_RN(1.0),N_A,19,AFY,ICC_SRV_TELE,PREV_YR,2013,2012,ER_IP_TE,0,2013-03-31,PT,5.8
RBI:FIN_RATIOS_PUB_INDU_RN(1.0),N_A,19,AFY,ICC_SRV_TELE,PREV_YR,2013,2012,ER_RTE_TE,0,2013-03-31,PT,5.2
RBI:FIN_RATIOS_PUB_INDU_RN(1.0),N_A,19,AFY,ICC_SRV_TELE,PREV_YR,2013,2012,LR_CA_CL,0,2013-03-31,PT,0.7
RBI:FIN_RATIOS_PUB_INDU_RN(1.0),N_A,19,AFY,ICC_SRV_TELE,PREV_YR,2013,2012,LR_CA_TNA,0,2013-03-31,PT,15.9
RBI:FIN_RATIOS_PUB_INDU_RN(1.0),N_A,19,AFY,ICC_SRV_TELE,PREV_YR,2013,2012,LR_QA_CL,0,2013-03-31,PT,21.0
RBI:FIN_RATIOS_PUB_INDU_RN(1.0),N_A,19,AFY,ICC_SRV_TELE,PREV_YR,2013,2012,LR_TP_CA,0,2013-03-31,PT,36.3
