DATAFLOW,ASET_ITEMS_RN,AUDST,FREQ,REPYEAREND,REPYEARSTART,UNIT_MULT,TIME_PERIOD,UNIT_MEASURE,OBS_VALUE
RBI:RBI_ASSET_A_RN(1.0),AI078,N_A,AFY,2023,2022,0,2023-03-31,INR,1266134700000
RBI:RBI_ASSET_A_RN(1.0),AI05,N_A,AFY,2023,2022,0,2023-03-31,INR,95000000
RBI:RBI_ASSET_A_RN(1.0),AI03,N_A,AFY,2023,2022,0,2023-03-31,INR,2772900000
RBI:RBI_ASSET_A_RN(1.0),AI04,N_A,AFY,2023,2022,0,2023-03-31,INR,0.0
RBI:RBI_ASSET_A_RN(1.0),AI06,N_A,AFY,2023,2022,0,2023-03-31,INR,10089932600000
RBI:RBI_ASSET_A_RN(1.0),AI081,N_A,AFY,2023,2022,0,2023-03-31,INR,0.0
RBI:RBI_ASSET_A_RN(1.0),AI074,N_A,AFY,2023,2022,0,2023-03-31,INR,0.0
RBI:RBI_ASSET_A_RN(1.0),AI1102,N_A,AFY,2023,2022,0,2023-03-31,INR,594747900000
RBI:RBI_ASSET_A_RN(1.0),AI1101,N_A,AFY,2023,2022,0,2023-03-31,INR,2307340000000
RBI:RBI_ASSET_A_RN(1.0),AI10,N_A,AFY,2023,2022,0,2023-03-31,INR,14084864900000
RBI:RBI_ASSET_A_RN(1.0),AI08,N_A,AFY,2023,2022,0,2023-03-31,INR,0.0
RBI:RBI_ASSET_A_RN(1.0),AI01,N_A,AFY,2023,2022,0,2023-03-31,INR,1407656000000
RBI:RBI_ASSET_A_RN(1.0),AI081,N_A,AFY,2022,2021,0,2022-03-31,INR,0.0
RBI:RBI_ASSET_A_RN(1.0),AI01,N_A,AFY,2022,2021,0,2022-03-31,INR,1253489800000
RBI:RBI_ASSET_A_RN(1.0),AI02,N_A,AFY,2022,2021,0,2022-03-31,INR,29798632900000
RBI:RBI_ASSET_A_RN(1.0),AI05,N_A,AFY,2022,2021,0,2022-03-31,INR,171300000
RBI:RBI_ASSET_A_RN(1.0),AI03,N_A,AFY,2022,2021,0,2022-03-31,INR,5082900000
RBI:RBI_ASSET_A_RN(1.0),AI076,N_A,AFY,2022,2021,0,2022-03-31,INR,230101000000
RBI:RBI_ASSET_A_RN(1.0),AI082,N_A,AFY,2022,2021,0,2022-03-31,INR,0.0
RBI:RBI_ASSET_A_RN(1.0),AI08,N_A,AFY,2022,2021,0,2022-03-31,INR,0.0
RBI:RBI_ASSET_A_RN(1.0),A1,N_A,AFY,2022,2021,0,2022-03-31,INR,30845817100000
RBI:RBI_ASSET_A_RN(1.0),AI1102,N_A,AFY,2022,2021,0,2022-03-31,INR,469004200000
RBI:RBI_ASSET_A_RN(1.0),AI072,N_A,AFY,2022,2021,0,2022-03-31,INR,16665600000
RBI:RBI_ASSET_A_RN(1.0),A2,N_A,AFY,2022,2021,0,2022-03-31,INR,31057205600000
RBI:RBI_ASSET_A_RN(1.0),AI04,N_A,AFY,2022,2021,0,2022-03-31,INR,0.0
RBI:RBI_ASSET_A_RN(1.0),AI06,N_A,AFY,2022,2021,0,2022-03-31,INR,11411277500000
RBI:RBI_ASSET_A_RN(1.0),AI10,N_A,AFY,2022,2021,0,2022-03-31,INR,14908795600000
RBI:RBI_ASSET_A_RN(1.0),AI071,N_A,AFY,2022,2021,0,2022-03-31,INR,0.0
RBI:RBI_ASSET_A_RN(1.0),AI078,N_A,AFY,2022,2021,0,2022-03-31,INR,897504400000
RBI:RBI_ASSET_A_RN(1.0),AI1101,N_A,AFY,2022,2021,0,2022-03-31,INR,1968640000000
RBI:RBI_ASSET_A_RN(1.0),AI11,N_A,AFY,2022,2021,0,2022-03-31,INR,2437644200000
RBI:RBI_ASSET_A_RN(1.0),AI073,N_A,AFY,2022,2021,0,2022-03-31,INR,943657500000
RBI:RBI_ASSET_A_RN(1.0),AI07,N_A,AFY,2022,2021,0,2022-03-31,INR,2087928500000
RBI:RBI_ASSET_A_RN(1.0),AI074,N_A,AFY,2022,2021,0,2022-03-31,INR,0.0
RBI:RBI_ASSET_A_RN(1.0),AI076,N_A,AFY,2021,2020,0,2021-03-31,INR,254255600000
RBI:RBI_ASSET_A_RN(1.0),A2,N_A,AFY,2021,2020,0,2021-03-31,INR,28268626700000
RBI:RBI_ASSET_A_RN(1.0),AI073,N_A,AFY,2021,2020,0,2021-03-31,INR,902521799999.9999
RBI:RBI_ASSET_A_RN(1.0),AI08,N_A,AFY,2021,2020,0,2021-03-31,INR,0.0
RBI:RBI_ASSET_A_RN(1.0),AI072,N_A,AFY,2021,2020,0,2021-03-31,INR,33827900000
RBI:RBI_ASSET_A_RN(1.0),A1,N_A,AFY,2021,2020,0,2021-03-31,INR,28808064600000
RBI:RBI_ASSET_A_RN(1.0),AI082,N_A,AFY,2021,2020,0,2021-03-31,INR,0.0
RBI:RBI_ASSET_A_RN(1.0),AI03,N_A,AFY,2021,2020,0,2021-03-31,INR,7434000000
RBI:RBI_ASSET_A_RN(1.0),AI07,N_A,AFY,2021,2020,0,2021-03-31,INR,1351189100000
RBI:RBI_ASSET_A_RN(1.0),AI05,N_A,AFY,2021,2020,0,2021-03-31,INR,120200000
RBI:RBI_ASSET_A_RN(1.0),AI071,N_A,AFY,2021,2020,0,2021-03-31,INR,0.0
RBI:RBI_ASSET_A_RN(1.0),AI10,N_A,AFY,2021,2020,0,2021-03-31,INR,13351375000000
RBI:RBI_ASSET_A_RN(1.0),AI074,N_A,AFY,2021,2020,0,2021-03-31,INR,0.0
RBI:RBI_ASSET_A_RN(1.0),AI1101,N_A,AFY,2021,2020,0,2021-03-31,INR,1435830000000
RBI:RBI_ASSET_A_RN(1.0),AI11,N_A,AFY,2021,2020,0,2021-03-31,INR,1805976200000
RBI:RBI_ASSET_A_RN(1.0),AI01,N_A,AFY,2021,2020,0,2021-03-31,INR,1041401300000
RBI:RBI_ASSET_A_RN(1.0),AI02,N_A,AFY,2021,2020,0,2021-03-31,INR,27219791400000
RBI:RBI_ASSET_A_RN(1.0),AI04,N_A,AFY,2021,2020,0,2021-03-31,INR,0.0
RBI:RBI_ASSET_A_RN(1.0),AI06,N_A,AFY,2021,2020,0,2021-03-31,INR,12299404100000
RBI:RBI_ASSET_A_RN(1.0),AI078,N_A,AFY,2021,2020,0,2021-03-31,INR,160583800000
RBI:RBI_ASSET_A_RN(1.0),AI081,N_A,AFY,2021,2020,0,2021-03-31,INR,0.0
RBI:RBI_ASSET_A_RN(1.0),AI1102,N_A,AFY,2021,2020,0,2021-03-31,INR,370146200000
RBI:RBI_ASSET_A_RN(1.0),AI078,N_A,AFY,2020,2019,0,2020-03-31,INR,98830000000
RBI:RBI_ASSET_A_RN(1.0),AI01,N_A,AFY,2020,2019,0,2020-03-31,INR,1131460000000
RBI:RBI_ASSET_A_RN(1.0),A2,N_A,AFY,2020,2019,0,2020-03-31,INR,26355750000000
RBI:RBI_ASSET_A_RN(1.0),AI11,N_A,AFY,2020,2019,0,2020-03-31,INR,1796070000000
RBI:RBI_ASSET_A_RN(1.0),AI082,N_A,AFY,2020,2019,0,2020-03-31,INR,0.0
RBI:RBI_ASSET_A_RN(1.0),AI073,N_A,AFY,2020,2019,0,2020-03-31,INR,2855770000000
RBI:RBI_ASSET_A_RN(1.0),AI1101,N_A,AFY,2020,2019,0,2020-03-31,INR,1428750000000
RBI:RBI_ASSET_A_RN(1.0),AI06,N_A,AFY,2020,2019,0,2020-03-31,INR,10234000000000
RBI:RBI_ASSET_A_RN(1.0),AI1102,N_A,AFY,2020,2019,0,2020-03-31,INR,367320000000
RBI:RBI_ASSET_A_RN(1.0),AI081,N_A,AFY,2020,2019,0,2020-03-31,INR,0.0
RBI:RBI_ASSET_A_RN(1.0),AI074,N_A,AFY,2020,2019,0,2020-03-31,INR,0.0
RBI:RBI_ASSET_A_RN(1.0),AI07,N_A,AFY,2020,2019,0,2020-03-31,INR,3222070000000
RBI:RBI_ASSET_A_RN(1.0),AI05,N_A,AFY,2020,2019,0,2020-03-31,INR,130000000
RBI:RBI_ASSET_A_RN(1.0),AI072,N_A,AFY,2020,2019,0,2020-03-31,INR,46240000000
RBI:RBI_ASSET_A_RN(1.0),AI076,N_A,AFY,2020,2019,0,2020-03-31,INR,221230000000
RBI:RBI_ASSET_A_RN(1.0),AI071,N_A,AFY,2020,2019,0,2020-03-31,INR,0.0
RBI:RBI_ASSET_A_RN(1.0),AI08,N_A,AFY,2020,2019,0,2020-03-31,INR,0.0
RBI:RBI_ASSET_A_RN(1.0),AI10,N_A,AFY,2020,2019,0,2020-03-31,INR,11739910000000
RBI:RBI_ASSET_A_RN(1.0),AI03,N_A,AFY,2020,2019,0,2020-03-31,INR,7850000000
RBI:RBI_ASSET_A_RN(1.0),AI04,N_A,AFY,2020,2019,0,2020-03-31,INR,0.0
RBI:RBI_ASSET_A_RN(1.0),AI02,N_A,AFY,2020,2019,0,2020-03-31,INR,25216440000000
RBI:RBI_ASSET_A_RN(1.0),A1,N_A,AFY,2020,2019,0,2020-03-31,INR,26992180000000
RBI:RBI_ASSET_A_RN(1.0),AI076,N_A,AFY,2019,2018,0,2019-03-31,INR,0.0
RBI:RBI_ASSET_A_RN(1.0),AI078,N_A,AFY,2019,2018,0,2019-03-31,INR,67900000000
RBI:RBI_ASSET_A_RN(1.0),AI072,N_A,AFY,2019,2018,0,2019-03-31,INR,26660000000
RBI:RBI_ASSET_A_RN(1.0),AI074,N_A,AFY,2019,2018,0,2019-03-31,INR,0.0
RBI:RBI_ASSET_A_RN(1.0),AI11,N_A,AFY,2019,2018,0,2019-03-31,INR,1526180000000
RBI:RBI_ASSET_A_RN(1.0),AI10,N_A,AFY,2019,2018,0,2019-03-31,INR,9918410000000
RBI:RBI_ASSET_A_RN(1.0),AI081,N_A,AFY,2019,2018,0,2019-03-31,INR,0.0
RBI:RBI_ASSET_A_RN(1.0),AI01,N_A,AFY,2019,2018,0,2019-03-31,INR,792040000000
RBI:RBI_ASSET_A_RN(1.0),AI03,N_A,AFY,2019,2018,0,2019-03-31,INR,8280000000
RBI:RBI_ASSET_A_RN(1.0),AI04,N_A,AFY,2019,2018,0,2019-03-31,INR,0.0
RBI:RBI_ASSET_A_RN(1.0),A1,N_A,AFY,2019,2018,0,2019-03-31,INR,19341080000000
RBI:RBI_ASSET_A_RN(1.0),AI07,N_A,AFY,2019,2018,0,2019-03-31,INR,931870000000
RBI:RBI_ASSET_A_RN(1.0),AI1101,N_A,AFY,2019,2018,0,2019-03-31,INR,882980000000
RBI:RBI_ASSET_A_RN(1.0),AI06,N_A,AFY,2019,2018,0,2019-03-31,INR,6964530000000
RBI:RBI_ASSET_A_RN(1.0),A2,N_A,AFY,2019,2018,0,2019-03-31,INR,21687970000000
RBI:RBI_ASSET_A_RN(1.0),AI02,N_A,AFY,2019,2018,0,2019-03-31,INR,20887650000000
RBI:RBI_ASSET_A_RN(1.0),AI071,N_A,AFY,2019,2018,0,2019-03-31,INR,265310000000
RBI:RBI_ASSET_A_RN(1.0),AI05,N_A,AFY,2019,2018,0,2019-03-31,INR,90000000
RBI:RBI_ASSET_A_RN(1.0),AI073,N_A,AFY,2019,2018,0,2019-03-31,INR,572000000000
RBI:RBI_ASSET_A_RN(1.0),AI08,N_A,AFY,2019,2018,0,2019-03-31,INR,0.0
RBI:RBI_ASSET_A_RN(1.0),AI1102,N_A,AFY,2019,2018,0,2019-03-31,INR,643200000000
RBI:RBI_ASSET_A_RN(1.0),AI082,N_A,AFY,2019,2018,0,2019-03-31,INR,0.0
RBI:RBI_ASSET_A_RN(1.0),AI071,N_A,AFY,2018,2017,0,2018-03-31,INR,554350000000
RBI:RBI_ASSET_A_RN(1.0),AI081,N_A,AFY,2018,2017,0,2018-03-31,INR,0.0
RBI:RBI_ASSET_A_RN(1.0),AI04,N_A,AFY,2018,2017,0,2018-03-31,INR,0.0
RBI:RBI_ASSET_A_RN(1.0),AI06,N_A,AFY,2018,2017,0,2018-03-31,INR,7983890000000
RBI:RBI_ASSET_A_RN(1.0),AI10,N_A,AFY,2018,2017,0,2018-03-31,INR,6331150000000
RBI:RBI_ASSET_A_RN(1.0),AI074,N_A,AFY,2018,2017,0,2018-03-31,INR,0.0
RBI:RBI_ASSET_A_RN(1.0),AI1102,N_A,AFY,2018,2017,0,2018-03-31,INR,405920000000
RBI:RBI_ASSET_A_RN(1.0),AI01,N_A,AFY,2018,2017,0,2018-03-31,INR,743490000000
RBI:RBI_ASSET_A_RN(1.0),AI11,N_A,AFY,2018,2017,0,2018-03-31,INR,1102660000000
RBI:RBI_ASSET_A_RN(1.0),AI1101,N_A,AFY,2018,2017,0,2018-03-31,INR,696740000000
RBI:RBI_ASSET_A_RN(1.0),AI02,N_A,AFY,2018,2017,0,2018-03-31,INR,18366850000000
RBI:RBI_ASSET_A_RN(1.0),AI073,N_A,AFY,2018,2017,0,2018-03-31,INR,1006900000000
RBI:RBI_ASSET_A_RN(1.0),AI08,N_A,AFY,2018,2017,0,2018-03-31,INR,0.0
RBI:RBI_ASSET_A_RN(1.0),AI082,N_A,AFY,2018,2017,0,2018-03-31,INR,0.0
RBI:RBI_ASSET_A_RN(1.0),AI076,N_A,AFY,2018,2017,0,2018-03-31,INR,0.0
RBI:RBI_ASSET_A_RN(1.0),A1,N_A,AFY,2018,2017,0,2018-03-31,INR,17056340000000
RBI:RBI_ASSET_A_RN(1.0),A2,N_A,AFY,2018,2017,0,2018-03-31,INR,19119600000000
RBI:RBI_ASSET_A_RN(1.0),AI05,N_A,AFY,2018,2017,0,2018-03-31,INR,90000000
RBI:RBI_ASSET_A_RN(1.0),AI07,N_A,AFY,2018,2017,0,2018-03-31,INR,1638550000000
RBI:RBI_ASSET_A_RN(1.0),AI078,N_A,AFY,2018,2017,0,2018-03-31,INR,62370000000
RBI:RBI_ASSET_A_RN(1.0),AI03,N_A,AFY,2018,2017,0,2018-03-31,INR,9260000000
RBI:RBI_ASSET_A_RN(1.0),AI072,N_A,AFY,2018,2017,0,2018-03-31,INR,14930000000
RBI:RBI_ASSET_A_RN(1.0),AI08,N_A,AFY,2017,2016,0,2017-03-31,INR,0.0
RBI:RBI_ASSET_A_RN(1.0),AI10,N_A,AFY,2017,2016,0,2017-03-31,INR,7528110000000
RBI:RBI_ASSET_A_RN(1.0),AI071,N_A,AFY,2017,2016,0,2017-03-31,INR,0.0
RBI:RBI_ASSET_A_RN(1.0),AI04,N_A,AFY,2017,2016,0,2017-03-31,INR,0.0
RBI:RBI_ASSET_A_RN(1.0),AI073,N_A,AFY,2017,2016,0,2017-03-31,INR,218100000000
RBI:RBI_ASSET_A_RN(1.0),AI1101,N_A,AFY,2017,2016,0,2017-03-31,INR,613190000000
RBI:RBI_ASSET_A_RN(1.0),AI11,N_A,AFY,2017,2016,0,2017-03-31,INR,738260000000
RBI:RBI_ASSET_A_RN(1.0),AI081,N_A,AFY,2017,2016,0,2017-03-31,INR,0.0
RBI:RBI_ASSET_A_RN(1.0),AI082,N_A,AFY,2017,2016,0,2017-03-31,INR,0.0
RBI:RBI_ASSET_A_RN(1.0),A2,N_A,AFY,2017,2016,0,2017-03-31,INR,13101930000000
RBI:RBI_ASSET_A_RN(1.0),AI02,N_A,AFY,2017,2016,0,2017-03-31,INR,12422350000000
RBI:RBI_ASSET_A_RN(1.0),AI01,N_A,AFY,2017,2016,0,2017-03-31,INR,675080000000
RBI:RBI_ASSET_A_RN(1.0),AI03,N_A,AFY,2017,2016,0,2017-03-31,INR,4500000000
RBI:RBI_ASSET_A_RN(1.0),AI1102,N_A,AFY,2017,2016,0,2017-03-31,INR,125070000000
RBI:RBI_ASSET_A_RN(1.0),AI05,N_A,AFY,2017,2016,0,2017-03-31,INR,120000000
RBI:RBI_ASSET_A_RN(1.0),AI072,N_A,AFY,2017,2016,0,2017-03-31,INR,12620000000
RBI:RBI_ASSET_A_RN(1.0),A1,N_A,AFY,2017,2016,0,2017-03-31,INR,18760700000000
RBI:RBI_ASSET_A_RN(1.0),AI06,N_A,AFY,2017,2016,0,2017-03-31,INR,10263490000000
RBI:RBI_ASSET_A_RN(1.0),AI076,N_A,AFY,2017,2016,0,2017-03-31,INR,0.0
RBI:RBI_ASSET_A_RN(1.0),AI074,N_A,AFY,2017,2016,0,2017-03-31,INR,0.0
RBI:RBI_ASSET_A_RN(1.0),AI07,N_A,AFY,2017,2016,0,2017-03-31,INR,230720000000
RBI:RBI_ASSET_A_RN(1.0),AI078,N_A,AFY,2016,2015,0,2016-03-31,INR,177830000000
RBI:RBI_ASSET_A_RN(1.0),AI1102,N_A,AFY,2016,2015,0,2016-03-31,INR,187510000000
RBI:RBI_ASSET_A_RN(1.0),A1,N_A,AFY,2016,2015,0,2016-03-31,INR,17240760000000
RBI:RBI_ASSET_A_RN(1.0),AI04,N_A,AFY,2016,2015,0,2016-03-31,INR,10464300000
RBI:RBI_ASSET_A_RN(1.0),AI06,N_A,AFY,2016,2015,0,2016-03-31,INR,6799180000000
RBI:RBI_ASSET_A_RN(1.0),AI082,N_A,AFY,2016,2015,0,2016-03-31,INR,0.0
RBI:RBI_ASSET_A_RN(1.0),AI10,N_A,AFY,2016,2015,0,2016-03-31,INR,6172220000000
RBI:RBI_ASSET_A_RN(1.0),AI03,N_A,AFY,2016,2015,0,2016-03-31,INR,2750000000
RBI:RBI_ASSET_A_RN(1.0),AI11,N_A,AFY,2016,2015,0,2016-03-31,INR,822610000000
RBI:RBI_ASSET_A_RN(1.0),AI074,N_A,AFY,2016,2015,0,2016-03-31,INR,0.0
RBI:RBI_ASSET_A_RN(1.0),AI073,N_A,AFY,2016,2015,0,2016-03-31,INR,3264040000000
RBI:RBI_ASSET_A_RN(1.0),AI01,N_A,AFY,2016,2015,0,2016-03-31,INR,699200000000
RBI:RBI_ASSET_A_RN(1.0),AI081,N_A,AFY,2016,2015,0,2016-03-31,INR,0.0
