DATAFLOW,AUDST,COSO_MER_RN,FREQ,REPYEAREND,REPYEARSTART,SOR_CSUR_RN,UNIT_MULT,TIME_PERIOD,UNIT_MEASURE,OBS_VALUE
RBI:CSURYSOR_M_RN(1.0),N_A,N_A,M,2001,2000,SCSR12,0,2001-03-23,INR,6504240000000
RBI:CSURYSOR_M_RN(1.0),N_A,N_A,M,2001,2000,SCSR1201,0,2001-03-23,INR,5114340000000
RBI:CSURYSOR_M_RN(1.0),N_A,N_A,M,2001,2000,SCSR12011,0,2001-03-23,INR,4714430000000
RBI:CSURYSOR_M_RN(1.0),N_A,N_A,M,2001,2000,SCSR12012,0,2001-03-23,INR,399910000000
RBI:CSURYSOR_M_RN(1.0),N_A,N_A,M,2001,2000,SCSR1202,0,2001-03-23,INR,-1330000000
RBI:CSURYSOR_M_RN(1.0),N_A,N_A,M,2001,2000,SCSR1203,0,2001-03-23,INR,301250000000
RBI:CSURYSOR_M_RN(1.0),N_A,N_A,M,2001,2000,SCSR1204,0,2001-03-23,INR,1089980000000
RBI:CSURYSOR_M_RN(1.0),N_A,N_A,M,2001,2000,SCSR2,0,2001-03-23,INR,-359290000000
RBI:CSURYSOR_M_RN(1.0),N_A,N_A,M,2001,2000,SCSR21,0,2001-03-23,INR,516460000000
RBI:CSURYSOR_M_RN(1.0),N_A,N_A,M,2001,2000,SCSR22,0,2001-03-23,INR,860970000000
RBI:CSURYSOR_M_RN(1.0),N_A,N_A,M,2001,2000,SCSR23,0,2001-03-23,INR,14780000000
RBI:CSURYSOR_M_RN(1.0),N_A,N_A,M,2001,2000,SCSR3,0,2001-03-23,INR,613060000000
RBI:CSURYSOR_M_RN(1.0),N_A,N_A,M,2001,2000,SCSR31,0,2001-03-23,INR,595440000000
RBI:CSURYSOR_M_RN(1.0),N_A,N_A,M,2001,2000,SCSR32,0,2001-03-23,INR,56580000000
RBI:CSURYSOR_M_RN(1.0),N_A,N_A,M,2001,2000,SCSR33,0,2001-03-23,INR,38960000000
RBI:CSURYSOR_M_RN(1.0),N_A,N_A,M,2001,2000,SCSR4,0,2001-03-23,INR,635130000000
RBI:CSURYSOR_M_RN(1.0),N_A,N_A,M,2001,2000,SCSR5,0,2001-03-23,INR,732350000000
RBI:CSURYSOR_M_RN(1.0),N_A,N_A,M,2001,2000,SCSR51,0,2001-03-23,INR,897300000000
RBI:CSURYSOR_M_RN(1.0),N_A,N_A,M,2001,2000,SCSR52,0,2001-03-23,INR,146010000000
RBI:CSURYSOR_M_RN(1.0),N_A,N_A,M,2002,2001,SCSR1,0,2001-04-20,INR,10107990000000
RBI:CSURYSOR_M_RN(1.0),N_A,N_A,M,2002,2001,SCSR11,0,2001-04-20,INR,3561620000000
RBI:CSURYSOR_M_RN(1.0),N_A,N_A,M,2002,2001,SCSR12,0,2001-04-20,INR,6546370000000
RBI:CSURYSOR_M_RN(1.0),N_A,N_A,M,2002,2001,SCSR1201,0,2001-04-20,INR,5152910000000
RBI:CSURYSOR_M_RN(1.0),N_A,N_A,M,2002,2001,SCSR12011,0,2001-04-20,INR,4791830000000
RBI:CSURYSOR_M_RN(1.0),N_A,N_A,M,2002,2001,SCSR12012,0,2001-04-20,INR,361080000000
RBI:CSURYSOR_M_RN(1.0),N_A,N_A,M,2002,2001,SCSR1202,0,2001-04-20,INR,-2610000000
RBI:CSURYSOR_M_RN(1.0),N_A,N_A,M,2002,2001,SCSR1203,0,2001-04-20,INR,303670000000
RBI:CSURYSOR_M_RN(1.0),N_A,N_A,M,2002,2001,SCSR1204,0,2001-04-20,INR,1092400000000
RBI:CSURYSOR_M_RN(1.0),N_A,N_A,M,2002,2001,SCSR2,0,2001-04-20,INR,-324350000000
RBI:CSURYSOR_M_RN(1.0),N_A,N_A,M,2002,2001,SCSR21,0,2001-04-20,INR,557890000000
RBI:CSURYSOR_M_RN(1.0),N_A,N_A,M,2002,2001,SCSR22,0,2001-04-20,INR,865540000000
RBI:CSURYSOR_M_RN(1.0),N_A,N_A,M,2002,2001,SCSR23,0,2001-04-20,INR,16700000000
RBI:CSURYSOR_M_RN(1.0),N_A,N_A,M,2002,2001,SCSR3,0,2001-04-20,INR,693020000000
RBI:CSURYSOR_M_RN(1.0),N_A,N_A,M,2002,2001,SCSR31,0,2001-04-20,INR,692840000000
RBI:CSURYSOR_M_RN(1.0),N_A,N_A,M,2002,2001,SCSR32,0,2001-04-20,INR,58610000000
RBI:CSURYSOR_M_RN(1.0),N_A,N_A,M,2002,2001,SCSR33,0,2001-04-20,INR,58430000000
RBI:CSURYSOR_M_RN(1.0),N_A,N_A,M,2002,2001,SCSR4,0,2001-04-20,INR,638130000000
RBI:CSURYSOR_M_RN(1.0),N_A,N_A,M,2002,2001,SCSR5,0,2001-04-20,INR,780710000000
RBI:CSURYSOR_M_RN(1.0),N_A,N_A,M,2002,2001,SCSR51,0,2001-04-20,INR,949550000000
RBI:CSURYSOR_M_RN(1.0),N_A,N_A,M,2002,2001,SCSR52,0,2001-04-20,INR,158580000000
RBI:CSURYSOR_M_RN(1.0),N_A,N_A,M,2002,2001,SCSR1,0,2001-05-18,INR,10120430000000
RBI:CSURYSOR_M_RN(1.0),N_A,N_A,M,2002,2001,SCSR11,0,2001-05-18,INR,3554030000000
RBI:CSURYSOR_M_RN(1.0),N_A,N_A,M,2002,2001,SCSR12,0,2001-05-18,INR,6566400000000
RBI:CSURYSOR_M_RN(1.0),N_A,N_A,M,2002,2001,SCSR1201,0,2001-05-18,INR,5187990000000
RBI:CSURYSOR_M_RN(1.0),N_A,N_A,M,2002,2001,SCSR12011,0,2001-05-18,INR,4723620000000
RBI:CSURYSOR_M_RN(1.0),N_A,N_A,M,2002,2001,SCSR12012,0,2001-05-18,INR,464370000000
RBI:CSURYSOR_M_RN(1.0),N_A,N_A,M,2002,2001,SCSR1202,0,2001-05-18,INR,-5920000000
RBI:CSURYSOR_M_RN(1.0),N_A,N_A,M,2002,2001,SCSR1203,0,2001-05-18,INR,303150000000
RBI:CSURYSOR_M_RN(1.0),N_A,N_A,M,2002,2001,SCSR1204,0,2001-05-18,INR,1081180000000
RBI:CSURYSOR_M_RN(1.0),N_A,N_A,M,2002,2001,SCSR2,0,2001-05-18,INR,-320410000000
RBI:CSURYSOR_M_RN(1.0),N_A,N_A,M,2002,2001,SCSR21,0,2001-05-18,INR,560730000000
RBI:CSURYSOR_M_RN(1.0),N_A,N_A,M,2002,2001,SCSR22,0,2001-05-18,INR,867580000000
RBI:CSURYSOR_M_RN(1.0),N_A,N_A,M,2002,2001,SCSR23,0,2001-05-18,INR,13560000000
RBI:CSURYSOR_M_RN(1.0),N_A,N_A,M,2002,2001,SCSR3,0,2001-05-18,INR,726060000000
RBI:CSURYSOR_M_RN(1.0),N_A,N_A,M,2002,2001,SCSR31,0,2001-05-18,INR,711010000000
RBI:CSURYSOR_M_RN(1.0),N_A,N_A,M,2002,2001,SCSR32,0,2001-05-18,INR,62770000000
RBI:CSURYSOR_M_RN(1.0),N_A,N_A,M,2002,2001,SCSR33,0,2001-05-18,INR,47720000000
RBI:CSURYSOR_M_RN(1.0),N_A,N_A,M,2002,2001,SCSR4,0,2001-05-18,INR,645760000000
RBI:CSURYSOR_M_RN(1.0),N_A,N_A,M,2002,2001,SCSR5,0,2001-05-18,INR,745990000000
RBI:CSURYSOR_M_RN(1.0),N_A,N_A,M,2002,2001,SCSR51,0,2001-05-18,INR,904170000000
RBI:CSURYSOR_M_RN(1.0),N_A,N_A,M,2002,2001,SCSR52,0,2001-05-18,INR,132340000000
RBI:CSURYSOR_M_RN(1.0),N_A,N_A,M,2002,2001,SCSR1,0,2001-06-29,INR,10240200000000
RBI:CSURYSOR_M_RN(1.0),N_A,N_A,M,2002,2001,SCSR11,0,2001-06-29,INR,3642470000000
RBI:CSURYSOR_M_RN(1.0),N_A,N_A,M,2002,2001,SCSR12,0,2001-06-29,INR,6597720000000
RBI:CSURYSOR_M_RN(1.0),N_A,N_A,M,2002,2001,SCSR1201,0,2001-06-29,INR,5194160000000
RBI:CSURYSOR_M_RN(1.0),N_A,N_A,M,2002,2001,SCSR12011,0,2001-06-29,INR,4690750000000
RBI:CSURYSOR_M_RN(1.0),N_A,N_A,M,2002,2001,SCSR12012,0,2001-06-29,INR,503410000000
