DATAFLOW,AUDST,COM_CSUR_RN,COSO_MER_RN,FREQ,REPYEAREND,REPYEARSTART,UNIT_MULT,TIME_PERIOD,UNIT_MEASURE,OBS_VALUE
RBI:CSURYCOM_M_RN(1.0),N_A,CCS12011,N_A,M,2002,2001,0,2001-06-29,INR,9310000000
RBI:CSURYCOM_M_RN(1.0),N_A,CCS12012,N_A,M,2002,2001,0,2001-06-29,INR,4300530000000
RBI:CSURYCOM_M_RN(1.0),N_A,CCS1202,N_A,M,2002,2001,0,2001-06-29,INR,4300530000000
RBI:CSURYCOM_M_RN(1.0),N_A,CCS2,N_A,M,2002,2001,0,2001-06-29,INR,22250000000
RBI:CSURYCOM_M_RN(1.0),N_A,CCS1,N_A,M,2002,2001,0,2001-07-27,INR,9354910000000
RBI:CSURYCOM_M_RN(1.0),N_A,CCS11,N_A,M,2002,2001,0,2001-07-27,INR,1419960000000
RBI:CSURYCOM_M_RN(1.0),N_A,CCS12,N_A,M,2002,2001,0,2001-07-27,INR,7934950000000
RBI:CSURYCOM_M_RN(1.0),N_A,CCS1201,N_A,M,2002,2001,0,2001-07-27,INR,3570730000000
RBI:CSURYCOM_M_RN(1.0),N_A,CCS12011,N_A,M,2002,2001,0,2001-07-27,INR,8240000000
RBI:CSURYCOM_M_RN(1.0),N_A,CCS12012,N_A,M,2002,2001,0,2001-07-27,INR,4364220000000
RBI:CSURYCOM_M_RN(1.0),N_A,CCS1202,N_A,M,2002,2001,0,2001-07-27,INR,4364230000000
RBI:CSURYCOM_M_RN(1.0),N_A,CCS2,N_A,M,2002,2001,0,2001-07-27,INR,21870000000
RBI:CSURYCOM_M_RN(1.0),N_A,CCS1,N_A,M,2002,2001,0,2001-08-24,INR,9428590000000
RBI:CSURYCOM_M_RN(1.0),N_A,CCS11,N_A,M,2002,2001,0,2001-08-24,INR,1431600000000
RBI:CSURYCOM_M_RN(1.0),N_A,CCS12,N_A,M,2002,2001,0,2001-08-24,INR,7996990000000
RBI:CSURYCOM_M_RN(1.0),N_A,CCS1201,N_A,M,2002,2001,0,2001-08-24,INR,3598650000000
RBI:CSURYCOM_M_RN(1.0),N_A,CCS12011,N_A,M,2002,2001,0,2001-08-24,INR,7560000000
RBI:CSURYCOM_M_RN(1.0),N_A,CCS12012,N_A,M,2002,2001,0,2001-08-24,INR,4398340000000
RBI:CSURYCOM_M_RN(1.0),N_A,CCS1202,N_A,M,2002,2001,0,2001-08-24,INR,4398340000000
RBI:CSURYCOM_M_RN(1.0),N_A,CCS2,N_A,M,2002,2001,0,2001-08-24,INR,20950000000
RBI:CSURYCOM_M_RN(1.0),N_A,CCS1,N_A,M,2002,2001,0,2001-09-21,INR,9507130000000
RBI:CSURYCOM_M_RN(1.0),N_A,CCS11,N_A,M,2002,2001,0,2001-09-21,INR,1385620000000
RBI:CSURYCOM_M_RN(1.0),N_A,CCS12,N_A,M,2002,2001,0,2001-09-21,INR,8121510000000
RBI:CSURYCOM_M_RN(1.0),N_A,CCS1201,N_A,M,2002,2001,0,2001-09-21,INR,3654680000000
RBI:CSURYCOM_M_RN(1.0),N_A,CCS12011,N_A,M,2002,2001,0,2001-09-21,INR,7370000000
RBI:CSURYCOM_M_RN(1.0),N_A,CCS12012,N_A,M,2002,2001,0,2001-09-21,INR,4466830000000
RBI:CSURYCOM_M_RN(1.0),N_A,CCS1202,N_A,M,2002,2001,0,2001-09-21,INR,4466830000000
RBI:CSURYCOM_M_RN(1.0),N_A,CCS2,N_A,M,2002,2001,0,2001-09-21,INR,40910000000
RBI:CSURYCOM_M_RN(1.0),N_A,CCS1,N_A,M,2002,2001,0,2001-10-19,INR,9616700000000
RBI:CSURYCOM_M_RN(1.0),N_A,CCS11,N_A,M,2002,2001,0,2001-10-19,INR,1401250000000
RBI:CSURYCOM_M_RN(1.0),N_A,CCS12,N_A,M,2002,2001,0,2001-10-19,INR,8215450000000
