DATAFLOW,AUDST,FREQ,REPYEAREND,REPYEARSTART,SOR_RBI_SUR_RN,UNIT_MULT,TIME_PERIOD,UNIT_MEASURE,OBS_VALUE
RBI:RBI_SURY_SOR_M_RN(1.0),N_A,M,2026,2025,SRBI11,0,2025-04-30,INR,16265091299999.998
RBI:RBI_SURY_SOR_M_RN(1.0),N_A,M,2026,2025,SRBI3,0,2025-04-30,INR,56925365100000
RBI:RBI_SURY_SOR_M_RN(1.0),N_A,M,2026,2025,SRBI2,0,2025-04-30,INR,366317123100
RBI:RBI_SURY_SOR_M_RN(1.0),N_A,M,2026,2025,SRBI11012,0,2025-04-30,INR,0.0
RBI:RBI_SURY_SOR_M_RN(1.0),N_A,M,2026,2025,SRBI31,0,2025-04-30,INR,7219715300000
RBI:RBI_SURY_SOR_M_RN(1.0),N_A,M,2026,2025,SRBI110131,0,2025-04-30,INR,16175684800000
RBI:RBI_SURY_SOR_M_RN(1.0),N_A,M,2026,2025,SRBI13,0,2025-04-30,INR,192795400000
RBI:RBI_SURY_SOR_M_RN(1.0),N_A,M,2026,2025,SRBI1101,0,2025-04-30,INR,15897600400000
RBI:RBI_SURY_SOR_M_RN(1.0),N_A,M,2026,2025,SRBI1301,0,2025-04-30,INR,79989400000
RBI:RBI_SURY_SOR_M_RN(1.0),N_A,M,2026,2025,SRBI11015,0,2025-04-30,INR,279932200000
RBI:RBI_SURY_SOR_M_RN(1.0),N_A,M,2026,2025,SRBI11013,0,2025-04-30,INR,16175684800000
RBI:RBI_SURY_SOR_M_RN(1.0),N_A,M,2026,2025,SRBI12,0,2025-04-30,INR,-2056930000000
RBI:RBI_SURY_SOR_M_RN(1.0),N_A,M,2026,2025,SRBI32,0,2025-04-30,INR,49705657800000
RBI:RBI_SURY_SOR_M_RN(1.0),N_A,M,2025,2024,SRBI12,0,2025-03-31,INR,-1572610000000
RBI:RBI_SURY_SOR_M_RN(1.0),N_A,M,2025,2024,SRBI3,0,2025-03-31,INR,55509473870000
RBI:RBI_SURY_SOR_M_RN(1.0),N_A,M,2025,2024,SRBI1301,0,2025-03-31,INR,91820900000
RBI:RBI_SURY_SOR_M_RN(1.0),N_A,M,2025,2024,SRBI11015,0,2025-03-31,INR,834428500000
RBI:RBI_SURY_SOR_M_RN(1.0),N_A,M,2025,2024,SRBI110131,0,2025-03-31,INR,15585738300000
RBI:RBI_SURY_SOR_M_RN(1.0),N_A,M,2025,2024,SRBI13,0,2025-03-31,INR,382456900000
RBI:RBI_SURY_SOR_M_RN(1.0),N_A,M,2025,2024,SRBI11013,0,2025-03-31,INR,15585738300000
RBI:RBI_SURY_SOR_M_RN(1.0),N_A,M,2025,2024,SRBI32,0,2025-03-31,INR,48827938800000
RBI:RBI_SURY_SOR_M_RN(1.0),N_A,M,2025,2024,SRBI11011,0,2025-03-31,INR,0.0
RBI:RBI_SURY_SOR_M_RN(1.0),N_A,M,2025,2024,SRBI121,0,2025-03-31,INR,-1572610000000
RBI:RBI_SURY_SOR_M_RN(1.0),N_A,M,2025,2024,SRBI5,0,2025-03-31,INR,2723130672000
RBI:RBI_SURY_SOR_M_RN(1.0),N_A,M,2025,2024,SRBI2,0,2025-03-31,INR,366317123100
RBI:RBI_SURY_SOR_M_RN(1.0),N_A,M,2025,2024,SRBI31,0,2025-03-31,INR,6681623400000
RBI:RBI_SURY_SOR_M_RN(1.0),N_A,M,2025,2024,SRBI11012,0,2025-03-31,INR,0.0
RBI:RBI_SURY_SOR_M_RN(1.0),N_A,M,2025,2024,SRBI1,0,2025-03-31,INR,13890901100000.002
RBI:RBI_SURY_SOR_M_RN(1.0),N_A,M,2025,2024,SRBI1102,0,2025-03-31,INR,326456100000
RBI:RBI_SURY_SOR_M_RN(1.0),N_A,M,2025,2024,SRBI1101,0,2025-03-31,INR,14754598100000
