DATAFLOW,AUDST,FREQ,REPYEAREND,REPYEARSTART,SOUR_RN,UNIT_MULT,TIME_PERIOD,UNIT_MEASURE,OBS_VALUE
RBI:RMS_W_RN(1.0),N_A,W,2026,2025,SOR4,0,2025-10-10,INR,-1543730000000
RBI:RMS_W_RN(1.0),N_A,W,2026,2025,SOR8,0,2025-10-03,INR,25692003080000
RBI:RMS_W_RN(1.0),N_A,W,2026,2025,SOR7,0,2025-10-03,INR,388635073100
RBI:RMS_W_RN(1.0),N_A,W,2026,2025,SOR4,0,2025-10-03,INR,-2001100000000
RBI:RMS_W_RN(1.0),N_A,W,2026,2025,SOR1,0,2025-10-03,INR,15385139900000
RBI:RMS_W_RN(1.0),N_A,W,2026,2025,SOR5,0,2025-10-03,INR,126132100000
RBI:RMS_W_RN(1.0),N_A,W,2026,2025,SOR6,0,2025-10-03,INR,60356782630000
RBI:RMS_W_RN(1.0),N_A,W,2026,2025,SOR8,0,2025-09-26,INR,24938242250000
RBI:RMS_W_RN(1.0),N_A,W,2026,2025,SOR6,0,2025-09-26,INR,60335748900000
RBI:RMS_W_RN(1.0),N_A,W,2026,2025,SOR7,0,2025-09-26,INR,388635073100
RBI:RMS_W_RN(1.0),N_A,W,2026,2025,SOR1,0,2025-09-26,INR,13370462600000
RBI:RMS_W_RN(1.0),N_A,W,2026,2025,SOR4,0,2025-09-26,INR,-627540000000
RBI:RMS_W_RN(1.0),N_A,W,2026,2025,SOR5,0,2025-09-26,INR,190485000000
RBI:RMS_W_RN(1.0),N_A,W,2026,2025,SOR4,0,2025-09-19,INR,-667880000000
RBI:RMS_W_RN(1.0),N_A,W,2026,2025,SOR5,0,2025-09-19,INR,156693600000
RBI:RMS_W_RN(1.0),N_A,W,2026,2025,SOR8,0,2025-09-19,INR,24633141410000
RBI:RMS_W_RN(1.0),N_A,W,2026,2025,SOR6,0,2025-09-19,INR,60108712740000
RBI:RMS_W_RN(1.0),N_A,W,2026,2025,SOR1,0,2025-09-19,INR,13244953300000
RBI:RMS_W_RN(1.0),N_A,W,2026,2025,SOR7,0,2025-09-19,INR,384379212500
RBI:RMS_W_RN(1.0),N_A,W,2026,2025,SOR4,0,2025-09-12,INR,-2720810000000
RBI:RMS_W_RN(1.0),N_A,W,2026,2025,SOR8,0,2025-09-12,INR,24768093920000
RBI:RMS_W_RN(1.0),N_A,W,2026,2025,SOR6,0,2025-09-12,INR,60277422850000
RBI:RMS_W_RN(1.0),N_A,W,2026,2025,SOR5,0,2025-09-12,INR,98414699999.9995
RBI:RMS_W_RN(1.0),N_A,W,2026,2025,SOR7,0,2025-09-12,INR,384379212500
RBI:RMS_W_RN(1.0),N_A,W,2026,2025,SOR1,0,2025-09-12,INR,15668076700000
RBI:RMS_W_RN(1.0),N_A,W,2026,2025,SOR4,0,2025-09-05,INR,-2953540000000
RBI:RMS_W_RN(1.0),N_A,W,2026,2025,SOR6,0,2025-09-05,INR,59850137270000
RBI:RMS_W_RN(1.0),N_A,W,2026,2025,SOR5,0,2025-09-05,INR,98331000000
RBI:RMS_W_RN(1.0),N_A,W,2026,2025,SOR7,0,2025-09-05,INR,384379212500
RBI:RMS_W_RN(1.0),N_A,W,2026,2025,SOR1,0,2025-09-05,INR,16075075500000
RBI:RMS_W_RN(1.0),N_A,W,2026,2025,SOR8,0,2025-09-05,INR,24312708030000
RBI:RMS_W_RN(1.0),N_A,W,2026,2025,SOR6,0,2025-08-29,INR,59483550830000
RBI:RMS_W_RN(1.0),N_A,W,2026,2025,SOR1,0,2025-08-29,INR,15806518300000
RBI:RMS_W_RN(1.0),N_A,W,2026,2025,SOR4,0,2025-08-29,INR,-2540300000000
RBI:RMS_W_RN(1.0),N_A,W,2026,2025,SOR5,0,2025-08-29,INR,130341400000
RBI:RMS_W_RN(1.0),N_A,W,2026,2025,SOR8,0,2025-08-29,INR,23855361890000
RBI:RMS_W_RN(1.0),N_A,W,2026,2025,SOR7,0,2025-08-29,INR,384379212500
RBI:RMS_W_RN(1.0),N_A,W,2026,2025,SOR6,0,2025-08-22,INR,58709922350000
RBI:RMS_W_RN(1.0),N_A,W,2026,2025,SOR4,0,2025-08-22,INR,-2298520000000
RBI:RMS_W_RN(1.0),N_A,W,2026,2025,SOR1,0,2025-08-22,INR,15117064900000
RBI:RMS_W_RN(1.0),N_A,W,2026,2025,SOR5,0,2025-08-22,INR,130694900000
RBI:RMS_W_RN(1.0),N_A,W,2026,2025,SOR7,0,2025-08-22,INR,380574652700
RBI:RMS_W_RN(1.0),N_A,W,2026,2025,SOR8,0,2025-08-22,INR,22889107910000.004
RBI:RMS_W_RN(1.0),N_A,W,2026,2025,SOR4,0,2025-08-15,INR,-3189700000000
RBI:RMS_W_RN(1.0),N_A,W,2026,2025,SOR8,0,2025-08-15,INR,23346439200000
RBI:RMS_W_RN(1.0),N_A,W,2026,2025,SOR5,0,2025-08-15,INR,131698700000
RBI:RMS_W_RN(1.0),N_A,W,2026,2025,SOR7,0,2025-08-15,INR,380574652700
RBI:RMS_W_RN(1.0),N_A,W,2026,2025,SOR1,0,2025-08-15,INR,16426098100000
RBI:RMS_W_RN(1.0),N_A,W,2026,2025,SOR6,0,2025-08-15,INR,59109835029999.99
RBI:RMS_W_RN(1.0),N_A,W,2026,2025,SOR5,0,2025-08-08,INR,124248900000
RBI:RMS_W_RN(1.0),N_A,W,2026,2025,SOR4,0,2025-08-08,INR,-3231290000000
RBI:RMS_W_RN(1.0),N_A,W,2026,2025,SOR8,0,2025-08-08,INR,23330982010000
RBI:RMS_W_RN(1.0),N_A,W,2026,2025,SOR7,0,2025-08-08,INR,380574652700
RBI:RMS_W_RN(1.0),N_A,W,2026,2025,SOR6,0,2025-08-08,INR,59057179040000
RBI:RMS_W_RN(1.0),N_A,W,2026,2025,SOR1,0,2025-08-08,INR,16152363300000
RBI:RMS_W_RN(1.0),N_A,W,2026,2025,SOR6,0,2025-08-01,INR,58595166590000
RBI:RMS_W_RN(1.0),N_A,W,2026,2025,SOR4,0,2025-08-01,INR,-3754530000000
RBI:RMS_W_RN(1.0),N_A,W,2026,2025,SOR5,0,2025-08-01,INR,123356000000
RBI:RMS_W_RN(1.0),N_A,W,2026,2025,SOR7,0,2025-08-01,INR,380574652700
RBI:RMS_W_RN(1.0),N_A,W,2026,2025,SOR8,0,2025-08-01,INR,22433852550000
