DATAFLOW,AUDST,COMP_RN,FREQ,REPYEAREND,REPYEARSTART,UNIT_MULT,TIME_PERIOD,UNIT_MEASURE,OBS_VALUE
RBI:RMC_W_RN(1.0),N_A,COM13,W,2026,2025,0,2025-09-12,INR,9669625800000
RBI:RMC_W_RN(1.0),N_A,COM12,W,2026,2025,0,2025-09-12,INR,1113345936000
RBI:RMC_W_RN(1.0),N_A,COM11,W,2026,2025,0,2025-09-12,INR,38156417810000
RBI:RMC_W_RN(1.0),N_A,COM12,W,2026,2025,0,2025-09-05,INR,1103303636000
RBI:RMC_W_RN(1.0),N_A,COM1,W,2026,2025,0,2025-09-05,INR,49141674950000
RBI:RMC_W_RN(1.0),N_A,COM13,W,2026,2025,0,2025-09-05,INR,9884351000000
RBI:RMC_W_RN(1.0),N_A,COM11,W,2026,2025,0,2025-09-05,INR,38154020310000
RBI:RMC_W_RN(1.0),N_A,COM13,W,2026,2025,0,2025-08-29,INR,10208336600000
RBI:RMC_W_RN(1.0),N_A,COM1,W,2026,2025,0,2025-08-29,INR,49409127850000
RBI:RMC_W_RN(1.0),N_A,COM11,W,2026,2025,0,2025-08-29,INR,38023166510000
RBI:RMC_W_RN(1.0),N_A,COM12,W,2026,2025,0,2025-08-29,INR,1177624736000
RBI:RMC_W_RN(1.0),N_A,COM1,W,2026,2025,0,2025-08-22,INR,49150628890000.01
RBI:RMC_W_RN(1.0),N_A,COM12,W,2026,2025,0,2025-08-22,INR,1096450636000
RBI:RMC_W_RN(1.0),N_A,COM13,W,2026,2025,0,2025-08-22,INR,9939265800000
RBI:RMC_W_RN(1.0),N_A,COM11,W,2026,2025,0,2025-08-22,INR,38114912450000
RBI:RMC_W_RN(1.0),N_A,COM11,W,2026,2025,0,2025-08-15,INR,38262335950000
RBI:RMC_W_RN(1.0),N_A,COM13,W,2026,2025,0,2025-08-15,INR,10153995300000
RBI:RMC_W_RN(1.0),N_A,COM12,W,2026,2025,0,2025-08-15,INR,1095736036000
RBI:RMC_W_RN(1.0),N_A,COM1,W,2026,2025,0,2025-08-15,INR,49512067290000
RBI:RMC_W_RN(1.0),N_A,COM12,W,2026,2025,0,2025-08-08,INR,1097219535999.9999
RBI:RMC_W_RN(1.0),N_A,COM13,W,2026,2025,0,2025-08-08,INR,9883204500000
RBI:RMC_W_RN(1.0),N_A,COM11,W,2026,2025,0,2025-08-08,INR,38171669850000
RBI:RMC_W_RN(1.0),N_A,COM1,W,2026,2025,0,2025-08-08,INR,49152093890000.01
RBI:RMC_W_RN(1.0),N_A,COM12,W,2026,2025,0,2025-08-01,INR,1090460736000
RBI:RMC_W_RN(1.0),N_A,COM11,W,2026,2025,0,2025-08-01,INR,37919271150000
RBI:RMC_W_RN(1.0),N_A,COM13,W,2026,2025,0,2025-08-01,INR,10625877200000
RBI:RMC_W_RN(1.0),N_A,COM1,W,2026,2025,0,2025-08-01,INR,49635609090000
RBI:RMC_W_RN(1.0),N_A,COM11,W,2026,2025,0,2025-07-25,INR,38017989950000
RBI:RMC_W_RN(1.0),N_A,COM1,W,2026,2025,0,2025-07-25,INR,48883393190000
RBI:RMC_W_RN(1.0),N_A,COM13,W,2026,2025,0,2025-07-25,INR,9788980100000
RBI:RMC_W_RN(1.0),N_A,COM12,W,2026,2025,0,2025-07-25,INR,1076423136000
RBI:RMC_W_RN(1.0),N_A,COM11,W,2026,2025,0,2025-07-18,INR,38112515120000
RBI:RMC_W_RN(1.0),N_A,COM12,W,2026,2025,0,2025-07-18,INR,1078425181000
RBI:RMC_W_RN(1.0),N_A,COM1,W,2026,2025,0,2025-07-18,INR,49642560000000
RBI:RMC_W_RN(1.0),N_A,COM13,W,2026,2025,0,2025-07-18,INR,10451619700000
RBI:RMC_W_RN(1.0),N_A,COM11,W,2026,2025,0,2025-07-11,INR,38252847620000
RBI:RMC_W_RN(1.0),N_A,COM1,W,2026,2025,0,2025-07-11,INR,49263647800000
RBI:RMC_W_RN(1.0),N_A,COM13,W,2026,2025,0,2025-07-11,INR,9909472100000
RBI:RMC_W_RN(1.0),N_A,COM12,W,2026,2025,0,2025-07-11,INR,1101328081000
RBI:RMC_W_RN(1.0),N_A,COM12,W,2026,2025,0,2025-07-04,INR,1088115581000
RBI:RMC_W_RN(1.0),N_A,COM11,W,2026,2025,0,2025-07-04,INR,38214212820000
RBI:RMC_W_RN(1.0),N_A,COM1,W,2026,2025,0,2025-07-04,INR,49232218400000
RBI:RMC_W_RN(1.0),N_A,COM13,W,2026,2025,0,2025-07-04,INR,9929890000000
RBI:RMC_W_RN(1.0),N_A,COM11,W,2026,2025,0,2025-06-27,INR,38212270920000
RBI:RMC_W_RN(1.0),N_A,COM12,W,2026,2025,0,2025-06-27,INR,1086969994000
RBI:RMC_W_RN(1.0),N_A,COM1,W,2026,2025,0,2025-06-27,INR,49240660210000
RBI:RMC_W_RN(1.0),N_A,COM13,W,2026,2025,0,2025-06-27,INR,9941419300000
RBI:RMC_W_RN(1.0),N_A,COM13,W,2026,2025,0,2025-06-20,INR,9998211000000
RBI:RMC_W_RN(1.0),N_A,COM11,W,2026,2025,0,2025-06-20,INR,38298787970000
RBI:RMC_W_RN(1.0),N_A,COM12,W,2026,2025,0,2025-06-20,INR,1080124239000
RBI:RMC_W_RN(1.0),N_A,COM1,W,2026,2025,0,2025-06-20,INR,49377120000000
RBI:RMC_W_RN(1.0),N_A,COM12,W,2026,2025,0,2025-06-13,INR,1088440539000
RBI:RMC_W_RN(1.0),N_A,COM13,W,2026,2025,0,2025-06-13,INR,9933576400000
RBI:RMC_W_RN(1.0),N_A,COM11,W,2026,2025,0,2025-06-13,INR,38473612070000
RBI:RMC_W_RN(1.0),N_A,COM1,W,2026,2025,0,2025-06-13,INR,49495629009999.99
RBI:RMC_W_RN(1.0),N_A,COM13,W,2026,2025,0,2025-06-06,INR,9986387300000
RBI:RMC_W_RN(1.0),N_A,COM12,W,2026,2025,0,2025-06-06,INR,1067658723000
RBI:RMC_W_RN(1.0),N_A,COM11,W,2026,2025,0,2025-06-06,INR,38516246470000
RBI:RMC_W_RN(1.0),N_A,COM1,W,2026,2025,0,2025-06-06,INR,49570290000000
RBI:RMC_W_RN(1.0),N_A,COM11,W,2026,2025,0,2025-05-30,INR,38357977270000
RBI:RMC_W_RN(1.0),N_A,COM12,W,2026,2025,0,2025-05-30,INR,1101327923000
RBI:RMC_W_RN(1.0),N_A,COM13,W,2026,2025,0,2025-05-30,INR,10165705800000
RBI:RMC_W_RN(1.0),N_A,COM1,W,2026,2025,0,2025-05-30,INR,49625011000000
RBI:RMC_W_RN(1.0),N_A,COM12,W,2026,2025,0,2025-05-23,INR,1056029123000
RBI:RMC_W_RN(1.0),N_A,COM13,W,2026,2025,0,2025-05-23,INR,9958292200000
RBI:RMC_W_RN(1.0),N_A,COM11,W,2026,2025,0,2025-05-23,INR,38423181340000
RBI:RMC_W_RN(1.0),N_A,COM1,W,2026,2025,0,2025-05-23,INR,49437502660000
RBI:RMC_W_RN(1.0),N_A,COM13,W,2026,2025,0,2025-05-16,INR,9886872300000
RBI:RMC_W_RN(1.0),N_A,COM12,W,2026,2025,0,2025-05-16,INR,1055468523000
RBI:RMC_W_RN(1.0),N_A,COM1,W,2026,2025,0,2025-05-16,INR,49367645360000
RBI:RMC_W_RN(1.0),N_A,COM11,W,2026,2025,0,2025-05-16,INR,38425304540000
RBI:RMC_W_RN(1.0),N_A,COM12,W,2026,2025,0,2025-05-09,INR,1060553123000
RBI:RMC_W_RN(1.0),N_A,COM11,W,2026,2025,0,2025-05-09,INR,38410716140000
RBI:RMC_W_RN(1.0),N_A,COM1,W,2026,2025,0,2025-05-09,INR,49336537160000
RBI:RMC_W_RN(1.0),N_A,COM13,W,2026,2025,0,2025-05-09,INR,9865267900000
RBI:RMC_W_RN(1.0),N_A,COM11,W,2026,2025,0,2025-05-02,INR,38111825140000
RBI:RMC_W_RN(1.0),N_A,COM1,W,2026,2025,0,2025-05-02,INR,49117943440000
RBI:RMC_W_RN(1.0),N_A,COM13,W,2026,2025,0,2025-05-02,INR,9942602900000
RBI:RMC_W_RN(1.0),N_A,COM12,W,2026,2025,0,2025-05-02,INR,1063515400000
RBI:RMC_W_RN(1.0),N_A,COM11,W,2026,2025,0,2025-04-25,INR,37975411640000
RBI:RMC_W_RN(1.0),N_A,COM1,W,2026,2025,0,2025-04-25,INR,49099343140000
RBI:RMC_W_RN(1.0),N_A,COM13,W,2026,2025,0,2025-04-25,INR,10086135200000
RBI:RMC_W_RN(1.0),N_A,COM12,W,2026,2025,0,2025-04-25,INR,1037796300000
RBI:RMC_W_RN(1.0),N_A,COM13,W,2026,2025,0,2025-04-18,INR,9698833100000
RBI:RMC_W_RN(1.0),N_A,COM1,W,2026,2025,0,2025-04-18,INR,48611059420000
RBI:RMC_W_RN(1.0),N_A,COM11,W,2026,2025,0,2025-04-18,INR,37874731320000
RBI:RMC_W_RN(1.0),N_A,COM12,W,2026,2025,0,2025-04-18,INR,1037495000000
RBI:RMC_W_RN(1.0),N_A,COM12,W,2026,2025,0,2025-04-11,INR,1031525200000
RBI:RMC_W_RN(1.0),N_A,COM13,W,2026,2025,0,2025-04-11,INR,9912767400000
RBI:RMC_W_RN(1.0),N_A,COM1,W,2026,2025,0,2025-04-11,INR,48750387920000
RBI:RMC_W_RN(1.0),N_A,COM11,W,2026,2025,0,2025-04-11,INR,37806095320000
RBI:RMC_W_RN(1.0),N_A,COM11,W,2026,2025,0,2025-04-04,INR,37399839220000
RBI:RMC_W_RN(1.0),N_A,COM1,W,2026,2025,0,2025-04-04,INR,48333917220000
RBI:RMC_W_RN(1.0),N_A,COM13,W,2026,2025,0,2025-04-04,INR,9902006700000
RBI:RMC_W_RN(1.0),N_A,COM12,W,2026,2025,0,2025-04-04,INR,1032071300000
RBI:RMC_W_RN(1.0),N_A,COM12,W,2025,2024,0,2025-03-31,INR,1133065600000
RBI:RMC_W_RN(1.0),N_A,COM1,W,2025,2024,0,2025-03-31,INR,48292426120000
RBI:RMC_W_RN(1.0),N_A,COM13,W,2025,2024,0,2025-03-31,INR,9914884900000
RBI:RMC_W_RN(1.0),N_A,COM11,W,2025,2024,0,2025-03-31,INR,37244475620000
RBI:RMC_W_RN(1.0),N_A,COM12,W,2025,2024,0,2025-03-28,INR,1121055700000
RBI:RMC_W_RN(1.0),N_A,COM11,W,2025,2024,0,2025-03-28,INR,37204680520000
RBI:RMC_W_RN(1.0),N_A,COM1,W,2025,2024,0,2025-03-28,INR,48363358320000
RBI:RMC_W_RN(1.0),N_A,COM13,W,2025,2024,0,2025-03-28,INR,10037622100000
RBI:RMC_W_RN(1.0),N_A,COM13,W,2025,2024,0,2025-03-21,INR,9419502600000
RBI:RMC_W_RN(1.0),N_A,COM11,W,2025,2024,0,2025-03-21,INR,37145406750000
RBI:RMC_W_RN(1.0),N_A,COM12,W,2025,2024,0,2025-03-21,INR,1104255800000
RBI:RMC_W_RN(1.0),N_A,COM1,W,2025,2024,0,2025-03-21,INR,47669165150000
RBI:RMC_W_RN(1.0),N_A,COM12,W,2025,2024,0,2025-03-14,INR,1091005600000
RBI:RMC_W_RN(1.0),N_A,COM11,W,2025,2024,0,2025-03-14,INR,37003173050000
RBI:RMC_W_RN(1.0),N_A,COM1,W,2025,2024,0,2025-03-14,INR,47890619150000
RBI:RMC_W_RN(1.0),N_A,COM13,W,2025,2024,0,2025-03-14,INR,9796440500000
RBI:RMC_W_RN(1.0),N_A,COM1,W,2025,2024,0,2025-03-07,INR,47391677420000
RBI:RMC_W_RN(1.0),N_A,COM11,W,2025,2024,0,2025-03-07,INR,36842095150000
RBI:RMC_W_RN(1.0),N_A,COM12,W,2025,2024,0,2025-03-07,INR,1087840165000
RBI:RMC_W_RN(1.0),N_A,COM13,W,2025,2024,0,2025-03-07,INR,9461742100000
RBI:RMC_W_RN(1.0),N_A,COM12,W,2025,2024,0,2025-02-28,INR,1127176465000
RBI:RMC_W_RN(1.0),N_A,COM11,W,2025,2024,0,2025-02-28,INR,36518802450000
RBI:RMC_W_RN(1.0),N_A,COM13,W,2025,2024,0,2025-02-28,INR,9860861400000
RBI:RMC_W_RN(1.0),N_A,COM1,W,2025,2024,0,2025-02-28,INR,47506840320000
RBI:RMC_W_RN(1.0),N_A,COM13,W,2025,2024,0,2025-02-21,INR,9474879400000
RBI:RMC_W_RN(1.0),N_A,COM1,W,2025,2024,0,2025-02-21,INR,47122285369999.99
RBI:RMC_W_RN(1.0),N_A,COM12,W,2025,2024,0,2025-02-21,INR,1133121165000
RBI:RMC_W_RN(1.0),N_A,COM11,W,2025,2024,0,2025-02-21,INR,36514284810000
RBI:RMC_W_RN(1.0),N_A,COM11,W,2025,2024,0,2025-02-14,INR,36420625310000
RBI:RMC_W_RN(1.0),N_A,COM13,W,2025,2024,0,2025-02-14,INR,10119254200000
RBI:RMC_W_RN(1.0),N_A,COM1,W,2025,2024,0,2025-02-14,INR,47634050000000
RBI:RMC_W_RN(1.0),N_A,COM12,W,2025,2024,0,2025-02-14,INR,1094165965000
RBI:RMC_W_RN(1.0),N_A,COM12,W,2025,2024,0,2025-02-07,INR,1119268565000
RBI:RMC_W_RN(1.0),N_A,COM1,W,2025,2024,0,2025-02-07,INR,46821716370000
RBI:RMC_W_RN(1.0),N_A,COM13,W,2025,2024,0,2025-02-07,INR,9375895400000
RBI:RMC_W_RN(1.0),N_A,COM11,W,2025,2024,0,2025-02-07,INR,36326552410000
RBI:RMC_W_RN(1.0),N_A,COM13,W,2025,2024,0,2025-01-31,INR,9826974700000
RBI:RMC_W_RN(1.0),N_A,COM12,W,2025,2024,0,2025-01-31,INR,1057386880000
RBI:RMC_W_RN(1.0),N_A,COM11,W,2025,2024,0,2025-01-31,INR,36009817610000
RBI:RMC_W_RN(1.0),N_A,COM1,W,2025,2024,0,2025-01-31,INR,46894179190000
RBI:RMC_W_RN(1.0),N_A,COM12,W,2025,2024,0,2025-01-24,INR,1042943180000
RBI:RMC_W_RN(1.0),N_A,COM11,W,2025,2024,0,2025-01-24,INR,35999784740000
RBI:RMC_W_RN(1.0),N_A,COM1,W,2025,2024,0,2025-01-24,INR,46526869620000
RBI:RMC_W_RN(1.0),N_A,COM13,W,2025,2024,0,2025-01-24,INR,9484141700000
RBI:RMC_W_RN(1.0),N_A,COM13,W,2025,2024,0,2025-01-10,INR,9887444400000
RBI:RMC_W_RN(1.0),N_A,COM11,W,2025,2024,0,2025-01-10,INR,35899668640000
RBI:RMC_W_RN(1.0),N_A,COM1,W,2025,2024,0,2025-01-10,INR,46823366870000
RBI:RMC_W_RN(1.0),N_A,COM12,W,2025,2024,0,2025-01-10,INR,1036253822000
RBI:RMC_W_RN(1.0),N_A,COM12,W,2025,2024,0,2025-01-03,INR,1034676222000
RBI:RMC_W_RN(1.0),N_A,COM1,W,2025,2024,0,2025-01-03,INR,46323204570000
RBI:RMC_W_RN(1.0),N_A,COM11,W,2025,2024,0,2025-01-03,INR,35616548440000
RBI:RMC_W_RN(1.0),N_A,COM13,W,2025,2024,0,2025-01-03,INR,9671979900000
RBI:RMC_W_RN(1.0),N_A,COM12,W,2025,2024,0,2024-12-27,INR,1016289322000
RBI:RMC_W_RN(1.0),N_A,COM11,W,2025,2024,0,2024-12-27,INR,35612015040000
RBI:RMC_W_RN(1.0),N_A,COM1,W,2025,2024,0,2024-12-27,INR,46630899670000
RBI:RMC_W_RN(1.0),N_A,COM13,W,2025,2024,0,2024-12-27,INR,10002595300000
RBI:RMC_W_RN(1.0),N_A,COM1,W,2025,2024,0,2024-12-20,INR,47115311582000.01
RBI:RMC_W_RN(1.0),N_A,COM13,W,2025,2024,0,2024-12-20,INR,10471112700000
RBI:RMC_W_RN(1.0),N_A,COM12,W,2025,2024,0,2024-12-20,INR,1024033422000
RBI:RMC_W_RN(1.0),N_A,COM11,W,2025,2024,0,2024-12-20,INR,35620165460000
RBI:RMC_W_RN(1.0),N_A,COM13,W,2025,2024,0,2024-12-13,INR,10504545500000
RBI:RMC_W_RN(1.0),N_A,COM11,W,2025,2024,0,2024-12-13,INR,35718635060000
RBI:RMC_W_RN(1.0),N_A,COM12,W,2025,2024,0,2024-12-13,INR,992444822300
RBI:RMC_W_RN(1.0),N_A,COM1,W,2025,2024,0,2024-12-13,INR,47215625380000
RBI:RMC_W_RN(1.0),N_A,COM13,W,2025,2024,0,2024-12-06,INR,10973908800000
RBI:RMC_W_RN(1.0),N_A,COM11,W,2025,2024,0,2024-12-06,INR,35625149460000
RBI:RMC_W_RN(1.0),N_A,COM1,W,2025,2024,0,2024-12-06,INR,47589743640000
RBI:RMC_W_RN(1.0),N_A,COM12,W,2025,2024,0,2024-12-06,INR,990685378700
