DATAFLOW,AUDST,COMP_RN,COSO_MER_RN,FREQ,REPYEAREND,REPYEARSTART,UNIT_MULT,TIME_PERIOD,UNIT_MEASURE,OBS_VALUE
RBI:BMC_M_RN(1.0),N_A,CMS1104,N_A,M,2017,2016,0,2016-08-31,INR,710414725999.9999
RBI:BMC_M_RN(1.0),N_A,CMS12,N_A,M,2017,2016,0,2016-08-31,INR,93923761546000
RBI:BMC_M_RN(1.0),N_A,CMS1,N_A,M,2017,2016,0,2016-09-30,INR,124899935089000
RBI:BMC_M_RN(1.0),N_A,CMS11,N_A,M,2017,2016,0,2016-09-30,INR,28285504271000
RBI:BMC_M_RN(1.0),N_A,CMS1101,N_A,M,2017,2016,0,2016-09-30,INR,16564778921000
RBI:BMC_M_RN(1.0),N_A,CMS1102,N_A,M,2017,2016,0,2016-09-30,INR,186011155000
RBI:BMC_M_RN(1.0),N_A,CMS1103,N_A,M,2017,2016,0,2016-09-30,INR,11534714195000
RBI:BMC_M_RN(1.0),N_A,CMS1104,N_A,M,2017,2016,0,2016-09-30,INR,714001079000
RBI:BMC_M_RN(1.0),N_A,CMS12,N_A,M,2017,2016,0,2016-09-30,INR,96614430818000
RBI:BMC_M_RN(1.0),N_A,CMS1,N_A,M,2017,2016,0,2016-10-31,INR,123649085286999.98
RBI:BMC_M_RN(1.0),N_A,CMS11,N_A,M,2017,2016,0,2016-10-31,INR,27587071927000
RBI:BMC_M_RN(1.0),N_A,CMS1101,N_A,M,2017,2016,0,2016-10-31,INR,17022097331000
RBI:BMC_M_RN(1.0),N_A,CMS1102,N_A,M,2017,2016,0,2016-10-31,INR,159621155000
RBI:BMC_M_RN(1.0),N_A,CMS1103,N_A,M,2017,2016,0,2016-10-31,INR,10405353441000
RBI:BMC_M_RN(1.0),N_A,CMS1104,N_A,M,2017,2016,0,2016-10-31,INR,753249803000
RBI:BMC_M_RN(1.0),N_A,CMS12,N_A,M,2017,2016,0,2016-10-31,INR,96062013359999.98
RBI:BMC_M_RN(1.0),N_A,CMS1,N_A,M,2017,2016,0,2016-11-30,INR,121313875850000
RBI:BMC_M_RN(1.0),N_A,CMS11,N_A,M,2017,2016,0,2016-11-30,INR,21031200430000
RBI:BMC_M_RN(1.0),N_A,CMS1101,N_A,M,2017,2016,0,2016-11-30,INR,8962555082000
RBI:BMC_M_RN(1.0),N_A,CMS1102,N_A,M,2017,2016,0,2016-11-30,INR,150801155000
RBI:BMC_M_RN(1.0),N_A,CMS1103,N_A,M,2017,2016,0,2016-11-30,INR,11917844193000
RBI:BMC_M_RN(1.0),N_A,CMS1104,N_A,M,2017,2016,0,2016-11-30,INR,2921622186000
RBI:BMC_M_RN(1.0),N_A,CMS12,N_A,M,2017,2016,0,2016-11-30,INR,100282675420000
RBI:BMC_M_RN(1.0),N_A,CMS1,N_A,M,2017,2016,0,2016-12-31,INR,120057794987000
RBI:BMC_M_RN(1.0),N_A,CMS11,N_A,M,2017,2016,0,2016-12-31,INR,19945727160000
RBI:BMC_M_RN(1.0),N_A,CMS1101,N_A,M,2017,2016,0,2016-12-31,INR,7858587992000
RBI:BMC_M_RN(1.0),N_A,CMS1102,N_A,M,2017,2016,0,2016-12-31,INR,152601155000
RBI:BMC_M_RN(1.0),N_A,CMS1103,N_A,M,2017,2016,0,2016-12-31,INR,11934538013000
RBI:BMC_M_RN(1.0),N_A,CMS1104,N_A,M,2017,2016,0,2016-12-31,INR,1573502864000
RBI:BMC_M_RN(1.0),N_A,CMS12,N_A,M,2017,2016,0,2016-12-31,INR,100112067827000
RBI:BMC_M_RN(1.0),N_A,CMS1,N_A,M,2017,2016,0,2017-01-31,INR,121067374871000
RBI:BMC_M_RN(1.0),N_A,CMS11,N_A,M,2017,2016,0,2017-01-31,INR,20969333776000
RBI:BMC_M_RN(1.0),N_A,CMS1101,N_A,M,2017,2016,0,2017-01-31,INR,9134803462000
RBI:BMC_M_RN(1.0),N_A,CMS1102,N_A,M,2017,2016,0,2017-01-31,INR,155281155000
RBI:BMC_M_RN(1.0),N_A,CMS1103,N_A,M,2017,2016,0,2017-01-31,INR,11679249159000
RBI:BMC_M_RN(1.0),N_A,CMS1104,N_A,M,2017,2016,0,2017-01-31,INR,741976161000
RBI:BMC_M_RN(1.0),N_A,CMS12,N_A,M,2017,2016,0,2017-01-31,INR,100098041095000
RBI:BMC_M_RN(1.0),N_A,CMS1,N_A,M,2017,2016,0,2017-02-28,INR,122623352775000
RBI:BMC_M_RN(1.0),N_A,CMS11,N_A,M,2017,2016,0,2017-02-28,INR,22510199390000
RBI:BMC_M_RN(1.0),N_A,CMS1101,N_A,M,2017,2016,0,2017-02-28,INR,10644875853000
RBI:BMC_M_RN(1.0),N_A,CMS1102,N_A,M,2017,2016,0,2017-02-28,INR,156321155000
RBI:BMC_M_RN(1.0),N_A,CMS1103,N_A,M,2017,2016,0,2017-02-28,INR,11709002382000
RBI:BMC_M_RN(1.0),N_A,CMS1104,N_A,M,2017,2016,0,2017-02-28,INR,672489186000
RBI:BMC_M_RN(1.0),N_A,CMS12,N_A,M,2017,2016,0,2017-02-28,INR,100113153385000
RBI:BMC_M_RN(1.0),N_A,CMS1,N_A,M,2017,2016,0,2017-03-31,INR,127919399288000
RBI:BMC_M_RN(1.0),N_A,CMS11,N_A,M,2017,2016,0,2017-03-31,INR,26819568309000
RBI:BMC_M_RN(1.0),N_A,CMS1101,N_A,M,2017,2016,0,2017-03-31,INR,12641242908000
RBI:BMC_M_RN(1.0),N_A,CMS1102,N_A,M,2017,2016,0,2017-03-31,INR,210911155000
RBI:BMC_M_RN(1.0),N_A,CMS1103,N_A,M,2017,2016,0,2017-03-31,INR,13967414246000
RBI:BMC_M_RN(1.0),N_A,CMS1104,N_A,M,2017,2016,0,2017-03-31,INR,711421865000
RBI:BMC_M_RN(1.0),N_A,CMS12,N_A,M,2017,2016,0,2017-03-31,INR,101099830979000
