DATAFLOW,AUDST,COM_MSUR_RN,COSO_MER_RN,FREQ,REPYEAREND,REPYEARSTART,UNIT_MULT,TIME_PERIOD,UNIT_MEASURE,OBS_VALUE
RBI:MSURYCOM_F_RN(1.0),N_A,CMSR1101,N_A,F,2008,2007,0,2008-02-15,INR,10403400000000
RBI:MSURYCOM_F_RN(1.0),N_A,CMSR11011,N_A,F,2008,2007,0,2008-02-15,INR,5550210000000
RBI:MSURYCOM_F_RN(1.0),N_A,CMSR11012,N_A,F,2008,2007,0,2008-02-15,INR,32101830000000
RBI:MSURYCOM_F_RN(1.0),N_A,CMSR1101201,N_A,F,2008,2007,0,2008-02-15,INR,4806350000000
RBI:MSURYCOM_F_RN(1.0),N_A,CMSR1101202,N_A,F,2008,2007,0,2008-02-15,INR,27295480000000
RBI:MSURYCOM_F_RN(1.0),N_A,CMSR110120201,N_A,F,2008,2007,0,2008-02-15,INR,12282970000000
RBI:MSURYCOM_F_RN(1.0),N_A,CMSR11012020101,N_A,F,2008,2007,0,2008-02-15,INR,1476420000000
RBI:MSURYCOM_F_RN(1.0),N_A,CMSR110120202,N_A,F,2008,2007,0,2008-02-15,INR,15012510000000
RBI:MSURYCOM_F_RN(1.0),N_A,CMSR11013,N_A,F,2008,2007,0,2008-02-15,INR,46840000000
RBI:MSURYCOM_F_RN(1.0),N_A,CMSR11014,N_A,F,2008,2007,0,2008-02-15,INR,1044880000000
RBI:MSURYCOM_F_RN(1.0),N_A,CMSR1,N_A,F,2008,2007,0,2008-02-29,INR,39338900000000
RBI:MSURYCOM_F_RN(1.0),N_A,CMSR11,N_A,F,2008,2007,0,2008-02-29,INR,23087800000000
RBI:MSURYCOM_F_RN(1.0),N_A,CMSR1101,N_A,F,2008,2007,0,2008-02-29,INR,10684680000000
RBI:MSURYCOM_F_RN(1.0),N_A,CMSR11011,N_A,F,2008,2007,0,2008-02-29,INR,5543480000000
RBI:MSURYCOM_F_RN(1.0),N_A,CMSR11012,N_A,F,2008,2007,0,2008-02-29,INR,32653870000000
RBI:MSURYCOM_F_RN(1.0),N_A,CMSR1101201,N_A,F,2008,2007,0,2008-02-29,INR,5091380000000
RBI:MSURYCOM_F_RN(1.0),N_A,CMSR1101202,N_A,F,2008,2007,0,2008-02-29,INR,27562490000000
RBI:MSURYCOM_F_RN(1.0),N_A,CMSR110120201,N_A,F,2008,2007,0,2008-02-29,INR,12403120000000
RBI:MSURYCOM_F_RN(1.0),N_A,CMSR11012020101,N_A,F,2008,2007,0,2008-02-29,INR,1484120000000
RBI:MSURYCOM_F_RN(1.0),N_A,CMSR110120202,N_A,F,2008,2007,0,2008-02-29,INR,15159370000000
RBI:MSURYCOM_F_RN(1.0),N_A,CMSR11013,N_A,F,2008,2007,0,2008-02-29,INR,49820000000
RBI:MSURYCOM_F_RN(1.0),N_A,CMSR11014,N_A,F,2008,2007,0,2008-02-29,INR,1091730000000
RBI:MSURYCOM_F_RN(1.0),N_A,CMSR1,N_A,F,2008,2007,0,2008-03-31,INR,40674240000000
RBI:MSURYCOM_F_RN(1.0),N_A,CMSR11,N_A,F,2008,2007,0,2008-03-31,INR,24181090000000
RBI:MSURYCOM_F_RN(1.0),N_A,CMSR1101,N_A,F,2008,2007,0,2008-03-31,INR,11558100000000
RBI:MSURYCOM_F_RN(1.0),N_A,CMSR11011,N_A,F,2008,2007,0,2008-03-31,INR,5684100000000
RBI:MSURYCOM_F_RN(1.0),N_A,CMSR11012,N_A,F,2008,2007,0,2008-03-31,INR,33834830000000
RBI:MSURYCOM_F_RN(1.0),N_A,CMSR1101201,N_A,F,2008,2007,0,2008-03-31,INR,5783720000000
RBI:MSURYCOM_F_RN(1.0),N_A,CMSR1101202,N_A,F,2008,2007,0,2008-03-31,INR,28051100000000
RBI:MSURYCOM_F_RN(1.0),N_A,CMSR110120201,N_A,F,2008,2007,0,2008-03-31,INR,12623000000000
RBI:MSURYCOM_F_RN(1.0),N_A,CMSR11012020101,N_A,F,2008,2007,0,2008-03-31,INR,1666420000000
RBI:MSURYCOM_F_RN(1.0),N_A,CMSR110120202,N_A,F,2008,2007,0,2008-03-31,INR,15428110000000
RBI:MSURYCOM_F_RN(1.0),N_A,CMSR11013,N_A,F,2008,2007,0,2008-03-31,INR,90270000000
RBI:MSURYCOM_F_RN(1.0),N_A,CMSR11014,N_A,F,2008,2007,0,2008-03-31,INR,1065040000000
RBI:MSURYCOM_F_RN(1.0),N_A,CMSR1,N_A,F,2009,2008,0,2008-08-15,INR,42256900000000
RBI:MSURYCOM_F_RN(1.0),N_A,CMSR11,N_A,F,2009,2008,0,2008-08-15,INR,24606130000000
RBI:MSURYCOM_F_RN(1.0),N_A,CMSR1101,N_A,F,2009,2008,0,2008-08-15,INR,10990330000000
RBI:MSURYCOM_F_RN(1.0),N_A,CMSR11011,N_A,F,2009,2008,0,2008-08-15,INR,5975600000000
RBI:MSURYCOM_F_RN(1.0),N_A,CMSR11012,N_A,F,2009,2008,0,2008-08-15,INR,35222700000000
RBI:MSURYCOM_F_RN(1.0),N_A,CMSR1101201,N_A,F,2009,2008,0,2008-08-15,INR,4965380000000
RBI:MSURYCOM_F_RN(1.0),N_A,CMSR1101202,N_A,F,2009,2008,0,2008-08-15,INR,30257330000000
RBI:MSURYCOM_F_RN(1.0),N_A,CMSR110120201,N_A,F,2009,2008,0,2008-08-15,INR,13615800000000
RBI:MSURYCOM_F_RN(1.0),N_A,CMSR11012020101,N_A,F,2009,2008,0,2008-08-15,INR,1708430000000
RBI:MSURYCOM_F_RN(1.0),N_A,CMSR110120202,N_A,F,2009,2008,0,2008-08-15,INR,16641530000000
RBI:MSURYCOM_F_RN(1.0),N_A,CMSR11013,N_A,F,2009,2008,0,2008-08-15,INR,49350000000
RBI:MSURYCOM_F_RN(1.0),N_A,CMSR11014,N_A,F,2009,2008,0,2008-08-15,INR,1009240000000
RBI:MSURYCOM_F_RN(1.0),N_A,CMSR1,N_A,F,2009,2008,0,2009-03-31,INR,48414440000000
RBI:MSURYCOM_F_RN(1.0),N_A,CMSR11,N_A,F,2009,2008,0,2009-03-31,INR,28201970000000
RBI:MSURYCOM_F_RN(1.0),N_A,CMSR1101,N_A,F,2009,2008,0,2009-03-31,INR,12596710000000
RBI:MSURYCOM_F_RN(1.0),N_A,CMSR11011,N_A,F,2009,2008,0,2009-03-31,INR,6654500000000
RBI:MSURYCOM_F_RN(1.0),N_A,CMSR11012,N_A,F,2009,2008,0,2009-03-31,INR,40565250000000
RBI:MSURYCOM_F_RN(1.0),N_A,CMSR1101201,N_A,F,2009,2008,0,2009-03-31,INR,5886880000000
RBI:MSURYCOM_F_RN(1.0),N_A,CMSR1101202,N_A,F,2009,2008,0,2009-03-31,INR,34678370000000
RBI:MSURYCOM_F_RN(1.0),N_A,CMSR110120201,N_A,F,2009,2008,0,2009-03-31,INR,15605270000000
RBI:MSURYCOM_F_RN(1.0),N_A,CMSR11012020101,N_A,F,2009,2008,0,2009-03-31,INR,1989310000000
RBI:MSURYCOM_F_RN(1.0),N_A,CMSR110120202,N_A,F,2009,2008,0,2009-03-31,INR,19073100000000
RBI:MSURYCOM_F_RN(1.0),N_A,CMSR11013,N_A,F,2009,2008,0,2009-03-31,INR,55330000000
RBI:MSURYCOM_F_RN(1.0),N_A,CMSR11014,N_A,F,2009,2008,0,2009-03-31,INR,1139360000000
RBI:MSURYCOM_F_RN(1.0),N_A,CMSR1,N_A,F,2010,2009,0,2009-07-31,INR,50828880000000
RBI:MSURYCOM_F_RN(1.0),N_A,CMSR11,N_A,F,2010,2009,0,2009-07-31,INR,29375180000000
RBI:MSURYCOM_F_RN(1.0),N_A,CMSR1101,N_A,F,2010,2009,0,2009-07-31,INR,12663240000000
RBI:MSURYCOM_F_RN(1.0),N_A,CMSR11011,N_A,F,2010,2009,0,2009-07-31,INR,6759630000000
RBI:MSURYCOM_F_RN(1.0),N_A,CMSR11012,N_A,F,2010,2009,0,2009-07-31,INR,42999110000000
RBI:MSURYCOM_F_RN(1.0),N_A,CMSR1101201,N_A,F,2010,2009,0,2009-07-31,INR,5861450000000
RBI:MSURYCOM_F_RN(1.0),N_A,CMSR1101202,N_A,F,2010,2009,0,2009-07-31,INR,37137650000000
RBI:MSURYCOM_F_RN(1.0),N_A,CMSR110120201,N_A,F,2010,2009,0,2009-07-31,INR,16711940000000
RBI:MSURYCOM_F_RN(1.0),N_A,CMSR11012020101,N_A,F,2010,2009,0,2009-07-31,INR,2421050000000
RBI:MSURYCOM_F_RN(1.0),N_A,CMSR110120202,N_A,F,2010,2009,0,2009-07-31,INR,20425710000000
RBI:MSURYCOM_F_RN(1.0),N_A,CMSR11013,N_A,F,2010,2009,0,2009-07-31,INR,42160000000
RBI:MSURYCOM_F_RN(1.0),N_A,CMSR11014,N_A,F,2010,2009,0,2009-07-31,INR,1027990000000
RBI:MSURYCOM_F_RN(1.0),N_A,CMSR1,N_A,F,2010,2009,0,2010-01-15,INR,53530290000000
RBI:MSURYCOM_F_RN(1.0),N_A,CMSR11,N_A,F,2010,2009,0,2010-01-15,INR,31082590000000
RBI:MSURYCOM_F_RN(1.0),N_A,CMSR1101,N_A,F,2010,2009,0,2010-01-15,INR,13548940000000
RBI:MSURYCOM_F_RN(1.0),N_A,CMSR11011,N_A,F,2010,2009,0,2010-01-15,INR,7487840000000
RBI:MSURYCOM_F_RN(1.0),N_A,CMSR11012,N_A,F,2010,2009,0,2010-01-15,INR,44987080000000
RBI:MSURYCOM_F_RN(1.0),N_A,CMSR1101201,N_A,F,2010,2009,0,2010-01-15,INR,6023410000000
RBI:MSURYCOM_F_RN(1.0),N_A,CMSR1101202,N_A,F,2010,2009,0,2010-01-15,INR,38963670000000
RBI:MSURYCOM_F_RN(1.0),N_A,CMSR110120201,N_A,F,2010,2009,0,2010-01-15,INR,17533650000000
RBI:MSURYCOM_F_RN(1.0),N_A,CMSR11012020101,N_A,F,2010,2009,0,2010-01-15,INR,2665510000000
RBI:MSURYCOM_F_RN(1.0),N_A,CMSR110120202,N_A,F,2010,2009,0,2010-01-15,INR,21430020000000
RBI:MSURYCOM_F_RN(1.0),N_A,CMSR11013,N_A,F,2010,2009,0,2010-01-15,INR,37700000000
RBI:MSURYCOM_F_RN(1.0),N_A,CMSR11014,N_A,F,2010,2009,0,2010-01-15,INR,1017670000000
RBI:MSURYCOM_F_RN(1.0),N_A,CMSR1,N_A,F,2010,2009,0,2010-03-31,INR,56419740000000
RBI:MSURYCOM_F_RN(1.0),N_A,CMSR11,N_A,F,2010,2009,0,2010-03-31,INR,33110610000000
RBI:MSURYCOM_F_RN(1.0),N_A,CMSR1101,N_A,F,2010,2009,0,2010-03-31,INR,14892680000000
RBI:MSURYCOM_F_RN(1.0),N_A,CMSR11011,N_A,F,2010,2009,0,2010-03-31,INR,7674920000000
RBI:MSURYCOM_F_RN(1.0),N_A,CMSR11012,N_A,F,2010,2009,0,2010-03-31,INR,47663980000000
RBI:MSURYCOM_F_RN(1.0),N_A,CMSR1101201,N_A,F,2010,2009,0,2010-03-31,INR,7179700000000
RBI:MSURYCOM_F_RN(1.0),N_A,CMSR1101202,N_A,F,2010,2009,0,2010-03-31,INR,40484280000000
RBI:MSURYCOM_F_RN(1.0),N_A,CMSR110120201,N_A,F,2010,2009,0,2010-03-31,INR,18217930000000
RBI:MSURYCOM_F_RN(1.0),N_A,CMSR11012020101,N_A,F,2010,2009,0,2010-03-31,INR,3431030000000
RBI:MSURYCOM_F_RN(1.0),N_A,CMSR110120202,N_A,F,2010,2009,0,2010-03-31,INR,22266350000000
RBI:MSURYCOM_F_RN(1.0),N_A,CMSR11013,N_A,F,2010,2009,0,2010-03-31,INR,38060000000
RBI:MSURYCOM_F_RN(1.0),N_A,CMSR11014,N_A,F,2010,2009,0,2010-03-31,INR,1042780000000
RBI:MSURYCOM_F_RN(1.0),N_A,CMSR1,N_A,F,2011,2010,0,2010-12-31,INR,62738540000000
RBI:MSURYCOM_F_RN(1.0),N_A,CMSR11,N_A,F,2011,2010,0,2010-12-31,INR,36461080000000
RBI:MSURYCOM_F_RN(1.0),N_A,CMSR1101,N_A,F,2011,2010,0,2010-12-31,INR,15917730000000
RBI:MSURYCOM_F_RN(1.0),N_A,CMSR11011,N_A,F,2011,2010,0,2010-12-31,INR,8686660000000
RBI:MSURYCOM_F_RN(1.0),N_A,CMSR11012,N_A,F,2011,2010,0,2010-12-31,INR,52847230000000
RBI:MSURYCOM_F_RN(1.0),N_A,CMSR1101201,N_A,F,2011,2010,0,2010-12-31,INR,7195360000000
RBI:MSURYCOM_F_RN(1.0),N_A,CMSR1101202,N_A,F,2011,2010,0,2010-12-31,INR,45651870000000
RBI:MSURYCOM_F_RN(1.0),N_A,CMSR110120201,N_A,F,2011,2010,0,2010-12-31,INR,20543340000000
RBI:MSURYCOM_F_RN(1.0),N_A,CMSR11012020101,N_A,F,2011,2010,0,2010-12-31,INR,3676380000000
RBI:MSURYCOM_F_RN(1.0),N_A,CMSR110120202,N_A,F,2011,2010,0,2010-12-31,INR,25108530000000
RBI:MSURYCOM_F_RN(1.0),N_A,CMSR11013,N_A,F,2011,2010,0,2010-12-31,INR,35710000000
RBI:MSURYCOM_F_RN(1.0),N_A,CMSR11014,N_A,F,2011,2010,0,2010-12-31,INR,1168930000000
RBI:MSURYCOM_F_RN(1.0),N_A,CMSR1,N_A,F,2011,2010,0,2011-03-31,INR,65653800000000
RBI:MSURYCOM_F_RN(1.0),N_A,CMSR11,N_A,F,2011,2010,0,2011-03-31,INR,37964080000000
RBI:MSURYCOM_F_RN(1.0),N_A,CMSR1101,N_A,F,2011,2010,0,2011-03-31,INR,16383450000000
RBI:MSURYCOM_F_RN(1.0),N_A,CMSR11011,N_A,F,2011,2010,0,2011-03-31,INR,9118360000000
RBI:MSURYCOM_F_RN(1.0),N_A,CMSR11012,N_A,F,2011,2010,0,2011-03-31,INR,55185500000000
RBI:MSURYCOM_F_RN(1.0),N_A,CMSR1101201,N_A,F,2011,2010,0,2011-03-31,INR,7228560000000
RBI:MSURYCOM_F_RN(1.0),N_A,CMSR1101202,N_A,F,2011,2010,0,2011-03-31,INR,47956940000000
