DATAFLOW,AUDST,COM_RBI_SUR_RN,FREQ,REPYEAREND,REPYEARSTART,UNIT_MULT,TIME_PERIOD,UNIT_MEASURE,OBS_VALUE
RBI:RBI_SURY_COM_M_RN(1.0),N_A,CRBIS13,M,2025,2024,0,2024-08-31,INR,918222708800
RBI:RBI_SURY_COM_M_RN(1.0),N_A,CRBIS1201,M,2025,2024,0,2024-08-31,INR,9602203200000
RBI:RBI_SURY_COM_M_RN(1.0),N_A,CRBIS11,M,2025,2024,0,2024-08-31,INR,35129408610000
RBI:RBI_SURY_COM_M_RN(1.0),N_A,CRBIS12,M,2025,2024,0,2024-08-31,INR,10235954300000
RBI:RBI_SURY_COM_M_RN(1.0),N_A,CRBIS1,M,2025,2024,0,2024-08-31,INR,46283585618800
RBI:RBI_SURY_COM_M_RN(1.0),N_A,CRBIS1201,M,2025,2024,0,2024-07-31,INR,9760730200000
RBI:RBI_SURY_COM_M_RN(1.0),N_A,CRBIS12,M,2025,2024,0,2024-07-31,INR,10390586800000
RBI:RBI_SURY_COM_M_RN(1.0),N_A,CRBIS13,M,2025,2024,0,2024-07-31,INR,912245808800
RBI:RBI_SURY_COM_M_RN(1.0),N_A,CRBIS11,M,2025,2024,0,2024-07-31,INR,35371803210000
RBI:RBI_SURY_COM_M_RN(1.0),N_A,CRBIS1,M,2025,2024,0,2024-07-31,INR,46674635818800
RBI:RBI_SURY_COM_M_RN(1.0),N_A,CRBIS13,M,2025,2024,0,2024-06-30,INR,957661208800
RBI:RBI_SURY_COM_M_RN(1.0),N_A,CRBIS12,M,2025,2024,0,2024-06-30,INR,10363684500000
RBI:RBI_SURY_COM_M_RN(1.0),N_A,CRBIS11,M,2025,2024,0,2024-06-30,INR,35630023600000
RBI:RBI_SURY_COM_M_RN(1.0),N_A,CRBIS1201,M,2025,2024,0,2024-06-30,INR,9734552500000
RBI:RBI_SURY_COM_M_RN(1.0),N_A,CRBIS1,M,2025,2024,0,2024-06-30,INR,46951369308800
RBI:RBI_SURY_COM_M_RN(1.0),N_A,CRBIS1,M,2025,2024,0,2024-05-31,INR,46766742422100
RBI:RBI_SURY_COM_M_RN(1.0),N_A,CRBIS13,M,2025,2024,0,2024-05-31,INR,911687322100
RBI:RBI_SURY_COM_M_RN(1.0),N_A,CRBIS12,M,2025,2024,0,2024-05-31,INR,10141342700000
RBI:RBI_SURY_COM_M_RN(1.0),N_A,CRBIS11,M,2025,2024,0,2024-05-31,INR,35713712400000
RBI:RBI_SURY_COM_M_RN(1.0),N_A,CRBIS1201,M,2025,2024,0,2024-05-31,INR,9511092900000
RBI:RBI_SURY_COM_M_RN(1.0),N_A,CRBIS13,M,2025,2024,0,2024-04-30,INR,863519505500
RBI:RBI_SURY_COM_M_RN(1.0),N_A,CRBIS1201,M,2025,2024,0,2024-04-30,INR,9442355000000
RBI:RBI_SURY_COM_M_RN(1.0),N_A,CRBIS1,M,2025,2024,0,2024-04-30,INR,46600940225500
RBI:RBI_SURY_COM_M_RN(1.0),N_A,CRBIS12,M,2025,2024,0,2024-04-30,INR,10071738500000
RBI:RBI_SURY_COM_M_RN(1.0),N_A,CRBIS11,M,2025,2024,0,2024-04-30,INR,35665682220000
RBI:RBI_SURY_COM_M_RN(1.0),N_A,CRBIS13,M,2024,2023,0,2024-03-31,INR,945362405500
RBI:RBI_SURY_COM_M_RN(1.0),N_A,CRBIS12,M,2024,2023,0,2024-03-31,INR,10254487300000
RBI:RBI_SURY_COM_M_RN(1.0),N_A,CRBIS1201,M,2024,2023,0,2024-03-31,INR,9560106400000
RBI:RBI_SURY_COM_M_RN(1.0),N_A,CRBIS1,M,2024,2023,0,2024-03-31,INR,46314460725500
RBI:RBI_SURY_COM_M_RN(1.0),N_A,CRBIS11,M,2024,2023,0,2024-03-31,INR,35114611020000
RBI:RBI_SURY_COM_M_RN(1.0),N_A,CRBIS12,M,2024,2023,0,2024-02-29,INR,9710377200000
RBI:RBI_SURY_COM_M_RN(1.0),N_A,CRBIS1201,M,2024,2023,0,2024-02-29,INR,9093997600000
RBI:RBI_SURY_COM_M_RN(1.0),N_A,CRBIS11,M,2024,2023,0,2024-02-29,INR,34564629590000
