DATAFLOW,AUDST,FREQ,REPYEAREND,REPYEARSTART,SOUR_RN,UNIT_MULT,TIME_PERIOD,UNIT_MEASURE,OBS_VALUE
RBI:RMS_M_RN(1.0),N_A,M,2026,2025,SOR2,0,2025-05-30,INR,14518755100000
RBI:RMS_M_RN(1.0),N_A,M,2026,2025,SOR1,0,2025-05-30,INR,14793147800000
RBI:RMS_M_RN(1.0),N_A,M,2026,2025,SOR8,0,2025-05-30,INR,20992222560000
RBI:RMS_M_RN(1.0),N_A,M,2026,2025,SOR7,0,2025-05-30,INR,372909871900
RBI:RMS_M_RN(1.0),N_A,M,2026,2025,SOR3,0,2025-05-30,INR,-2081785700000
RBI:RMS_M_RN(1.0),N_A,M,2026,2025,SOR2,0,2025-04-25,INR,15594597700000
RBI:RMS_M_RN(1.0),N_A,M,2026,2025,SOR4,0,2025-04-25,INR,-1219170000000
RBI:RMS_M_RN(1.0),N_A,M,2026,2025,SOR8,0,2025-04-25,INR,23229650870000
RBI:RMS_M_RN(1.0),N_A,M,2026,2025,SOR7,0,2025-04-25,INR,369221938200
RBI:RMS_M_RN(1.0),N_A,M,2026,2025,SOR6,0,2025-04-25,INR,57141709270000
RBI:RMS_M_RN(1.0),N_A,M,2026,2025,SOR5,0,2025-04-25,INR,219818200000
RBI:RMS_M_RN(1.0),N_A,M,2026,2025,SOR3,0,2025-04-25,INR,-999351800000
RBI:RMS_M_RN(1.0),N_A,M,2026,2025,SOR1,0,2025-04-25,INR,15817414600000
RBI:RMS_M_RN(1.0),N_A,M,2025,2024,SOR8,0,2025-03-31,INR,21474265970000
RBI:RMS_M_RN(1.0),N_A,M,2025,2024,SOR7,0,2025-03-31,INR,366317123100
RBI:RMS_M_RN(1.0),N_A,M,2025,2024,SOR4,0,2025-03-31,INR,-1572610000000
RBI:RMS_M_RN(1.0),N_A,M,2025,2024,SOR6,0,2025-03-31,INR,55509473870000
RBI:RMS_M_RN(1.0),N_A,M,2025,2024,SOR2,0,2025-03-31,INR,14754598100000
RBI:RMS_M_RN(1.0),N_A,M,2025,2024,SOR3,0,2025-03-31,INR,-1190153100000
RBI:RMS_M_RN(1.0),N_A,M,2025,2024,SOR1,0,2025-03-31,INR,15081054200000
RBI:RMS_M_RN(1.0),N_A,M,2025,2024,SOR5,0,2025-03-31,INR,382456900000
RBI:RMS_M_RN(1.0),N_A,M,2025,2024,SOR7,0,2025-02-28,INR,363057651600
RBI:RMS_M_RN(1.0),N_A,M,2025,2024,SOR3,0,2025-02-28,INR,1631323100000
RBI:RMS_M_RN(1.0),N_A,M,2025,2024,SOR1,0,2025-02-28,INR,12741024100000
RBI:RMS_M_RN(1.0),N_A,M,2025,2024,SOR8,0,2025-02-28,INR,21549196580000
RBI:RMS_M_RN(1.0),N_A,M,2025,2024,SOR4,0,2025-02-28,INR,1322440000000
RBI:RMS_M_RN(1.0),N_A,M,2025,2024,SOR2,0,2025-02-28,INR,12512079600000
RBI:RMS_M_RN(1.0),N_A,M,2025,2024,SOR5,0,2025-02-28,INR,308883100000
RBI:RMS_M_RN(1.0),N_A,M,2025,2024,SOR6,0,2025-02-28,INR,54320632050000
RBI:RMS_M_RN(1.0),N_A,M,2025,2024,SOR4,0,2025-01-31,INR,1541920000000
RBI:RMS_M_RN(1.0),N_A,M,2025,2024,SOR7,0,2025-01-31,INR,360169706000
RBI:RMS_M_RN(1.0),N_A,M,2025,2024,SOR5,0,2025-01-31,INR,229533100000
RBI:RMS_M_RN(1.0),N_A,M,2025,2024,SOR3,0,2025-01-31,INR,1771453100000
RBI:RMS_M_RN(1.0),N_A,M,2025,2024,SOR8,0,2025-01-31,INR,20181382370000
RBI:RMS_M_RN(1.0),N_A,M,2025,2024,SOR1,0,2025-01-31,INR,11890669800000
RBI:RMS_M_RN(1.0),N_A,M,2025,2024,SOR6,0,2025-01-31,INR,53053268950000
RBI:RMS_M_RN(1.0),N_A,M,2025,2024,SOR2,0,2025-01-31,INR,11697772300000
RBI:RMS_M_RN(1.0),N_A,M,2025,2024,SOR7,0,2024-12-27,INR,356828943100
RBI:RMS_M_RN(1.0),N_A,M,2025,2024,SOR4,0,2024-12-27,INR,1827920000000
RBI:RMS_M_RN(1.0),N_A,M,2025,2024,SOR8,0,2024-12-27,INR,18911767810000
RBI:RMS_M_RN(1.0),N_A,M,2025,2024,SOR6,0,2024-12-27,INR,53243823330000
RBI:RMS_M_RN(1.0),N_A,M,2025,2024,SOR2,0,2024-12-27,INR,9790921800000
RBI:RMS_M_RN(1.0),N_A,M,2025,2024,SOR5,0,2024-12-27,INR,105190100000
RBI:RMS_M_RN(1.0),N_A,M,2025,2024,SOR1,0,2024-12-27,INR,10008905100000
RBI:RMS_M_RN(1.0),N_A,M,2025,2024,SOR3,0,2024-12-27,INR,1933110100000
RBI:RMS_M_RN(1.0),N_A,M,2025,2024,SOR6,0,2024-11-29,INR,54091588300000
RBI:RMS_M_RN(1.0),N_A,M,2025,2024,SOR8,0,2024-11-29,INR,19014464620000
RBI:RMS_M_RN(1.0),N_A,M,2025,2024,SOR1,0,2024-11-29,INR,12423455000000
RBI:RMS_M_RN(1.0),N_A,M,2025,2024,SOR3,0,2024-11-29,INR,-475481600000
RBI:RMS_M_RN(1.0),N_A,M,2025,2024,SOR5,0,2024-11-29,INR,104628400000
RBI:RMS_M_RN(1.0),N_A,M,2025,2024,SOR4,0,2024-11-29,INR,-580110000000
RBI:RMS_M_RN(1.0),N_A,M,2025,2024,SOR2,0,2024-11-29,INR,12259228600000
RBI:RMS_M_RN(1.0),N_A,M,2025,2024,SOR7,0,2024-11-29,INR,354193358400
RBI:RMS_M_RN(1.0),N_A,M,2025,2024,SOR7,0,2024-10-25,INR,351796245300
RBI:RMS_M_RN(1.0),N_A,M,2025,2024,SOR1,0,2024-10-25,INR,10601490700000
RBI:RMS_M_RN(1.0),N_A,M,2025,2024,SOR4,0,2024-10-25,INR,-576040000000
RBI:RMS_M_RN(1.0),N_A,M,2025,2024,SOR8,0,2024-10-25,INR,19150020750000
