DATAFLOW,AMOUNT_TYP_RN,AUDST,FREQ,LIMIT_RN,REPYEAREND,REPYEARSTART,ST_FACI_RN,UNIT_MULT,TIME_PERIOD,UNIT_MEASURE,OBS_VALUE
RBI:RBI_SF_RN(1.0),OUTSTNDING,N_A,M,N_A,2025,2024,TSF3,0,2025-02-21,INR,90957099999.99998
RBI:RBI_SF_RN(1.0),OUTSTNDING,N_A,M,N_A,2025,2024,TTL_OUTSTANDING,0,2025-02-21,INR,95957099999.99998
RBI:RBI_SF_RN(1.0),OUTSTNDING,N_A,M,N_A,2025,2024,TSF1,0,2025-01-24,INR,32320000000
RBI:RBI_SF_RN(1.0),OUTSTNDING,N_A,M,N_A,2025,2024,TSF4,0,2025-01-24,INR,0.0
RBI:RBI_SF_RN(1.0),OUTSTNDING,N_A,M,N_A,2025,2024,TSF2,0,2025-01-24,INR,0.0
RBI:RBI_SF_RN(1.0),OUTSTNDING,N_A,M,N_A,2025,2024,TTL_OUTSTANDING,0,2025-01-24,INR,127880000000
RBI:RBI_SF_RN(1.0),OUTSTNDING,N_A,M,N_A,2025,2024,TSF3,0,2025-01-24,INR,95560000000
RBI:RBI_SF_RN(1.0),OUTSTNDING,N_A,M,N_A,2025,2024,TSF1,0,2024-12-27,INR,311270000000
RBI:RBI_SF_RN(1.0),OUTSTNDING,N_A,M,N_A,2025,2024,TTL_OUTSTANDING,0,2024-12-27,INR,395864100000
RBI:RBI_SF_RN(1.0),OUTSTNDING,N_A,M,N_A,2025,2024,TSF4,0,2024-12-27,INR,0.0
RBI:RBI_SF_RN(1.0),OUTSTNDING,N_A,M,N_A,2025,2024,TSF3,0,2024-12-27,INR,84594100000
RBI:RBI_SF_RN(1.0),OUTSTNDING,N_A,M,N_A,2025,2024,TTL_OUTSTANDING,0,2024-11-29,INR,269412400000
RBI:RBI_SF_RN(1.0),OUTSTNDING,N_A,M,N_A,2025,2024,TSF1,0,2024-11-29,INR,185130000000
