DATAFLOW,AUDST,FREQ,LIAB_ITEMS_RN,REPYEAREND,REPYEARSTART,UNIT_MULT,TIME_PERIOD,UNIT_MEASURE,OBS_VALUE
RBI:RBI_LIAB_A_RN(1.0),N_A,AFY,LI37,2021,2020,0,2021-03-31,INR,336654300000
RBI:RBI_LIAB_A_RN(1.0),N_A,AFY,LI36,2021,2020,0,2021-03-31,INR,45602100000
RBI:RBI_LIAB_A_RN(1.0),N_A,AFY,LI33,2021,2020,0,2021-03-31,INR,424800000
RBI:RBI_LIAB_A_RN(1.0),N_A,AFY,NT_ISSU_TTL,2021,2020,0,2021-03-31,INR,28268626700000
RBI:RBI_LIAB_A_RN(1.0),N_A,AFY,LI1,2021,2020,0,2021-03-31,INR,28268506900000
RBI:RBI_LIAB_A_RN(1.0),N_A,AFY,LI35,2021,2020,0,2021-03-31,INR,88931900000
RBI:RBI_LIAB_A_RN(1.0),N_A,AFY,LI31,2021,2020,0,2021-03-31,INR,50001500000
RBI:RBI_LIAB_A_RN(1.0),N_A,AFY,LI4,2021,2020,0,2021-03-31,INR,13892687600000
RBI:RBI_LIAB_A_RN(1.0),N_A,AFY,LI3,2021,2020,0,2021-03-31,INR,14915380000000
RBI:RBI_LIAB_A_RN(1.0),N_A,AFY,LIA,2021,2020,0,2021-03-31,INR,28808060000000
RBI:RBI_LIAB_A_RN(1.0),N_A,AFY,LI34,2021,2020,0,2021-03-31,INR,6517481200000
RBI:RBI_LIAB_A_RN(1.0),N_A,AFY,LI38,2021,2020,0,2021-03-31,INR,7876281200000
RBI:RBI_LIAB_A_RN(1.0),N_A,AFY,LI4,2020,2019,0,2020-03-31,INR,15233580000000
RBI:RBI_LIAB_A_RN(1.0),N_A,AFY,LI3,2020,2019,0,2020-03-31,INR,11758600000000
RBI:RBI_LIAB_A_RN(1.0),N_A,AFY,LI31,2020,2019,0,2020-03-31,INR,1000000000
RBI:RBI_LIAB_A_RN(1.0),N_A,AFY,LI33,2020,2019,0,2020-03-31,INR,420000000
RBI:RBI_LIAB_A_RN(1.0),N_A,AFY,LI34,2020,2019,0,2020-03-31,INR,4376170000000
RBI:RBI_LIAB_A_RN(1.0),N_A,AFY,LI38,2020,2019,0,2020-03-31,INR,7048680000000
RBI:RBI_LIAB_A_RN(1.0),N_A,AFY,LI37,2020,2019,0,2020-03-31,INR,255520000000
RBI:RBI_LIAB_A_RN(1.0),N_A,AFY,LI35,2020,2019,0,2020-03-31,INR,52080000000
RBI:RBI_LIAB_A_RN(1.0),N_A,AFY,LI2,2020,2019,0,2020-03-31,INR,130000000
RBI:RBI_LIAB_A_RN(1.0),N_A,AFY,LI1,2020,2019,0,2020-03-31,INR,26355620000000
RBI:RBI_LIAB_A_RN(1.0),N_A,AFY,NT_ISSU_TTL,2020,2019,0,2020-03-31,INR,26355750000000
RBI:RBI_LIAB_A_RN(1.0),N_A,AFY,LIA,2020,2019,0,2020-03-31,INR,26992180000000
RBI:RBI_LIAB_A_RN(1.0),N_A,AFY,LI36,2020,2019,0,2020-03-31,INR,24720000000
RBI:RBI_LIAB_A_RN(1.0),N_A,AFY,NT_ISSU_TTL,2019,2018,0,2019-03-31,INR,21687970000000
RBI:RBI_LIAB_A_RN(1.0),N_A,AFY,LI31,2019,2018,0,2019-03-31,INR,1010000000
RBI:RBI_LIAB_A_RN(1.0),N_A,AFY,LI36,2019,2018,0,2019-03-31,INR,24910000000
RBI:RBI_LIAB_A_RN(1.0),N_A,AFY,LI35,2019,2018,0,2019-03-31,INR,39980000000
RBI:RBI_LIAB_A_RN(1.0),N_A,AFY,LI3,2019,2018,0,2019-03-31,INR,7649220000000
