DATAFLOW,AUDST,COSO_MER_RN,FREQ,REPYEAREND,REPYEARSTART,SOR_F_RN,UNIT_MULT,TIME_PERIOD,UNIT_MEASURE,OBS_VALUE
RBI:MSS_F_RN(1.0),N_A,N_A,F,2025,2024,N_A,0,2025-03-31,INR,725404986883100
RBI:MSS_F_RN(1.0),N_A,SF12_IM,F,2025,2024,N_A,0,2024-11-15,INR,67953423920000
RBI:MSS_F_RN(1.0),N_A,SF22_IM,F,2025,2024,N_A,0,2024-11-15,INR,181359247700000
RBI:MSS_F_RN(1.0),N_A,SF2_IM,F,2025,2024,N_A,0,2024-11-15,INR,181450734500000
RBI:MSS_F_RN(1.0),N_A,SF1_IM,F,2025,2024,N_A,0,2024-11-15,INR,81041971420000
RBI:MSS_F_RN(1.0),N_A,N_A,F,2025,2024,N_A,0,2024-11-15,INR,677689675125300
RBI:MSS_F_RN(1.0),N_A,SF5_IM,F,2025,2024,N_A,0,2024-11-15,INR,56844960530000
RBI:MSS_F_RN(1.0),N_A,N_A,F,2025,2024,N_A,0,2024-05-31,INR,635440186250200
RBI:MSS_F_RN(1.0),N_A,SF22_IM,F,2025,2024,N_A,0,2024-05-31,INR,175359475500000
RBI:MSS_F_RN(1.0),N_A,SF12_IM,F,2025,2024,N_A,0,2024-05-31,INR,64888700600000
RBI:MSS_F_RN(1.0),N_A,SF2_IM,F,2025,2024,N_A,0,2024-05-31,INR,175473191600000
RBI:MSS_F_RN(1.0),N_A,SF5_IM,F,2025,2024,N_A,0,2024-05-31,INR,50417286400000
RBI:MSS_F_RN(1.0),N_A,SF1_IM,F,2025,2024,N_A,0,2024-05-31,INR,74549060500000
RBI:MSS_F_RN(1.0),N_A,SF1_IM,F,2024,2023,N_A,0,2024-03-31,INR,76035708970000
RBI:MSS_F_RN(1.0),N_A,SF22_IM,F,2024,2023,N_A,0,2024-03-31,INR,171884255100000
RBI:MSS_F_RN(1.0),N_A,SF5_IM,F,2024,2023,N_A,0,2024-03-31,INR,54674772890000
RBI:MSS_F_RN(1.0),N_A,N_A,F,2024,2023,N_A,0,2024-03-31,INR,638762125923000
RBI:MSS_F_RN(1.0),N_A,SF12_IM,F,2024,2023,N_A,0,2024-03-31,INR,64103581370000
RBI:MSS_F_RN(1.0),N_A,SF2_IM,F,2024,2023,N_A,0,2024-03-31,INR,172028316200000
RBI:MSS_F_RN(1.0),N_A,N_A,F,2024,2023,N_A,0,2023-12-15,INR,610341344551400
RBI:MSS_F_RN(1.0),N_A,SF1_IM,F,2024,2023,N_A,0,2023-12-15,INR,73765463790000
RBI:MSS_F_RN(1.0),N_A,SF2_IM,F,2024,2023,N_A,0,2023-12-15,INR,165253460800000
RBI:MSS_F_RN(1.0),N_A,SF12_IM,F,2024,2023,N_A,0,2023-12-15,INR,62632074590000
RBI:MSS_F_RN(1.0),N_A,SF5_IM,F,2024,2023,N_A,0,2023-12-15,INR,51656121290000
RBI:MSS_F_RN(1.0),N_A,SF22_IM,F,2024,2023,N_A,0,2023-12-15,INR,165201155600000
RBI:MSS_F_RN(1.0),N_A,N_A,F,2024,2023,N_A,0,2023-06-30,INR,573792311038600
RBI:MSS_F_RN(1.0),N_A,N_A,F,2023,2022,N_A,0,2023-03-31,INR,565200862435400
RBI:MSS_F_RN(1.0),N_A,N_A,F,2023,2022,N_A,0,2022-07-15,INR,500805251657500
RBI:MSS_F_RN(1.0),N_A,N_A,F,2022,2021,N_A,0,2022-03-31,INR,500360885027400
RBI:MSS_F_RN(1.0),N_A,N_A,F,2022,2021,N_A,0,2021-12-31,INR,479708030704000
RBI:MSS_F_RN(1.0),N_A,N_A,F,2021,2020,N_A,0,2021-03-31,INR,462037210820110
RBI:MSS_F_RN(1.0),N_A,N_A,F,2021,2020,N_A,0,2021-01-15,INR,454190954059000
RBI:MSS_F_RN(1.0),N_A,N_A,F,2021,2020,N_A,0,2020-07-31,INR,437188111437000
RBI:MSS_F_RN(1.0),N_A,N_A,F,2020,2019,N_A,0,2020-03-31,INR,418784849972000
RBI:MSS_F_RN(1.0),N_A,N_A,F,2020,2019,N_A,0,2020-01-31,INR,410054048174000
RBI:MSS_F_RN(1.0),N_A,N_A,F,2019,2018,N_A,0,2019-03-31,INR,375110978841000
RBI:MSS_F_RN(1.0),N_A,N_A,F,2019,2018,N_A,0,2019-03-15,INR,374285838889000
RBI:MSS_F_RN(1.0),N_A,N_A,F,2019,2018,N_A,0,2019-02-15,INR,369795617536100
RBI:MSS_F_RN(1.0),N_A,N_A,F,2019,2018,N_A,0,2018-08-31,INR,354615537887400
RBI:MSS_F_RN(1.0),N_A,N_A,F,2018,2017,N_A,0,2018-03-31,INR,337793342469000
RBI:MSS_F_RN(1.0),N_A,N_A,F,2018,2017,N_A,0,2017-09-15,INR,319506217566000
RBI:MSS_F_RN(1.0),N_A,N_A,F,2017,2016,N_A,0,2017-03-31,INR,312386500747000
RBI:MSS_F_RN(1.0),N_A,N_A,F,2017,2016,N_A,0,2016-09-30,INR,303169436104000
RBI:MSS_F_RN(1.0),N_A,N_A,F,2017,2016,N_A,0,2016-04-15,INR,292333246462000
RBI:MSS_F_RN(1.0),N_A,N_A,F,2016,2015,N_A,0,2016-03-31,INR,285980656446000
RBI:MSS_F_RN(1.0),N_A,N_A,F,2016,2015,N_A,0,2015-05-15,INR,267308844655000
RBI:MSS_F_RN(1.0),N_A,N_A,F,2015,2014,N_A,0,2015-03-31,INR,259383951173000
RBI:MSS_F_RN(1.0),N_A,N_A,F,2015,2014,N_A,0,2014-10-31,INR,252536098804800
RBI:MSS_F_RN(1.0),N_A,N_A,F,2014,2013,N_A,0,2014-03-31,INR,247497845654000
RBI:MSS_F_RN(1.0),N_A,N_A,F,2014,2013,N_A,0,2013-11-15,INR,237572846022000
RBI:MSS_F_RN(1.0),N_A,N_A,F,2014,2013,N_A,0,2013-05-31,INR,223360823941000
RBI:MSS_F_RN(1.0),N_A,N_A,F,2013,2012,N_A,0,2013-03-31,INR,216838879047000
RBI:MSS_F_RN(1.0),N_A,N_A,F,2013,2012,N_A,0,2012-11-30,INR,207573522075000
RBI:MSS_F_RN(1.0),N_A,N_A,F,2013,2012,N_A,0,2012-06-15,INR,201038073730000
RBI:MSS_F_RN(1.0),N_A,N_A,F,2012,2011,N_A,0,2012-03-31,INR,193662973360520
RBI:MSS_F_RN(1.0),N_A,N_A,F,2012,2011,N_A,0,2011-07-15,INR,165805881850000
RBI:MSS_F_RN(1.0),N_A,N_A,F,2011,2010,N_A,0,2011-03-31,INR,160922573300000
RBI:MSS_F_RN(1.0),N_A,N_A,F,2011,2010,N_A,0,2010-12-31,INR,150180841200000
RBI:MSS_F_RN(1.0),N_A,N_A,F,2010,2009,N_A,0,2010-03-31,INR,133151842900000
RBI:MSS_F_RN(1.0),N_A,N_A,F,2010,2009,N_A,0,2010-01-15,INR,125286353200000
RBI:MSS_F_RN(1.0),N_A,N_A,F,2010,2009,N_A,0,2009-07-31,INR,118569472700000
RBI:MSS_F_RN(1.0),N_A,N_A,F,2009,2008,N_A,0,2009-03-31,INR,116660432100000
RBI:MSS_F_RN(1.0),N_A,N_A,F,2009,2008,N_A,0,2008-08-15,INR,100097856200000
RBI:MSS_F_RN(1.0),N_A,N_A,F,2008,2007,N_A,0,2008-03-31,INR,97913873400000
RBI:MSS_F_RN(1.0),N_A,N_A,F,2008,2007,N_A,0,2008-02-29,INR,92536051100000
RBI:MSS_F_RN(1.0),N_A,N_A,F,2008,2007,N_A,0,2008-02-15,INR,90248005300000
RBI:MSS_F_RN(1.0),N_A,N_A,F,2008,2007,N_A,0,2007-08-31,INR,81464100300000
RBI:MSS_F_RN(1.0),N_A,N_A,F,2007,2006,N_A,0,2007-03-31,INR,79698960100000
RBI:MSS_F_RN(1.0),N_A,N_A,F,2007,2006,N_A,0,2006-09-15,INR,70607267500000
RBI:MSS_F_RN(1.0),N_A,N_A,F,2006,2005,N_A,0,2006-03-31,INR,65549637900000
