DATAFLOW,AUDST,FREQ,RATIOS_RN,REPYEAREND,REPYEARSTART,UNIT_MULT,TIME_PERIOD,UNIT_MEASURE,OBS_VALUE
RBI:MONTRY_RATIOS_RN(1.0),N_A,AFY,RO1,1992,1991,0,1992-03-31,RO,1.27
RBI:MONTRY_RATIOS_RN(1.0),N_A,AFY,RO2,1992,1991,0,1992-03-31,RO,0.78
RBI:MONTRY_RATIOS_RN(1.0),N_A,AFY,RO3,1992,1991,0,1992-03-31,RO,0.25
RBI:MONTRY_RATIOS_RN(1.0),N_A,AFY,RO4,1992,1991,0,1992-03-31,RO,0.15
RBI:MONTRY_RATIOS_RN(1.0),N_A,AFY,RO5,1992,1991,0,1992-03-31,RO,1.11
RBI:MONTRY_RATIOS_RN(1.0),N_A,AFY,RO6,1992,1991,0,1992-03-31,RO,3.11
RBI:MONTRY_RATIOS_RN(1.0),N_A,AFY,RO7,1992,1991,0,1992-03-31,RO,2.24
RBI:MONTRY_RATIOS_RN(1.0),N_A,AFY,RO8,1992,1991,0,1992-03-31,RO,6.3
RBI:MONTRY_RATIOS_RN(1.0),N_A,AFY,RO9,1992,1991,0,1992-03-31,RO,11.42
RBI:MONTRY_RATIOS_RN(1.0),N_A,AFY,RO1,1993,1992,0,1993-03-31,RO,1.25
RBI:MONTRY_RATIOS_RN(1.0),N_A,AFY,RO2,1993,1992,0,1993-03-31,RO,0.76
RBI:MONTRY_RATIOS_RN(1.0),N_A,AFY,RO3,1993,1992,0,1993-03-31,RO,0.23
RBI:MONTRY_RATIOS_RN(1.0),N_A,AFY,RO4,1993,1992,0,1993-03-31,RO,0.14
RBI:MONTRY_RATIOS_RN(1.0),N_A,AFY,RO5,1993,1992,0,1993-03-31,RO,1.11
RBI:MONTRY_RATIOS_RN(1.0),N_A,AFY,RO6,1993,1992,0,1993-03-31,RO,3.2
RBI:MONTRY_RATIOS_RN(1.0),N_A,AFY,RO7,1993,1992,0,1993-03-31,RO,2.19
RBI:MONTRY_RATIOS_RN(1.0),N_A,AFY,RO8,1993,1992,0,1993-03-31,RO,6.27
RBI:MONTRY_RATIOS_RN(1.0),N_A,AFY,RO9,1993,1992,0,1993-03-31,RO,11.68
