DATAFLOW,AUDST,FREQ,LIAB_ITEMS_RN,REPYEAREND,REPYEARSTART,UNIT_MULT,TIME_PERIOD,UNIT_MEASURE,OBS_VALUE
RBI:RBI_LIAB_W_RN(1.0),N_A,W,LI39,2027,2026,0,2026-05-01,INR,1118320000000
RBI:RBI_LIAB_W_RN(1.0),N_A,W,LI33,2027,2026,0,2026-05-01,INR,434099999.99999994
RBI:RBI_LIAB_W_RN(1.0),N_A,W,LI38,2027,2026,0,2026-05-01,INR,4314455100000
RBI:RBI_LIAB_W_RN(1.0),N_A,W,LI1,2027,2026,0,2026-05-01,INR,42132122000000
RBI:RBI_LIAB_W_RN(1.0),N_A,W,LI4,2027,2026,0,2026-05-01,INR,31579409900000.004
RBI:RBI_LIAB_W_RN(1.0),N_A,W,LI3,2027,2026,0,2026-05-01,INR,14507793200000.002
RBI:RBI_LIAB_W_RN(1.0),N_A,W,LI32,2027,2026,0,2026-05-01,INR,0.0
RBI:RBI_LIAB_W_RN(1.0),N_A,W,LI37,2027,2026,0,2026-05-01,INR,397712200000
RBI:RBI_LIAB_W_RN(1.0),N_A,W,LI35,2027,2026,0,2026-05-01,INR,73126900000
RBI:RBI_LIAB_W_RN(1.0),N_A,W,LIA,2027,2026,0,2026-05-01,INR,46087203100000.01
RBI:RBI_LIAB_W_RN(1.0),N_A,W,LI34,2027,2026,0,2026-05-01,INR,8553863100000.001
RBI:RBI_LIAB_W_RN(1.0),N_A,W,NT_ISSU_TTL,2027,2026,0,2026-05-01,INR,42132233200000
RBI:RBI_LIAB_W_RN(1.0),N_A,W,LI36,2027,2026,0,2026-05-01,INR,48879300000
RBI:RBI_LIAB_W_RN(1.0),N_A,W,LI39,2027,2026,0,2026-04-24,INR,1217469000000
RBI:RBI_LIAB_W_RN(1.0),N_A,W,NT_ISSU_TTL,2027,2026,0,2026-04-24,INR,42067268799999.99
RBI:RBI_LIAB_W_RN(1.0),N_A,W,LI35,2027,2026,0,2026-04-24,INR,66008000000
RBI:RBI_LIAB_W_RN(1.0),N_A,W,LI38,2027,2026,0,2026-04-24,INR,5203979900000
RBI:RBI_LIAB_W_RN(1.0),N_A,W,LI2,2027,2026,0,2026-04-24,INR,160700000
