DATAFLOW,AUDST,COM_CSUR_RN,COSO_MER_RN,FREQ,REPYEAREND,REPYEARSTART,UNIT_MULT,TIME_PERIOD,UNIT_MEASURE,OBS_VALUE
RBI:CSURYCOM_F_RN(1.0),N_A,CCS12,N_A,F,2010,2009,0,2010-01-15,INR,36404470000000
RBI:CSURYCOM_F_RN(1.0),N_A,CCS1201,N_A,F,2010,2009,0,2010-01-15,INR,16382010000000
RBI:CSURYCOM_F_RN(1.0),N_A,CCS12011,N_A,F,2010,2009,0,2010-01-15,INR,2665510000000
RBI:CSURYCOM_F_RN(1.0),N_A,CCS1202,N_A,F,2010,2009,0,2010-01-15,INR,20022460000000
RBI:CSURYCOM_F_RN(1.0),N_A,CCS2,N_A,F,2010,2009,0,2010-01-15,INR,1017670000000
RBI:CSURYCOM_F_RN(1.0),N_A,CCS1,N_A,F,2011,2010,0,2010-12-31,INR,49175690000000
RBI:CSURYCOM_F_RN(1.0),N_A,CCS11,N_A,F,2011,2010,0,2010-12-31,INR,6444350000000
RBI:CSURYCOM_F_RN(1.0),N_A,CCS12,N_A,F,2011,2010,0,2010-12-31,INR,42731340000000
RBI:CSURYCOM_F_RN(1.0),N_A,CCS1201,N_A,F,2011,2010,0,2010-12-31,INR,19229100000000
RBI:CSURYCOM_F_RN(1.0),N_A,CCS12011,N_A,F,2011,2010,0,2010-12-31,INR,3676380000000
RBI:CSURYCOM_F_RN(1.0),N_A,CCS1202,N_A,F,2011,2010,0,2010-12-31,INR,23502240000000
RBI:CSURYCOM_F_RN(1.0),N_A,CCS2,N_A,F,2011,2010,0,2010-12-31,INR,1168930000000
RBI:CSURYCOM_F_RN(1.0),N_A,CCS1,N_A,F,2012,2011,0,2011-07-15,INR,53495610000000
RBI:CSURYCOM_F_RN(1.0),N_A,CCS11,N_A,F,2012,2011,0,2011-07-15,INR,5454070000000
RBI:CSURYCOM_F_RN(1.0),N_A,CCS12,N_A,F,2012,2011,0,2011-07-15,INR,48041540000000
RBI:CSURYCOM_F_RN(1.0),N_A,CCS1201,N_A,F,2012,2011,0,2011-07-15,INR,21618690000000
RBI:CSURYCOM_F_RN(1.0),N_A,CCS12011,N_A,F,2012,2011,0,2011-07-15,INR,4112790000000
RBI:CSURYCOM_F_RN(1.0),N_A,CCS1202,N_A,F,2012,2011,0,2011-07-15,INR,26422850000000
RBI:CSURYCOM_F_RN(1.0),N_A,CCS2,N_A,F,2012,2011,0,2011-07-15,INR,1479560000000
RBI:CSURYCOM_F_RN(1.0),N_A,CCS1,N_A,F,2013,2012,0,2012-06-15,INR,60383130000000
RBI:CSURYCOM_F_RN(1.0),N_A,CCS11,N_A,F,2013,2012,0,2012-06-15,INR,5881530000000
RBI:CSURYCOM_F_RN(1.0),N_A,CCS12,N_A,F,2013,2012,0,2012-06-15,INR,54501600000000
RBI:CSURYCOM_F_RN(1.0),N_A,CCS1201,N_A,F,2013,2012,0,2012-06-15,INR,24525720000000
RBI:CSURYCOM_F_RN(1.0),N_A,CCS12011,N_A,F,2013,2012,0,2012-06-15,INR,4192820000000
RBI:CSURYCOM_F_RN(1.0),N_A,CCS1202,N_A,F,2013,2012,0,2012-06-15,INR,29975880000000
RBI:CSURYCOM_F_RN(1.0),N_A,CCS2,N_A,F,2013,2012,0,2012-06-15,INR,2022120000000
RBI:CSURYCOM_F_RN(1.0),N_A,CCS1,N_A,F,2013,2012,0,2012-11-30,INR,63585920000000
RBI:CSURYCOM_F_RN(1.0),N_A,CCS11,N_A,F,2013,2012,0,2012-11-30,INR,6225700000000
RBI:CSURYCOM_F_RN(1.0),N_A,CCS12,N_A,F,2013,2012,0,2012-11-30,INR,57360220000000
RBI:CSURYCOM_F_RN(1.0),N_A,CCS1201,N_A,F,2013,2012,0,2012-11-30,INR,25812100000000
RBI:CSURYCOM_F_RN(1.0),N_A,CCS12011,N_A,F,2013,2012,0,2012-11-30,INR,3101220000000
RBI:CSURYCOM_F_RN(1.0),N_A,CCS1202,N_A,F,2013,2012,0,2012-11-30,INR,31548120000000
RBI:CSURYCOM_F_RN(1.0),N_A,CCS2,N_A,F,2013,2012,0,2012-11-30,INR,2017720000000
RBI:CSURYCOM_F_RN(1.0),N_A,CCS1,N_A,F,2014,2013,0,2013-05-31,INR,68620889900000
RBI:CSURYCOM_F_RN(1.0),N_A,CCS11,N_A,F,2014,2013,0,2013-05-31,INR,6550613800000
RBI:CSURYCOM_F_RN(1.0),N_A,CCS12,N_A,F,2014,2013,0,2013-05-31,INR,62070276100000
