DATAFLOW,AUDST,DENOMITIN_RN,FREQ,REPYEAREND,REPYEARSTART,UNIT_MULT,TIME_PERIOD,UNIT_MEASURE,OBS_VALUE
RBI:NOT_COIN_RN(1.0),N_A,NCC08,AFY,1991,1990,0,1991-03-31,INR,18100000000
RBI:NOT_COIN_RN(1.0),N_A,NCC09,AFY,1991,1990,0,1991-03-31,INR,37850000000
RBI:NOT_COIN_RN(1.0),N_A,NCC10,AFY,1991,1990,0,1991-03-31,INR,29520000000
RBI:NOT_COIN_RN(1.0),N_A,NCC11,AFY,1991,1990,0,1991-03-31,INR,148120000000
RBI:NOT_COIN_RN(1.0),N_A,NCC12,AFY,1991,1990,0,1991-03-31,INR,245700000000
RBI:NOT_COIN_RN(1.0),N_A,NCC14,AFY,1991,1990,0,1991-03-31,INR,21770000000
RBI:NOT_COIN_RN(1.0),N_A,NCC01,AFY,1992,1991,0,1992-03-31,INR,7290000000
RBI:NOT_COIN_RN(1.0),N_A,NCC04,AFY,1992,1991,0,1992-03-31,INR,100000000
RBI:NOT_COIN_RN(1.0),N_A,NCC07,AFY,1992,1991,0,1992-03-31,INR,9420000000
RBI:NOT_COIN_RN(1.0),N_A,NCC08,AFY,1992,1991,0,1992-03-31,INR,24000000000
RBI:NOT_COIN_RN(1.0),N_A,NCC09,AFY,1992,1991,0,1992-03-31,INR,52020000000
RBI:NOT_COIN_RN(1.0),N_A,NCC10,AFY,1992,1991,0,1992-03-31,INR,27430000000
RBI:NOT_COIN_RN(1.0),N_A,NCC11,AFY,1992,1991,0,1992-03-31,INR,177190000000
RBI:NOT_COIN_RN(1.0),N_A,NCC12,AFY,1992,1991,0,1992-03-31,INR,322660000000
RBI:NOT_COIN_RN(1.0),N_A,NCC14,AFY,1992,1991,0,1992-03-31,INR,18540000000
RBI:NOT_COIN_RN(1.0),N_A,NCC01,AFY,1993,1992,0,1993-03-31,INR,7800000000
RBI:NOT_COIN_RN(1.0),N_A,NCC04,AFY,1993,1992,0,1993-03-31,INR,370000000
RBI:NOT_COIN_RN(1.0),N_A,NCC05,AFY,1993,1992,0,1993-03-31,INR,50000000
RBI:NOT_COIN_RN(1.0),N_A,NCC07,AFY,1993,1992,0,1993-03-31,INR,7200000000
RBI:NOT_COIN_RN(1.0),N_A,NCC08,AFY,1993,1992,0,1993-03-31,INR,20220000000
RBI:NOT_COIN_RN(1.0),N_A,NCC09,AFY,1993,1992,0,1993-03-31,INR,42850000000
RBI:NOT_COIN_RN(1.0),N_A,NCC10,AFY,1993,1992,0,1993-03-31,INR,23400000000
RBI:NOT_COIN_RN(1.0),N_A,NCC11,AFY,1993,1992,0,1993-03-31,INR,225770000000
RBI:NOT_COIN_RN(1.0),N_A,NCC12,AFY,1993,1992,0,1993-03-31,INR,326630000000
RBI:NOT_COIN_RN(1.0),N_A,NCC14,AFY,1993,1992,0,1993-03-31,INR,49100000000
RBI:NOT_COIN_RN(1.0),N_A,NCC01,AFY,1994,1993,0,1994-03-31,INR,8290000000
RBI:NOT_COIN_RN(1.0),N_A,NCC02,AFY,1994,1993,0,1994-03-31,INR,3280000000
RBI:NOT_COIN_RN(1.0),N_A,NCC03,AFY,1994,1993,0,1994-03-31,INR,7050000000
RBI:NOT_COIN_RN(1.0),N_A,NCC04,AFY,1994,1993,0,1994-03-31,INR,850000000
RBI:NOT_COIN_RN(1.0),N_A,NCC05,AFY,1994,1993,0,1994-03-31,INR,580000000
RBI:NOT_COIN_RN(1.0),N_A,NCC07,AFY,1994,1993,0,1994-03-31,INR,6240000000
RBI:NOT_COIN_RN(1.0),N_A,NCC08,AFY,1994,1993,0,1994-03-31,INR,18600000000
RBI:NOT_COIN_RN(1.0),N_A,NCC09,AFY,1994,1993,0,1994-03-31,INR,53340000000
RBI:NOT_COIN_RN(1.0),N_A,NCC10,AFY,1994,1993,0,1994-03-31,INR,16310000000
RBI:NOT_COIN_RN(1.0),N_A,NCC11,AFY,1994,1993,0,1994-03-31,INR,249910000000
RBI:NOT_COIN_RN(1.0),N_A,NCC12,AFY,1994,1993,0,1994-03-31,INR,377840000000
RBI:NOT_COIN_RN(1.0),N_A,NCC14,AFY,1994,1993,0,1994-03-31,INR,113030000000
