DATAFLOW,AUDST,FREQ,LIAB_ITEMS_RN,REPYEAREND,REPYEARSTART,UNIT_MULT,TIME_PERIOD,UNIT_MEASURE,OBS_VALUE
RBI:RBI_LIAB_M_RN(1.0),N_A,M,NT_ISSU_TTL,2026,2025,0,2025-11-28,INR,38273330600000
RBI:RBI_LIAB_M_RN(1.0),N_A,M,LI35,2026,2025,0,2025-11-28,INR,67330000000
RBI:RBI_LIAB_M_RN(1.0),N_A,M,LI2,2026,2025,0,2025-11-28,INR,160000000
RBI:RBI_LIAB_M_RN(1.0),N_A,M,LI39,2026,2025,0,2025-11-28,INR,1695350000000
RBI:RBI_LIAB_M_RN(1.0),N_A,M,LI31,2026,2025,0,2025-10-31,INR,1004400000
RBI:RBI_LIAB_M_RN(1.0),N_A,M,LIA,2026,2025,0,2025-10-31,INR,41165494000000
RBI:RBI_LIAB_M_RN(1.0),N_A,M,LI38,2026,2025,0,2025-10-31,INR,4815304900000
RBI:RBI_LIAB_M_RN(1.0),N_A,M,LI1,2026,2025,0,2025-10-31,INR,37809941700000
RBI:RBI_LIAB_M_RN(1.0),N_A,M,LI39,2026,2025,0,2025-10-31,INR,1620260900000
RBI:RBI_LIAB_M_RN(1.0),N_A,M,LI33,2026,2025,0,2025-10-31,INR,424800000
RBI:RBI_LIAB_M_RN(1.0),N_A,M,LI3,2026,2025,0,2025-10-31,INR,15421560800000
RBI:RBI_LIAB_M_RN(1.0),N_A,M,LI34,2026,2025,0,2025-10-31,INR,8429473300000
RBI:RBI_LIAB_M_RN(1.0),N_A,M,NT_ISSU_TTL,2026,2025,0,2025-10-31,INR,37810062600000
RBI:RBI_LIAB_M_RN(1.0),N_A,M,LI4,2026,2025,0,2025-10-31,INR,25743933200000
RBI:RBI_LIAB_M_RN(1.0),N_A,M,LI37,2026,2025,0,2025-10-31,INR,438199300000
RBI:RBI_LIAB_M_RN(1.0),N_A,M,LI2,2026,2025,0,2025-10-31,INR,120900000
RBI:RBI_LIAB_M_RN(1.0),N_A,M,LI36,2026,2025,0,2025-10-31,INR,46119799999.99999
RBI:RBI_LIAB_M_RN(1.0),N_A,M,LI35,2026,2025,0,2025-10-31,INR,70773400000
RBI:RBI_LIAB_M_RN(1.0),N_A,M,LI39,2026,2025,0,2025-09-26,INR,1648130000000
RBI:RBI_LIAB_M_RN(1.0),N_A,M,LI2,2026,2025,0,2025-09-26,INR,157200000
RBI:RBI_LIAB_M_RN(1.0),N_A,M,NT_ISSU_TTL,2026,2025,0,2025-09-26,INR,37596518600000
RBI:RBI_LIAB_M_RN(1.0),N_A,M,LI36,2026,2025,0,2025-09-26,INR,48411899999.99999
RBI:RBI_LIAB_M_RN(1.0),N_A,M,LI37,2026,2025,0,2025-09-26,INR,453160100000
RBI:RBI_LIAB_M_RN(1.0),N_A,M,LI4,2026,2025,0,2025-09-26,INR,25142825299999.996
RBI:RBI_LIAB_M_RN(1.0),N_A,M,LI38,2026,2025,0,2025-09-26,INR,6987952000000
RBI:RBI_LIAB_M_RN(1.0),N_A,M,LI3,2026,2025,0,2025-09-26,INR,18190193800000
RBI:RBI_LIAB_M_RN(1.0),N_A,M,LI31,2026,2025,0,2025-09-26,INR,1007800000
RBI:RBI_LIAB_M_RN(1.0),N_A,M,LI1,2026,2025,0,2025-09-26,INR,37596361400000
RBI:RBI_LIAB_M_RN(1.0),N_A,M,LI33,2026,2025,0,2025-09-26,INR,424700000
RBI:RBI_LIAB_M_RN(1.0),N_A,M,LIA,2026,2025,0,2025-09-26,INR,43333019100000
RBI:RBI_LIAB_M_RN(1.0),N_A,M,LI35,2026,2025,0,2025-09-26,INR,76021500000
RBI:RBI_LIAB_M_RN(1.0),N_A,M,LI32,2026,2025,0,2025-09-26,INR,0.0
RBI:RBI_LIAB_M_RN(1.0),N_A,M,LI34,2026,2025,0,2025-09-26,INR,8975085800000
RBI:RBI_LIAB_M_RN(1.0),N_A,M,LI32,2026,2025,0,2025-08-29,INR,0.0
RBI:RBI_LIAB_M_RN(1.0),N_A,M,NT_ISSU_TTL,2026,2025,0,2025-08-29,INR,37638920000000
RBI:RBI_LIAB_M_RN(1.0),N_A,M,LI4,2026,2025,0,2025-08-29,INR,23996500000000
RBI:RBI_LIAB_M_RN(1.0),N_A,M,LI37,2026,2025,0,2025-08-29,INR,480270000000
RBI:RBI_LIAB_M_RN(1.0),N_A,M,LI3,2026,2025,0,2025-08-29,INR,17379920000000
RBI:RBI_LIAB_M_RN(1.0),N_A,M,LI33,2026,2025,0,2025-08-29,INR,420000000
RBI:RBI_LIAB_M_RN(1.0),N_A,M,LI35,2026,2025,0,2025-08-29,INR,80310000000
RBI:RBI_LIAB_M_RN(1.0),N_A,M,LI31,2026,2025,0,2025-08-29,INR,1010000000
RBI:RBI_LIAB_M_RN(1.0),N_A,M,LI38,2026,2025,0,2025-08-29,INR,5835360000000
RBI:RBI_LIAB_M_RN(1.0),N_A,M,LI1,2026,2025,0,2025-08-29,INR,37638790000000
RBI:RBI_LIAB_M_RN(1.0),N_A,M,LIA,2026,2025,0,2025-08-29,INR,41376420000000
RBI:RBI_LIAB_M_RN(1.0),N_A,M,LI36,2026,2025,0,2025-08-29,INR,51200000000
RBI:RBI_LIAB_M_RN(1.0),N_A,M,LI2,2026,2025,0,2025-08-29,INR,130000000
RBI:RBI_LIAB_M_RN(1.0),N_A,M,LI34,2026,2025,0,2025-08-29,INR,9596550000000
RBI:RBI_LIAB_M_RN(1.0),N_A,M,LI39,2026,2025,0,2025-08-29,INR,1334800000000
RBI:RBI_LIAB_M_RN(1.0),N_A,M,LI35,2026,2025,0,2025-07-25,INR,79691700000
RBI:RBI_LIAB_M_RN(1.0),N_A,M,LI39,2026,2025,0,2025-07-25,INR,1120143300000
RBI:RBI_LIAB_M_RN(1.0),N_A,M,LI37,2026,2025,0,2025-07-25,INR,476384400000
RBI:RBI_LIAB_M_RN(1.0),N_A,M,LI33,2026,2025,0,2025-07-25,INR,425000000
RBI:RBI_LIAB_M_RN(1.0),N_A,M,LI3,2026,2025,0,2025-07-25,INR,18118471700000
RBI:RBI_LIAB_M_RN(1.0),N_A,M,LI2,2026,2025,0,2025-07-25,INR,156000000
RBI:RBI_LIAB_M_RN(1.0),N_A,M,LI36,2026,2025,0,2025-07-25,INR,50610500000
RBI:RBI_LIAB_M_RN(1.0),N_A,M,NT_ISSU_TTL,2026,2025,0,2025-07-25,INR,37637571300000
RBI:RBI_LIAB_M_RN(1.0),N_A,M,LI32,2026,2025,0,2025-07-25,INR,0.0
RBI:RBI_LIAB_M_RN(1.0),N_A,M,LIA,2026,2025,0,2025-07-25,INR,40615402900000
RBI:RBI_LIAB_M_RN(1.0),N_A,M,LI38,2026,2025,0,2025-07-25,INR,7207914300000.001
RBI:RBI_LIAB_M_RN(1.0),N_A,M,LI34,2026,2025,0,2025-07-25,INR,9182293500000
RBI:RBI_LIAB_M_RN(1.0),N_A,M,LI31,2026,2025,0,2025-07-25,INR,1009000000
RBI:RBI_LIAB_M_RN(1.0),N_A,M,LI4,2026,2025,0,2025-07-25,INR,22496931200000
RBI:RBI_LIAB_M_RN(1.0),N_A,M,LI1,2026,2025,0,2025-07-25,INR,37637415300000
RBI:RBI_LIAB_M_RN(1.0),N_A,M,LI1,2026,2025,0,2025-06-27,INR,37835750000000
RBI:RBI_LIAB_M_RN(1.0),N_A,M,NT_ISSU_TTL,2026,2025,0,2025-06-27,INR,37835930000000
RBI:RBI_LIAB_M_RN(1.0),N_A,M,LI33,2026,2025,0,2025-06-27,INR,420000000
RBI:RBI_LIAB_M_RN(1.0),N_A,M,LI2,2026,2025,0,2025-06-27,INR,180000000
RBI:RBI_LIAB_M_RN(1.0),N_A,M,LI39,2026,2025,0,2025-06-27,INR,932780000000
RBI:RBI_LIAB_M_RN(1.0),N_A,M,LI38,2026,2025,0,2025-06-27,INR,7156930000000
RBI:RBI_LIAB_M_RN(1.0),N_A,M,LI3,2026,2025,0,2025-06-27,INR,18032550000000
RBI:RBI_LIAB_M_RN(1.0),N_A,M,LI35,2026,2025,0,2025-06-27,INR,83000000000
RBI:RBI_LIAB_M_RN(1.0),N_A,M,LI34,2026,2025,0,2025-06-27,INR,9334830000000
RBI:RBI_LIAB_M_RN(1.0),N_A,M,LI36,2026,2025,0,2025-06-27,INR,49840000000
RBI:RBI_LIAB_M_RN(1.0),N_A,M,LI37,2026,2025,0,2025-06-27,INR,473750000000
RBI:RBI_LIAB_M_RN(1.0),N_A,M,LIA,2026,2025,0,2025-06-27,INR,39869800000000
RBI:RBI_LIAB_M_RN(1.0),N_A,M,LI4,2026,2025,0,2025-06-27,INR,21837250000000
RBI:RBI_LIAB_M_RN(1.0),N_A,M,LI32,2026,2025,0,2025-06-27,INR,0.0
RBI:RBI_LIAB_M_RN(1.0),N_A,M,LI31,2026,2025,0,2025-06-27,INR,1000000000
RBI:RBI_LIAB_M_RN(1.0),N_A,M,LI34,2026,2025,0,2025-05-30,INR,9560860000000
RBI:RBI_LIAB_M_RN(1.0),N_A,M,NT_ISSU_TTL,2026,2025,0,2025-05-30,INR,37985200000000
RBI:RBI_LIAB_M_RN(1.0),N_A,M,LI38,2026,2025,0,2025-05-30,INR,7046490000000
RBI:RBI_LIAB_M_RN(1.0),N_A,M,LI1,2026,2025,0,2025-05-30,INR,37985070000000
RBI:RBI_LIAB_M_RN(1.0),N_A,M,LI33,2026,2025,0,2025-05-30,INR,420000000
RBI:RBI_LIAB_M_RN(1.0),N_A,M,LI37,2026,2025,0,2025-05-30,INR,471820000000
RBI:RBI_LIAB_M_RN(1.0),N_A,M,LI39,2026,2025,0,2025-05-30,INR,1032630000000
RBI:RBI_LIAB_M_RN(1.0),N_A,M,LI36,2026,2025,0,2025-05-30,INR,50020000000
RBI:RBI_LIAB_M_RN(1.0),N_A,M,LI4,2026,2025,0,2025-05-30,INR,21127090000000
RBI:RBI_LIAB_M_RN(1.0),N_A,M,LI35,2026,2025,0,2025-05-30,INR,83010000000
