DATAFLOW,ASET_ITEMS_RN,AUDST,FREQ,REPYEAREND,REPYEARSTART,UNIT_MULT,TIME_PERIOD,UNIT_MEASURE,OBS_VALUE
RBI:RBI_ASSET_M_RN(1.0),AI05,N_A,M,2026,2025,0,2026-03-27,INR,125200000
RBI:RBI_ASSET_M_RN(1.0),AI071,N_A,M,2026,2025,0,2026-03-27,INR,0.0
RBI:RBI_ASSET_M_RN(1.0),AI076,N_A,M,2026,2025,0,2026-03-27,INR,0.0
RBI:RBI_ASSET_M_RN(1.0),AI079,N_A,M,2026,2025,0,2026-03-27,INR,1699867100000
RBI:RBI_ASSET_M_RN(1.0),AI06,N_A,M,2026,2025,0,2026-03-27,INR,15093753300000
RBI:RBI_ASSET_M_RN(1.0),AI04,N_A,M,2026,2025,0,2026-03-27,INR,0.0
RBI:RBI_ASSET_M_RN(1.0),AI078,N_A,M,2026,2025,0,2026-03-27,INR,203273800000
RBI:RBI_ASSET_M_RN(1.0),AI074,N_A,M,2026,2025,0,2026-03-27,INR,0.0
RBI:RBI_ASSET_M_RN(1.0),AI11,N_A,M,2026,2025,0,2026-03-27,INR,7306404900000
RBI:RBI_ASSET_M_RN(1.0),AI10,N_A,M,2026,2025,0,2026-03-27,INR,22705170800000
RBI:RBI_ASSET_M_RN(1.0),AI01,N_A,M,2026,2025,0,2026-03-27,INR,3814631200000
RBI:RBI_ASSET_M_RN(1.0),A2,N_A,M,2026,2025,0,2026-03-27,INR,41260314000000
RBI:RBI_ASSET_M_RN(1.0),A1,N_A,M,2026,2025,0,2026-03-27,INR,48967633000000
RBI:RBI_ASSET_M_RN(1.0),AI03,N_A,M,2026,2025,0,2026-03-27,INR,4774900000
RBI:RBI_ASSET_M_RN(1.0),AI1102,N_A,M,2026,2025,0,2026-03-27,INR,362513000000.001
RBI:RBI_ASSET_M_RN(1.0),AI081,N_A,M,2026,2025,0,2026-03-27,INR,0.0
RBI:RBI_ASSET_M_RN(1.0),AI073,N_A,M,2026,2025,0,2026-03-27,INR,1736360000000
RBI:RBI_ASSET_M_RN(1.0),AI10,N_A,M,2026,2025,0,2026-02-27,INR,21360740000000
RBI:RBI_ASSET_M_RN(1.0),AI071,N_A,M,2026,2025,0,2026-02-27,INR,0.0
RBI:RBI_ASSET_M_RN(1.0),AI11,N_A,M,2026,2025,0,2026-02-27,INR,8059410000000
RBI:RBI_ASSET_M_RN(1.0),A1,N_A,M,2026,2025,0,2026-02-27,INR,49100490000000
RBI:RBI_ASSET_M_RN(1.0),AI079,N_A,M,2026,2025,0,2026-02-27,INR,1909670000000
RBI:RBI_ASSET_M_RN(1.0),AI1102,N_A,M,2026,2025,0,2026-02-27,INR,330260000000
RBI:RBI_ASSET_M_RN(1.0),AI074,N_A,M,2026,2025,0,2026-02-27,INR,0.0
RBI:RBI_ASSET_M_RN(1.0),AI01,N_A,M,2026,2025,0,2026-02-27,INR,4246010000000
RBI:RBI_ASSET_M_RN(1.0),AI078,N_A,M,2026,2025,0,2026-02-27,INR,95300000000
RBI:RBI_ASSET_M_RN(1.0),AI03,N_A,M,2026,2025,0,2026-02-27,INR,3490000000
RBI:RBI_ASSET_M_RN(1.0),AI076,N_A,M,2026,2025,0,2026-02-27,INR,0.0
RBI:RBI_ASSET_M_RN(1.0),A2,N_A,M,2026,2025,0,2026-02-27,INR,40348430000000
RBI:RBI_ASSET_M_RN(1.0),AI072,N_A,M,2026,2025,0,2026-02-27,INR,97870000000
RBI:RBI_ASSET_M_RN(1.0),AI02,N_A,M,2026,2025,0,2026-02-27,INR,36098930000000
RBI:RBI_ASSET_M_RN(1.0),AI06,N_A,M,2026,2025,0,2026-02-27,INR,16323290000000
RBI:RBI_ASSET_M_RN(1.0),AI1101,N_A,M,2026,2025,0,2026-02-27,INR,7729150000000
