DATAFLOW,AUDST,COSO_MER_RN,FREQ,REPYEAREND,REPYEARSTART,SOR_MSUR_RN,UNIT_MULT,TIME_PERIOD,UNIT_MEASURE,OBS_VALUE
RBI:MSURYSOR_F_RN(1.0),N_A,N_A,F,2008,2007,SMSR1201,0,2007-08-31,INR,13830000000
RBI:MSURYSOR_F_RN(1.0),N_A,N_A,F,2008,2007,SMSR1202,0,2007-08-31,INR,23473420000000
RBI:MSURYSOR_F_RN(1.0),N_A,N_A,F,2008,2007,SMSR12021,0,2007-08-31,INR,1755620000000
RBI:MSURYSOR_F_RN(1.0),N_A,N_A,F,2008,2007,SMSR12022,0,2007-08-31,INR,21717800000000
RBI:MSURYSOR_F_RN(1.0),N_A,N_A,F,2008,2007,SMSR2,0,2007-08-31,INR,86150000000
RBI:MSURYSOR_F_RN(1.0),N_A,N_A,F,2008,2007,SMSR3,0,2007-08-31,INR,8849750000000
RBI:MSURYSOR_F_RN(1.0),N_A,N_A,F,2008,2007,SMSR31,0,2007-08-31,INR,9354710000000
RBI:MSURYSOR_F_RN(1.0),N_A,N_A,F,2008,2007,SMSR32,0,2007-08-31,INR,-504960000000
RBI:MSURYSOR_F_RN(1.0),N_A,N_A,F,2008,2007,SMSR4,0,2007-08-31,INR,4150850000000
RBI:MSURYSOR_F_RN(1.0),N_A,N_A,F,2008,2007,SMSR5,0,2007-08-31,INR,1927660000000
RBI:MSURYSOR_F_RN(1.0),N_A,N_A,F,2008,2007,SMSR1,0,2008-02-15,INR,34687910000000
RBI:MSURYSOR_F_RN(1.0),N_A,N_A,F,2008,2007,SMSR11,0,2008-02-15,INR,8449080000000
RBI:MSURYSOR_F_RN(1.0),N_A,N_A,F,2008,2007,SMSR1101,0,2008-02-15,INR,-1780910000000
RBI:MSURYSOR_F_RN(1.0),N_A,N_A,F,2008,2007,SMSR1102,0,2008-02-15,INR,10229990000000
RBI:MSURYSOR_F_RN(1.0),N_A,N_A,F,2008,2007,SMSR12,0,2008-02-15,INR,26238840000000
RBI:MSURYSOR_F_RN(1.0),N_A,N_A,F,2008,2007,SMSR1201,0,2008-02-15,INR,13830000000
RBI:MSURYSOR_F_RN(1.0),N_A,N_A,F,2008,2007,SMSR1202,0,2008-02-15,INR,26225000000000
RBI:MSURYSOR_F_RN(1.0),N_A,N_A,F,2008,2007,SMSR12021,0,2008-02-15,INR,1915380000000
RBI:MSURYSOR_F_RN(1.0),N_A,N_A,F,2008,2007,SMSR12022,0,2008-02-15,INR,24309620000000
RBI:MSURYSOR_F_RN(1.0),N_A,N_A,F,2008,2007,SMSR2,0,2008-02-15,INR,90510000000
RBI:MSURYSOR_F_RN(1.0),N_A,N_A,F,2008,2007,SMSR3,0,2008-02-15,INR,10760040000000
RBI:MSURYSOR_F_RN(1.0),N_A,N_A,F,2008,2007,SMSR31,0,2008-02-15,INR,11595430000000
RBI:MSURYSOR_F_RN(1.0),N_A,N_A,F,2008,2007,SMSR32,0,2008-02-15,INR,-835380000000
RBI:MSURYSOR_F_RN(1.0),N_A,N_A,F,2008,2007,SMSR4,0,2008-02-15,INR,4303610000000
RBI:MSURYSOR_F_RN(1.0),N_A,N_A,F,2008,2007,SMSR5,0,2008-02-15,INR,2491100000000
RBI:MSURYSOR_F_RN(1.0),N_A,N_A,F,2008,2007,SMSR1,0,2008-02-29,INR,35182020000000
RBI:MSURYSOR_F_RN(1.0),N_A,N_A,F,2008,2007,SMSR11,0,2008-02-29,INR,8569200000000
RBI:MSURYSOR_F_RN(1.0),N_A,N_A,F,2008,2007,SMSR1101,0,2008-02-29,INR,-1723220000000
RBI:MSURYSOR_F_RN(1.0),N_A,N_A,F,2008,2007,SMSR1102,0,2008-02-29,INR,10292430000000
RBI:MSURYSOR_F_RN(1.0),N_A,N_A,F,2008,2007,SMSR12,0,2008-02-29,INR,26612820000000
RBI:MSURYSOR_F_RN(1.0),N_A,N_A,F,2008,2007,SMSR1201,0,2008-02-29,INR,17030000000
RBI:MSURYSOR_F_RN(1.0),N_A,N_A,F,2008,2007,SMSR1202,0,2008-02-29,INR,26595790000000
RBI:MSURYSOR_F_RN(1.0),N_A,N_A,F,2008,2007,SMSR12021,0,2008-02-29,INR,1896600000000
RBI:MSURYSOR_F_RN(1.0),N_A,N_A,F,2008,2007,SMSR12022,0,2008-02-29,INR,24699190000000
RBI:MSURYSOR_F_RN(1.0),N_A,N_A,F,2008,2007,SMSR2,0,2008-02-29,INR,91370000000
RBI:MSURYSOR_F_RN(1.0),N_A,N_A,F,2008,2007,SMSR3,0,2008-02-29,INR,11160350000000
RBI:MSURYSOR_F_RN(1.0),N_A,N_A,F,2008,2007,SMSR31,0,2008-02-29,INR,12008090000000
RBI:MSURYSOR_F_RN(1.0),N_A,N_A,F,2008,2007,SMSR32,0,2008-02-29,INR,-847740000000
RBI:MSURYSOR_F_RN(1.0),N_A,N_A,F,2008,2007,SMSR4,0,2008-02-29,INR,4581010000000
