DATAFLOW,AUDST,FREQ,MON_AGG_ITM,REPYEAREND,REPYEARSTART,UNIT_MULT,TIME_PERIOD,UNIT_MEASURE,OBS_VALUE
RBI:MON_AG_RN(1.0),N_A,AFY,TIM_DE,1990,1989,0,1990-03-31,PT,18.296542
RBI:MON_AG_RN(1.0),N_A,AFY,BRD_MON,1991,1990,0,1991-03-31,PT,15.10197
RBI:MON_AG_RN(1.0),N_A,AFY,CUR_PUB,1991,1990,0,1991-03-31,PT,14.574514
RBI:MON_AG_RN(1.0),N_A,AFY,DD,1991,1990,0,1991-03-31,PT,14.659563
RBI:MON_AG_RN(1.0),N_A,AFY,NAR_MON,1991,1990,0,1991-03-31,PT,14.596595
RBI:MON_AG_RN(1.0),N_A,AFY,NET_RBI_CCG,1991,1990,0,1991-03-31,PT,20.47547
RBI:MON_AG_RN(1.0),N_A,AFY,NFEABS,1991,1990,0,1991-03-31,PT,55.192138
RBI:MON_AG_RN(1.0),N_A,AFY,OTH_BNK_CCS,1991,1990,0,1991-03-31,PT,13.808951
RBI:MON_AG_RN(1.0),N_A,AFY,OTH_BNK_CG,1991,1990,0,1991-03-31,PT,18.121377
RBI:MON_AG_RN(1.0),N_A,AFY,RBI_CCS,1991,1990,0,1991-03-31,PT,-0.110254
RBI:MON_AG_RN(1.0),N_A,AFY,RES_MON,1991,1990,0,1991-03-31,PT,13.130389
RBI:MON_AG_RN(1.0),N_A,AFY,TIM_DE,1991,1990,0,1991-03-31,PT,15.375275
RBI:MON_AG_RN(1.0),N_A,AFY,BRD_MON,1992,1991,0,1992-03-31,PT,19.268474
RBI:MON_AG_RN(1.0),N_A,AFY,CUR_PUB,1992,1991,0,1992-03-31,PT,15.174936
RBI:MON_AG_RN(1.0),N_A,AFY,DD,1992,1991,0,1992-03-31,PT,33.834567
RBI:MON_AG_RN(1.0),N_A,AFY,NAR_MON,1992,1991,0,1992-03-31,PT,23.160229
RBI:MON_AG_RN(1.0),N_A,AFY,NET_RBI_CCG,1992,1991,0,1992-03-31,PT,6.348694
RBI:MON_AG_RN(1.0),N_A,AFY,NFEABS,1992,1991,0,1992-03-31,PT,100.604858
RBI:MON_AG_RN(1.0),N_A,AFY,OTH_BNK_CCS,1992,1991,0,1992-03-31,PT,9.252419
RBI:MON_AG_RN(1.0),N_A,AFY,OTH_BNK_CG,1992,1991,0,1992-03-31,PT,25.128055
RBI:MON_AG_RN(1.0),N_A,AFY,RBI_CCS,1992,1991,0,1992-03-31,PT,14.474929
RBI:MON_AG_RN(1.0),N_A,AFY,RES_MON,1992,1991,0,1992-03-31,PT,13.358548
RBI:MON_AG_RN(1.0),N_A,AFY,TIM_DE,1992,1991,0,1992-03-31,PT,17.178031
RBI:MON_AG_RN(1.0),N_A,AFY,BRD_MON,1993,1992,0,1993-03-31,PT,14.813798
RBI:MON_AG_RN(1.0),N_A,AFY,CUR_PUB,1993,1992,0,1993-03-31,PT,11.743429
RBI:MON_AG_RN(1.0),N_A,AFY,DD,1993,1992,0,1993-03-31,PT,3.92385
RBI:MON_AG_RN(1.0),N_A,AFY,NAR_MON,1993,1992,0,1993-03-31,PT,8.443613
RBI:MON_AG_RN(1.0),N_A,AFY,NET_RBI_CCG,1993,1992,0,1993-03-31,PT,4.613834
RBI:MON_AG_RN(1.0),N_A,AFY,NFEABS,1993,1992,0,1993-03-31,PT,15.155941
