DATAFLOW,AUDST,BASE_PER,FREQ,REPYEAREND,REPYEARSTART,TERM_EXT_TRD_RN,TYP_COMD_RN,TIME_PERIOD,TYP_INDX_RN,OBS_VALUE
RBI:TRD_INX_NBR_RN(1.0),N_A,BY_2012_2013,AFY,2021,2020,TERM_TRD_EXP,COMMODITY_035,2021-03-31,INDX_QUANT,236.767762
RBI:TRD_INX_NBR_RN(1.0),N_A,BY_2012_2013,AFY,2021,2020,TERM_TRD_EXP,COMMODITY_035,2021-03-31,INDX_UNT_VAL,308.983315
RBI:TRD_INX_NBR_RN(1.0),N_A,BY_2012_2013,AFY,2021,2020,TERM_TRD_EXP,COMMODITY_036,2021-03-31,INDX_QUANT,198.535982
RBI:TRD_INX_NBR_RN(1.0),N_A,BY_2012_2013,AFY,2021,2020,TERM_TRD_EXP,COMMODITY_036,2021-03-31,INDX_UNT_VAL,130.534648
RBI:TRD_INX_NBR_RN(1.0),N_A,BY_2012_2013,AFY,2021,2020,TERM_TRD_EXP,COMMODITY_037,2021-03-31,INDX_QUANT,490.006864
RBI:TRD_INX_NBR_RN(1.0),N_A,BY_2012_2013,AFY,2021,2020,TERM_TRD_EXP,COMMODITY_037,2021-03-31,INDX_UNT_VAL,194.017047
RBI:TRD_INX_NBR_RN(1.0),N_A,BY_2012_2013,AFY,2021,2020,TERM_TRD_EXP,COMMODITY_04,2021-03-31,INDX_QUANT,126.970143
RBI:TRD_INX_NBR_RN(1.0),N_A,BY_2012_2013,AFY,2021,2020,TERM_TRD_EXP,COMMODITY_04,2021-03-31,INDX_UNT_VAL,123.799625
RBI:TRD_INX_NBR_RN(1.0),N_A,BY_2012_2013,AFY,2021,2020,TERM_TRD_EXP,COMMODITY_041,2021-03-31,INDX_QUANT,30.827219
RBI:TRD_INX_NBR_RN(1.0),N_A,BY_2012_2013,AFY,2021,2020,TERM_TRD_EXP,COMMODITY_041,2021-03-31,INDX_UNT_VAL,124.922985
RBI:TRD_INX_NBR_RN(1.0),N_A,BY_2012_2013,AFY,2021,2020,TERM_TRD_EXP,COMMODITY_042,2021-03-31,INDX_QUANT,161.31333
RBI:TRD_INX_NBR_RN(1.0),N_A,BY_2012_2013,AFY,2021,2020,TERM_TRD_EXP,COMMODITY_042,2021-03-31,INDX_UNT_VAL,120.560097
RBI:TRD_INX_NBR_RN(1.0),N_A,BY_2012_2013,AFY,2021,2020,TERM_TRD_EXP,COMMODITY_043,2021-03-31,INDX_QUANT,1.021986
RBI:TRD_INX_NBR_RN(1.0),N_A,BY_2012_2013,AFY,2021,2020,TERM_TRD_EXP,COMMODITY_043,2021-03-31,INDX_UNT_VAL,167.024345
RBI:TRD_INX_NBR_RN(1.0),N_A,BY_2012_2013,AFY,2021,2020,TERM_TRD_EXP,COMMODITY_044,2021-03-31,INDX_QUANT,54.556599
RBI:TRD_INX_NBR_RN(1.0),N_A,BY_2012_2013,AFY,2021,2020,TERM_TRD_EXP,COMMODITY_044,2021-03-31,INDX_UNT_VAL,118.927563
RBI:TRD_INX_NBR_RN(1.0),N_A,BY_2012_2013,AFY,2021,2020,TERM_TRD_EXP,COMMODITY_045,2021-03-31,INDX_QUANT,40.431578
RBI:TRD_INX_NBR_RN(1.0),N_A,BY_2012_2013,AFY,2021,2020,TERM_TRD_EXP,COMMODITY_045,2021-03-31,INDX_UNT_VAL,170.209771
RBI:TRD_INX_NBR_RN(1.0),N_A,BY_2012_2013,AFY,2021,2020,TERM_TRD_EXP,COMMODITY_046,2021-03-31,INDX_QUANT,136.451791
RBI:TRD_INX_NBR_RN(1.0),N_A,BY_2012_2013,AFY,2021,2020,TERM_TRD_EXP,COMMODITY_046,2021-03-31,INDX_UNT_VAL,187.426504
RBI:TRD_INX_NBR_RN(1.0),N_A,BY_2012_2013,AFY,2021,2020,TERM_TRD_EXP,COMMODITY_047,2021-03-31,INDX_QUANT,177.72307
RBI:TRD_INX_NBR_RN(1.0),N_A,BY_2012_2013,AFY,2021,2020,TERM_TRD_EXP,COMMODITY_047,2021-03-31,INDX_UNT_VAL,160.782594
RBI:TRD_INX_NBR_RN(1.0),N_A,BY_2012_2013,AFY,2021,2020,TERM_TRD_EXP,COMMODITY_048,2021-03-31,INDX_QUANT,146.269862
RBI:TRD_INX_NBR_RN(1.0),N_A,BY_2012_2013,AFY,2021,2020,TERM_TRD_EXP,COMMODITY_048,2021-03-31,INDX_UNT_VAL,152.480549
