DATAFLOW,AUDST,BASE_PER,FREQ,REPYEAREND,REPYEARSTART,TYP_INDX_RN,TIME_PERIOD,UNIT_MEASURE,OBS_VALUE
RBI:INX_NBR_TERM_FR_TRD_RN(1.0),N_A,BY_1978_79,AFY,1990,1989,IMP,1990-03-31,IX,228.4
RBI:INX_NBR_TERM_FR_TRD_RN(1.0),N_A,BY_1978_79,AFY,1990,1989,IMP2,1990-03-31,IX,227.8
RBI:INX_NBR_TERM_FR_TRD_RN(1.0),N_A,BY_1978_79,AFY,1990,1989,INDX_QUANT,1990-03-31,IX,402.7
RBI:INX_NBR_TERM_FR_TRD_RN(1.0),N_A,BY_1978_79,AFY,1990,1989,INDX_UNT_VAL,1990-03-31,IX,505.0
RBI:INX_NBR_TERM_FR_TRD_RN(1.0),N_A,BY_1978_79,AFY,1990,1989,TERM_TRD,1990-03-31,IX,463.1097197898
RBI:INX_NBR_TERM_FR_TRD_RN(1.0),N_A,BY_1978_79,AFY,1990,1989,TERM_TRD_GROSS,1990-03-31,IX,130.2
RBI:INX_NBR_TERM_FR_TRD_RN(1.0),N_A,BY_1978_79,AFY,1990,1989,TERM_TRD_INC,1990-03-31,IX,211.809719789842
RBI:INX_NBR_TERM_FR_TRD_RN(1.0),N_A,BY_1978_79,AFY,1990,1989,TERM_TRD_NET,1990-03-31,IX,121.1
RBI:INX_NBR_TERM_FR_TRD_RN(1.0),N_A,BY_1978_79,AFY,1991,1990,EXP,1991-03-31,IX,292.5
RBI:INX_NBR_TERM_FR_TRD_RN(1.0),N_A,BY_1978_79,AFY,1991,1990,EXP1,1991-03-31,IX,194.1
RBI:INX_NBR_TERM_FR_TRD_RN(1.0),N_A,BY_1978_79,AFY,1991,1990,IMP,1991-03-31,IX,267.7
RBI:INX_NBR_TERM_FR_TRD_RN(1.0),N_A,BY_1978_79,AFY,1991,1990,IMP2,1991-03-31,IX,237.7
RBI:INX_NBR_TERM_FR_TRD_RN(1.0),N_A,BY_1978_79,AFY,1991,1990,INDX_QUANT,1991-03-31,IX,431.8
