DATAFLOW,ACT_CAT_RN,AUDST,COMP_COUNT,FREQ,REF_TIME_RN,REPYEAREND,REPYEARSTART,TYP_SRC_FNDS_RN,UNIT_MULT,TIME_PERIOD,UNIT_MEASURE,OBS_VALUE
RBI:SRC_FND_NGNBFI_AW_RN(1.0),AC_ALL_ACT,N_A,18225,AFY,CURR_FIN_YR,2014,2013,IS_RES_CAP_RES,0,2014-03-31,INR,114520000000
RBI:SRC_FND_NGNBFI_AW_RN(1.0),AC_ALL_ACT,N_A,18225,AFY,CURR_FIN_YR,2014,2013,IS_RES_DEB_RED,0,2014-03-31,INR,11342000000
RBI:SRC_FND_NGNBFI_AW_RN(1.0),AC_ALL_ACT,N_A,18225,AFY,CURR_FIN_YR,2014,2013,IS_RES_OTH,0,2014-03-31,INR,155060000000
RBI:SRC_FND_NGNBFI_AW_RN(1.0),AC_ALL_ACT,N_A,18225,AFY,CURR_FIN_YR,2014,2013,IS_RES_SRPLS,0,2014-03-31,INR,280918000000
RBI:SRC_FND_NGNBFI_AW_RN(1.0),AC_ALL_ACT,N_A,18225,AFY,CURR_FIN_YR,2014,2013,STBR_LROD_BNK,0,2014-03-31,INR,11012000000
RBI:SRC_FND_NGNBFI_AW_RN(1.0),AC_ALL_ACT,N_A,18225,AFY,CURR_FIN_YR,2014,2013,STBR_LROD_OTH,0,2014-03-31,INR,47780000000
RBI:SRC_FND_NGNBFI_AW_RN(1.0),AC_ALL_ACT,N_A,18225,AFY,CURR_FIN_YR,2014,2013,TTL_INT_EXT_SRC,0,2014-03-31,INR,1516675000000
RBI:SRC_FND_NGNBFI_AW_RN(1.0),AC_ALL_ACT,N_A,18225,AFY,PREV_FIN_YR,2014,2013,ESL_NCL_LTB_LTM_OF_FLO,0,2014-03-31,INR,118000000
RBI:SRC_FND_NGNBFI_AW_RN(1.0),AC_ALL_ACT,N_A,18225,AFY,PREV_FIN_YR,2014,2013,ES_CL_OCL,0,2014-03-31,INR,458865000000
RBI:SRC_FND_NGNBFI_AW_RN(1.0),AC_ALL_ACT,N_A,18225,AFY,PREV_FIN_YR,2014,2013,ES_CL_STBR,0,2014-03-31,INR,162353000000
RBI:SRC_FND_NGNBFI_AW_RN(1.0),AC_ALL_ACT,N_A,18225,AFY,PREV_FIN_YR,2014,2013,ES_CL_STBR_DEP,0,2014-03-31,INR,37345000000
RBI:SRC_FND_NGNBFI_AW_RN(1.0),AC_ALL_ACT,N_A,18225,AFY,PREV_FIN_YR,2014,2013,ES_CL_STBR_LROD,0,2014-03-31,INR,14197000000
RBI:SRC_FND_NGNBFI_AW_RN(1.0),AC_ALL_ACT,N_A,18225,AFY,PREV_FIN_YR,2014,2013,ES_CL_STBR_OLA,0,2014-03-31,INR,106878000000
RBI:SRC_FND_NGNBFI_AW_RN(1.0),AC_ALL_ACT,N_A,18225,AFY,PREV_FIN_YR,2014,2013,ES_CL_STRB_LAFRP,0,2014-03-31,INR,3931000000
RBI:SRC_FND_NGNBFI_AW_RN(1.0),AC_ALL_ACT,N_A,18225,AFY,PREV_FIN_YR,2014,2013,ES_CL_TRD_PAYS,0,2014-03-31,INR,-18783000000
RBI:SRC_FND_NGNBFI_AW_RN(1.0),AC_ALL_ACT,N_A,18225,AFY,PREV_FIN_YR,2014,2013,ES_CURR_LIB,0,2014-03-31,INR,602434000000
RBI:SRC_FND_NGNBFI_AW_RN(1.0),AC_ALL_ACT,N_A,18225,AFY,PREV_FIN_YR,2014,2013,ES_MON_AGST_SHR_WAR,0,2014-03-31,INR,-1406000000
RBI:SRC_FND_NGNBFI_AW_RN(1.0),AC_ALL_ACT,N_A,18225,AFY,PREV_FIN_YR,2014,2013,ES_NCL_DEF_TAX_LIB,0,2014-03-31,INR,850000000
RBI:SRC_FND_NGNBFI_AW_RN(1.0),AC_ALL_ACT,N_A,18225,AFY,PREV_FIN_YR,2014,2013,ES_NCL_LNG_BRW,0,2014-03-31,INR,786190000000
RBI:SRC_FND_NGNBFI_AW_RN(1.0),AC_ALL_ACT,N_A,18225,AFY,PREV_FIN_YR,2014,2013,ES_NCL_LTB_BND,0,2014-03-31,INR,458681000000
RBI:SRC_FND_NGNBFI_AW_RN(1.0),AC_ALL_ACT,N_A,18225,AFY,PREV_FIN_YR,2014,2013,ES_NCL_LTB_DEPS,0,2014-03-31,INR,60839000000
RBI:SRC_FND_NGNBFI_AW_RN(1.0),AC_ALL_ACT,N_A,18225,AFY,PREV_FIN_YR,2014,2013,ES_NCL_LTB_DPLS,0,2014-03-31,INR,264000000
RBI:SRC_FND_NGNBFI_AW_RN(1.0),AC_ALL_ACT,N_A,18225,AFY,PREV_FIN_YR,2014,2013,ES_NCL_LTB_LAAFP,0,2014-03-31,INR,40465000000
RBI:SRC_FND_NGNBFI_AW_RN(1.0),AC_ALL_ACT,N_A,18225,AFY,PREV_FIN_YR,2014,2013,ES_NCL_LTB_OTH,0,2014-03-31,INR,25820000000
RBI:SRC_FND_NGNBFI_AW_RN(1.0),AC_ALL_ACT,N_A,18225,AFY,PREV_FIN_YR,2014,2013,ES_NCL_LTB_TLS,0,2014-03-31,INR,200003000000
RBI:SRC_FND_NGNBFI_AW_RN(1.0),AC_ALL_ACT,N_A,18225,AFY,PREV_FIN_YR,2014,2013,ES_NCL_LTB_TLS_BNK,0,2014-03-31,INR,133256000000
RBI:SRC_FND_NGNBFI_AW_RN(1.0),AC_ALL_ACT,N_A,18225,AFY,PREV_FIN_YR,2014,2013,ES_NCL_LTB_TLS_OTH,0,2014-03-31,INR,66747000000
