DATAFLOW,ACT_CAT_RN,AUDST,BAL_SHT_ITMS_RN,COMP_COUNT,FREQ,REF_TIME_RN,REPYEAREND,REPYEARSTART,UNIT_MULT,TIME_PERIOD,UNIT_MEASURE,OBS_VALUE
RBI:BAL_SHT_NGNBFI_LIAB_AW_RN(1.0),AC_ALL_ACT,N_A,CAP_SF_RS_OTH_RES,18225,AFY,CURR_FIN_YR,2014,2013,0,2014-03-31,INR,1568100000000
RBI:BAL_SHT_NGNBFI_LIAB_AW_RN(1.0),AC_ALL_ACT,N_A,CAP_SF_RS_OTH_RES,18225,AFY,PREV_FIN_YR,2014,2013,0,2014-03-31,INR,1413042000000
RBI:BAL_SHT_NGNBFI_LIAB_AW_RN(1.0),AC_ALL_ACT,N_A,CAP_SF_RS_OTH_RES,18225,AFY,PREV_TO_PREV_FIN_YR,2014,2013,0,2014-03-31,INR,1174488000000
RBI:BAL_SHT_NGNBFI_LIAB_AW_RN(1.0),AC_ALL_ACT,N_A,CAP_SF_SHARE_CAPITAL,18225,AFY,CURR_FIN_YR,2014,2013,0,2014-03-31,INR,964419000000
RBI:BAL_SHT_NGNBFI_LIAB_AW_RN(1.0),AC_ALL_ACT,N_A,CAP_SF_SHARE_CAPITAL,18225,AFY,PREV_FIN_YR,2014,2013,0,2014-03-31,INR,867051000000
RBI:BAL_SHT_NGNBFI_LIAB_AW_RN(1.0),AC_ALL_ACT,N_A,CAP_SF_SHARE_CAPITAL,18225,AFY,PREV_TO_PREV_FIN_YR,2014,2013,0,2014-03-31,INR,747236000000
RBI:BAL_SHT_NGNBFI_LIAB_AW_RN(1.0),AC_ALL_ACT,N_A,CAP_SHARE_HLDR_FNDS,18225,AFY,CURR_FIN_YR,2014,2013,0,2014-03-31,INR,4059274000000
RBI:BAL_SHT_NGNBFI_LIAB_AW_RN(1.0),AC_ALL_ACT,N_A,CAP_SHARE_HLDR_FNDS,18225,AFY,PREV_FIN_YR,2014,2013,0,2014-03-31,INR,3719074000000
RBI:BAL_SHT_NGNBFI_LIAB_AW_RN(1.0),AC_ALL_ACT,N_A,CAP_SHARE_HLDR_FNDS,18225,AFY,PREV_TO_PREV_FIN_YR,2014,2013,0,2014-03-31,INR,3159128000000
RBI:BAL_SHT_NGNBFI_LIAB_AW_RN(1.0),AC_ALL_ACT,N_A,LIB_CL,18225,AFY,CURR_FIN_YR,2014,2013,0,2014-03-31,INR,4835406000000
RBI:BAL_SHT_NGNBFI_LIAB_AW_RN(1.0),AC_ALL_ACT,N_A,LIB_CL,18225,AFY,PREV_FIN_YR,2014,2013,0,2014-03-31,INR,4230091000000
RBI:BAL_SHT_NGNBFI_LIAB_AW_RN(1.0),AC_ALL_ACT,N_A,LIB_CL,18225,AFY,PREV_TO_PREV_FIN_YR,2014,2013,0,2014-03-31,INR,3614830000000
RBI:BAL_SHT_NGNBFI_LIAB_AW_RN(1.0),AC_ALL_ACT,N_A,LIB_CL_OCL,18225,AFY,CURR_FIN_YR,2014,2013,0,2014-03-31,INR,2475675000000
RBI:BAL_SHT_NGNBFI_LIAB_AW_RN(1.0),AC_ALL_ACT,N_A,LIB_CL_OCL,18225,AFY,PREV_FIN_YR,2014,2013,0,2014-03-31,INR,2036352000000
RBI:BAL_SHT_NGNBFI_LIAB_AW_RN(1.0),AC_ALL_ACT,N_A,LIB_CL_OCL,18225,AFY,PREV_TO_PREV_FIN_YR,2014,2013,0,2014-03-31,INR,1577487000000
RBI:BAL_SHT_NGNBFI_LIAB_AW_RN(1.0),AC_ALL_ACT,N_A,LIB_CL_STB,18225,AFY,CURR_FIN_YR,2014,2013,0,2014-03-31,INR,1868686000000
RBI:BAL_SHT_NGNBFI_LIAB_AW_RN(1.0),AC_ALL_ACT,N_A,LIB_CL_STB,18225,AFY,PREV_FIN_YR,2014,2013,0,2014-03-31,INR,1745669000000
RBI:BAL_SHT_NGNBFI_LIAB_AW_RN(1.0),AC_ALL_ACT,N_A,LIB_CL_STB,18225,AFY,PREV_TO_PREV_FIN_YR,2014,2013,0,2014-03-31,INR,1583316000000
