DATAFLOW,ACT_CAT_RN,AUDST,COMP_COUNT,FREQ,GRWT_RT_RATIOS_RN,REF_TIME_RN,REPYEAREND,REPYEARSTART,UNIT_MULT,TIME_PERIOD,UNIT_MEASURE,OBS_VALUE
RBI:CI_NGNBFI_AW_RN(1.0),AC_ALL_ACT,N_A,18225.000000000000,AFY,GRP_ENA_NP,PREV_TO_PREV_FIN_YR,2014,2013,0,2014-03-31,INR,184051000000
RBI:CI_NGNBFI_AW_RN(1.0),AC_ALL_ACT,N_A,18225.000000000000,AFY,GRP_ENA_NP_DIV,CURR_FIN_YR,2014,2013,0,2014-03-31,INR,142291000000
RBI:CI_NGNBFI_AW_RN(1.0),AC_ALL_ACT,N_A,18225.000000000000,AFY,GRP_ENA_NP_DIV,PREV_FIN_YR,2014,2013,0,2014-03-31,INR,125723000000
RBI:CI_NGNBFI_AW_RN(1.0),AC_ALL_ACT,N_A,18225.000000000000,AFY,GRP_ENA_NP_DIV,PREV_TO_PREV_FIN_YR,2014,2013,0,2014-03-31,INR,78022000000
RBI:CI_NGNBFI_AW_RN(1.0),AC_ALL_ACT,N_A,18225.000000000000,AFY,GRP_ENA_NP_PR,CURR_FIN_YR,2014,2013,0,2014-03-31,INR,153702000000
RBI:CI_NGNBFI_AW_RN(1.0),AC_ALL_ACT,N_A,18225.000000000000,AFY,GRP_ENA_NP_PR,PREV_FIN_YR,2014,2013,0,2014-03-31,INR,122833000000
RBI:CI_NGNBFI_AW_RN(1.0),AC_ALL_ACT,N_A,18225.000000000000,AFY,GRP_ENA_NP_PR,PREV_TO_PREV_FIN_YR,2014,2013,0,2014-03-31,INR,106029000000
RBI:CI_NGNBFI_AW_RN(1.0),AC_ALL_ACT,N_A,18225.000000000000,AFY,GRP_ENA_OE,CURR_FIN_YR,2014,2013,0,2014-03-31,INR,324157000000
RBI:CI_NGNBFI_AW_RN(1.0),AC_ALL_ACT,N_A,18225.000000000000,AFY,GRP_ENA_OE,PREV_FIN_YR,2014,2013,0,2014-03-31,INR,297879000000
RBI:CI_NGNBFI_AW_RN(1.0),AC_ALL_ACT,N_A,18225.000000000000,AFY,GRP_ENA_OE,PREV_TO_PREV_FIN_YR,2014,2013,0,2014-03-31,INR,266424000000
RBI:CI_NGNBFI_AW_RN(1.0),AC_ALL_ACT,N_A,18225.000000000000,AFY,GRP_ENA_OE_INS,CURR_FIN_YR,2014,2013,0,2014-03-31,INR,1970000000
RBI:CI_NGNBFI_AW_RN(1.0),AC_ALL_ACT,N_A,18225.000000000000,AFY,GRP_ENA_OE_INS,PREV_FIN_YR,2014,2013,0,2014-03-31,INR,1814000000
RBI:CI_NGNBFI_AW_RN(1.0),AC_ALL_ACT,N_A,18225.000000000000,AFY,GRP_ENA_OE_INS,PREV_TO_PREV_FIN_YR,2014,2013,0,2014-03-31,INR,1648000000
RBI:CI_NGNBFI_AW_RN(1.0),AC_ALL_ACT,N_A,18225.000000000000,AFY,GRP_ENA_OE_OTH,CURR_FIN_YR,2014,2013,0,2014-03-31,INR,296191000000
RBI:CI_NGNBFI_AW_RN(1.0),AC_ALL_ACT,N_A,18225.000000000000,AFY,GRP_ENA_OE_OTH,PREV_FIN_YR,2014,2013,0,2014-03-31,INR,272191000000
RBI:CI_NGNBFI_AW_RN(1.0),AC_ALL_ACT,N_A,18225.000000000000,AFY,GRP_ENA_OE_OTH,PREV_TO_PREV_FIN_YR,2014,2013,0,2014-03-31,INR,241802000000
RBI:CI_NGNBFI_AW_RN(1.0),AC_ALL_ACT,N_A,18225.000000000000,AFY,GRP_ENA_OE_RENT,CURR_FIN_YR,2014,2013,0,2014-03-31,INR,25996000000
RBI:CI_NGNBFI_AW_RN(1.0),AC_ALL_ACT,N_A,18225.000000000000,AFY,GRP_ENA_OE_RENT,PREV_FIN_YR,2014,2013,0,2014-03-31,INR,23874000000
RBI:CI_NGNBFI_AW_RN(1.0),AC_ALL_ACT,N_A,18225.000000000000,AFY,GRP_ENA_OE_RENT,PREV_TO_PREV_FIN_YR,2014,2013,0,2014-03-31,INR,22974000000
RBI:CI_NGNBFI_AW_RN(1.0),AC_ALL_ACT,N_A,18225.000000000000,AFY,GRP_ENA_OP,CURR_FIN_YR,2014,2013,0,2014-03-31,INR,464775000000
RBI:CI_NGNBFI_AW_RN(1.0),AC_ALL_ACT,N_A,18225.000000000000,AFY,GRP_ENA_OP,PREV_FIN_YR,2014,2013,0,2014-03-31,INR,404714000000
RBI:CI_NGNBFI_AW_RN(1.0),AC_ALL_ACT,N_A,18225.000000000000,AFY,GRP_ENA_OP,PREV_TO_PREV_FIN_YR,2014,2013,0,2014-03-31,INR,317821000000
RBI:CI_NGNBFI_AW_RN(1.0),AC_ALL_ACT,N_A,18225.000000000000,AFY,GRP_ENA_OTH_PROV,CURR_FIN_YR,2014,2013,0,2014-03-31,INR,31441000000
RBI:CI_NGNBFI_AW_RN(1.0),AC_ALL_ACT,N_A,18225.000000000000,AFY,GRP_ENA_OTH_PROV,PREV_FIN_YR,2014,2013,0,2014-03-31,INR,39371000000
