DATAFLOW,ACT_CAT_RN,AUDST,BAL_SHT_ITMS_RN,COMP_COUNT,FREQ,REF_TIME_RN,REPYEAREND,REPYEARSTART,UNIT_MULT,TIME_PERIOD,UNIT_MEASURE,OBS_VALUE
RBI:BAL_SHT_NGNBFI_AW_RN(1.0),AC_ALL_ACT,N_A,CA_OCA,18225,AFY,CURR_FIN_YR,2014,2013,0,2014-03-31,INR,283273000000
RBI:BAL_SHT_NGNBFI_AW_RN(1.0),AC_ALL_ACT,N_A,CA_OCA,18225,AFY,PREV_FIN_YR,2014,2013,0,2014-03-31,INR,238683000000
RBI:BAL_SHT_NGNBFI_AW_RN(1.0),AC_ALL_ACT,N_A,CA_OCA,18225,AFY,PREV_TO_PREV_FIN_YR,2014,2013,0,2014-03-31,INR,248239000000
RBI:BAL_SHT_NGNBFI_AW_RN(1.0),AC_ALL_ACT,N_A,CA_STLA,18225,AFY,CURR_FIN_YR,2014,2013,0,2014-03-31,INR,2820048000000
RBI:BAL_SHT_NGNBFI_AW_RN(1.0),AC_ALL_ACT,N_A,CA_STLA,18225,AFY,PREV_FIN_YR,2014,2013,0,2014-03-31,INR,2611572000000
RBI:BAL_SHT_NGNBFI_AW_RN(1.0),AC_ALL_ACT,N_A,CA_STLA,18225,AFY,PREV_TO_PREV_FIN_YR,2014,2013,0,2014-03-31,INR,2144326000000
RBI:BAL_SHT_NGNBFI_AW_RN(1.0),AC_ALL_ACT,N_A,CA_TR,18225,AFY,CURR_FIN_YR,2014,2013,0,2014-03-31,INR,357462000000
RBI:BAL_SHT_NGNBFI_AW_RN(1.0),AC_ALL_ACT,N_A,CA_TR,18225,AFY,PREV_FIN_YR,2014,2013,0,2014-03-31,INR,320927000000
RBI:BAL_SHT_NGNBFI_AW_RN(1.0),AC_ALL_ACT,N_A,CA_TR,18225,AFY,PREV_TO_PREV_FIN_YR,2014,2013,0,2014-03-31,INR,308576000000
RBI:BAL_SHT_NGNBFI_AW_RN(1.0),AC_ALL_ACT,N_A,CURR_AST,18225,AFY,CURR_FIN_YR,2014,2013,0,2014-03-31,INR,5176281000000
RBI:BAL_SHT_NGNBFI_AW_RN(1.0),AC_ALL_ACT,N_A,CURR_AST,18225,AFY,PREV_FIN_YR,2014,2013,0,2014-03-31,INR,4782327000000
RBI:BAL_SHT_NGNBFI_AW_RN(1.0),AC_ALL_ACT,N_A,CURR_AST,18225,AFY,PREV_TO_PREV_FIN_YR,2014,2013,0,2014-03-31,INR,4123698000000
RBI:BAL_SHT_NGNBFI_AW_RN(1.0),AC_ALL_ACT,N_A,NCA,18225,AFY,CURR_FIN_YR,2014,2013,0,2014-03-31,INR,8551624000000
RBI:BAL_SHT_NGNBFI_AW_RN(1.0),AC_ALL_ACT,N_A,NCA,18225,AFY,PREV_FIN_YR,2014,2013,0,2014-03-31,INR,7457806000000
RBI:BAL_SHT_NGNBFI_AW_RN(1.0),AC_ALL_ACT,N_A,NCA,18225,AFY,PREV_TO_PREV_FIN_YR,2014,2013,0,2014-03-31,INR,6094213000000
RBI:BAL_SHT_NGNBFI_AW_RN(1.0),AC_ALL_ACT,N_A,NCA_DEP,18225,AFY,CURR_FIN_YR,2014,2013,0,2014-03-31,INR,417902000000
RBI:BAL_SHT_NGNBFI_AW_RN(1.0),AC_ALL_ACT,N_A,NCA_DEP,18225,AFY,PREV_FIN_YR,2014,2013,0,2014-03-31,INR,388998000000
RBI:BAL_SHT_NGNBFI_AW_RN(1.0),AC_ALL_ACT,N_A,NCA_DEP,18225,AFY,PREV_TO_PREV_FIN_YR,2014,2013,0,2014-03-31,INR,182013000000
RBI:BAL_SHT_NGNBFI_AW_RN(1.0),AC_ALL_ACT,N_A,NCA_DEP_INTANG,18225,AFY,CURR_FIN_YR,2014,2013,0,2014-03-31,INR,79476000000
RBI:BAL_SHT_NGNBFI_AW_RN(1.0),AC_ALL_ACT,N_A,NCA_DEP_INTANG,18225,AFY,PREV_FIN_YR,2014,2013,0,2014-03-31,INR,62938000000
RBI:BAL_SHT_NGNBFI_AW_RN(1.0),AC_ALL_ACT,N_A,NCA_DEP_INTANG,18225,AFY,PREV_TO_PREV_FIN_YR,2014,2013,0,2014-03-31,INR,24412000000
RBI:BAL_SHT_NGNBFI_AW_RN(1.0),AC_ALL_ACT,N_A,NCA_DEP_TANG,18225,AFY,CURR_FIN_YR,2014,2013,0,2014-03-31,INR,338426000000
RBI:BAL_SHT_NGNBFI_AW_RN(1.0),AC_ALL_ACT,N_A,NCA_DEP_TANG,18225,AFY,PREV_FIN_YR,2014,2013,0,2014-03-31,INR,326060000000
RBI:BAL_SHT_NGNBFI_AW_RN(1.0),AC_ALL_ACT,N_A,NCA_DEP_TANG,18225,AFY,PREV_TO_PREV_FIN_YR,2014,2013,0,2014-03-31,INR,157601000000
RBI:BAL_SHT_NGNBFI_AW_RN(1.0),AC_ALL_ACT,N_A,NCA_DTA,18225,AFY,CURR_FIN_YR,2014,2013,0,2014-03-31,INR,45317000000
RBI:BAL_SHT_NGNBFI_AW_RN(1.0),AC_ALL_ACT,N_A,NCA_DTA,18225,AFY,PREV_FIN_YR,2014,2013,0,2014-03-31,INR,37584000000
RBI:BAL_SHT_NGNBFI_AW_RN(1.0),AC_ALL_ACT,N_A,NCA_DTA,18225,AFY,PREV_TO_PREV_FIN_YR,2014,2013,0,2014-03-31,INR,32416000000
RBI:BAL_SHT_NGNBFI_AW_RN(1.0),AC_ALL_ACT,N_A,NCA_GFA,18225,AFY,CURR_FIN_YR,2014,2013,0,2014-03-31,INR,781307000000
RBI:BAL_SHT_NGNBFI_AW_RN(1.0),AC_ALL_ACT,N_A,NCA_GFA,18225,AFY,PREV_FIN_YR,2014,2013,0,2014-03-31,INR,723938000000
RBI:BAL_SHT_NGNBFI_AW_RN(1.0),AC_ALL_ACT,N_A,NCA_GFA,18225,AFY,PREV_TO_PREV_FIN_YR,2014,2013,0,2014-03-31,INR,482017000000
RBI:BAL_SHT_NGNBFI_AW_RN(1.0),AC_ALL_ACT,N_A,NCA_GFA_AL,18225,AFY,CURR_FIN_YR,2014,2013,0,2014-03-31,INR,26866000000
RBI:BAL_SHT_NGNBFI_AW_RN(1.0),AC_ALL_ACT,N_A,NCA_GFA_AL,18225,AFY,PREV_FIN_YR,2014,2013,0,2014-03-31,INR,27307000000
RBI:BAL_SHT_NGNBFI_AW_RN(1.0),AC_ALL_ACT,N_A,NCA_GFA_AL,18225,AFY,PREV_TO_PREV_FIN_YR,2014,2013,0,2014-03-31,INR,18892000000
RBI:BAL_SHT_NGNBFI_AW_RN(1.0),AC_ALL_ACT,N_A,NCA_GFA_IA,18225,AFY,CURR_FIN_YR,2014,2013,0,2014-03-31,INR,102101000000
RBI:BAL_SHT_NGNBFI_AW_RN(1.0),AC_ALL_ACT,N_A,NCA_GFA_IA,18225,AFY,PREV_FIN_YR,2014,2013,0,2014-03-31,INR,97962000000
RBI:BAL_SHT_NGNBFI_AW_RN(1.0),AC_ALL_ACT,N_A,NCA_GFA_IA,18225,AFY,PREV_TO_PREV_FIN_YR,2014,2013,0,2014-03-31,INR,53564000000
RBI:BAL_SHT_NGNBFI_AW_RN(1.0),AC_ALL_ACT,N_A,NCA_GFA_TA_BLDG,18225,AFY,CURR_FIN_YR,2014,2013,0,2014-03-31,INR,145031000000
RBI:BAL_SHT_NGNBFI_AW_RN(1.0),AC_ALL_ACT,N_A,NCA_GFA_TA_BLDG,18225,AFY,PREV_FIN_YR,2014,2013,0,2014-03-31,INR,124274000000
RBI:BAL_SHT_NGNBFI_AW_RN(1.0),AC_ALL_ACT,N_A,NCA_GFA_TA_BLDG,18225,AFY,PREV_TO_PREV_FIN_YR,2014,2013,0,2014-03-31,INR,81522000000
RBI:BAL_SHT_NGNBFI_AW_RN(1.0),AC_ALL_ACT,N_A,NCA_GFA_TA_FFO,18225,AFY,CURR_FIN_YR,2014,2013,0,2014-03-31,INR,119285000000
RBI:BAL_SHT_NGNBFI_AW_RN(1.0),AC_ALL_ACT,N_A,NCA_GFA_TA_FFO,18225,AFY,PREV_FIN_YR,2014,2013,0,2014-03-31,INR,108658000000
RBI:BAL_SHT_NGNBFI_AW_RN(1.0),AC_ALL_ACT,N_A,NCA_GFA_TA_FFO,18225,AFY,PREV_TO_PREV_FIN_YR,2014,2013,0,2014-03-31,INR,65797000000
RBI:BAL_SHT_NGNBFI_AW_RN(1.0),AC_ALL_ACT,N_A,NCA_GFA_TA_LND,18225,AFY,CURR_FIN_YR,2014,2013,0,2014-03-31,INR,113810000000
RBI:BAL_SHT_NGNBFI_AW_RN(1.0),AC_ALL_ACT,N_A,NCA_GFA_TA_LND,18225,AFY,PREV_FIN_YR,2014,2013,0,2014-03-31,INR,104899000000
RBI:BAL_SHT_NGNBFI_AW_RN(1.0),AC_ALL_ACT,N_A,NCA_GFA_TA_LND,18225,AFY,PREV_TO_PREV_FIN_YR,2014,2013,0,2014-03-31,INR,76531000000
RBI:BAL_SHT_NGNBFI_AW_RN(1.0),AC_ALL_ACT,N_A,NCA_GFA_TA_PM,18225,AFY,CURR_FIN_YR,2014,2013,0,2014-03-31,INR,215956000000
RBI:BAL_SHT_NGNBFI_AW_RN(1.0),AC_ALL_ACT,N_A,NCA_GFA_TA_PM,18225,AFY,PREV_FIN_YR,2014,2013,0,2014-03-31,INR,209083000000
RBI:BAL_SHT_NGNBFI_AW_RN(1.0),AC_ALL_ACT,N_A,NCA_GFA_TA_PM,18225,AFY,PREV_TO_PREV_FIN_YR,2014,2013,0,2014-03-31,INR,149338000000
RBI:BAL_SHT_NGNBFI_AW_RN(1.0),AC_ALL_ACT,N_A,NCA_GFA_TA_VEC_OTHS,18225,AFY,CURR_FIN_YR,2014,2013,0,2014-03-31,INR,58259000000
RBI:BAL_SHT_NGNBFI_AW_RN(1.0),AC_ALL_ACT,N_A,NCA_GFA_TA_VEC_OTHS,18225,AFY,PREV_FIN_YR,2014,2013,0,2014-03-31,INR,51755000000
