DATAFLOW,AUDST,FREQ,INF_OUT_DEP_RN,REPYEAREND,REPYEARSTART,UNIT_MULT,TIME_PERIOD,UNIT_MEASURE,OBS_VALUE
RBI:NRI_DEPOSITS_IN_OUT_A_RN(1.0),N_A,AFY,FXD_DEP_OVRS_NRO,2021,2020,0,2021-03-31,INR,169988999799.99997
RBI:NRI_DEPOSITS_IN_OUT_A_RN(1.0),N_A,AFY,FXD_DEP_OVRS_NRERA,2020,2019,0,2020-03-31,INR,394526823600
RBI:NRI_DEPOSITS_IN_OUT_A_RN(1.0),N_A,AFY,FXD_DEP_OVRS_NRERA,2020,2019,0,2020-03-31,USD,5564789995
RBI:NRI_DEPOSITS_IN_OUT_A_RN(1.0),N_A,AFY,FXD_DEP_OVRS_NRO,2020,2019,0,2020-03-31,USD,1988287827
RBI:NRI_DEPOSITS_IN_OUT_A_RN(1.0),N_A,AFY,FXD_DEP_OVRS_FCNRB,2020,2019,0,2020-03-31,USD,1073878368
RBI:NRI_DEPOSITS_IN_OUT_A_RN(1.0),N_A,AFY,FXD_DEP_OVRS_FCNRB,2020,2019,0,2020-03-31,INR,76134736850
RBI:NRI_DEPOSITS_IN_OUT_A_RN(1.0),N_A,AFY,FXD_DEP_OVRS_NRO,2020,2019,0,2020-03-31,INR,140963609000
RBI:NRI_DEPOSITS_IN_OUT_A_RN(1.0),N_A,AFY,TTL,2020,2019,0,2020-03-31,USD,8626956190
RBI:NRI_DEPOSITS_IN_OUT_A_RN(1.0),N_A,AFY,TTL,2020,2019,0,2020-03-31,INR,611625169450
RBI:NRI_DEPOSITS_IN_OUT_A_RN(1.0),N_A,AFY,FXD_DEP_OVRS_FCNRB,2019,2018,0,2019-03-31,USD,1144575983
RBI:NRI_DEPOSITS_IN_OUT_A_RN(1.0),N_A,AFY,FXD_DEP_OVRS_NRERA,2019,2018,0,2019-03-31,USD,7307713166
RBI:NRI_DEPOSITS_IN_OUT_A_RN(1.0),N_A,AFY,TTL,2019,2018,0,2019-03-31,USD,10387435137
RBI:NRI_DEPOSITS_IN_OUT_A_RN(1.0),N_A,AFY,FXD_DEP_OVRS_NRO,2019,2018,0,2019-03-31,INR,135311023400
RBI:NRI_DEPOSITS_IN_OUT_A_RN(1.0),N_A,AFY,FXD_DEP_OVRS_NRERA,2019,2018,0,2019-03-31,INR,510976511899.99994
RBI:NRI_DEPOSITS_IN_OUT_A_RN(1.0),N_A,AFY,TTL,2019,2018,0,2019-03-31,INR,726319609630
RBI:NRI_DEPOSITS_IN_OUT_A_RN(1.0),N_A,AFY,FXD_DEP_OVRS_NRO,2019,2018,0,2019-03-31,USD,1935145988
RBI:NRI_DEPOSITS_IN_OUT_A_RN(1.0),N_A,AFY,FXD_DEP_OVRS_FCNRB,2019,2018,0,2019-03-31,INR,80032074330
RBI:NRI_DEPOSITS_IN_OUT_A_RN(1.0),N_A,AFY,FXD_DEP_OVRS_NRERA,2018,2017,0,2018-03-31,INR,459712818500
RBI:NRI_DEPOSITS_IN_OUT_A_RN(1.0),N_A,AFY,FXD_DEP_OVRS_NRO,2018,2017,0,2018-03-31,INR,97980838980.00002
RBI:NRI_DEPOSITS_IN_OUT_A_RN(1.0),N_A,AFY,FXD_DEP_OVRS_NRERA,2018,2017,0,2018-03-31,USD,7132321154
RBI:NRI_DEPOSITS_IN_OUT_A_RN(1.0),N_A,AFY,TTL,2018,2017,0,2018-03-31,INR,623679243340
RBI:NRI_DEPOSITS_IN_OUT_A_RN(1.0),N_A,AFY,TTL,2018,2017,0,2018-03-31,USD,9676216285
RBI:NRI_DEPOSITS_IN_OUT_A_RN(1.0),N_A,AFY,FXD_DEP_OVRS_FCNRB,2018,2017,0,2018-03-31,INR,65985585860
