DATAFLOW,AUDST,FREQ,REPYEAREND,REPYEARSTART,TYP_FD_OVRS_RN,UNIT_MULT,TIME_PERIOD,UNIT_MEASURE,OBS_VALUE
RBI:NRI_DEPOSITS_IN_OUT_RN(1.0),N_A,M,2026,2025,FXD_DEP_OVRS_FCNRB_NRI,0,2025-07-31,USD,-2323013.735
RBI:NRI_DEPOSITS_IN_OUT_RN(1.0),N_A,M,2026,2025,FXD_DEP_OVRS_NRERA_NRI,0,2025-07-31,USD,427062822.7
RBI:NRI_DEPOSITS_IN_OUT_RN(1.0),N_A,M,2026,2025,FXD_DEP_OVRS_NRO_NRI,0,2025-07-31,USD,618497905.8
RBI:NRI_DEPOSITS_IN_OUT_RN(1.0),N_A,M,2026,2025,FXD_DEP_OVRS_FCNRB_NRI,0,2025-06-30,USD,331692307.9
RBI:NRI_DEPOSITS_IN_OUT_RN(1.0),N_A,M,2026,2025,FXD_DEP_OVRS_NRERA_NRI,0,2025-06-30,USD,981615135.7
RBI:NRI_DEPOSITS_IN_OUT_RN(1.0),N_A,M,2026,2025,FXD_DEP_OVRS_NRI_DEP,0,2025-06-30,USD,1728714278.5
RBI:NRI_DEPOSITS_IN_OUT_RN(1.0),N_A,M,2026,2025,FXD_DEP_OVRS_NRO_NRI,0,2025-06-30,USD,415406834.9
RBI:NRI_DEPOSITS_IN_OUT_RN(1.0),N_A,M,2026,2025,FXD_DEP_OVRS_NRO_NRI,0,2025-05-31,USD,331257422.6
RBI:NRI_DEPOSITS_IN_OUT_RN(1.0),N_A,M,2026,2025,FXD_DEP_OVRS_NRERA_NRI,0,2025-05-31,USD,632808192.9
RBI:NRI_DEPOSITS_IN_OUT_RN(1.0),N_A,M,2026,2025,FXD_DEP_OVRS_FCNRB_NRI,0,2025-05-31,USD,170705156.8
RBI:NRI_DEPOSITS_IN_OUT_RN(1.0),N_A,M,2026,2025,FXD_DEP_OVRS_NRI_DEP,0,2025-05-31,USD,1134770772.3
RBI:NRI_DEPOSITS_IN_OUT_RN(1.0),N_A,M,2026,2025,FXD_DEP_OVRS_FCNRB_NRI,0,2025-04-30,USD,271566189
RBI:NRI_DEPOSITS_IN_OUT_RN(1.0),N_A,M,2026,2025,FXD_DEP_OVRS_NRO_NRI,0,2025-04-30,USD,102921202.5
RBI:NRI_DEPOSITS_IN_OUT_RN(1.0),N_A,M,2026,2025,FXD_DEP_OVRS_NRI_DEP,0,2025-04-30,USD,750668361.9
RBI:NRI_DEPOSITS_IN_OUT_RN(1.0),N_A,M,2026,2025,FXD_DEP_OVRS_NRERA_NRI,0,2025-04-30,USD,376180970.4
RBI:NRI_DEPOSITS_IN_OUT_RN(1.0),N_A,M,2025,2024,FXD_DEP_OVRS_NRO_NRI,0,2025-03-31,USD,583664047.518
RBI:NRI_DEPOSITS_IN_OUT_RN(1.0),N_A,M,2025,2024,FXD_DEP_OVRS_NRERA_NRI,0,2025-03-31,USD,703848015.572
RBI:NRI_DEPOSITS_IN_OUT_RN(1.0),N_A,M,2025,2024,FXD_DEP_OVRS_FCNRB_NRI,0,2025-03-31,USD,317377439.486
RBI:NRI_DEPOSITS_IN_OUT_RN(1.0),N_A,M,2025,2024,FXD_DEP_OVRS_NRI_DEP,0,2025-03-31,USD,1604889502.576
RBI:NRI_DEPOSITS_IN_OUT_RN(1.0),N_A,M,2025,2024,FXD_DEP_OVRS_NRERA_NRI,0,2025-02-28,USD,299963907.697
RBI:NRI_DEPOSITS_IN_OUT_RN(1.0),N_A,M,2025,2024,FXD_DEP_OVRS_NRO_NRI,0,2025-02-28,USD,206453430.292
RBI:NRI_DEPOSITS_IN_OUT_RN(1.0),N_A,M,2025,2024,FXD_DEP_OVRS_FCNRB_NRI,0,2025-02-28,USD,-262015488.047
RBI:NRI_DEPOSITS_IN_OUT_RN(1.0),N_A,M,2025,2024,FXD_DEP_OVRS_NRI_DEP,0,2025-02-28,USD,244401849.942
RBI:NRI_DEPOSITS_IN_OUT_RN(1.0),N_A,M,2025,2024,FXD_DEP_OVRS_NRERA_NRI,0,2025-01-31,USD,137513093.768
RBI:NRI_DEPOSITS_IN_OUT_RN(1.0),N_A,M,2025,2024,FXD_DEP_OVRS_NRO_NRI,0,2025-01-31,USD,287382734.177
RBI:NRI_DEPOSITS_IN_OUT_RN(1.0),N_A,M,2025,2024,FXD_DEP_OVRS_FCNRB_NRI,0,2025-01-31,USD,555978583.914
RBI:NRI_DEPOSITS_IN_OUT_RN(1.0),N_A,M,2025,2024,FXD_DEP_OVRS_NRI_DEP,0,2025-01-31,USD,980874411.859
RBI:NRI_DEPOSITS_IN_OUT_RN(1.0),N_A,M,2025,2024,FXD_DEP_OVRS_FCNRB_NRI,0,2024-12-31,USD,158076388.245
RBI:NRI_DEPOSITS_IN_OUT_RN(1.0),N_A,M,2025,2024,FXD_DEP_OVRS_NRI_DEP,0,2024-12-31,USD,781408079.139
RBI:NRI_DEPOSITS_IN_OUT_RN(1.0),N_A,M,2025,2024,FXD_DEP_OVRS_NRO_NRI,0,2024-12-31,USD,435707693.523
RBI:NRI_DEPOSITS_IN_OUT_RN(1.0),N_A,M,2025,2024,FXD_DEP_OVRS_NRERA_NRI,0,2024-12-31,USD,187623997.371
RBI:NRI_DEPOSITS_IN_OUT_RN(1.0),N_A,M,2025,2024,FXD_DEP_OVRS_NRERA_NRI,0,2024-11-30,USD,294042166.076
RBI:NRI_DEPOSITS_IN_OUT_RN(1.0),N_A,M,2025,2024,FXD_DEP_OVRS_NRO_NRI,0,2024-11-30,USD,191922032.132
RBI:NRI_DEPOSITS_IN_OUT_RN(1.0),N_A,M,2025,2024,FXD_DEP_OVRS_NRI_DEP,0,2024-11-30,USD,654930133.81
RBI:NRI_DEPOSITS_IN_OUT_RN(1.0),N_A,M,2025,2024,FXD_DEP_OVRS_FCNRB_NRI,0,2024-11-30,USD,168965935.602
RBI:NRI_DEPOSITS_IN_OUT_RN(1.0),N_A,M,2025,2024,FXD_DEP_OVRS_NRI_DEP,0,2024-10-31,USD,1704755857.396
RBI:NRI_DEPOSITS_IN_OUT_RN(1.0),N_A,M,2025,2024,FXD_DEP_OVRS_NRO_NRI,0,2024-10-31,USD,474109990.638
RBI:NRI_DEPOSITS_IN_OUT_RN(1.0),N_A,M,2025,2024,FXD_DEP_OVRS_FCNRB_NRI,0,2024-10-31,USD,790761492.363
RBI:NRI_DEPOSITS_IN_OUT_RN(1.0),N_A,M,2025,2024,FXD_DEP_OVRS_NRERA_NRI,0,2024-10-31,USD,439884374.395
RBI:NRI_DEPOSITS_IN_OUT_RN(1.0),N_A,M,2025,2024,FXD_DEP_OVRS_NRI_DEP,0,2024-09-30,USD,2363863782.532
RBI:NRI_DEPOSITS_IN_OUT_RN(1.0),N_A,M,2025,2024,FXD_DEP_OVRS_NRERA_NRI,0,2024-09-30,USD,138083913.751
RBI:NRI_DEPOSITS_IN_OUT_RN(1.0),N_A,M,2025,2024,FXD_DEP_OVRS_NRO_NRI,0,2024-09-30,USD,349561528.979
RBI:NRI_DEPOSITS_IN_OUT_RN(1.0),N_A,M,2025,2024,FXD_DEP_OVRS_FCNRB_NRI,0,2024-09-30,USD,1876218339.802
RBI:NRI_DEPOSITS_IN_OUT_RN(1.0),N_A,M,2025,2024,FXD_DEP_OVRS_NRI_DEP,0,2024-08-31,USD,2008169257.544
RBI:NRI_DEPOSITS_IN_OUT_RN(1.0),N_A,M,2025,2024,FXD_DEP_OVRS_NRERA_NRI,0,2024-08-31,USD,732737617.605
RBI:NRI_DEPOSITS_IN_OUT_RN(1.0),N_A,M,2025,2024,FXD_DEP_OVRS_NRO_NRI,0,2024-08-31,USD,643805897.392
RBI:NRI_DEPOSITS_IN_OUT_RN(1.0),N_A,M,2025,2024,FXD_DEP_OVRS_FCNRB_NRI,0,2024-08-31,USD,631625742.547
RBI:NRI_DEPOSITS_IN_OUT_RN(1.0),N_A,M,2025,2024,FXD_DEP_OVRS_NRO_NRI,0,2024-07-31,USD,439046754.044
RBI:NRI_DEPOSITS_IN_OUT_RN(1.0),N_A,M,2025,2024,FXD_DEP_OVRS_FCNRB_NRI,0,2024-07-31,USD,1158348147.909
