DATAFLOW,AUDST,FREQ,FRG_LIB_ASS_RN,REPYEAREND,REPYEARSTART,TYP_ENT_RN,UNIT_MULT,TIME_PERIOD,UNIT_MEASURE,OBS_VALUE
RBI:FR_LIB_ASSTS_MUT_RN(1.0),N_A,AFY,FLA_FR_LIB,2011,2010,ASST_MGMT_COMP,0,2011-03-31,USD,560000000
RBI:FR_LIB_ASSTS_MUT_RN(1.0),N_A,AFY,FLA_FR_LIB,2011,2010,MTL_FND_COMP,0,2011-03-31,INR,406300000000
RBI:FR_LIB_ASSTS_MUT_RN(1.0),N_A,AFY,FLA_FR_LIB,2011,2010,MTL_FND_COMP,0,2011-03-31,USD,9101000000
RBI:FR_LIB_ASSTS_MUT_RN(1.0),N_A,AFY,FLA_OTH_FR_ASS,2011,2010,MTL_FND_COMP,0,2011-03-31,INR,230000000
RBI:FR_LIB_ASSTS_MUT_RN(1.0),N_A,AFY,FLA_OTH_FR_ASS,2011,2010,MTL_FND_COMP,0,2011-03-31,USD,5000000.0
RBI:FR_LIB_ASSTS_MUT_RN(1.0),N_A,AFY,FLA_FR_ASS,2012,2011,ASST_MGMT_COMP,0,2012-03-31,INR,1630000000
RBI:FR_LIB_ASSTS_MUT_RN(1.0),N_A,AFY,FLA_FR_ASS,2012,2011,ASST_MGMT_COMP,0,2012-03-31,USD,32000000
RBI:FR_LIB_ASSTS_MUT_RN(1.0),N_A,AFY,FLA_FR_ASS,2012,2011,MTL_FND_COMP,0,2012-03-31,INR,39270000000
RBI:FR_LIB_ASSTS_MUT_RN(1.0),N_A,AFY,FLA_FR_ASS,2012,2011,MTL_FND_COMP,0,2012-03-31,USD,768000000
RBI:FR_LIB_ASSTS_MUT_RN(1.0),N_A,AFY,FLA_FR_ASS_DS,2012,2011,MTL_FND_COMP,0,2012-03-31,INR,0.0
RBI:FR_LIB_ASSTS_MUT_RN(1.0),N_A,AFY,FLA_FR_ASS_DS,2012,2011,MTL_FND_COMP,0,2012-03-31,USD,0.0
RBI:FR_LIB_ASSTS_MUT_RN(1.0),N_A,AFY,FLA_FR_ASS_ES,2012,2011,MTL_FND_COMP,0,2012-03-31,INR,38020000000
RBI:FR_LIB_ASSTS_MUT_RN(1.0),N_A,AFY,FLA_FR_ASS_ES,2012,2011,MTL_FND_COMP,0,2012-03-31,USD,743000000
RBI:FR_LIB_ASSTS_MUT_RN(1.0),N_A,AFY,FLA_FR_LIB,2012,2011,ASST_MGMT_COMP,0,2012-03-31,INR,28480000000
RBI:FR_LIB_ASSTS_MUT_RN(1.0),N_A,AFY,FLA_FR_LIB,2012,2011,ASST_MGMT_COMP,0,2012-03-31,USD,557000000
